star_point,comment,photo
5,"찾던 제품이에요! 키보드 소음은 거의 안나고 스페이스버튼만 소음이 들리긴 하는데 크게 신경 안쓰이고, 깔끔합니다. 한가지 아쉬운거? 꽂꽂에 지워지지 않는 것이 묻어 있어요 하지만 교환신청하면 번거로우니 그냥 쓰려고요. 그리고 키스킨도 주셨는데 키스킨 씌우고 타자치면 스페이스키에서도 소음이 거의 안 나지만 키스킨이 너무 부드러워서 타자칠때 미끄러운 느낌이라 벗기고 쓰려고해요. 만족합니다!","['https://phinf.pstatic.net/checkout/20200909_224/1599661726907DxbxR_JPEG/review-attachment-f93f540b-2630-4f96-b1f6-2558d8ebd766.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200909_56/1599661730016jP0OD_JPEG/review-attachment-d08ece30-b4a3-4a78-8124-67943dd0f8af.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200909_116/1599661731677LBJDe_JPEG/review-attachment-fc5c6529-fa52-4394-b8d6-92a649d9ddad.jpeg?type=f287']"
3,"배송은 바르고 디자인도 깔끔하니 좋습니다!!
키패드 부드럽게 잘 쳐지구요. 키스킨 같이 딸려와서 편하게 잘쓰고있습니다~ 다만, 핸드폰 거치 할 수 있는 부분이 너무 좁네요...아이폰XR 쓰고있고 케이스 껸 상태인데 안들어가요...제 폰이 두꺼운 편도 아니고 보통은 케이스 다 껴실텐데 이럴거면 좀 더 저렴한 일반으로 살껄 후회했습니다ㅠㅠ0.5cm만 더 크면 좋겠네요. 무엇보다 아쉬운점은 수평이 안맞아요...무소음 키보드인데 키보드 수평이 미세하게 안맞아서 칠때마다 소리가 나네요.
책상의 문제라기엔 이 전 키보드는 흔들림은 없었습니다. 이미 뜯었고 귀찮아서 그냥 쓰긴 할테지만 검수는 확실히 해서 주셨으면 좋겠네요ㅠ
아 그리고 구입하실때 키보드 다리 없는거 확인하시길 바랍니다. 저는 당연히 있는줄알았는데 없더라구요..불편한 부분은 아니고 높이가 충분히 맞아서 저는 괜찮은데 헷갈리실 분들이 있으실거같습니다.
그래도 기본적으로 만족하는 제품입니다. 많이파세요~",['https://phinf.pstatic.net/checkout/20200907_23/1599436766266VT3Vw_JPEG/review-attachment-2dd91ac3-f222-42cb-9e7d-3e081d550e58.jpeg?type=f287']
5,핫키 있는건 역시 편하네요. 근데 키커버 쓰면 키감이 별로라 커커버 벗기고 쓰고 있어요.스페이스 오른쪽 왼쪽이 살짝 흔들리는? 느낌이 있는데 이건 원래 이런것 같구.. 아.. 키보드 높낮이 조절하는건 아예 없더라구요. 그게 좀 불편하긴합니다ㅠ,['https://phinf.pstatic.net/checkout/20201013_186/1602552385746VASbx_JPEG/review-attachment-10bc958c-f0f9-42c1-8cd5-c55d1ee65183.jpeg?type=f287']
5,"저소음이라 소리가 아예 아나지는않아요 다른거는 괜찮은데 스페이스바에서는 소리가 좀 나더라구요 그리고 혹시나해서 커버를 벗기고 써봣는데 엄청...미끄러워요.... 사무실에서 사용하는거라서 커버가 자주 찢어지는데...찢어졋을경우 그냥 커버없이 쓰려고 저소음 산건데.... 미끄러워서..이게..참.... 손가락에 밀가루를 묻히고 사용할수도 없고.... 그점이 좀 아쉬워서 별하나 뺏어요 ㅜㅜ
키보드 사실떄 참고하시면 좋을거 같아요 커버없이 사용시에는 미끄럽다는점. 그리고 스페이바에는 소리가 좀 크게 난다는점 (커버없을시)",[]
5,"Alt 버튼이 커서 단축키 쓸 때 많이 편합니다.
단 키보드 상단 양쪽에 다른 키보드에 많이 있는 발이 없습니다. 발을 펴서 키보드 상단을 확 높일수는 없으니 참고하세요. 저는 항상 키보드 상단을 높게 해놓고 썼어서 처음에 적응 시간이 걸렸습니다.",['https://phinf.pstatic.net/checkout/20201114_297/1605322116805uyTdD_JPEG/review-attachment-e1880e5c-06ad-4017-856f-0822f8a6b278.jpeg?type=f287']
3,"키보드 자체는 너무 좋으나, 핸드폰을 꽂는 부분이 좁다(노트20울트라).
케이스 벗고 카메라를 윗부분으로 해서 쓰는 중.
그리고 저소음이 절-대 아니다,,
키스킨 벗기면 기계식 키보드랑 비슷할 정도..
키스킨 입히면 그냥 소리가 조금 덜 나지만 그래도 저소음은 절대 아니다..",[]
4,되게 납작해보여서 낮으면 불편할 것 같았는데 딱 괜찮은 정도입니다 소리는 키스킨 해야지 조용한 소리이고 키스킨 빼면 그냥 똑같음. 그리고 제일 불편한 점은 오른쪽 숫자 누르는거 0이 너무 안 눌려요 금액 쳐야하는데 두번 누르게 만드네요..그것만 아님 다 괜찮음,[]
3,"기존키보드보다 조용하긴해요 소음이 아예없는건 아니구요
그런걸 바라는게 말이 안되는거겠죠 ㅋㅋ노트북 키보드 정도 되네요
근데 키보드 키가 제손엔 좀 불편하네요
첫번째 엔터키가 작다
두번째 f1~f4 f5~f8 이사이가 떨어져있어야 안헷갈리고 잘쳐지는데
다닥다닥 다 붙어있어서 불편해요",[]
3,상품은 이쁘고 좋아요 다만 좀 아쉬운것이 키스킨을 끼면 스페이스바가 잘 안눌려서 두번씩 눌러야하고 키스킨을 빼면 소음이 좀 크고 자판이 너무 미끄러워서 타자치기가 좀 힘드네요 ㅜㅜ 손이 자꾸 미끄러져요 그게 좀 아쉽네요,[]
5,배송이 굉장히 빨랐고 키보드 자판도 큼직큼직 해서 타건할때 어색한것 외에는 굉장히 좋았습니다. 특히 가장 좋은 점은 타건소리가 전 키보드 보다 확실히 줄어들어서 만족합니다. 아쉬운게 있다면 키보드의 높이 조절이 안되는 것이었습니다.,[]
