star_point,comment,photo
5,"소음이 없는 팬터그래프 키보드는 찾았는데 저에게 딱 맞는 제품을 찾은 것 같습니다. 현재 이 키보드를 후기를 남기고 있는데 오타율도 적고 소리도 적고 디자인도 심플해서 제 마음에 딱 듭니다.

좀 더 자세한 후기는 제 블로그 포스팅으로 올렸습니다 :) 살까 말까 고민이신 분은 포스팅을 보고 판단하시면 됩니다.","['https://phinf.pstatic.net/checkout/20200905_261/1599272619063omAor_JPEG/review-attachment-77c6248a-f08c-431b-b23c-83e166954523.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_75/1599272618960bwrn2_JPEG/review-attachment-ea9e132c-34fb-4aa1-b37a-23fce772111c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_31/1599272619356nglbP_JPEG/review-attachment-bdf23462-4436-4630-9f5e-686131a9ca87.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_67/1599272619689WjVbH_JPEG/review-attachment-70588c8e-eeb1-4b39-90d8-8b3761901fde.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_249/1599272619686LvGp1_JPEG/review-attachment-011f7a0b-ec5a-4cee-8efc-81b2b6dbdf72.jpeg?type=f287']"
5,정말 저소음 맞네요. 일할 때 조용해서 마음 놓고 타자칠 수 있어요. 그리고 키보드 자체가 컬러가 아니라서 오히려 더 좋아요. 키스킨 벗기면 세련되고 덮으면 귀여워요ㅋ 키도 잘 먹히고 영어 한자 한글 다 전환 잘 되구요. 배송도 정말 빨리 왔습니다. 오늘 주문하면 내일와요(경기도 기준) 옆에 숫자패드도 따로 있어서 너무 좋구요. 무게도 정말 가벼워요. 다만 단점이라면 유선이라는 점? 그리고 backspace바 위에 도대체 왜 홈 키를 만든건지.. 잘못누를 수 있는 위험이 있어서 조심해야할 듯요.,"['https://phinf.pstatic.net/checkout/20200910_180/1599696143544n7RvE_JPEG/review-attachment-051e5586-fe77-4162-974e-120b2ac16167.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200910_287/159969615652951Fkh_JPEG/review-attachment-fb092dac-c16d-4dbe-b7a6-04f0e3f1c492.jpeg?type=f287']"
4,"같은 가격대 블루투스 키보드는 인식이 잘 안된다고 해서 일부러 유선으로 샀습니다.

인식 잘 되고, 펜터그래프라 소음도 적고 디자인도 마음에 듭니다.

다만 펑션 키가 없다는 것과 밑판 미끄럼 방지 고무가 제대로 부착이 안 돼서 온게 단점입니다.

그래도 .","['https://phinf.pstatic.net/checkout/20201121_72/16059470646388gHTk_JPEG/review-attachment-d6984035-5396-4c18-a339-17fb38bdd9aa.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201121_59/1605947075666KUbcQ_JPEG/review-attachment-80acacde-55f5-4c95-bfab-268609404f12.jpeg?type=f287']"
5,"이뻐요. 컴퓨터 사용할 일이 많아서 키스킨 하나 더 구매했어요.
전에 사용하던 키보드보다 키 높이가 달라 적응해야할 것 같지만.
소음도 적도 훨씬 편해요.

무선 사용할 땐 누를 때 오류가 조금 잇었는데.
역시 유선이 짱인 것 같아요. ㅎㅎㅎ","['https://phinf.pstatic.net/checkout/20201116_292/16054864187436RyLb_JPEG/review-attachment-bd084669-e7f3-4601-bb4c-053811fd4858.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201116_211/1605486418769a3pu8_JPEG/review-attachment-2cd7f4b4-1718-4604-a37f-42aff93a3c38.jpeg?type=f287']"
4,"키보드가 고장나서 세련된걸로 장만햇어요, 쓰던 것은 자판이 두께? 높이? 라고 해야하나 하튼 손구락이 매번 걸려서 오타가 많이 났는데, 이건 천국이네요, 디자인도 세련되고 얇은 두께라 손을 많이 들 필요가 어뵤어요~ 단지, 키스킨 씌운 상태로 사용하니 손가락이 실리콘 재질에 닿으면 잘 미끄러지지가 않아서 좀 타자가 느려진다고나 할까, 익숙해지면 괜찮겠죠. 아님 스킨 빼고 쳐야져 머",['https://phinf.pstatic.net/checkout/20200831_131/1598871264314uq9hh_JPEG/review-attachment-3b170d84-91bf-4b30-87e4-16b9dbba5776.jpeg?type=f287']
5,"생각이상으로 디자인이 깔끔하네요
키보드 사이즈도 적당하고 뭣보다 너무 얇고 가벼워서 좋아요!
특히 커버를 바꿔끼면 느낌이 완전 달라지는게 너무 좋은데 심지어 지퍼팩에 보관하기 좋게 보내주셔서 잘 쓸 수 있을것 같네요!
배송도 빠르고 감사합니다'","['https://phinf.pstatic.net/checkout/20200519_37/1589863034829eIWjX_JPEG/20200519_133033.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200519_75/1589863045945A4RJi_JPEG/20200519_133051.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200519_183/1589863046925GQRgV_JPEG/20200519_133458.jpg?type=f287']"
5,"잘받았습니다~
주말에 주문하고 월요일에 발송해 주셔서 화요일에 받았습니다~~
사무실에서 쓰려고 주문했는데 예뻐서 다들 몰려오더라구요.
주변에 링크걸어드리고 체험도 시켜줬습니다ㅎㅎ
제품은 무소음이라고 제목에 있지만 저소음이 맞구요. 그래도 일반키보드보다 훨씬 조용합니다.
아무래도 키보드 깊이가 한몫하는것 같네요.
어떤분이 말한것처럼 노트북 키보드 그느낌 입니다.
그래도 보기보단 묵직하구요.
키보드 마우스 따로 보다가 마우스도 같이 판매하길래 셋트로 샀는데요
마우스도 매우 저소음이고 좋습니다.
무엇보다 부드럽구요.
스크롤할땐 전에 쓰던 lg마우스 처럼 도로록 소리는 납니다. 그리고 스크롤바 누르면 클릭소리 들리구요.
마우스 블랙 사려고 했는데 없어서 화이트 샀더니 유광이라 먼지같은게 달라붙네요^^;;
키보드는 하단에 높이 조절하는게 없어서 조금 아쉽네요. 그래도 쓰는데는 괜찮습니다.
마지막으로 마우스 제대로 안읽고 무선인줄 알고 샀는데 USB선이 있길래 당황했네요.
그럼 한달후기 다음에 쓰겠습니다.",['https://phinf.pstatic.net/checkout/20191210_283/1575976501846q89Db_JPEG/7E54EF46-C41F-4A7A-B6B0-496BECF83FC9.jpeg?type=f287']
2,"타건음이 적은 것과 외관 디자인은 정말 만족스러운데, 기능성은 아쉽네요. 갑자기 왼쪽 alt키 불량입니다. 누르고 나면 잠깐 후에 '뽁'하면서 원래대로 돌아옵니다. 얼마 쓰지도 않았는데...ㅠㅜ 문서 작업 시 단축키로 자주 쓰는데 alt키 때문에 좀 부글부글하네요. 그리고 시프트 누르고 숫자 9 누르면 ( 이거 타이핑 되어야 하는데 자꾸 숫자 9로 타이핑됩니다. 이 두 오류 때문에 문서 작성하는 데 애먹네요. 다른 불편한 점들도 있지만 이건 기계식 키보드만 쓰다가 새로운 시스템에 적응하는 부분이라 불만까지는 아니구요.",[]
3,"키압 낮고 조용한 펜타그래프.

멤브레인, 기계식, 펜타그래프 대략 열 개의 키보드를 사용해 봤고 잠시 정착역을 찾은 것 같습니다. 우리가 상상하던 펜타그래프의 모습을 보여주는 키보드지만 키 배열이 상당히 맘에 안 들어요. 불필요하게 다 욱여넣고, 필수적인 여백에 대한 개념이 없나 싶을 정도로 키판 배열은 이거 만든 디자이너 키보드로 때리고 싶을 정도입니다. 아니 이렇게 키보드 무난하게 나왔는데 키 배열이 다 깎아먹네. 키보드 아마추어 아이리버의 가능성과 한계를 역력히 보여주는 안타까운 마음이 드는 제품입니다.

장점
- 우리가 상상하던 낮은 키압, 부드러운 키감의 펜타그래프
-
- 펑션키가 아니라 아쉽지만 조금이나마 존재하는 기능키
단점
- 키 버튼 하나하나가 균일한 모습을 보이지는 않는다. 저렴한 티 좀 낸다.
- 기능키 하나를 굳이 배치해서 f1 ~ f12 배열에 그룹별 구분을 없앰. f4와 f5키를 누를 때 확인을 해야 한다.
- 아이솔레이션 키보드 치고는 키캡이 미세하게 넓어 잘못 누르게 될 수도 있다.",['https://phinf.pstatic.net/checkout/20190827_183/1566888690584cqeRc_JPEG/IMG_20190827_155034_1.jpg?type=f287']
5,평점이 워낙 좋은데 간혹 안좋은 평점도 있어서 사실 고민하다가 샀는데 받아보니 너무 좋아요!!! 상세페이지에 있는 사진보다 실물이 훨씬 예쁜데다 키감도 너무 부드럽게 잘쳐져서 매우 만족 중입니다ㅎㅎㅎ 가격도 비싼 편이 아닌데 너무 괜찮아요 쟁여두고 쓰고 싶을 정도에요 재택근무하는데 키보드랑 마우스 예쁜 것만으로도 기분이 너무 좋아졌어요ㅋㅋㅋ 감사합니다,"['https://phinf.pstatic.net/checkout/20200630_102/1593499620186HlWXE_JPEG/20200630_143557.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200630_14/1593499629261HtR0D_JPEG/20200630_143637.jpg?type=f287']"
