star_point,comment,photo
5,"다른 키보드 사용하다가 소음이 좀 거슬려서 무서음 키보드로 아이리버꺼를 주문하게 되었습니다!
도착해서 바로 해봤는데 확실히 소음은 적네요. 키스킨 한 상태로 하는 게 소리가 더 안 나기는 한데 키스킨을 제거해도 다른 키보드에 비해 상대적으 소리는 작은 것 같아서 만족합니다.
다만 키와 키 사이의 경계가 잘 안 느껴져서 오타가 많이 나는 느낌이긴 하네요. 키보드에 익숙해지면 괜찮아질거라 생각하고 사용해 볼 생각입니다!
가성비가 굉장히 좋은 키보드로 그냥 아무거나 잘 쓰시는 분들은 좋을 것 같아요~","['https://phinf.pstatic.net/checkout/20201128_205/1606551673310IYxiK_JPEG/review-attachment-e252ba86-54be-401c-8d76-4c900052f637.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201128_124/16065516987766shTW_JPEG/review-attachment-a1d3a53e-c54c-41e1-8367-1cfaa6af0d6d.jpeg?type=f287']"
4,"색상도 맘에 들고 키감도 맘에 들어요
근데 좀 얼룩이 있더라구요 지워지는 얼국이지만 첨에 봤을땐 기분이 안좋았어요
그리고 키 사이사이에 플라스틱 찌꺼기라 해야하나? 그런게 껴있구 잘안빠지는건 안빠져요~
뒷판에 나사부분이 녹슨건지 얼룩이 뭍은건지 모르겠지만 ..뭐 그냥 쓸게요","['https://phinf.pstatic.net/checkout/20200927_65/1601212655010hjp1n_JPEG/review-attachment-27219ca1-8c2a-4d2b-9858-d8c21c836ce2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200927_146/1601212656380jjpWh_JPEG/review-attachment-e5dd50f9-4dc0-4f7c-903d-5837237bd5a9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200927_82/1601212654914uHMSS_JPEG/review-attachment-84d8ed75-3b75-4d5d-b33f-7b233ba833f9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200927_132/1601212656429h6sJI_JPEG/review-attachment-5a6c9a8d-e8a4-4b62-8a09-2aed622a39b9.jpeg?type=f287']"
4,"뾱뾱이 안에 키보드 박스가 들어있었고, 배송은 이틀 걸렸다.
<장점>
키보드 무게가 가볍고, 정리선 타이가 있어서 깔끔하다.
가격에비해 고급스러운 로즈골드색상이다.
키감이 매우 좋다.
<단점>
키스킨은 도톰한데, 먼지가 잘 쌓이는 재질이다.
키스킨을 끼우면 타자가 잘 안쳐져서 세게 눌러야한다.
무소음이라고는 하는데 로지텍 일반 키보드에 비해 .
손가락이 크고 긴 사람에게는 키보드 자체가 너무 작다.","['https://phinf.pstatic.net/checkout/20200923_186/1600836431337XQbSo_JPEG/review-attachment-8c1f69a5-aba7-4dcd-9d0a-bc1f1b7b4a75.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200923_259/1600836440404rMkKy_JPEG/review-attachment-e503ff8f-b8ed-4460-a27b-fa84ea066eb6.jpeg?type=f287']"
2,"일단 키보드 밑에 고무가 하나가 붕떠있어요. 그래서 덜컥거리는데 너무 거슬려서 교환할까하다가 ,여러군데 후기보니까 그런 상품이 많을것같길래 다음에 뽑기운이 더 안좋을까봐 그냥 씁니당 까보고 너무 이뻐서 좋았는데 이런 단점이 ㅠ 그래도 싼맛에 그냥저냥 써보려구요,,, 아 그리고 키감이 가벼운데 요상한 느낌이라 어색한데 그래도 키보드 사이즈가 작은편이라서 뭐 대충 만족하려구요. 덧붙이자면 스페이스바가 다른 키에 비해서 덜컹거리고 헐렁한 느낌? 이있네요 (소리도 스페이스바만 크게남..^^) 이것도 뽑기 실패인것같아요. 그리고 씌우는게 더 오타가 많이나서 저는 그냥 벗기는게 편하더라구요","['https://phinf.pstatic.net/checkout/20200512_91/158928435029105ltt_JPEG/1589284331460.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200512_121/1589284376331KFqhP_JPEG/1589284359587.jpg?type=f287']"
5,"색감 예쁘게 잘 나왔어요.
키가 펜타그래프처럼 낮지 않아서 좋구요.
기존 멤브레인 키보드보다 낮아서 살짝만 눌러도 부드럽게 들어가는 느낌이 있습니다.
키의 중심부가 상대적으로 오목해서 오타확률을 줄여주는 거 같네요.
위에서 보면 티가 안나는데 살짝 옆에서 보면 키가 뚱뚱한 느낌이 있어요.
스킨캡까지 있어서 좋고요.
저소음 + 펜타그래프보단 높고 멤브레인보단 낮은 키를 쓰고 싶다 하는 분께 추천드려요.","['https://phinf.pstatic.net/checkout/20201005_33/1601893238356rzSti_JPEG/review-attachment-b38b845f-82c2-46a1-a39d-2ffa4bc87605.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201005_194/16018932384418EsGy_JPEG/review-attachment-21478a21-e541-4ce7-9cc2-d50e18255262.jpeg?type=f287']"
5,"원래 사용하던 키보드를 버리고 임시로... 휴대용 키보드를 쓰고 있었는데.. 우측 키가 없는 것이 너무 불편해 이 키보드로 구매했습니다. 우선 키 커버가 있어 먼지 들어갈 걱정 없는 점이 좋아요! 아주 낮은 키는 아닌데, 조용한 편이고 높이 적당해 좋습니다. 유선이라 끊김도 없어요. 화이트도 너무 예뻐서 고민하다가.. 본체, 모니터, 마우스까지 전부 까만색이라 블랙 구매했는데 매우 만족합니다. 또 키보드 필요할 때 구매하러 올게요. 배송도 박스 구김하나없이 안전하게 받았어요.",['https://shopping-phinf.pstatic.net/20201118_19/179d72ff-d67b-420a-b8e9-54b51e07b331.jpg?type=f287']
5,"기존에 쓰던게 처음엔 소리가 좋아서 구매했었는데 사무실을 옮긴 후 소리가 너무 크더라구요. 그래서 급하게 알아보고 구매했는데 배송도 주문한지 하루만에 오고 사용해보니 너무나 만족스러워요.
덮개? 안하고 사용 하는게 더 이쁘기도하고 타자 치는 느낌이 좋긴한데 금방 더러워지니 덮어두고 쓰고 있어요.
소리는 덮고치는게 또 훨씬 적게나니깐요
가격도 싼데 너무 맘에 들어요","['https://phinf.pstatic.net/checkout/20200612_231/15919678860328lLP4_JPEG/beauty_20200611092015.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_34/1591967890930rL80X_JPEG/beauty_20200611092024.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_262/1591967898164p3H0m_JPEG/beauty_20200611092031.jpg?type=f287']"
3,"제가 원하던건 무소음이였는데 아예 무소음은 아닌거 같고 약간의 소리는 나더라고요
그리고 키보드가 작아서 오타도 자주나요
누르는 느낌이 아예 안나서 타자칠맛도 안나고요
스페이스바에서 소리가 크게 나기도 하고요
가격이 저렴한데는 역시 이유가 있네요
어짜피 포장 뜯으면 환불도 안되요
키보드는 직접 타건을 해보고 사야한다고 하던데 괜히 그런말이 있는게 아니네요","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_07_0/59240b97-8ff7-11ea-b2bf-48df379cc9e4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_183/1588810213501cwdvJ_JPEG/1588810129206.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_8/15888102433632khdV_JPEG/1588810215635.jpg?type=f287']"
5,"노트북 자판 스타일을 찾았는데 가성비 좋은거 같아요 디자인 깔끔하고 소리 크게 안나고 좋아요 자판 열심히 치다보면 아까운 네일이 깨져서 속상했는데 부드러워서 충격은 덜할거 같아요 ^^
기능키 불이 안들어왔는데 바로 교환해주셔서 잘쓰고 있어요","['https://phinf.pstatic.net/checkout/20201112_71/1605150184261QhpxU_PNG/review-attachment-a960412f-720e-4e56-b80f-8cb3857dd0f6.png?type=f287', 'https://phinf.pstatic.net/checkout/20201112_198/1605150186849Y5myL_PNG/review-attachment-b4d63e15-9b18-47df-934f-7e4baedf444c.png?type=f287']"
5,색이 산뜻해서 인테리어에도 좋고요 같이 사는 사람들이 밤에 확연히 타자소리가 줄었다고 해서 만족합니다 컨트롤 필요없는 가벼운 게임용으로도 나쁘지 않고요 대신 무소음이라고 해도 본인이 콱콱 눌러서 치면 당연히 소리가 나니까 그거만 참고하시면 될것같아요 닳으면 재구매하고싶습니다 한가지 단점은 엔터키가 작고 한자키가 오른쪽에 가있는 거 정도입니다~,['https://phinf.pstatic.net/checkout/20201124_199/1606204344514BqTw5_JPEG/review-attachment-d617c719-15fa-41b6-bdd1-f81ed5ffb6ad.jpeg?type=f287']
