star_point,comment,photo
4,"전반적으로 실버 디자인 꽤 멋있고, 타자감은 일반적인 노트북 키보드와 비슷합니다.
단, 빠르게 타이핑하면 스페이스바 또는 점 표시를 무시하기도 합니다.
그리고 일단 한 기기에 페어링하면 다른 기기에 융통성있게 페어링하기 어렵습니다.
(기존 페어링 기기의 블루투스를 끄는 것도 모자라 전원을 끄거나, 심지어는 블루투스 등록을 해제해야 합니다...)
상품가 만 원도 되지 않는 가성비로 잘 쓰겠습니다.","['https://phinf.pstatic.net/checkout/20200620_214/1592651036198Ouhee_JPEG/20200617_221801.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200620_239/1592651160797jTMYB_JPEG/20200617_221826.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200620_213/1592651160754Uf2Vv_JPEG/20200617_221910.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200620_110/1592651160981Ym2Vv_JPEG/20200617_221940.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200620_43/1592651161632t3AgI_JPEG/20200617_222343.jpg?type=f287']"
5,"요 키보드와 같은 디자인 제품이 많이 팔죠~ 아이x트 등등등 같은 디자인에 스페이스바에 로고만 박혀있는... 동일 싸이즈 동일 디자인 제품을 전에 구매 한적이 있는데 이거 보다 더 비싸게 주고 샀거였는데 키감도 별로고 그랬어서 버리고 태블릿 새로 사믄서 키보드 필여해서 걍 젤 싼거 찾아서 써야지 하고 요넘을 구매했는데.....
반전이네요.. 걍 싼거 사서 쓰다 버려야지 했는데.... 키감도 이정도면 매우 훌륭하고 모든 키를 하나 하나 눌러봐도 씹히는 거도 없고... 마감도 깔끔하고... 으흣 매운만두 만접시는 될듯!
기분 넘 좋네용 싸고 좋은 키보드 ㅎㅎㅎ 다른분들도 같은 디자인 제품 찾으시면 꼭 이거 사시길 ㅎㅎ
저렴한 가격에 비해 배송 포장도 고가 전자제품 마냥 포장해서 보내주심 ㅠㅠ","['https://phinf.pstatic.net/checkout/20201110_51/1605001786825KLRJj_JPEG/review-attachment-f2294052-a811-48eb-9885-3b9a3fee6fde.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201110_26/16050017998560Y832_JPEG/review-attachment-e5ddfd90-f909-4cc3-b9e3-fd3c9074cbee.jpeg?type=f287']"
5,"가성비 갑 제품인듯. 노트북 키보드 키 몇개가 고장나서 임시로 샀어요.수리 맡길때까지만 쓸거라 걍 제일 싼거삼☆근데 사진에선 키보드 받침이 없는줄 알았는데 있어서 좀 불편했어요.☆흰색사려고 맘먹고 결제하고 보니 검정 옵션밖에 없었움ㅋㅋㅋ 근데 때안타고 좋을듯13인치 노트북파우치에 충분히 들어가서 사이즈 아주 만족.다른 키보드는 뭐 한영변환키가 shift 키라느니 방향키가 작다느니 하는데 이건 그런게 없어서 좋았음.무엇보다 블투 키보드 중 가장 싼듯. 배송도 빠르고 좋았음단점은 키스킨이 없어서 조용한 곳에선 못 두드릴듯 걍 내 노트북키스킨 올려봤는데 키사이즈 딱 맞음ㅋㅋ옆으로 살짝 남긴하지만 이정도묜 쓸만한듯 기본 10자 이상 작성시 100P 즉시지급 이미지 등록시 100P 즉시 추가지급개당 상품 가격이 5,000원 이하 상품은 적립대상에서 제외되며,리뷰 포인트는 최초 1회 작성시에만 지급됩니다.같은 단어가 반복된 내용은 임의로 삭제되며, 지급된 포인트가 회수될 수 있습니다. 다른 고객님들에게 유용한 상품 리뷰를 작성해주세요.",[]
3,블루투스 연결도 괜찮고 타자 속도도 괜찮아요 다만 띄어쓰기가 안 먹히는 경우가 많네요 키감도 약간 단단해서 적응이 좀 필요했습니다 또 처음에 쉬프트키가 빠진채로 와서 교환 요청했는데 두번째꺼는 잘 받아서 사용 잘 하고 있습니다,['https://phinf.pstatic.net/checkout/20200719_57/1595159563120taMgD_JPEG/review-attachment-30628edb-bbd2-4402-aa9d-9cf09a03b28d.jpeg?type=f287']
5,스페이스바가 균일하게 눌러지지않아요 정중앙을 눌러야만 인식이 된달까 그리고 너무 시끄러워요 마감이 날카로워요 그것빼곤 블투 연결도 좋고 빨리 연결되고 가볍고 애-플 키보드 닮아서 좋아요 건전지라서 충전스트레스 없기도 하고요 세컨드 키보드로 휴대시 사용하려면 저렴하고 이쁘고 이거 사세요 브랜드 로고없는것도 장점임,[]
5,"책상 위 공간활용 때문에 데탑용 키보드를 작은 걸로 바꾸려고 구매했습니다. 바로 블투인식하고 바로 사용가능합니다. 사이즈는 놋북사이즈이고 휴대용으로도 쓸만 하겠습니다.
참고로 스맛폰 안드로이드로 잡으니 한영변환이 콘트롤/시프트네요.",[]
5,다른 분들은 타자소리가 적다고 하시지만.. 글쎄요. 저는 크게 적은거 같지는 않은거 같습니다만.. 가지고있는 16인치노트북하고 아이나비 2in1테블릿(10인치) 보다는 약간조금더 소리가 둔탁하고 큰 정도?? 이 정도 느낌입니다. 크게 차이난다고는 할수 없구요. 아주 가벼운 소리는 아니라서 크게 소리가 퍼질꺼 같진 않네요. 그 외 다른 기능은 만족합니다. 원 구매목적이 갤노트8과 가지고 있는 구형 해커스테블릿에서 글자입력이 불편해서 구매한건데 둘다 큰 문제 없이 동작하는 것을 확인하였습니다. 다만 갤노트8의 경우 블투마우스하고 같이 쓰면서 폰으로 터치시 버벅거림/터치잘안됨 현상이 생기는데 이건 구매한 키보드나 마우스의 문제는 아닌거 같더군요. 만족하고 잘 쓰겠습니다.,[]
3,"인식은 잘 되고, 폰도 잘되고, 심지어 맥북도 잘되는건 감탄인데, 여러키가 안눌립니다... 노트북 키가 여러키가 안눌려서, 게임하려고 샀는데 오히려 노트북보다도 안눌리네요. 유선 팔천원짜리 키보드는 키 한 여섯개 눌려도 잘눌리는데 이건 키 두세개도 한번에 잘 안눌리네요. 게임하려고 사실 분들은 비추. 그래서 별하나 ？M 그리고 맥북 터치바 이전버전에 F1~F12 키는 기본 펑션옵션을 빼도 적용이 안됩니다. 그러니까 맥북 사용자분들은 이 키보드를 쓸때 F1~F12 키는 펑션으로 밖에 못씁니다. 개발자라면 비추. 그래서 별 하나 또 ？M 가격이나 인식이나 거리는 괜찮은편이에요.",[]
3,fn키 누루고 f1~f12까지 키를 눌렀는데 작동이 안되는거 같네요 fn키 누르고 안드로이드랑 맥 기능 되는지는 아직 맥이 없어서 확인을 못해봤습니다 되겠죠? 그리고 유니파잉은 지원 안하나요? 건전지 넣는 부분에는 유니파잉 usb넣는 곳 있던데용블루투스는 연결됐다가 얼마 사용 안하면 끊기는데 그러면 또 연결하는데 굉장히 번거롭습니다 ㅠㅠ 원래 이런건가요??,[]
5,PC랑 연결할 때 좀 불편합니당. 윈10사용하는데 페어링 인증번호 누르라는데 PC에서는 안뜨고 맛폰이나 태블릿 연결할 땐 기가막히게 뜨는데 한참허참거참나참참참참 헤메다 장치 및 프린터 들어가서 거시서 또 한참허참거참나참참참참 헤메다 겨우 찾아서 연결했어요. 연결해 놓은 후 부터는 잘 됩니다! 텐키 없는 사이즈가 부담도 없어 좋아요를레히!,[]
