star_point,comment,photo
5,"동해물과 백두산이 마르고 닳도록 하느님이 보우하사 우리 나라 만세

잘 써지네요.카일 백축은 처음 써 보는데, 하이힐 걷는 느낌의 도각도각 소리도 좋고, 진리의 검빨!!

디자인도 고급스럽고, 정말 예쁘네요.

기존에 앱코 무접점 키보드 사용하고 있었는데, 가끔은 심심하긴 했었거든요. 타이핑 소리가 거의 안 나서...;;

유선과 무선 혼용 사용도 가능하고, 블루투스인데 기계식이라니.. 리뷰보고 급 뽐뿌와서 구입하였는데, 정말 사용해보니 만족합니다.

단점은 스페이스바의 통울림. 하지만 의식하지 않고 타이핑하면, 느끼지는 못 합니다.

텐키리스 BT Type도 나온다면 추가로 구매할 의향이 있습니다.","['https://phinf.pstatic.net/checkout/20200927_128/1601176121255lN1r0_JPEG/review-attachment-5e4bdbc2-ceef-4ac2-889a-bb30a5d473b7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200927_261/1601176121327J77Jf_JPEG/review-attachment-2634d10a-cf34-4b24-94ef-eb462ffe9da0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200927_215/16011761213124WzfQ_JPEG/review-attachment-51e7b095-ccc1-4b46-9269-0535edc73d50.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200927_161/1601176153403Gbuvb_JPEG/review-attachment-bb954019-0de4-43cd-b39b-d02e75d5ef08.jpeg?type=f287']"
5,"첫 기계식 키보드 입문으로 체리 청축을 사고 싶었는데... 블루투스를 사야만 하다보니 선택의 폭이 별로 크지 않더라구요. 체리 청축 못지 않게 타건감 좋다는 카일백축으로 보다가 선택을 했는데... 완전 만족해요.- 타건감 : 쫀득쫀득한 손끝의 느낌에다가, 타건 소리도 따각따각하는게 느낌이 너무 좋아요. 아.... 키보드 느낌이 좋아서 리뷰평을 더 길게 쓰고 싶구나.... ㅎㅎ 다만, 조용한 사무실에서 쓰기에는 나에게 너무나 쫀득쫀득한 타건 소리가 다른 사람들에게는 소음이 될 수 있으니 유의해주세요~~- 블루투스 : 유선 1개연결 + 블투 3개 연결하여 총 4대의 기기를 쓸수 있고... 기기간 전환도 2초 정도라 나쁘지 않네요. 지금도 스마트폰 연결로 구매평 쓰고 있는 중... ㅋㅋㅋ너무 싼거 사도 후회하는 경우가 많다고 하고... 첨부터 수십만원의 고급기기를 사기 보다는 적당한 가격대로 고르려고 했는데, 이만하면 가성비도 충분하다고 생각해요.",[]
4,"사무실에서 흑축만 쓰다가 적축은 처음 사봤는데, 적축도 나름의 맛이 있네요.
기존의 키보드랑 배열이 조금 다른면도 특이하고, 텐키리스가 아니지만 조금 작아보이는 것도 마음에 드네요.
무엇보다 처음에 살때 고려하지 않았지만, 멀티기기에 연결이 가능한 면도 마음에 드네요.

무언가 묵직한게 견고해 보여서 좋아요.
단, 조금 더 기계식 키보드의 맛을 느끼고 싶은 분은 다른 축을 사셔도 좋을 거 같네요.","['https://phinf.pstatic.net/checkout/20200915_139/16001773453663zqcf_JPEG/review-attachment-c0ffbace-35c7-4df0-839f-76e480431e66.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200915_73/1600177345424D97DG_JPEG/review-attachment-f078c664-e742-47fd-b470-c536ce0d68f6.jpeg?type=f287']"
4,일단 기존에 키보드가 짱짱했음에도 교체한 이유는무선으로 갤럭시 탭에서 키보드를 사용하다가 데스크탑 사용하다가 왔다갔다 하고싶었는데휴대용 갤럭시탭 전용 키보드하고 공간이 겹쳐서 작업하기 불변했음그래서 게이밍키보드에 무선 연결이 되는 제품을 찾은건데 휴대용에만 집중되어있는 경량형 소형 키보드 뿐이라 아쉬웠는데 애는 그래도 좀 커서 샀는데 한글 변환위치가 많이 아쉬웠고 스페이스가 쓸대없이 큰것같음 블루투스 모델은 뒤에 화려한 조명이 없음 근데 어차피 그거 필요없어서 아쉽지는 않았고 갈축샀는데 솔직히 16년도에 샀던 저 앱코 k600이 더 좋았는데 이건 솔직히 10만원까지는 아닌것같음 12만원짜리 키보드인데 싸구려 플라스틱 마감 살벌합니다.환불때리려다가 블루투스 되는거 많이 없어서 그냥 쓰기로함,[]
5,블루투스 기계식키보드를 찾으신다면 이거예요!디자인도 너무이쁘고 블투 너무 잘 되고 좋아요♡동시입력도 잘되요 단축키로 6키or무한동시입력모드설정가능!!입문자들도 부담없이 쓸 수 있습니다.서걱서걱 키감이 너무좋아서 자꾸 손이가네요 ㅋㅋ,[]
4,"고민하다 이틀 늦게 주문했습니다 고민은 배송만 늦출뿐...
키감 좋아요","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_06_0/ce3c4643-1fcf-11eb-8539-a0369ff952f4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_299/1604626285987hNXRj_JPEG/review-attachment-e0012ffb-d47d-472a-b5ba-f451dd24745b.jpeg?type=f287']"
5,"첨써보는 기계식 키보드
백축 선택 했습니다
개인사업자라 소음에 신경 안쓰는데
탁감에 상당히 만족합니다",['https://phinf.pstatic.net/checkout/20201106_234/1604633856241dFgbH_JPEG/review-attachment-921e2086-2c3f-48a1-bed5-aaddbbe1d5ba.jpeg?type=f287']
5,이벤트가 좋았고요 무접점과 광축의 중간정도인 포지션이 좋습니다. 아이들과 같이 거실에서 타자연습해요,['https://phinf.pstatic.net/checkout/20201016_226/1602835641718TL3K8_JPEG/review-attachment-a39a8706-657e-4515-80c6-2a36c2c9ccac.jpeg?type=f287']
5,"티비와 연결해서 사용하고 있습니다
처음 기계식 키보드사용하였는데 좋은타건감과 무선 이라서 입력도 잘되네요",['https://phinf.pstatic.net/checkout/20201021_62/1603285859263CbKRb_JPEG/review-attachment-830723e3-5804-48a4-b9e6-1a19d8bad57a.jpeg?type=f287']
5,"유선 상품 오배송으로 인해 조금 늦게 받았지만 빨리 대처해 주셔서 감사 합니다.
제품은 사진보다 실물이 훨씬 이쁘고 유선 청축만 써왔는데
무선이라 깔끔하고 적축은 먼가 키감이 쫀쫀한느낌이 좋네요 잘쓰겟습니다.",['https://phinf.pstatic.net/checkout/20200917_26/1600316117836Crdau_JPEG/review-attachment-88f0611a-5397-44b8-bf8e-ace32b58a526.jpeg?type=f287']
