star_point,comment,photo
5,"4.7인데 5점 줍니다.

안그래도 하얀 키보드 찾고 있었는데, 유튜브 리뷰보고 바로 사야겠다는 마음이 들었어요
하얀 키보드가 많긴한데, 요즘 게이밍은 번잡스러운것도 많고, 무엇보다 폰트가 대부분 별로였거든요

바밀로랑 레오폴드에도 하얀키보드가 있긴한데 대부분 단종됐고, 너무 색이 들어가있어서 개인적으로는 너무 아쉽던차에 딱 출시가 되서 좋았습니다.

또 AR87과 비스무리하게 생겨서 디자인도 잘 빠졌고, 윈도우 로고대신 'win'으로 글씨가 써있는 것도 괜춘하구요.

스테빌도 잘 잡혀있고(스페이스가 약간 나긴하지만 거슬리지는 않았음), 통울림도 딱히 없어서 마음에 듭니다.
크게 티는 안나지만... 옆에 led도 나름 게이밍 못지않게 감성으로 좋은것 같습니다.

정말 굳이 흠을 잡자면, 위에 언급한 스페이스바의 약간의 철심소리와 각도 조절이 안된느 부분이라 할 수 있겠네요

led가 있는 부분(튀어나온부분)이 들어갔다 나왔다 하면서 높이 조절이 된다면...? 대박이겠네요 ㅋㅋㅋ 배보다 배꼽이 더 크겠지만요..ㅋㅋ

두께에 비해 무게도 딱히 무겁다는 느낌은 들지 않았구요,
전제적으로 윤활도 잘 되있어서 10만원 이하의 텐키리스중에서는 쓸만한 쪽에 속할 것 같습니다.

단, 흰색이라 어쩔 수 없이 먼지관리나, 다른 이물질 관리는 해야할 것 같네용","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_01_0/ff41001b-ec50-11ea-8633-a0369ff94f34_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_245/15989643158331stCE_JPEG/review-attachment-f648b2d0-b1f1-4345-add0-b348ff2564c6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_300/1598964317062lPnKg_JPEG/review-attachment-507a2ec1-2ff4-456e-bbe2-7ba829b9a5e3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_287/1598964317056VoGG6_JPEG/review-attachment-fdb81963-a85d-446d-94ff-d45307db673a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_118/1598964317444T6vRG_JPEG/review-attachment-1a6a4c03-c9ba-485d-bfce-c6a0d1b831ef.jpeg?type=f287']"
5,"요란한 스위치 RGB LED가 없고, 대신 뚜껑 잡소리가 없는 체리 검은뚜껑 스위치를 채택한 점이 마음에 듭니다.
그리고, 자체경사 7도의 경우 호불호가 나뉠수 있겠지만,
일반 키보드에서 다리를 펴서 경사를 주고 사용하는 분들이라면,
키보드 하단에 공간이 뜨지 않기 때문에 더 마음에 드실거라 생각합니다.

스테빌라이저 윤활도 되어서 나오고, 키감도 준수합니다.
유일하게 아쉬운 점은 스페이스키가 좌측이 아닌 우측을 누를때,
.

그냥 쓰다가 나중에 철심 수평 잡고, 사용하던가 할 생각입니다.","['https://phinf.pstatic.net/checkout/20200822_132/1598081024080BRLLC_GIF/review-attachment-8598fc39-84e4-4726-938c-419c78d3ec47.gif?type=f287', 'https://phinf.pstatic.net/checkout/20200822_54/1598081027700Y6S26_JPEG/review-attachment-58e704cc-8fbc-4d52-a058-679a216f3bac.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_12/15980810344378IYEW_JPEG/review-attachment-81e539ca-7f8d-41bd-afb4-926da8d1bf7f.jpeg?type=f287']"
5,"adk87 에 대한 리뷰가 많이 없어서 살까 말까 고민을 많이 했습니다. 아마 adk87이 나온지 많이 되지않아 구매자가 많이 없어서 그런것 같아요. 원래 헤커 시리즈 오테뮤 적축을 썼었는데, 체리 적축을 오니 또 다른 느낌이네요. 오테뮤 적축은 약간 들어가면 먹는 느낌이 있는데 체리 적축은 그런 느낌이 많이 덜하고 무엇보다 표현을 잘 못하겠는데 굵직한 소리가 마음에 듭니다. 근데 이 제품에 대해 조금 아쉬운건, 전체적으로 스테빌 소음이 안나는건 좋아요, 전체 윤활이라고 들은거 같네요. 근데 스페이스바 오른쪽, 엔터 오른쪽이 스테빌 소음이 나요. 조금 아쉬워요. 왼쪽으로 치면 소리 굉장히 마음에 들어요! 그리고 자체경사 있는것은 통울림 줄여주고 하는것은 좋은데, 손목에 무리 갈것같아 낮춰쓰고 싶은데 원래 키보드 높이가 받침대 올린 높이와 비슷해서 조금 아쉬워요. 그래서 팜레스트 하나 주문했네요. 키보드와 함께 주신 와이어 키캡 리무버 좋아요! 근데 shift 나 스페이스바 는 어떻게 빼는지 모르겠어요. 솔도 파란색으로 오는데, 키보드 안까지 들어가서 먼지 잘 뺄수 있어서 . 전체적으로 만족스러워요. 무엇보다도 이 굵직한 소리, 그리고 .",[]
4,"아쉬운 점부터 짚어보자면, 소리가 커지는 느낌이 있습니다.
집에 체리적축 키보드 몇개 있는데, 그 중에 이게 제일 소음이 큽니다.
키보드의 아래쪽 공간이 넓어서 그런가 싶기도 하네요 (기타의 속이 비어서 치면 소리를 증폭시켜주는거랑 비슷한 느낌)
또 사이드 RGB LED는 실사용하는 사람한테는 잘 안보여서 의미가 있나 싶은 생각도 들기는 합니다.
그래서 약간 실망했는데, 예뻐서 쓰다보니 나름 매력은 있습니다.
갈축 샀다고 생각하고, 쓰는데 묘하게 적축느낌나면서 타자기 같기도 하고 은근 손이 가게되네요
청축이나 갈축처럼 걸리적 거리는 느낌은 싫고, 리니어의 깔끔함을 원하고, 경쾌한 느낌을 원한다면 이거 추천합니다.
(저같은 경우, 적축만 메인으로 쓰는데 4개중 하나 이거를 씁니다. 너무 정갈한게 질리거나 청축이 가끔 그리울때 쓰면 대체만족이 되거든요)",[]
4,"키감은 기계식이라기보다는 멤브릭같은 느낌입니다. 경쾌한느낌은 그냥적축이 나을 것같아요. 저소음 적축은 그닥 ㅎㅎㅎ
LED는 키보드 좌우하단에만 보이기때문에 있으나 마나네요. 즉 어두운곳에 키들은 볼 수 없어요. 참고하셔요. 그 외에는 만족합니다. 오래 쓸 수 있었으면 좋겠습니다.",[]
3,키감은 조용하니 좋습니다. 솔직히 rgb는 앞에서 보면 보이지도 않아서 왜 있는지 모르겠습니다. 그리고 프레임은 하얀데 자판은 살짝 누런색이여서 좀 거슬리네요. 아마 시간이 지나면 더 누래질 것 같습니다. rgb 좋아하시는 분들은 다른 키보드 추천합니다.,[]
2,"하우징 옆면에 찍힘이 있었고
내부 QC가 엉망입니다. 열어서 내부를 보려고 나사를 돌려 푸는데 나사 3개가 계속 헛돌길래 뒤집으니까 나사가 들어가는 기둥3개가 부러져 있었습니다.","['https://phinf.pstatic.net/checkout/20201111_194/1605058969293hKeGw_JPEG/review-attachment-96875e72-e1d7-4866-9b1f-029e7c899c09.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201111_269/1605058969391ekGGW_JPEG/review-attachment-7666c052-42e9-455c-9c15-c481d3f03f70.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201111_161/16050589695451uLRf_JPEG/review-attachment-7f45e197-9185-4efe-9da1-98d348a4254a.jpeg?type=f287']"
5,타건감 재밌고 사이드 rgb가 이뻐요,['https://phinf.pstatic.net/checkout/20201105_259/1604586535860gVcRw_JPEG/review-attachment-d102a4f1-c012-4973-9b1b-4061b2db7627.jpeg?type=f287']
5,타건감도 훌륭하고 무엇보다 디자인이 너무 매력적입니다.,['https://phinf.pstatic.net/checkout/20201005_295/1601908867897zedJp_PNG/review-attachment-f2000b2c-05bb-449a-b3f4-d6bb4e99ef76.png?type=f287']
5,친구 선물해줬는데 좋아해요,['https://phinf.pstatic.net/checkout/20201013_5/1602597592818Yh21w_PNG/review-attachment-e0182d7f-5e68-45f0-bac5-c2b956867e69.png?type=f287']
