star_point,comment,photo
4,앱코에서 하이엔드라는 말은 약간 어울리지 않는다만 ar87은 괜찮다. 다만 가격대가 30만원 내외 라는 점이 부담으로 다가온다. 인터넷에서는 스크래치들이 있다고 해 걱정했는데. qc 검사를 제대로 했는지 그런 스크래치가 없었다. 얼마 사용하지는 않았지만 갈축 청축과는 다른 흑축의 키감은 기분좋은 키보드 사용을 불러오는것 같다,"['https://shopping-phinf.pstatic.net/20201027_29/494324e3-d2d8-4876-b849-908668936d86.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201027_8/1fd2e2b5-5756-4980-a0e4-61f7b15986b6.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201027_10/79862602-dbe3-4c7e-b9bf-341d803819fb.jpg?type=f287']"
4,"추천하는 글, 유튜브를 보고 구매했어요 전 흑축샀는데 풀알루답게 깔끔하고 정갈해서 키감은 더 말할건 없습니다. 살짝 아쉬운건 10만원대 키보드와 비교해서 가격만큼 만족도가 비례하지는 않는다는게 아쉽습니다 또 30만원 가까이 되는 키보드가 봉인씰도 없고...반품되거나 중고나라에서 자주 보이는 제품을 구해다가 살짝 손보구 내놓지는 않나싶은 생각도 들어요.. 더 싼 10만원대에도 봉인씰이 있으니까요 전용 케이스는 좋은데 구성품이 안에서 돌고 있어서 기스날 우려도 있고, 가격에 비해 아쉬운 부분이 참 많네요 커스텀 키보드랑 비교할건 아니지만, 가격이 배로 뛰는 제품임에도 불구하고 구석인 부분의 키를 타건하면 통울림도 좀 있습니다. (유투브로 통해 보고 알긴했는데 이 비싼 키보드에도 10만원대 키보드의 문제점이 똑같이 있으니 아쉽네요) 누군가가 튜닝을 하면 더 빛을 보는 키보드라고 하던데... 돈을 더 투자할 생각하니 많이 부담되는건 사실입니다. 깔끔한 영문키캡과, 리니어계열을 좋아하시는 분들에게는 나쁘지 않다고 봅니다. 그만큼 매니아적인 키보드적인 요소가 다분한 키보드입니다 그냥 리뷰와 타건만 보고 사시려는 분은 정말 깊이 고민해보셔야할것 같아요",['https://shopping-phinf.pstatic.net/20200503_4/d15367db-87d5-4d16-aba4-24f51e8258ee.jpg?type=f287']
5,"배그하는데 청축밖에 안쓰니까
같이 하는 친구들이 소음이 너무 심하대서
적축이 소음이 적다길래
실버 적축 검색해서 들어와가지고
적축으로 산 줄 알았는데
갈축이 와서 아 잘못보고 샀네
x됬다 했었으나...
제가 생각했었던 키보드가 갈축이였네요
키보드가 무거워서 고정이 잘 되고
타건감도 너무 좋고","['https://phinf.pstatic.net/checkout/20200701_122/159355976348799Mb3_JPEG/1593559736949614857410476854596.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200701_251/1593559899254JnjrR_JPEG/15935598831447452125461740886640.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200701_220/1593559989020shXe2_JPEG/1593559974563951353891865342228.jpg?type=f287']"
4,묵직하네요. 역시 스테빌쪽 촬촬거리는 소리가 납니다. USB C 꽂는 곳이 약간 유격이 있습니다. 체리 MX BOARD 3.0처럼 플라스틱 부분까지 조금 더 들어가게 설계되면 더 좋을 것 같고요. 색상은 다크그레이라기보다는 약간 푸른 빛이 도는 은회색입니다. 그렇게 어둡지 않습니다. 옆에서 봤을 때 상판 하판 색상차가 있습니다. 하판쪽이 펄이 더 들어간 느낌입니다. 개인적으로 키캡의 글씨체가 그다지 멋스럽지가 않습니다. 영문만 있는데도 정돈되거나 고급스러워 보이지가 않네요. 글씨체도 그렇고 글씨 크기가 너무 큰것 같네요. 전반적인 키감 등은 훌륭합니다. 너무 비싸서 별 하나 뺍니다.,['https://phinf.pstatic.net/checkout/20200623_245/1592912443114O4DuN_JPEG/20200623_204028.jpg?type=f287']
4,"제가 갈축을 주문했는데 흑축이 왔어요 박스 보니까 정면엔 흑축 체크돼있고 옆면은 갈축, 다크그레이 맞게 체크 돼있어서 기분 나쁠라 그랬는데 흑축 처음 만져봤는데 완전 취향이라 그냥 쓰려고요ㅋㅋ 의도치 않게 키보드 취향 찾음; 그래도 원하던게 온건 아니니까 별점은 4점 배송실수 주의해주세요","['https://phinf.pstatic.net/checkout/20201117_24/1605599528624f3Lu6_JPEG/review-attachment-fa72413f-b152-47b2-82ed-1eda3e424871.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201117_278/1605599550394iGYDK_JPEG/review-attachment-b85c5e0e-aaec-4c53-a48f-66bee3f86850.jpeg?type=f287']"
5,"와....오늘 집에와서 물건 개봉하자마자
컴퓨터 연결해서 사용하고 있는데 이건 그냥 신세계에요....
기존에 레이저 헌츠맨 엘리트 광축이랑 리얼포스 1세대 사용중인데
그 둘도 좋지만 AR87은 그 색이 뚜렷하게 확실히 좋습니다.
풀알루의 묵직함과, 저소음 적축의 정숙함이 잘 조화되어
엄청난 만족감을 줍니다. 비싸지만 비싼 값을 하는 아이에요.
고민중이신 분들은 고민하실 필요 없이 구매하시면 됩니다.
구매는 배송을 늦출 뿐입니다.",['https://phinf.pstatic.net/checkout/20201121_138/1605893087607CnK6o_JPEG/review-attachment-2dbc45bd-9baf-493b-ab28-2c4a7686ebe6.jpeg?type=f287']
5,"풀알루 적축은 사용해봤지만 업무상 저소음 적축이 필요해서
여러브랜드들을 고민하다가 풀알루도 저적으로 한번 써보고 싶어서 구매했습니다. 기본키캡은 심심해서 레오폴드 키캡으로 바꿔끼웠더니
타건감도 좋고 장말 풀알루만의 단단함을 느낄 수 있네요. 강추합니다.",['https://phinf.pstatic.net/checkout/20201116_196/1605501572491wnSai_JPEG/review-attachment-e9a0393c-a135-43f8-a441-34ac973eb5ca.jpeg?type=f287']
5,"가격이 부담됬지만 그렇게 좋다길래 구매했습니다
풀알류라 리니어축이 어울린다는말이 써보니 알겠네요 기성품 제품중 최고수준입니다
마감도 생각보다 괜찮고 풀알류라 묵직한게 내구성도 좋아서 게임하다 빡쳐서 샷건치다간 제 손이 아작날거같네요
기존엔 레폴 갈축쓰고있었는데 이걸 써보니 갈축 제품도 사고싶어지네요
한가지 아쉬운점은 키캡 퀄리티가 아쉽네요 이건 어쩌피 키캡놀이할거라 바꿀거지만","['https://phinf.pstatic.net/checkout/20200130_200/1580347664419INg08_JPEG/IMG_20200130_1026424.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200130_64/1580347664987gPigt_JPEG/IMG_20200130_1026325.jpg?type=f287']"
5,생각보다 많이 무거워서 안정감 있고 좋습니다. 앱코만 3번째입니다. 만듦새가 항상 아쉬워서 레오폴드등 다른제품으로 넘어간 상태였는데 확실히 본제품은 프리미엄 라인이다 보니 만듦새도 좋습니다. 서걱거리는 키감이 일품이네용,['https://phinf.pstatic.net/checkout/20201028_13/1603879454020cusNV_JPEG/review-attachment-ba8b4096-1b02-4de6-89b0-78011ac3c270.jpeg?type=f287']
4,"1. 생각보다 엄청나게 무거움. 어지간한 17인치 노트북을 한손으로 들때보다도 더 무거운 느낌. 이건 장점이자 단점. 무거워서 키보드가 밀리거나 움직거리지 않기 때문에 안정감이 엄청남. 대신 휴대가 불가능한 수준으로 무거움.

2. 타건 시 소음은 생각보다 큼. 갈축이 원래 소음이 큰 편은 아닌데 체감상 하우징에 키캡이 닿을 때 나는 소리가 플라스틱 하우징보다 크게 들리는 느낌. 빠르게 타자를 치면 다가가각 거리는 소리가 잘 들려서 회사에서 사용하면 예민한 사람은 싫어할 듯.

대체적으로 만족함. 다만 일부 스태빌라이저의 동작이 충분히 매끄럽게 느껴지지 않아서 어차피 비싼 키보드 산김에 공방에 윤활까지 맡겨볼까 생각이 들고 있음.",[]
