star_point,comment,photo
5,키보드 깔금하고 좋아요~ 1. 노트북에 사용할려고 구매하게 되었습니다... abko 키보트 k1000 / ncore nc30입니다. 2. 노트북에 연결해 보았습니다. 키보드 불빛 보이시나여? 겁나게 이뻐요.. 조명이 밝아서 사진상 안보이지만 실제로 보면 이뻐요..LED튜닝 효과가 있는데 너무 지원하는게 많아서 어떤걸 설정해야할지 모를지경이군요..키보드 교체할수 있는 핀(리무버?)을 주긴하는데 교체할수 없으니까 패스~~그러나 키보드 사이사이 먼지들 끼시져? 그거 털수 있는 붓을준답니다.. 사진상에 안나왔지만 허접한 붓 아닙니다~~제가 노트북받침대를 사기전 다나와에서 구매평을 봤는데(그래놓고 요기서 샀습니다 ㅋㅋ) 1. 노트북쿨링 효과 없다.. 2. 손을 대봐도 바람을 못느낄정도라.. 하는글을 읽었는데.. 노트북사용중에(바닥을 손바닥 대보니 미지근합니다~~) .... 노트북쿨러 ncore nc30위에 올려놓고 불과 10분후에 노트북뒤를 만져보니 온도가 조금 내려갔습니다.손바닥을 직접 대보았더니 바람이 느껴집니다..도대체 않좋은 구매평은 뭔지.. 전 매우좋았습니다.. abko 제품이 . 키보드 쳐보니 굿입니다.. led도 좋고.. 제일 좋은건 가성비입니다.. 데스크탑에는 일반 키보드 쓰고있는데 하나더 장만해야겠습니다,"['https://phinf.pstatic.net/checkout/20181107_167/1541572042520lqHKi_JPEG/KakaoTalk_20181107_151356082.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181107_111/1541572251657RvEgO_JPEG/KakaoTalk_20181107_151354459.jpg?type=f287']"
5,"내가 키보드 주문했나..?라고 생각할 때쯤 누군가 문을 똑똑 두들겼습니다. '뭐지? 택배 시킨 거 없는데..'라고 생각하던 순간.. 아 키보드.... 라는 생각이 들었습니다.가성비 좋다고 소문난 앱코 HACKER K1000 키보드가 왔구나. 포장이 잘 되어 있던 키보드를 처음 본 순간 '아 이거다..'라는 생각이 들었습니다.그렇습니다. 이 키보드는 최고의 가성비 제품이며 키보드를 누를 때마다 착착 거리는 이 소리.. 마치 유튜브에서 '키보드 ASMR'을 틀어놓은 듯한 이 사운드... 뭐랄까 마음이 차분해집니다. 또한 이 키보드에는 다X소에 존재하는 키보드와는 달리 F1~F12에 모니터, 돋보기, 계산기 등등 매우 편리한 단축키가 존재하며 이 완벽한 배열.. 감히 말로 표현할 수 없는 키보드입니다. 적극 추천합니다. 구매를 망설인다면 그건 시간 낭비입니다. 당장 구매하십시요.",['https://shopping-phinf.pstatic.net/20190217_7/978e4671-e0e7-4566-b4be-a858084cf7d0.jpg?type=f287']
5,화이트에 레인보우 색상. 엄청 화려하네요. 기계식 자판이라 타자치는 기분이 또 새롭구요. 지루하지 않게 led 색상 종류도 다양하고 필요한 키만 지정해서 불빛 들어오게 할수 있어 밤에 전등 오프하고도 키 찾느라 고생 안하네요 ㅎ 좋습니다.단점은..화이트라 손때 묻을까봐 매번 닦아주며 쓴다는정도?,"['https://shopping-phinf.pstatic.net/20190627_26/2f1ac069-64bd-4f03-b93f-d2b365d5b5d3.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_11/ec31028c-0bfb-4dfb-b41b-a02178bec889.jpg?type=f287']"
5,\ 기존에는 블루투스 키보드를 사용하였습니다. 하지만 하루에 6~7시간 가량 타이핑을 해야하는 직업을 가지고 있었어 손가락과 손목에 피로도가 너무 쌓여서 방법을 찾던중에 아는분이 기계식 키보드를 추천해주셔서 피씨방으로 달려가 사용해보았습니다. 그리고 가장 마음에 드는 타격감을 가지고 있던 해커스 K1000으로 와이프꺼랑 구매했습니다. 와이프도 아주 마음에 들어하니 저도 기분이 좋습니다. 청축이라 걱정 많이 했는데 그리 소리 크지 않습니다. 아주 기분이 좋은 정도의 딸깍거림이라고 해야할까...예전 타자기 소리가 생각나는 아주 경쾌한 소리입니다. 또한 장시간 타이핑해도 손가락에 피로도가 적고 손목도 덜 아프네요. 다만 스페이스키가 조금 아픈게 단점이라고 할까... 그리고 택배기사분....아무런 연락이나 메세지도 없이 아파트 경비실에 던져놓고 가셨던데...키보드만 기다리고 있다가 아무런 연락이 없어서 확인해보니 하루전에 경비실에 던져놓고 가셨더라구요...이거만 빼면 .,[]
5,K1000 키보드 정말 맘에 드는 제품!! 키보드 기계식 쓰다가 버튼이 안눌려 너무 오래사용햇다 싶어 장만한K1000 지금 구입후 쓰고있는데 역시 너무 타격감이 시원하네요. LED도 이쁘고.총알배송까지 3박자가 최고인 판매자회사인듯 합니다.정말 잘사용하고 사업 번창하세요!!,"['https://phinf.pstatic.net/checkout/20181018_12/1539838469300Af2AD_JPEG/20181018_133537.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181018_170/1539838469487ATD5N_JPEG/20181018_134003.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181018_293/1539838469665H0Fsh_JPEG/20181018_134011.jpg?type=f287']"
5,일단 패드는 부드러운 감이 있는데 기존에 쓰는 장패드보다 더 마우스속도가 빨리지는것 같아서 매우 좋았습니다. 해커k1000의 경우 오테뮤축이 타격감은 처음 써보는데 이 가격대치고는 나쁘지 않았습니다. 전체적으로 배송도 빨랐고 좋았습니다!,"['https://phinf.pstatic.net/checkout/20190217_222/1550398777474GTPmN_JPEG/KakaoTalk_20190217_191743592.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190217_23/15503987777320Hzr5_JPEG/KakaoTalk_20190217_191745935.jpg?type=f287']"
4,전반적으로 상품은 괜찮지만 스마트 배송이라길래 아주 빨리 올 줄 알았는데 평일인데도 불구하고 3일만에 왔네요. 그렇지만 배송은 뒤로 하고 솔직한 상품평을 해드리겠습니다. 일단 타건감은 10점 만점 중에 10점 입니다. 소리는 물론 청축이니까 조금 큰 편이고요. (음성채팅 할 때도 키보드 소리가 들리는 것 참고 하시고 구매하세요)디자인은 10점 만점 중에 9점입니다. 실제 제품을 받아보니 영어가 한글보다 조금 더 많이 크고요. 구성품은 10점 만점 중에 10점입니다. 이 정도 가격에 이런 구성품+장패드라면 누구나 만족할 것 같습니다. 총평은 100점만점에 97점입니다. 개인적으로 좋다고 생각합니다. 번창하세요,"['https://shopping-phinf.pstatic.net/20190625_17/7b628118-3102-4f02-a66a-4b50bf7e7cc1.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190625_29/7da52800-d0f5-4301-bdde-096c4471d33e.jpg?type=f287']"
5,우왕 좋습니다가격대비 짱입니다고등학생 아들이 아주 좋다고 흡족해합니다디자인도 예쁘고 키보드 소리도 날렵합니다마우스도 같이 구매했는데 그립감 넘 좋습니다 쓰던게 고장이 안나서 오랫동안 졸라서 사줬는데 좋아하는 모습보니 잘한것 같아요 잘쓰겠습니다~,['https://phinf.pstatic.net/checkout/20190226_6/1551161405414rzLWu_JPEG/20190226_150807.jpg?type=f287']
5,제품 꼼꼼하게 포장되어 잘도착했습니다 배송도 빠르구요컴에 연결해보니 색도 이쁘고 완전 피시방 느낌납니다맑고 고운소리 ㅋ그리고 키스위치 교체키트까지 주네요 나중에 키 고장나면 키만사서 교체해야겠어요잘사용하겠습니다단점으로 한가지 적자면 엔터를 누르거나 키보드 자판치면 스프링? 울림이 좀 있습니다 너무 거슬리지는 않지만 소리에 예민한 분은 생각을 좀더하시고 구매를 하셔야할듯해요그래도 가격대비 최고인것같아요,[]
5,"기계식 키보드를 처음 사용해보는데, 정말 마음에 듭니다. 청축이라서 그런지 소리가 좀 시끄럽기는 합니다. 그러나 착착 때리면 소리로 반응해주니 정말 뭘하고 있구나 하는 느낌입니다. 그 옛날 옛적 타자기를 배우던 시절이 다시 생각났습니다. 구매하셔도 절대 후회하지 않을 거라 생각됩니다.",[]
