star_point,comment,photo
3,"일단 난 어른이고, 내가 쓸려고 샀음. 하지만 추천한다면 제목대로 이제 막 게임좀 하기 시작해서 대충 RGB뽕에 기계식 같은 키감 느끼고 싶어하는초딩들에게 사주면 아주 좋아할 키보드고 돈아깝지 않을것 같음.... (사실 요즘 초딩들도 피시방을 잘 가기 때문에 키보들를 따지자고 하면 이게 뭐야 할 키보드.)사무용으로 쓸려고 해도 나쁘지 않음.지나가던 사람들이 활려한 RGB에 가던길을 멈추고 키보드 뭐냐고 묻는 질문들과 점잖지 못하게 시리 라는 눈길은 자신이 감당해야함.요즘은 사무실에서도 RGB가 흔하게 보이긴 하던데 ㅋㅋ여튼 키감 좋고 가격좋고... 차라리 원톤의 깔끔한 흰색 백라이트였다면 더 좋았을듯... 추천여부에 보통을 찍은건 화려한 RGB백라이트와 키배열중 방향키 위쪽에 몰려있는 모든 키들때문에... insert, home, pageup버튼의 오타 유발로 인한 추천은 못하겠음. 어느날 누군가 나에게 텐키리스인데 멤브레인이고 가격이 싼 키보드가 있냐고 묻거든.... 이 키보드와 큐센의 멤브레인 텐키리스가 있다고 답변은 해드리리...",[]
5,키보드 진짜 가성비갑이고 크기도 작아서 공간활용도 너무좋아요 처음에는 크기가 작다길래 자판하나하나가 작아진건가했는데 나머지 자판은 그대로고 우측의 넘버키만 빠진거였어요 지금 몇달간 사용중인데 앞으로 또 구매할 의향 100퍼센트있고요 너무좋아요 강추할게요,"['https://phinf.pstatic.net/checkout/20200822_18/15980780965182omps_JPEG/review-attachment-9efe30a8-bbf9-4a3a-bcf0-d972d9a1a780.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_134/1598078127749jeAlD_JPEG/review-attachment-9fb96181-d482-4d06-abcc-973458e9620d.jpeg?type=f287']"
5,"잘 받았습니다.
몇년간 기계식만 사용하다가 오랜만에 멤브레인 사용해보는데 생각보다 키감이 좋습니다. 부드럽고 조용하고 맘에 듭니다. 저렴한 가격에 텐키리스라 사용성도 좋습니다. 다만 led 때문인지 영어와 한글의 위치가 일반적인 배치와 달라서 가끔 자판 확인할때 헷갈리는 점이 있습니다. 그것만 익숙해지면 이 가격에 정말 좋은 키보드라 생각됩니다. 만족합니다.",['https://phinf.pstatic.net/checkout/20201119_229/1605770399986vieQk_JPEG/review-attachment-6d84c452-2142-4858-9ed2-057ba181cf2d.jpeg?type=f287']
3,"총평-기계식 시끄러워서 싫은데 텐키리스 필요하다 그럼 사서쓰세요
-------------------------------------------------------
가격5점-사실 만원대 텐키리스가 없음!

성능4점-아직까지 키가안먹는다거나 동시입력씹힘 발견안됨

마감처리2점-하판 안쪽이 어찌됐는지몰라도 사이드쪽에 한쪽은다 닫히고 한쪽은 다 안닫히고 밖으로 튀어나와서 떠있음 바닥에 놓고 쓸때 끄덕거리지않아서 걍

키배열2점-걍 평키로나왔으면......이상한 굴곡 높은 하단키배열때문에 아주가끔 키 잘못짚음

색감기타등등3점-led만땅올려도 어두운편이고 원래 각인은 괜찮은데 한글은 위에 그냥 덮은거에 노코팅이라 틀만에 asdw 때탐 ㅋㅋㅋ

어차피 수입해서 유통만하는거일텐데 그래도 걍 써봄",[]
5,"가성비 좋고요, 키감은 우리가 다들 알고 익숙한 멤브레인인데, 뭔가 더 부드럽게 잘 눌러지는 느낌이랄까? 그 전에 쓰던 멤브레인 키보드가 너무 후졌던건지? 멤브레인이라 소리도 조용하고, 암튼 만족하고 있어요. led도 괜찮고, 키보드 밑에 미끄럼방지도 있고, 디자인도 텐키리스라 공간활용에도 좋습니다. 저는 노트북 키보드 위에 놓고 쓰고 있네요.",['https://phinf.pstatic.net/checkout/20200826_186/15983754433263ESPy_JPEG/review-attachment-ed08403d-2094-4e60-a37a-a051f8972d6b.jpeg?type=f287']
5,"배송은 빠르고요,,,, 아래쪽 키라인 즉, ctrl, alt...라인이 좀 높게 솟아있어서 쌩뚱 맞습니다.
키보드에 새겨진 글자들이 많이 어둡습니다.
키감은 좋습니다.
키보드의 외곽 케이스가 약간 피라피드 처럼 위로 좁아지는 형태라 두 손으로 양쪽을 눌러서 들다가 미끄러져 떨어뜨릴 가능성이 높습니다.",['https://phinf.pstatic.net/checkout/20200820_42/15978825339284QgTk_JPEG/review-attachment-61d4459b-7d93-4428-b89a-2cfe042c3b7c.jpeg?type=f287']
5,"배송빠르고 좋아요!
저희집 컴퓨터책상이..그 옛날 키보드 넣는 곳따로잇는 건데

거기에 키보드랑 마우스 같이두려니 원래쓰던 키보드는 길어서 안되겟더라구요
그래서 사봣는데 넘나만족!!

다만 아쉬운건 커버가 없는게좀 아쉬워요

그리고 예전에쓰던 LED 키보드는
컴퓨터 전원을 꺼도 LED가 안꺼졌는데 이거는 꺼져서 좋네요 (제가 설정을 이상하게 했던건지는 모름)",['https://phinf.pstatic.net/checkout/20200710_74/1594371959730C5KCU_JPEG/review-attachment-3b8c1f92-756c-436a-9b24-126a78ddca01.jpeg?type=f287']
5,"생각보다는 조용하지는 않네요 타건시 소음은 일반 적축이랑 비슷
키높이 타건감 외관모두 영락없는 기계식키보드구요
팔다 남은 기계식키보드 금형으로 재고소진 떨이하려고
싼마이 멤브레인으로 느낌입니다 하지만 이 가격이 다 용서가 되죠
동시입력 5키이상 잘먹고 10만원이하 어중간한 기계식사느니 이걸 사는게ㅎ",['https://phinf.pstatic.net/checkout/20200727_173/159577684561242cYq_JPEG/review-attachment-9464834a-9659-4253-be25-9bcc522c1d87.jpeg?type=f287']
5,"퀄리티는 좀떨어지는 편인거같지만
가격을 생각한다면 김혜자선생님이 울고가실듯 ㄷ;

어떤기계식키보드보다 조용한것 같은 저소음 마음에듭니다.

텐키리스는 처음이라 약간 불편하지만 곧익숙해 질것 같아요
공간확보는 확실히 넓어져서 좋습니다.

저렴한 저소음 게이밍키보드 추천드립니다",[]
5,"가성비 최고인 제품입니다. 키보드의 전반적인 분위기는 기존에 초록색 LED를 띄고 있던 DT 시리즈와 같습니다. 다만 앱코의 제품인 경우 R G B LED 그라데이션을 적절하게 사용하여 단순하기보단 화려한 분위기를 뛰웁니다. 키 걸림은 저가형 멤브레인인 만큼 약간 있지만, 반응속도는 기계식과 비슷한 속도를 보입니다. 매우 좋습니다.",['https://phinf.pstatic.net/checkout/20200629_99/1593423672671a0Mrv_JPEG/20200629_184103.jpg?type=f287']
