star_point,comment,photo
4,"1. 이건 유사 기계식 키보드라고 불러야 할까요 ㅎ 저렴한 멤브레인만 써오다가 기계식도 아닌 플런저 키보드는 처음 사용해 보는데요. LED 기능도 있고 생각보다 저렴해서 구매. 기존 TG 키보드는 물 한 번 엎질렀더니 그대로 사망 ㅠ 생활방수 기능도 있고 기계식 느낌도 받고 싶어서 구매했는데, 기존 멤브레인에 익숙해서 그런지 아직은 적응중이네요.2. 일단 타자시 소음이 있어서 적응이 잘 안되지만, 키보드 자체는 무게감 있고 키감도 나쁘진 않아요. 다만, 지금 사용 한달 되었는데 키 하나가 말썽을 일으켰네요 ㅠ 내구성은 좀 약한 것 아닌가 싶습니다. 아쉬운 부분이네요.3. 디자인도 깔끔한 편이고. LED는 고정으로 3가지 패턴으로 켤수 있습니다.4. USB 케이블 선이 노이즈 필터도 있고 좋습니다.","['https://shopping-phinf.pstatic.net/20191208_3/2af83aaa-9a38-46ff-8908-605aec35086e.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191208_18/f13d5277-ecdc-47b7-adfb-953872055bfc.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191208_28/7a87d7ab-129d-4a5b-84bd-2d52500c75a0.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191208_8/c6897bd0-cd9f-46c1-9c08-a27f2f030a0e.jpg?type=f287']"
4,친구 생일 선물로 구매하였어요 코로나19로 벌써 몇개월째 갇혀지내다시피 생활하면서 노트북으로 게임좀 했더니 자판도 나가고 메인보드도 나가서 친구가 속상해 하더라구요 곧 돌아오는 친구 생일선물로 이게 적당할거같아 선택했는데 배송비가 있어서 부담스럽네요. 키보드는 친구가 좋아하네요 pc방에서 많이 사용하는 키보드라 훨씬 좋은 제품들도 많지만 가성비를 따져보고 서로 부담스럽지 않은 부분에서는 괜찮은거 같아요,"['https://shopping-phinf.pstatic.net/20200517_15/29f2e64f-105b-43df-9384-21915ae55fa6.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200517_13/8ee32982-ea5d-4280-bf7c-a21b1b8e4750.jpg?type=f287']"
5,막 쓸 용으로 하나 장만했습니다. 배송도 빠르고 말해뭐해 가성비 끝판왕 키보드죠. 아쉬운 점은 키감이 경쾌한 맛이 없어 시원찮지만 오히려 쫀득한 걸 좋아하는 분들은 더 맘에 들어하실 듯. 고민할 시간에 그냥 빨리 사고 오늘 저녁 뭐 먹을까 고민하는 게 현명한 선택입니다.,['https://phinf.pstatic.net/checkout/20201024_12/1603501566348t8fmb_JPEG/review-attachment-1b7796ae-950d-4ed3-926b-26086022b7b1.jpeg?type=f287']
5,배송 빠르고 우체국 택배라 더할나위 없습니다. 근데 제품 퀄리티가.. 플런저축 좋아하는데 그닥 권하고픈 타건감은 아니네요^^;; 확실히 싼티가 나고 여러모로 아쉽습니다. 그런데 구성품이 푸짐하고 led가 이쁘게 들어옵니다. 가격대비 구성품 푸짐함은 괜찮습니다.,[]
1,"일단 처음에 포장이 뭔가 다시 뜯었다가 넣은 것 같아서 기분이 좀 그랬는데요, 쓰다보니 책상에 검은 줄이 계속 생기길래 뭔가 했더니 키보드에 달려있는 고무에서 계속 검은 줄이 생기는 거였습니다.원래 이런 리뷰 잘 안쓰는데 좀 화가 나고요. 뭐 고무를 뺄 수도 없고.. 상자는 이미 버려서 반품도 못하고요.내가 도장을 산건지 키보드를 산건지.검은 줄 잘 지워지지도 않아서 큰일입니다.그리고 예전에 이거같은 플런저 키보드 이 회사 제품으로 샀었는데 거기에는 키보드 청소 솔이 들어있더니 이건 없네요?근데 있었어도 그 솔로 이 검은 줄 청소는 못했겠네요.이만원 그냥 버렸다 치려고 해도 책상에까지 지저분한 줄이 생기니 매우 기분이 좋지 않습니다.","['https://phinf.pstatic.net/checkout/20190313_211/1552453883500OKswc_JPEG/KakaoTalk_20190313_141026614.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190313_284/1552454128728PVSXq_JPEG/KakaoTalk_20190313_141501973.jpg?type=f287']"
5,"색상도 타자칠때 느낌도 너무 좋네요
가격이 저렴해서 기대를 많이 안 했는데 ...
완전 가성비 좋아요.
개인적으로 키보드는 타자 칠때 느낌이 가장 중요한데
정말 괜찮아요 ~
가격이 싸서 좀 걱정했는데 ..
빛도 많이 파세요 ~^^",[]
4,버튼이 한개 불량인듯 한번 입력하면 키가 어중간하게 반쯤 들어갔다가 꽂혀서 잘 안나옵니다만 잘 안쓰는 키인데다 키보드는 이런 불량을 간혹 본 일이 있어서 그냥 쓰기로 했습니다. 그 외에 LED는 상당히 마음에 듭니다. 가성비 괜찮아요.,[]
4,"가성비 최고! 전에 쓰던 로지텍 무선 멤브레인 키보드 보다 소리가 저음으로 나서 오히려 조용하게 느껴져요. 기대했던 것 보다 조용하고, 타자감이 괜찮네요. 청축의 찰칵거리는 아주 가벼운 느낌이 아니라 적당히 무거운 느낌의 사용감입니다. 키보드 자체도 무거운편이라 제자리에 고정되는 느낌이 좋아요. 그런데 키보드 아래 고무에서 까만게 묻어나와서 책상을 더럽힙니다... 키보드 양쪽 아래 부분이 다 사진처럼 묻어나요. 알콜스왑으로 닦아주면 없어지지만, 무의식적으로 키보드를 밀면 바로 묻어나와서 굊장히 불편해요. 이부분을 제외하면 가성비 최고인것같습니다!","['https://phinf.pstatic.net/checkout/20190324_69/15534303570358omgC_JPEG/KakaoTalk_20190324_212454509.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190324_98/15534303571804kYuY_JPEG/KakaoTalk_20190324_212152787.jpg?type=f287']"
3,". 사이즈 - 사이트 설명과 동일
2. 디자인 - 사이트 설명과 동일
3. 배   송 - 구매일 기준 익일후 도착
4. 퀄리티 - 한 달 사용후 리뷰 가능
5. 성 능 - 한 달 사용후 리뷰 가능
6. 설 치 - 관련없음
가성비 - ●●●○○
가심비 - ●●●○○
* 총 평
한가지 확실히 얘기할 수 있는 것은 정말 무겁다는 사실~","['https://phinf.pstatic.net/checkout/20200820_275/1597926108017ejChQ_JPEG/review-attachment-f7c5ee8f-834c-4a2e-a67a-29319a1dfff4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_33/1597926108203qSYz2_JPEG/review-attachment-27a62846-2b7e-44f9-95e4-cd9318e035d6.jpeg?type=f287']"
4,"일단 튕기는 소리 안나서 좋아요
본체의 무게나 재질이 가성비 굿입니다
비싸보여요 ㅋㅋㅋ
싸구려 틱틱탁탁 소리안나요(묵직)
키감은 개인차겠지만 나름 맘에 들어요 숵걱숵걱 소리같달까 기계식찾는분에겐 비추
나름쫀독하고 타자느린분들께 추천 손목 좀 무리갈수도",['https://phinf.pstatic.net/checkout/20200110_192/1578619276500bdCa5_JPEG/image.jpg?type=f287']
