star_point,comment,photo
4,"솔직하게 사용성에 기인하여 써봅니다.

배송은 진짜 빠릅니다. 주문부터 수령까지 만 하루 걸렸네요~
제품은 가격대만큼 합니다. 높은 퀄리티를 생각하시기 보단, 텐키리스가 어떤느낌인가에 대하여 초점을 맞추고 구매하시면 편하실 듯 합니다.
확실히 풀 사이즈 키보드 보단, 공간 활용성도 크고, 왼손잡이로서 이러한 특징이 더 잘 살아나서 유용합니다.

키보드 자체에 대해서는,
통울림 있습니다. 꽤 느껴집니다.
스위치 스프링 울림 좀 있습니다만, 통울림을 잡으시면 스프링 소리는 덜 신경 쓰일 듯 합니다.
마감 자체는 나쁘지 않습니다. 스테빌라이져가 생각보다 견고하고 동작성이 확실하여 놀랬네요. 이 가격대에선 보기힘든 저세상 스테빌입니다.

하판의 가운데가 조금 휘어져 있으나, 바닥에 딱 붙어줘서 의도한 바인가 싶습니다.

적축으로 하였는데 생각보다 힘을 약하게 누르고 타건하면 그렇게까지 신경 쓸 정도는 아닌 소리가 납니다. 그래도 세게 치면 건 매한가지네요. 아마도 키캡이나 통에서 울리는 거 같습니다.

그래도 적축 처음 써보는 입장으로서, 키 감이 생각보다 쫀득하여 중독성있게 사용중입니다.


싼맛에 텐키리스, 그리고 소리에 덜 민감하게 기계식을 써보고 싶으시다면 이 녀석 나쁘지 않습니다.","['https://phinf.pstatic.net/checkout/20200204_71/1580802191326rnX0n_JPEG/KakaoTalk_20200204_164123952_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200204_163/1580802191495QuzMG_JPEG/KakaoTalk_20200204_164123952_01.jpg?type=f287']"
5,"청축의 키감과 똑딱똑딱 소리
시끄럽다 하시는 분들도 있지만 이 느낌에 청축 쓰는것 아니겠습니까?
해피해킹까지 써 봤습니다.
분명 부족함이 있지만 이 가격에 이런 품질 쉽지 않을겁니다.
만족합니다.
한가지 아쉬운갓은 키보드 덥개가 있었으면 하네요","['https://phinf.pstatic.net/checkout/20200721_170/1595330449709a8dvK_JPEG/review-attachment-70dcc4f0-7f55-4ec9-a3aa-ba2e51c87924.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200721_298/1595330460443LqMY3_JPEG/review-attachment-6efe685c-1a5b-4848-adfb-f6317163045d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200721_123/15953304606865aE0g_JPEG/review-attachment-b0667f17-bb4a-4bb4-bf26-128284dcee21.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200721_183/1595330460854Gi0vF_JPEG/review-attachment-fc9c6033-2e63-442a-8540-ebb3b8636e33.jpeg?type=f287']"
5,"가성비 좋은 기계식 키보드.
아쉬운점이 많지만 저렴한거 하나로 모든에 커버됨.

연결시 pnp안되서 재부팅 해야할 수 있음.
케이블이 고무임.(직조 케이블은 고급형에서나 볼 수 있다.)
금속 상판이 없다.(타이핑 안정성이 떨어지고 플라스틱 몸체의 울림소리가남. 하지만 금속 상판은 비싸다)","['https://phinf.pstatic.net/checkout/20200820_297/1597891730669J5o5q_JPEG/review-attachment-8dec5409-4804-411f-ba75-1e9115b85f4d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_223/1597891730425WAq75_JPEG/review-attachment-7d9c1f62-c6ab-4358-9379-8a4863412824.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_19/1597891730990mr1ny_JPEG/review-attachment-b8938157-b676-4388-8796-170964450b8c.jpeg?type=f287']"
4,"저는 K945P 사용자 입니다. 이번에 하나더 구입한 이유는 집에서 사용하기 위해서 인데요. 945는 업무용이거든요.

먼저 기계식을 사용하는 이유는 키의 높이가 높아져 편해지면서 누르는 감촉이 좋아지기 때문이죠. 물론 개인차에 따라 다르지만 저는 90년대부터 컴퓨터를 다루던지라 기계식이 더 편합니다.

누가 텐키리스가 더 편하다고 하는데.. 그것도 개인차 입니다. 장점은 키보드와 마우스가 가까워져서 마우스를 사용하기 편해진다는게 있는데 계산식을 자주 사용한다면 텐키가 있는게 더 좋지요. 저 같은경우는 텐키에 있는 엔터를 자주 사용했는데 텐키리스로 바꾸면서 자꾸 그 엔터를 찾게 되더군요. 그래도 마우스를 자주 사용하는 편이니 만족합니다.

저는 이렇게 기계식 텐키리스를 구입하고자 마음먹고 열심히 찾아 보았는데 가격이.. 너무 비싸더군요. 거기에 딸각거림 보다는 조용한걸 원해서 무접점을 찾았더만 30만원대가 넘어갔었는데 앱코를 찾아서 가성비에서도 만족하게 되었습니다. 다만 945는 그냥 하얀색이라 회색+검정으로 키만 바꿔서 사용하는데 딱 원하는 만큼이더군요.

이번에 315를 하나더 구입한 이유는 앞에서 말한바와 같이 집에서 사용하기 때문인데 945에 만족해서 다시 가성비 좋은 앱코 키보드를 선택했습니다. 무접점은 사용해 봤고 집에서는 잘 사용하지 않는지라 이 제품(적축)을 골랐는데.. 역시 945보다는 떨어 지네요.

- 키 눌림은 저한테는 역시 부드러운 무접점이 좋습니다. 뭐.. 이것도 개인차이겠지만서두요.

- 키 표면 감촉 저는 945같은 경우는 바로 키를 바꿔버려서 어떠했는지 모르겠는데.. 바꾼 키는 부드러운 느낌이 있습니다. 그런데 315는 그냥 딱딱한 프라스틱 느낌입니다. 뭐 가격이 그러하니... 어쩔수 없겠지만서두 그닥 마음에 들지는 않습니다. 945에 교체했던 키도 5만원 넘었던듯 싶습니다.

- RGB는 왜 그런지 모르겠는데 두 제품이 다르네요? 저는 누른키만 표시되기를 원하는데 315에는 제가 못 찾는건지 모르겠지만 없습니다. 그런데 양쪽 끝에 바닥으로도 빛을 내는군요. 나름 이쁩니다. ㅎㅎ

다른것들 무한키라든가 하는건 기계식 특징이니 평가할 필요가 없겠지요. 저는 이가격에 . 딸각 거림이 좋으면 315가 좋은 선택지가 될것 같습니다. 기계식에 부드러운 키눌림을 원하면 무접점으로 넘어가는게 좋을듯 싶습니다. . ㅎㅎ",[]
4,"가격을 생각하면 좋지만 약간의 아쉬움이 있습니다.
휴대용으로 좋은듯하지만 적축이여도 앱코의 다른 적축보다 매우 시끄럽습니다. GTMX스위치인가 적용을 해서 그런 것인지 상판의 두께가 얇아서 키를 누를때 모든 키가 다 같이 울려서 그런건지 스프링 소음이 매우 심합니다.
O링 작업한 키캡으로 변경하고 스테빌라이저 윤활도 해 주었는데 소음에 변화가 없는걸 보면 스테빌 윤활 상태와 키캡의 두께는 따로 판매하는 저가형 ABS 이중사출 키캡과 비슷한것 같습니다. 키캡 안쪽을 보니 내부 빛을 받는 면이 약간 더 흰 느낌이 드는것을 봐서는 LED를 이용한 효과는 약간 더 볼수 있어보입니다.
사이드 LED는 끄고싶은데 끄는 방법을 모르겠습니다. LED 효과 변화를 FN+Pause로 하라고 되어있어서 눌렀는데 장패드에 그림이 있어서인지 변화를 잘 모르겠습니다.
키스킨이라도 씌워주면 약간의 둔탁한 느낌으로 바뀌어서 . 스프링 소리는 있지만 키스킨이 있으니 매력있는 소음이 된다고 해야할것 같습니다. 앱코에 텐키리스 키스킨 제작해주면 참 좋을듯합니다.
마감도 앱코의 키보드라는 생각이 들지 않습니다. 은근 잘되어 있습니다. K830에 비교하면 엄청나게 발전했습니다. 방향키 위에 LED 상태 표시해 주는게 있어서 참 좋습니다.

장점 : 은근 좋은 키캡, 가격치고 잘된 스테빌 윤활, 가벼운 무게로 휴대 편함, 가격치고 좋은 마감
단점 : 스프링 소음, 사이드 LED OFF의 부재(평상시 잘 안보여서 큰 문제는 아님), 케이블이 일반선(차라리 USB C나 micro 5pin이었으면...)

솔직히 스프링 소음이 모든 장점을 다 씹어먹어버려서.... 이것과 같은 무게에 비슷한 가격과 디자인인 모델을 블루투스 기능을 넣어서 만들면 살것같습니다. 방향키 위쪽에 배터리 잔량 표시까지 넣어주면 Perfect할것 같은 느낌?",['https://phinf.pstatic.net/checkout/20200122_190/1579662030669nJuDQ_JPEG/20200122_113423.jpg?type=f287']
5,"쭉 앱코 멤브레인 키보드 사용했었어요
두번정도 바꾸고 이번에도 2년넘게 사용했는데 작동은 여전히 잘되나 텐키리스로 바꾸고싶어서,
콕스꺼 구매했다가 불량품받아서 바로 반품하고 결국 다시 앱코로 구매했어요
역시 앱코가 가성비최고인듯해요
텐키리스쓰니까 너무 편하고 책상공간도 넓어져서 좋아요
오른쪽 숫자키 안쓰는데 여태 자리차지만 했구나 싶네요 진작바꿀껄ㅠㅠ
아무래도 기계식이라 멤브레인보다 소음은 있지만 대만족입니당",['https://phinf.pstatic.net/checkout/20201103_93/16043304918396FXqM_JPEG/review-attachment-1af71a5b-5ecc-4589-b4ef-2b765a08a755.jpeg?type=f287']
5,"아는 동생이 이번에 컴 교체하는 기념으로 추천해줘서 구매하게 되었어요. 사실 이 키보드 말고 다른것도 추천 해준게 많았는데 일단 텤키리스인거 보고 1차결정했고, LED 패턴 같은거 확인하고 구매해야겠다고 완전 결정했습니다. 진짜 키 잘눌리고 잘 구매한거 같아 매우 뿌듯해요! 하자없는 깔끔한 키보드 받아서 만족스럽습니다(ღ'ᴗ'ღ )","['https://phinf.pstatic.net/checkout/20200819_271/1597834974095kOiVc_JPEG/review-attachment-a7c15488-0494-4292-9c10-12716952defe.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_254/1597835000083wd4r2_JPEG/review-attachment-e3d30b67-f514-4365-a7d1-937b08bb85e0.jpeg?type=f287']"
5,텐키리스 키보드를 처음 구매하게 되었습니다. 자회사인 빨간불 나오는 키보드와 어떤걸 살까 고민중에 이 제품을 선택했습니다. 무조건 빨간불 나오는 키보드보다는 어려 색깔이 알록달록하게 나오는 앱코 제품을 선택했습니다. 가격대 대비 후회하지 않는 제품입니다. 아버지 타자 연습니다. 엡코 키보드로 하고 계시는 중입니다. 텐키리스 키보드 적응하기 위해 구입한 제품입니다.,"['https://phinf.pstatic.net/checkout/20200513_225/1589297072493DIcEq_JPEG/bandicam_2020-05-13_00-23-57-369.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200513_229/1589297072533mbuY4_JPEG/bandicam_2020-05-13_00-23-59-958.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200513_192/1589297072453NpCWn_JPEG/bandicam_2020-05-13_00-23-48-609.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200513_50/1589297072565sWx9J_JPEG/bandicam_2020-05-13_00-24-12-269.jpg?type=f287']"
5,"남편이 불들어오는 키보드 노래를 불러 구매했어요 ㅋ
저렴해서 걱정했는데 걱정과 달리 가성비가 너무나 좋네요 !!
LED 모드도 바꿀수 있고 양사이드 불도 나오고 너무 이뻐요ㅋㅋ
남편이 원하던 사이즈에 디자인도 심플해서 맘에 듭니다
무엇보다 빠른배송 감사합니다!! 로켓배송보다 더 빨리와서 놀랬어요","['https://phinf.pstatic.net/checkout/20200731_121/1596176860719Cg0Wy_JPEG/review-attachment-e2ee628f-fb25-4792-9ead-448b15757a03.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200731_188/15961768607771hcBP_JPEG/review-attachment-a6edab87-86e4-43f2-bad9-cab15cb1d348.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200731_209/1596176868040K9Qxm_JPEG/review-attachment-85bcd3e7-c21f-4748-8d55-bcba91c02582.jpeg?type=f287']"
5,"잘받았고요 청축 쓰다가 적축 처음쓰는데 생각보다 키소음 있네요.

조용한 곳에서 쓰면 묘하게 울림 있는것 같아요.

타사 제품과 가격대 비슷한데 led때문에 이거 샀어요.

저는 좀더 묵직한게 좋은데 가벼운거 좋아하면 나쁘지 않겠네요",['https://phinf.pstatic.net/checkout/20201023_154/1603446125627tPSxL_JPEG/review-attachment-1459e16f-16da-430d-8ec8-95d46c8cb1c8.jpeg?type=f287']
