star_point,comment,photo
4,"컴퓨터사고 처음으로 마우스, 키보드 사면서 고민 했는데 만족함니다,기계식 키보드 처음 쓰는데 기분이 좋더 군요, LED불빛도 좋고 요란하지 않아서 괜찮은것 같습니다, 엔터키가 멀어져서 약간 불편한정도, 이정도 불편은 금방 적응 하겠지요, 케이블 꼬이지 않게 면 같은 케이블도 좋고, 같이 구매한 마우스도 잘 됨니다, 배송빠름니다","['https://phinf.pstatic.net/checkout/20200828_105/1598581334163PG84p_JPEG/review-attachment-300d9d37-45c7-41c9-9298-4212a4096e2d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_10/1598581362314zqtlA_JPEG/review-attachment-79563e22-176a-4b56-b692-a0975f40f1bf.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_108/1598581363358qH2qD_JPEG/review-attachment-8bca125a-2942-4a61-8472-d3f7cdd15a63.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_53/1598581364993JqtOc_JPEG/review-attachment-e5cfca17-e1e5-49a1-9c50-a00d9dc2e64f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_191/1598581472045xafJC_JPEG/review-attachment-4aff94cf-3563-4318-844b-9a769db9b3b3.jpeg?type=f287']"
5,"1990년대 초에 잠깐 나왔던 키보드의 느낌을 잊지 못해서 그런 키보드를 찾고 있었어요.그러다가 CK250을 구입해서 얼마간 사용했었습니다. 그런데 예전에 기억하던 키감이 아니더라구요. 제가 기억하던 옛날 키보드는 눌리는 감도 있고 쫀득쫀득한 느낌이 있었습니다. 그런데 CK250은 그렇지 못하더라구요. 그래서 찾아봤더니 기계식 키보드 중 청축이 그럴것같더라구요. 그런데 기계식 키보드의 문제는 오래 사용하면 정확한 입력이 안 되는 경우가 생긴다는 것이더라요. 그래서 계속 맞는 키보드를 찾던 중 카일 광축 키보드, 그것도 클릭이 비슷할 것이라는 판단이 들었어요. 그래서 이 제품을 구입했어요. 결과는 아주 만족합니다. 정확한 입력과 방수, 그리고 타건할 때 느낌이 옛날 제가 잠깐 사용했던 그 키보드와 너무도 유사했어요. 그리고 텐키레스 키보드라서 공간도 절약할 수 있어서 좋아요. 숫자 키를 많이 사용하지 않고 단순 문서 작업을 하면서 타건때 느낌을 즐기길 원하시는 분들에게 적극 추천합니다.",[]
5,기계식 키보드 중 pc방에서 청축 비슷한걸 많이 써봤었는데 집에서 쓰기에는 좀 시끄러워서 조용한편이라는 광축 리니어를 처음 구매해봤습니다.키감은 뭐랄까 쫀득하다기보다는 그냥 걸리는거없이 잘눌리는 느낌이고 물로 세척도 가능할정도라고하니 축이 부러지지 않는이상 오래사용할것 같아요그런데 키를 몇개 빼봤는데 키 부분의 끼우는 플라스틱이 금이 가있거나 깨진 경우가 좀 있네요이음새 재질특성 문제인것같은데 개선이 필요해보입니다.일단 키가 흔들리지는 않아서 쓰긴하는데 1년이상 안부러질지는 써봐야알겠네요,"['https://shopping-phinf.pstatic.net/20190628_19/2dab7a1a-4b02-4b14-b6f1-dcfa1b277871.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190628_6/d43a19cb-3d6b-4a39-a94b-6dd5cd404b57.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190628_28/a0c4fe1f-f5f9-4868-b178-0bdf95b4cd68.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190628_28/abf60164-1445-48f4-8aa0-d0603a25ed08.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190628_12/93a64839-1caa-48b1-a818-b792c76e194e.jpg?type=f287']"
5,액정타블렛에 거치하면서 문서작업도 할수있는 키보드알아보다가 유트브에서 이 제품이 너무 좋다고 해서 구매하게 되었는데 정말 너무너무 예쁘네요. 단색 키보드만 쓰다가 예쁜 키보드로 바꾸니 책상 분위기가 확 달라졌어요. 저는 주로 단축키 입력할때만 쓰는지라 본격적인 문서작업은 안해봤는데 키감도 굉장히 새로운 느낌이에요. 적응되면 잘 쓸것 같아요. 그리고 속도가 빨라서 좋아요. 번창하세요,['https://phinf.pstatic.net/checkout/20200702_218/1593656636386C3NUY_JPEG/1593656619634.jpg?type=f287']
5,이거정말 물건입니다. 타이핑이 이렇게 재미있을수 있는지 신기함. 진짜로 집에 옛날 타자기 북아트 작가라 열문2개 한글 1개 보유하고 실제로도 쓰는데... 타자기보다 더 타자기 느낌 나는 키보드입니다. 무선이 아닌게 좀 흠인데... 정말 좋습니다. 특히 연결선이 익스펜더로 보호 되어 있습니다,['https://phinf.pstatic.net/checkout/20200927_264/1601174646803aSdG9_JPEG/review-attachment-40cd63e2-2bfb-48d2-9f5f-07dc6b66fc5b.jpeg?type=f287']
5,일단 가격대비 성능이 좋은 제품으로 유명한 제품이라 구매하게되었습니다! 클릭을 싫어하고 어두운 색상을 선호하는 만큼 V1 리니어 제품을 구매하게 되었습니다. 디자인은 사진그대로라 맘에들었고 배송도 바로다음날 빨리왔습니다. 무엇보다 이 가격대에서 느낄 수 있는 기계식키보드 타건감과 내구성이 가격대비 정말 만족스럽습니다. 조용히누르면 조용히눌리고 경쾌하게 쳐도되고 타건하는 맛이있네요. 역시 초고가의 제품이 아닌만큼 단점이 없다면 거짓말이겠죠 스페이스바의 스테빌라이저가 한쪽이 조금 헐렁한지 약간의 철사소리가 납니다. 왼쪽의 경우 단단하게 고정되어 타건하는 소리만 나지만 스페이스바 오른쪽은 툭툭건들면 조금 철사가 흔들리는 소리가 나네요. 제 것만 이런지 아님 원래이런제품인지는 알 수 없습니다. 그걸 감안해도 다른점들이 모두 맘에들기때문에 저는 만족했습니다. 거기다가 장패드 이벤트중이라 더욱 좋은것 같네요,['https://phinf.pstatic.net/checkout/20190922_144/15691600282377booo_JPEG/20190921_114147.jpg?type=f287']
5,"용산에 가서 이것저것 눌러본후 광축이 가장 마음에 드는 클릭감이라 알아보던중, 디자인과 마감 가성비 적당하다고 판단되어 질렀습니다. 타건감이 아주 쫀득쫀득합니다. 마감에 대해 이야기가 많은데 키캡 이중사출쪽 문제인듯 하네요(글씨가 빛나는 부분) 별로 사용하다보면 전혀 못느끼겠구요. 개인적으로 매트릭스 같은 led효과로 이용중입니다. 미관상 훌륭하네요.

fps게임을 주로해서 마우스를 무선으로 바꾸면서 더 자유로운 환경이 필요했습니다 보시다 싶히 장패드가 남아 돕니다.","['https://phinf.pstatic.net/checkout/20190829_135/1567048022519atfdr_JPEG/20190829_030556958_iOS.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190829_127/15670480225225x1Er_JPEG/20190829_030609908_iOS.jpg?type=f287']"
5,처음 구입해본 기계식 키보드인 점을 생각하여 봤을때 상당히 완성도 높은 제품같습니다. 외관의 경우에도 다른 기계식 키보드보다 훨씬 키캡이나 무게감등이 신경쓴 모습이 보였고 아쉬운 부분이라고 한다면 LED효과에 조금은 부족한 모습을 보이지만 그외의 부분에서 있어서는 매우 만족스러운 키보드이기에 추천드릴만 한 키보드인것 같습니다.,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_09_26_0/1d313537-e045-11e9-9adc-48df37269fd0_05.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190926_6/1569492168056gPkHm_JPEG/KakaoTalk_20190926_175959381.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190926_38/1569492168189UV0va_JPEG/KakaoTalk_20190926_185303380.jpg?type=f287']"
5,"2020-06-23 Elec, 키보드 ABKO K511 카일광축 V2 클릭 40,720원

텐키리스 완전방수 키보드중에서 현재 세일가로 이정도 가성비 제품은 없다고 생각됨
키감은 '딸깍딸깍' '철컥철컥' 딱 이느낌임
키보드 자판을 누르는 재미가 무엇인지 잘 느낄 수 있음.
RGB 제품 나오면 좋겠다.",['https://phinf.pstatic.net/checkout/20200629_64/1593359241394M5Mx0_JPEG/2020-06-29_004432.JPG?type=f287']
4,"전반적으로 나쁘지 않은 가격에 나름 괜찮은 품질을 가졌다고 느낍니다. 작고 이쁜 색 조합에 스위치의 질도 좋아 보입니다. 하지만 하우징의 사출 과정에서 발생한 것으로 보이는 자국이 조금 있는것이 아쉽습니다. 그리고 led가 고르지 않게 비치는 것과 광축 특유의 키캡이 흔들리는 문제가 있습니다. 이같은 문제를 제외하면 만족스러우며, 5만원대에서 선택할 수 있는 좋은 선택지 중 하나라고 보여집니다.",[]
