star_point,comment,photo
1,"led가 Q자에만 약하게 되서 화요일문의 목요일 교환 수거들어갔는데 아직 못받았다고만하시고 반품송장도 안주시구 연락도 두절에 뭐하시는거죠? 덕분에 서류 작업해야되는데 노트북으로 깨작깨작하고 참 좋네요..
내일이면 벌써 저한테 키보드가 없어진지 일주일째네요^^
뭐하시는건가요? 반품 송장이라도 보내고 말을 하셔야지 아직 도착안했다고만 하면 다인가봐요? ㅋㅋㅋ
그리고 제 부주의로 이렇게 된거도 아닌데 왜 제가 다시 재주문먼저해서 키보드 받으라고 하세요??
회사에서 3만원짜리 키보드 하나산 고객한테는 그냥 대처 천천히 하고 나중에하라고 하시나봐요?
제가 애초에 a/s 가능하냐니까 교환이나 반품으로 해준다하셨고 그래서 전 이 키버드 계속 쓸거라 그럼 교환해달라했죠
그리고 제가 목요일 금요일쯤 요청드린것도 아니고 택배사랑 맞추다보니 목요일날 수거해가셨고 그것도 아침 10시에 가져가셔서 따로 밀리지도 않았어요
최소 토요일날 도착했을건데 월요일 오후 3시 넘어서도 아직 도착안했다만 시전하시고 반품송장과 본인들 택배사 어디인지도 말안해주고 오면 처리하겠다 만 이야기하면 저는 돈주고 산걸로 피해입었는데 뭐하자는거냐구요
제가 돈 지블안한것도 아니고 일부로 망가뜨린것도 아니고 산지 약 2주 실사용 8일정도였던 키보드 led가 약해졌고 그래서 먼저 물었던거죠
여기서 제가 뭘 잘못한게 있나요?
솔직히 이런식으로 하시면 안되죠
상품이 마음에 안들어서 보낸거도 아니고 사람 이렇게 대하시라고 회사 방침이 그런가요?
반품 송장 보내세요 제가 직접 조회할테니까
그리고 제껀 도대체 언제 출고되는건데요?
구매한사람들꺼 보내는건 해주면서 불량품 교환은 해주기 싫으세요?
제발 사람 짜증나게하지말고 좀 해달라구요
회사가 도대체 왜그래요??
하.... 더 짜증내기 싫으니까 당장 보내세요
아무리 택배 물량이 많아도 월요일 오늘 못받았다는건 말도 안됩니다 진짜;;;;;
동영상까지 올렸으니 인증 되시죠?
얼른 해결하고 좀 끝내시죠 제발","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_23_0/1bdccdec-6ce4-11ea-891d-505dac8c3639_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200323_270/1584953742477nWOQv_JPEG/15843783756307502877288005634561.jpg?type=f287']"
4,"이전에 사용하던 기계식키보드 청축(COX CK420 교체축 레인보우 LED 게이밍 기계식 키보드)을 사용하다가 이번에 새로이 눈에 확..들어서 구매하게 된 앱코k516...

일단 색깔이 압도적이다...괜찮은 가격에 구매를 잘 한것 같다...제품스펙은 다음과 같다.

가장 특이한점은 키보드 뒷면에도 불이 들어온다..대박...","['https://phinf.pstatic.net/checkout/20200223_173/1582417076068xti1c_JPEG/001.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200223_84/1582417083739hrxoE_JPEG/003.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200223_80/1582417089041sV6QM_JPEG/002.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200223_99/1582417103604V2Jub_JPEG/mXIZQq8%2BQMGN62vmuLEyew.jpg?type=f287']"
5,"가성비 짱입니다!
눌리는 소리도 작고 부드러운소리나구요
손끝 느낌도 너무 부드럽거나요 !
게임 용으로 사용 하려고 구매했는데 고가의 키보드 아니더라도 이거면 충분 한것같아요
잘쓰겠습니당~^^
참! 레드색상 촌스러운 새빨간색아니고 약간 은은한 펄감 비슷한 레드라고해야하나.. 암튼 고급짐 ㅋㅋ",['https://phinf.pstatic.net/checkout/20201012_55/16024303512810hrx0_JPEG/review-attachment-0f73692d-5a15-46f1-8df9-b459a5245cec.jpeg?type=f287']
5,"선물용으로 구입했어요.

색깔도 예쁘고, LED 들어오는게 신기하다고 하네요 ㅎㅎ

적축으로 구입하기 잘한 것 같아요. 조용하지만, 키감도 좋고,
통울림이나 스프링 소음은 뽑기를 잘한 탓인지 잘 잡혀 있었습니다.

다음에는 다른 색상으로 재구매할 의사도 있어요!

.

그리고 인터넷에서 다른 키캡으로 커스텀한걸 봤는데, 너무 . 저도 키캡놀이 좀 해보려고 합니다.

만족해요! 잘 쓰겠습니다.",['https://phinf.pstatic.net/checkout/20200708_18/1594196636653dsHhX_JPEG/review-attachment-2f6f2c2d-4241-45d7-be87-eb787d5d09a0.jpeg?type=f287']
3,"기존에 앱코 키보드 청축을 사용했는데,, 새벽에 부모님이 키보드소리에 잠을 잘 못주무셔서 가성비 좋고 3만원대 적축 키보드를 구매를 했습니다. 일단 소음은 당연히 청축에 비해서는 많이 크지않아서 좋은거 같구요 다만 단점은 스프링 소리가 너무 심하게 나는거 때문에... 신경 안쓰실꺼면 추천 드리지만 저는 신경이 쓰여서 돈좀 더주고 다른거도 나쁘지는 않은거같네요.. 리뷰를 잘 보시고 사시는거 추천드립니다.",['https://phinf.pstatic.net/checkout/20200409_119/1586401122373hgWQ9_JPEG/KakaoTalk_20200405_220758736.jpg?type=f287']
5,:) LED 모드가 여러가지로있어서취향에 맞춰서 세팅 가능한 점도 그렇고키보드 측면의 LED 변경속도도 조절할수있고예쁨에 중점을 둔 키보드 같습니다.기계식 처음써보는데 그동안 사용했던 일반 키보드와버튼 배열이 달라서 적응하는데 조금 시간이 걸릴것 같네요키감은 좋은데 적축임에도 불구하고 사무실에서 사용하기 조금소음이 있는편인거 같습니다.(다른제품을 사용하지 못해봐서 원래이런건지 잘모르겠어요)암튼 개인적으론 맘에들어서 한개 더 구매하려고합니다집에서 사용할 제품으로요. 이번엔 키감이 좋다는 청축을 구매해서비교해봐야겠네요.,"['https://shopping-phinf.pstatic.net/20190925_28/9640a241-fc48-41ed-9b7c-04e29e037528.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190925_9/7aa0412e-23f4-4aee-895c-e295813a1c42.jpg?type=f287']"
4,"여러 후기에서 통울림이 심하다고 나왔지만 장패드를 깔고 쓸 경우 통울림 거의 없다고 생각함. 다만 높이 조절을 위해 하단 지지대를 올릴 경우 장패드를 깔아도 통울림 심함.

결론 : 3만원대 제품 중 가성비 최강
장패드 사용시 통울림 거의 없음 다만 하단 지지
대 올리면 통울림 심함.","['https://phinf.pstatic.net/checkout/20200627_177/1593252225218DFURs_JPEG/1593252199733.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200627_75/1593252238010XmieB_JPEG/1593252229382.jpg?type=f287']"
5,"ABKO HACKER K516 키보드 구매 후기입니다.

타건감은 괜찮은 편이며 LED도 잘 들어옵니다. 자판을 치다보면 통울림 소리가 들립니다. 다만 이 가격대로 처음으로 기계식 키보드를 사용하려는 사람에게는 괜찮은 선택지인 것 같습니다. 잘 사용하겠습니다.","['https://phinf.pstatic.net/checkout/20200325_243/1585136142912ISNyq_JPEG/KakaoTalk_20200325_202102331.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200325_284/1585136177890MwWoE_JPEG/KakaoTalk_20200325_202110310.jpg?type=f287']"
2,오테뮤 적축을 사용한 키보드로 기계식 키보드가 어떤 느낌인지 알기 위한 용도로 제작된 듯한 키보드. 입문할 때 가볍게 체험하기 적당한 가격이다. 하지만 다른 적축과 비교했을 때 질 낮은 타건감과 모든 키에서 느껴지는 종을 치는 듯한 통울림. 필자는 이 키보드로 기계식 키보드 입문하기보단 돈을 조금만 더 들여서 다른 괜찮은 키보드를 사는 것을 추천한다.,[]
4,사이드 LED도 예쁘고(사진 첨부했어요) 컬러감도 좋아요! 다만 생각한 것보다 스프링 소리가 많이 나서.. 아~주 조용한 공간에서 주로 사용하는 저는 조금 아쉽긴 합니다. PC방에서 사용할 때는 들리지 않았던 스프링소리...ㅠㅠ 그래도 이 가격대에 디자인도 잡고 키보드 치는 맛도 이정도면... 만족합니다!,['https://phinf.pstatic.net/checkout/20200324_234/15850613774030FTtI_JPEG/1585061371858.jpg?type=f287']
