star_point,comment,photo
5,"일단 저렴한가격대에 좋은성능입니다~^^
다른분들은 통울림이다. 뭐다뭐다 말들이 많긴한데 저는 막귀라 그런거 모르겠구요~ 예전에 뭐 갈축.청축.적축 이런게 뭔지고 모르던때 이 제품과 비슷한 금액대에 구매했던 제품보단 확실히 정말 좋습니다.
키보드 자체도 묵직해서 밀리거나 그런것도 전혀없구요, 다른것들에 비해 소음도 적고, 다른축은 안써봤지만 성인남자가 쓰기엔 정말 딱 괜찮은 압력감입니다~
다만 단점은 사진에 남기겠지만 키보드가 조금 높은편이라 저처럼 사무실에서 쓰시고 장시간 타이핑업무를 하셔야하는분들은 손목받침대?? 지지대? 그런거 하나 사용하시는걸 추천드립니다.
전 굉장히 귀차니즘이라 찾아보기귀찮아서 쓰고는 있는데 조만간 사지않을까싶네요.. 생각보다 손목에무리감이 있습니다.
요약해보자면

장점
1. 금액대가 굉장히 착함
2. 단일 LED에 밝지는 않아서
. 압력감 성인남성기준 딱 알맞음
4. 타건소리가 주변사람들도 거슬리지않고 경쾌한 소리같다며 좋아함. 나도 동의함
5. 박스안에 각종 청소 및 교체도구 들어있어서 쓸일이 있으려나모르겠지만... 뭔가 더 들어있다는게 괜히 기분 더 좋음

단점
1. 단점이라기보다는 아쉬운점은 저녁에 LED가 조금 더 화려하면 좋겠다.. 라는 생각을 하지만 이 가격대에 그걸 바라는건 무리겠죠..
결론은 딱히 큰 단점은 없습니다.

개개인마다 호불호가 많이 갈리지만..
개인적으로 굉장히 추천드립니다~^^","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_27_0/4f5b5dc3-6fdb-11ea-8773-505dacfba98a_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200327_45/1585279781590yGPR5_JPEG/20200327_114417.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200327_197/1585279797784mTHEF_JPEG/20200327_113529.jpg?type=f287']"
4,"각각 장단점 적도록 하겠습니다.

장점
1. 입문자용으로 하실 분들은 적당한 가격 같다.
보통 좋은 키보드나 이상적인 키보드를 구매하려면 돈이 엄청 듭니다. 그런데 아무것도 모르고 처음 입문한 사람이 쓰기에 적합한 키보드라고 생각합니다. 가격도 그렇게 비싸지 않구요.

2. 불빛 들어와서 이쁩니다. 솔직히 불빛 안들어오는 키보드가 어디있겠냐만은 그래도 종류도 적당하고 이쁘게 나옵니다.

단점
1. 무겁다는게 느껴집니다. 이걸로 리듬게임하고나면 놋북으로 한 것보다 더 손목아픕니다. 소위 손목터널증후군이 올 것 같습니다.

2. 키보드 불빛이 약한 것 같습니다.
제가 뽑기(?)가 없어서 그런지 몰라도 제가 생각한 불빛이 약하게 나오네요. 좀 빵빵하게 나왔으면 좋았을텐데 그런지 않아서 조금 아쉬워요.

3. 적축이라도 소리가 크게 나는 것 같습니다.
솔직히 이건 좀 그런데 제가 기계식 키보드를 처음 써봅니다. 그런데 평소에 생각한 것보다 . 소리가 덜 나는 적축이라도 방하고 거실사이에 키보드 소리들려줬더니 다 들린다고 하네요.
그리고 처음에 팅팅 소리가 들리던데 익숙해지면 소리가 묻힙니다.

솔직히 이 금액으로 많은 것을 바라면 안됩니다.
만약에 모든 조건이 갖춘 키보드라면 다른 키보드는 다 망합니다.
쉽게 말해서 금액만큼 적절한 제품이라고 생각하면 될 것 같습니다.
나중에 시간이 된다면 키보드 기름칠 좀 해주고 정리 해주면 예전보다 더 나아질 거라고 생각해야겠네요.
일단 구매했으니 잘 쓸 수 있도록 노력해보겠습니다.","['https://phinf.pstatic.net/checkout/20200417_44/1587055752951J9F3I_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200417_88/15870557596919V22p_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200417_105/1587055760201ET096_JPEG/3.jpg?type=f287']"
5,"저렴한 제품이지만 봉인씰도 부착되어 있어 첫인상이 좋았고, 개봉 후 키보드를 꺼내서 처음 손에 들어보면 묵직한 무게감에 안정감이 느껴집니다-

가성비 제품임을 감안하고,
‘타건감’은 갈축이라 적당히 한번 걸리는 느낌이 있어서 자판을 제대로 누른것이 인지되어 좋고,
‘타건시 나는 소리’는 강하게 때리듯 타자하시는 분들에게는 적축을 사용하더라도 키보드바디와 부딪히는 소리가 크기때문에 축종류에 상관없이 크게 들릴 수 있는정도-

소리자체가 어떠해서 귀에 거슬리는 문제보다, 결국 같은 공간에 있는 동료나 가족들에게 소리가 크게 들릴까봐 노심초사하게되는게 문제겠네요-","['https://phinf.pstatic.net/checkout/20200911_227/1599754552654GI8vR_JPEG/review-attachment-30895e9d-2d4d-4252-80c4-58a04a2b5953.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_269/1599754552644DzwYe_JPEG/review-attachment-db774839-17a3-481e-9575-f91eb5c81cae.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_34/1599754552578P36p0_JPEG/review-attachment-09d488d8-1e21-42c5-a0e4-5c4002e5521e.jpeg?type=f287']"
5,"1. 박스포장 잘되어있습니다.
2. 배송이 엄청 빠릅니다.
3. 키보드가 상당히 이쁩니다.
4. LED가 주황색 단색이라 개인적으로는 너무 맘에 듭니다.
5. 집에서 사용하는데 소리는 적당합니다. 회사나 다른 사람있으면 소리가 너무 클듯
6. 타이핑 할때마다 팅팅 거리는 쇠 소리가 납니다. 이건 거슬리지는 않는데 신경쓰일 사람을 있을듯 합니다.
7. 키보드가 생각보다 묵직합니다.
8. .
9 받자마자 3시간정도 타이핑을 했는데 손목이나 손가락에 무리가 가질 않습니다.
너무 좋습니다!!!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_28_0/22f8cf53-8933-11ea-9390-505dac8c37f3_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_105/15880663119736Cr2i_JPEG/1_%BB%F3%C0%DA.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_164/1588066312055BNhFz_JPEG/2_%BB%F3%C0%DA%BC%D3.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_80/1588066312141kM5k2_JPEG/3_%B1%B8%BC%BA%C7%B0.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_72/1588066322810l94Pe_JPEG/5_%BA%D2.jpg?type=f287']"
5,"입문용 기계식 키보드로 추천합니다.
기계식 전혀 모르고 키보드에 큰 돈 쓰기는 부담스럽기에 주변추천이나 유튜브에서 저가형 찾아보다가 구매했는데 후회는 없습니다 가격대비에선 앱코가 좋은편이구 바디도 가격대에서 보기힘든 메탈계열이고 무게감이 있어 밀리지않고 고무패킹도 깔끔하게 잘 되어 있습니다.
무엇보다 개인적으로는 저가형이 화려한 RGB색상의 라이트를 가지고잇으면 되려 저렴해 보이기에 없는게 차라리 낫다고 생각했는데 따듯한 전구같은 라이트에 반했습니다..밤에 조명이 예술입니다..","['https://phinf.pstatic.net/checkout/20200211_235/15813875719094Y8fH_JPEG/58482A61-0D3D-4663-AAAF-268C1ADD5A92.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200211_137/1581387572861NcPtS_JPEG/E76F02FA-12C0-43A3-A78A-D992111561DC.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200211_249/1581387573032utGBL_JPEG/C249D838-94AC-40C7-A103-2BA591FFB418.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200211_222/15813875730333e8tT_JPEG/A831748C-FFE7-4C56-96BC-0CD6E9864505.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200211_137/1581387573113Corhp_JPEG/7B9C4BFC-C0FC-4E7D-8D5F-B4EBE684FEA9.jpeg?type=f287']"
5,"빠른 배송 너무 마음에 드네요.
다른 저가형 기계식 키보드도 많지만, K590만의 은은한 오렌지색 LED 감성이 마음에 들어 구매하게 되었습니다. 갈축이라 청축보다 소리는 덜 하지만 그래도 소리는 큰 편입니다. 저는 알고 샀지만, 소리 큰 거 싫은데도 기계식 키보드를 쓰고 싶은 분들이라면 돈 더 주고 저소음 적축 사시길 바랍니다. 만족하며 잘 써볼게요. 한 달뒤에도 후기 올리겠습니다. 많이 파세요~","['https://phinf.pstatic.net/checkout/20201031_264/1604071699206hJz3V_JPEG/review-attachment-7dd55cec-1f5b-4f95-b28c-162b5cefd88b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_252/1604071712781DlodP_JPEG/review-attachment-10213953-0c75-40a5-a144-9c2bc2a87474.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_86/1604071714091AA04C_JPEG/review-attachment-3e3b92da-5cb3-46a7-aa3f-b47e025244b3.jpeg?type=f287']"
4,"청소하기 간편하고 키보드 스페이스바 아래의 받침이 없어 손바닥 아래의 뼈와 손목이 거슬릴 일이 적어 좋았습니다. 키감 자체도 손이 무리가 가지않는, 많이 무겁지 않은 편이었습니다. 손이 많이 작은데도 불구하고 키 자체도 많이 크지 않아 불편한 점이 적은 부분도 플러스 요인이었구요.

다만 조용한 실내의 경우 갈축이어도 소리가 클 수 있다는 점과 특유의 스프링이 튕기는 소리는 집중이 방해될 수 있는 요소임이 분명해보입니다.
갈축 타건 소리를 예상하지 못하고 산 것은 분명하나, 스프링 튕기는 소리는 알고 구매했음에도 생각보다 크게 느껴져 타 구매자분들은 해당 부분에 대한 확실한 인지가 필요할 것 같습니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_31_0/ed61138a-eb4e-11ea-9ec6-48df379ccacc_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200831_37/1598853437848L1esK_JPEG/review-attachment-588668f3-6f07-43d4-ac3a-3f340021646e.jpeg?type=f287']"
5,"이번에 기계식 키보드 처음 구매해봤어요.
지금 상품평도 새 키보드 연결해서 처음 사용해보면서 작성중인데
처음이라 그런지 키감이 많이 낯설고 어색하네요.
첫인상은 뭔가 키가 눌린듯 안눌린듯 경계가 모호하고 살짝 뻑뻑한 듯한 느낌이 드는데 좀 더 많이 오래 사용해보고 익숙해져야 할 것 같아요.
키 누를때 소음은 없진 않은데 신경써서 살살치면 줄일 순 있네요.
그래도 가격도 너무 좋고 블랙&오렌지라이팅으로 정말 이쁘네요.
축교환 도구들과 청소용 브러쉬가 있다는 것도 마음에 들어요.
다른 키보드들은 엄청 비싸던데 이 가격으로 기계식 사용할 수 있다는 것만으로도 정말 큰 메리트라고 생각해요.
(구매결정에 가격이 가장 큰 부분을 차지했어요)
나중에 독립하고 소음 걱정 없으면 갈축도 구매 해볼까 합니다.
문의글에 몇개씩 잔고장 관련 글들이 있던데 제껀 잔고장 없이 오래 쓸 수 있었으면 좋겠네요. 잘 쓰겠습니다~!",['https://phinf.pstatic.net/checkout/20200821_22/1597947955389ilQLM_JPEG/review-attachment-9a781994-f10f-4e07-9a0f-358c3bbec08c.jpeg?type=f287']
5,기계식 키보드는 처음 써 봅니다..스마트배송으로 와서 포장은 잘 되어서 왔구요..제품 박스 안에도 뚜꺼운 스펀지가 제품을 잘 잡고 있네요..우선 첫 느낌은 아주 묵직했어요..바닥의 미끄럼 방지 패드가 있지만 키보드 자체 무게만으로도 밀리는건 없을 것 같아요..게임보다는 주로 엑설이나 워드 문서 위주의 작업을 많이 하는데요..한키한키 치는 느낌(?)이 좋네요..다만 기계식이니깐 소음은 좀 있지만 컴퓨터만 있는방이라 크게 불편한점은 없었어요.일반 멤브레인키 치듯 조금씩만 쳐도 인식 잘 되구요..키 조명은 노트북에서 전체 다들어 오는건 봤는데..이건 여러가지 효과가 주어지네요..아직 아이에게 써 보라 하진 않았는데..7살 아들이 게임할땐 좋아할것 같은 기대를 해봅니다..인터넷 보니 화려한 조명도 많지만 단순한걸 좋아하는 저로서는 단색으로 나오는 이제품이 더 낳은듯 해요..다만 아쉬운건 붉은색 조명인데요.. 이건 개인 취향이니.. ^^텐키리스도 개인취향인데..전 개인적으로 텐키리스보단 전체키 다 있는걸 선호하는편이라 ..몇년전 기계식이 10만원 내외였던걸 봤는데..가격이 많이 내려줘서 기계식을 접하게 되어 좋은 기회네요..저렴하지만 아무탈 없이 오래 사용 되었으면 좋겠네요..많이 파세요.. ^^,"['https://shopping-phinf.pstatic.net/20190627_6/245fbc08-1a15-4e25-8834-c6b7f9831cac.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_1/eee3e38d-cf64-44c3-8458-23a352991e14.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_0/f6c6a8f6-08ad-4254-a508-d029bd91a3eb.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_11/57ee678d-e5e6-46d6-bb46-7fcd66bf1089.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_8/cbd9e055-d6cf-4755-828c-a4e2137e9512.jpg?type=f287']"
4,"컴퓨터로 작업하는 업무가 많다보니
자판을 바꾸고 싶다는 생각을 계속 해오다 본 제품 구매하게 됨.

제품 선택 절차는
1) 네이버 쇼핑 검색 리뷰 많은 제품 몇개 픽
2) 디자인, 성능, 불만족 사항 등등 체크하고
3) 가장 마음이 끌리는 제품 선택.
최근 같은 회사 제조 마우스를 구매하고 같은 회사 제품에 마음이 기울어짐.

한영키가 작동되지 않아서 >>> 네이버검색을 해보니
어떤 분이 방법을 알려주셔서 그대로 따라했더니 기능을 발휘함.
한영키 작동이 되지 않는 분들은 네이버에서 검색해보시면 됩니다.

제 블로그에도 후기 올려놨으니 참고하세요.
https://blog.naver.com/obong0301/222084487744","['https://phinf.pstatic.net/checkout/20200911_84/1599797006209yDb2k_JPEG/review-attachment-6e152308-e35e-46ac-b236-fb305e8684d2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_126/15997970062268LPjR_JPEG/review-attachment-17747a48-5146-4c17-a5b5-52474c528ba2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_105/1599797006358rX6vA_JPEG/review-attachment-bb1cec0b-50e3-47ff-884d-3d38f978b73f.jpeg?type=f287']"
