star_point,comment,photo
5,"새로운 키보드가 와서 테스트하고있음
소리가 깔끔하고 좋음.
쓸만한 녀석이라는 생각이 드는데
타격감도 충분하고
인생 처음써보는 기계식 키보드인데
게다가 청축.

이 녀석 만듦새도 좋은데 가격까지 행사가라 너무 좋은듯하다.
늦게 알아서 좋다고 생각함.
아니었으면 비싼돈 주고 기계식에 입문했을테니
판매자도 너무 친절하게 문의사항에 대해 즉각 대응을 해줘서 더할나위없이 좋음","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_24_0/2b445760-cd53-11ea-8781-a0369ff94ec8_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200724_174/1595556750880aGh1o_JPEG/review-attachment-d68abfca-dba0-41fd-9284-6f6e22cf8a49.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200724_92/1595556756242sEoqB_JPEG/review-attachment-b4d50fe2-de19-4702-ade6-399293938085.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200724_185/1595556760558WVoy2_JPEG/review-attachment-42d5e0af-9ac7-4c5f-89f0-6df89f518cf2.jpeg?type=f287']"
5,"일단 배송 속도에서 한번 감탄 어제 오후 3시쯤 주문후 배송처리 됬다고 뜨길레
오늘 12시 45분에 도착하고
소리는 확실히 청축이라 소리가 좋지만
다른 댓글처럼 저녁에 하면 엄크 뜨는 사실 ㅠ

2일전에 도착한 16일동안 기다린 3만원 키보드는 색상 안맞아서 환불 시켜달라고 5만원을 달라고 해서 욕하고 그 상품은 3등분 또각냄 ㅎ

지금 산 키보드는 진짜 가격이 비싸도 써도
괜찮다고 생각하는 제일 좋은 상품입니다!

키보드 소리/느낌/제품/부드러움 다 좋고

친절하게 제품 증명서에 키 설정 설정법과 키보드 정리 하는 제품도 있고 스티커도 있는데 이건 뒤에 붙히는건지 궁금해용!","['https://phinf.pstatic.net/checkout/20201113_121/1605239043366LcsfS_JPEG/review-attachment-a52ec15d-eb87-4a8d-aedf-26648e6e2101.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201113_11/16052390527515sh10_JPEG/review-attachment-150b21b9-e2cd-4c2a-9c0d-5bd372963e61.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201113_233/1605239060172fri8U_JPEG/review-attachment-d583127d-c7d1-44e2-829b-a114316cfce2.jpeg?type=f287']"
5,"화련한 조명이 날 감싸네요
보통 갈축만 썼었고 앱코는 구려서 안쓰는데 특가 세일이라 매우 저렴하고 청축을 써보고 싶어서 구매 했습니다. 일반 블랙색에 알지비 보다는 화이트에 단색 LED가 예뻐보입니다. 요즘 같음 여름 청량한 느낌을 주네요. 청량 하니까 청하가 생각나네요. 청하 예쁩니다. 단점은 흰색이라 때가 탈거 같은 느낌적인 느낌이지만 2만원대 가성비를 생각 하면 괜찮습니다.
키감은 앱코의 그키감입니다. 찰랑 찰랑 청축 답게 시끄럽지만 치는 맛이 있네요. 탁탁탁
그리고 기계식 키보트 치고 매우 가볍습니다. 하판은 플라스틱이라 그런거 같고. 치면 칠수록 사무실에선 .
스위치 눌리는 소리와 특유의 텅텅거림이 잘 울려퍼집니다.
하지만 청축은 원래 이런거고
2만원대면 갓성비 기계식 처음 입문하는 급식들에게 매우 추천 합니다. 하지만 몰컴을 하려면 청축 말고 갈축이나 적축사세요
밤에 두드리다간 엄크 뜹니다.",['https://phinf.pstatic.net/checkout/20200723_156/1595475462474T4ee7_JPEG/review-attachment-879adfc0-ed5a-4091-8722-47e8e3b6dede.jpeg?type=f287']
5,"예전 일 할 때 어떤분이 갈축이야기 하셔서

이번에 구입하게 되었습니다.

이벤트도 하고 가격대도 저렴해서 구입해보았습니다.

구성품은 청소 브러쉬도 있고 캡리무버 등.

그리고 케이블 길이도 적당하네요.

LED도 펑션키하고 버튼 연동해서 변경할 수도 있고...

키감은...

청축에 비해서 무거 운것 같습니다.

아직 많이 타이핑하지는 않았지만...","['https://phinf.pstatic.net/checkout/20200721_145/1595309639687KgcwV_JPEG/review-attachment-2812f71a-31dc-42ce-876b-d4eace8c542d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200721_289/1595309640284qAi5d_JPEG/review-attachment-0304b29b-23fd-423c-9bda-5a9a65fe772a.jpeg?type=f287']"
4,"처음으로 기계식키보드를 구매해봅니다. 계속 멤브레인 저가형만 사용하다가 경쾌한 타건음을 들어보고자 청축으로 구매했네요. RGB효과에 꽂혀서 전에 피씨사며 사은품으로 받은 키보드가 RGB의 화려함은 좋았는데 역시 사은품이라 그런가..베이스패드자체도 가라앉아있고, 자주쓰는 키의 코팅 벗겨지고 영 아니더군요ㅋ이 제품은 RGB도 싼티안나고 은은한 매력이 있어요.너무 경쾌한 타건음을 바란걸까요? 애들 재우고 잠깐 쓰는데 타건음이 경쾌한 나머지 고요함속에 키보드 두드리는 소리가 울려퍼지는게..ㅋㅋ워낙 라이트하게 사용하다보니 키씹힘이라던지 오작동이라는걸 체감해볼 수 있을런지는 모르겠지만 입문용으로는 대만족입니다.사은품 스피커도 잘 받았고요. 바로 연결했습니다. 소리도 크게 안쓰는지라 제 입장에서는 음질도 만족스러워요. 다만 돈내고 샀더라면 반품했을지도..볼륨조절 다이얼에 스크래치가 제법있었고 스크래치방지 필름 부착된것도 대충 붙어있더라고요. 사은품이고 소리 나오는거 문제없으니 그냥 사용합니다. 돈내고 산게 아니라는걸 참고해주세요ㅎㅎ",[]
5,"적축이라해도 사무실에서 소음 문제이지 않을까 했는데 기존 맴브레인 수준이네요.
led는 불필요하게 화려해서 끄고 사용중입니다.
문서 타자량이 많은편인데 바로 익숙해지고 기존키보드보다 오타량이 줄었습니다.
alt키ctrl키가 한영변환키 겹치니 언어-키보드설정에서 101키 변환 잊지마세요.",['https://phinf.pstatic.net/checkout/20200729_201/1595983978123yJb7C_JPEG/review-attachment-3d9af645-e8a0-44bf-bb2a-9b4c58e9cbf9.jpeg?type=f287']
3,"한영키가 입력이 안될 경우 앱코 홈페이지 자주묻는질문에 들어가셔서 해결하세요. 판매자님께서도 알고계셔야 할 듯 합니다. 키보드 키판에 잔기스들이 있지만 본사에 보내어 확인하는 시간에 발송되는 시간이 길어 그냥 씁니다.

그 외에 가성대비 만족합니다.",['https://phinf.pstatic.net/checkout/20200728_53/15958737299701L5G6_JPEG/review-attachment-27a2609f-b2d5-4a4a-977c-d6184af7cb99.jpeg?type=f287']
5,"10년만에 키보드를 바꾸는거라 고민도 참 많이 했습니다~
긴...고민 끝에 앱코 해커 K595 갈축 LED 키보드를 선택 하였는데요~
근데 생각보다 너무 좋은 제품이 와주어서 대 만족 하고 있습니다~
키가 안 먹히는 일도 없고, 조금만 눌러도 키가 작동하여서
손가락도 아프지 않고, 형형색색의 LED가 또 이쁘게 작동해 주어서 볼때마다 흐뭇하네요 ^^
(속도 조절, 모드 조절도 가능해서 편리합니다.)
그리고, 키를 쉽게 뺄 수 있게 해주는 도구와 청소용 솔까지 주셔서
청소걱정도 덜었습니다 :)
좋은 제품 만들어주신 앱코에게 감사드리며,
아마 키보드는 앱코만 쓸것 같네요~~!!
앞으로 좋은 제품 많이 단들어주세요~!!!
이상 리뷰를 마칩니다~
감사합니다!",['https://phinf.pstatic.net/checkout/20191223_256/1577096913346tMVH1_JPEG/20191223_1910131.jpg?type=f287']
4,"가격이 깡패에요
보급형키보드 중에 제일 낮은 가격대가 큰 장점으로 꼽힐 것 같아요
화이트컬러, 청축, 단일 백라이트같은 요소들은 무난무난하게 잘 나왔지만
스프링 통소리가 살짝 크게 들리는 게 예민한 사람들은 신경이 많이 쓰일 것 같네요
이것 빼고는 전체적으로 만족스러웠기 때문에 4점 드립니다","['https://phinf.pstatic.net/checkout/20200116_101/1579172612987BGxq4_JPEG/8190935D-57B8-4F06-8338-E42006DA667A.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200116_213/1579172613051dyOfa_JPEG/AA1DDF29-D228-49DD-A5F6-56D93FA7B8A2.jpeg?type=f287']"
5,"해커스 텐키리스 쓰다가 풀사이즈 도 구매했습니다.
키감이 마음에 들지만 타이핑시 타격감은 적은듯하네요 누를때 좀 가볍습니다 커세어 적축보다는 가볍고 한성꺼와 비슷한데 한성보다는 좋은것 같습니다
넘락 불빛이 강해서 좀 거슬리는것 빼고는 만족스럽습니다",['https://phinf.pstatic.net/checkout/20200731_2/1596172167270iffi9_JPEG/review-attachment-a686e150-2cc0-4ca5-aadc-86ab2e355c45.jpeg?type=f287']
