star_point,comment,photo
5,"아니 포장이 너무 얇잖아요 뾱뾱이도 없고 좀 그러네요ㄹㅇ;;;근데 키보드 사용후 화풀림^^ㅋ
소음 : 별로없음 소리가 아주 맴에 든다 큼큼 새벽에 몰컴하기엔 좀 큼ㅋ
성능 : 개쩔어! 한 1~3개월은 써봐야 알거같으니 한달후기를 추가하겠다. 케이블이 고무재질아닌거 가산점++
만족도 : 누를때마다 빛나는것이 아주 기깔남 큼큼
디자인 : 핑크를 별로 좋아하진않지만 이 가격대, 이 할인폭, 이 LED, 이 축이 없기에......아쥬 맨족스릅습니다.^^

구매자들한테 도움이 되었으면 좋겠음.
장패드 이벤트는 개인정보 팔아야해서 좀...ㅎ 드림다","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_10_0/13d355a5-dac9-11ea-bef2-a0369ff9545c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200810_260/1597029881631KGv0q_JPEG/review-attachment-eb76d7b1-028d-44ad-9e73-f3fe2229f124.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200810_249/1597029885345xCtbv_JPEG/review-attachment-26c77837-fed1-41b7-ba1a-9bed4393d831.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200810_53/1597029886181Etmzr_JPEG/review-attachment-7ab3264d-070b-49f2-8aba-17b5424424ce.jpeg?type=f287']"
4,"회사에서 쓰려고 지난 금요일 점심에 주문했는데, 연휴가 끝나자마자 화요일 아침에 회사에 도착했네요.
기대하며 포장을 풀었는데 역시 예쁩니다.
맥북에 연결했는데 바로 인식되고 설치가 쉬웠어요.
(회사에서 쓰기엔 텐키리스인 점과 소리가 약간 있는게 걸리지만) 예쁘고 키감도 빨아들이는 느낌(?)이 있어서 좋아요 ㅎㅎ","['https://phinf.pstatic.net/checkout/20200818_202/1597723808908XMsq3_JPEG/review-attachment-d5d9180b-14f1-40d3-94a3-43d455813110.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200818_145/1597723818041Rd1j1_JPEG/review-attachment-d8acced9-88d1-417b-8410-88d725eb474e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200818_233/1597723839384awMm7_JPEG/review-attachment-2596a00f-4c8b-4475-8b33-1c3e53959380.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200818_139/1597723851515aiN0v_JPEG/review-attachment-a22679b2-1a46-45e5-8ab7-99c245fa132b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200818_283/15977238587380zvJ4_JPEG/review-attachment-bbe0a01a-ea0c-4ae4-8901-d65e45beb31d.jpeg?type=f287']"
5,"최근 기계식 키보드에 많이 관심이 생겨서 이것저것 많이 써본 것들과 비교를 해봅니다.(해커 옵테뮤 청축, 게저갈, 커세어 K65, 레오폴드 750R, 레이저 블랙위도우 녹축&적축, 체리 MX 1.0 등)기계식 입문은 앱코 해커 옵테뮤 청축 쓰던 모델.. (모델명까진 기억이 안 남.)당시 한 5만원 좀 넘는 가격이었던 모델로 입문을 했었고이후 다른 키보드로 넘어 왔었는데, 입문용 키보드 치고 잘 썼던지라 앱코 브랜드에 대해선어느정도 괜찮다는 생각을 가지고 있었던지라, 4만원 미만 가격에 새로운 키보드를 접해보고 싶은 마음에주저없이 구매를 했습니다.청색 계열은 사진상으로 키캡 색상을 잘 못 뺀거 같아서, 여러 사진들 보면서 화이트&핑크 제품으로 구매를 했습니다.키캡 마감이 약간 아쉽지만, 보통 눈에 안 보이는 쪽에 있어서 크게 거슬리지 않으며,화이트&핑크 색상을 무척 잘 뽑은 편이고, 폰트도 나름 귀엽게 뽑아서 키캡은 무척 우수하다고 보여집니다.하우징이나 .10만원 이상 키보드들에 비해서 마감 퀄은 절대 안 떨어집니다.다만, 카일 광축 특성인지 모르겠지만 축이 조금씩 움직이기에 키보드 누를 때나 누른 뒤에 보면키가 약간씩 비뚤어져 있습니다.아주 큰 불편함은 없지만, 그래도 이런 부분은 키를 칠 때 손가락에 약간의 부담은 줄 수 있다고 보여집니다.케이블은 패브릭 재질이고, 탈착도 가능한 구조 같은데, 워낙 빡빡하게 껴 있어서 분리는 안 해봤습니다.카일 광축 리니어의 경우 기존 기계식 축과 비교하자면우선 적축보단 조금 무겁습니다. (당연히 스펙상으로도 그렇고요)근데 그 무게감이 5g 차이는 아니고 미세하게 한 2g~3g? 정도로 느껴지네요., 좀 더 걸리는 느낌입니다.커세어 K65와 비교시에는 키감은 확실히 떨어집니다.뭔가 어설픈 부드러움? 이라고 느껴집니다.소음은 적축과 큰 차이는 없어 보이고, 키 소리는 약간 둔탁한 소리가 납니다..안에 갇혀서 통울림 같은 소리라고 해야 하나..엄청 듣기 거북하지는 않은데, 맑은 소리 같은 청명함은 못 주네요.LED의 경우 단색(흰색)을 지원하고 있고, 여러모드가 있는데개인적으로 NO LED로 해놓고 쓰는게 가장 예쁜것 같습니다.키캡이 워낙 잘 나온 편이라서요..스태빌의 경우 스페이스바 쪽에 약간 구리스 묻어 있던데 사실상 안되어 있다고 보면 됩니다.스태빌 윤활은 어렵지 않으니 제가 직접 했습니다.장점 :제일 마음에 드는건 키캡.하우징 마감이 잘된 편.단점 :카일 광축 특성인지 모르겠으나, 키캡이 삐뚤어지는 현상.결론 :4만원 미만 가성비로는 괜찮은 제품. 할인가가 아닌 일반가라면, 가성비 더 좋은 키보드들이 몇 개 있음. 키캡 적출용이나 하우징 활용 등으로만 고려해도 충분히 괜찮은 가격",[]
4,"그동안 많은 키보드를 써오다가, 앱코 K740에 안착 후 만족스럽게 쓰고 있다가, 책상 위에 노트북과 함께 쓰게 되다보니, 자리가 조금 아쉬운 느낌이 있었다. 키패드 부분만 없으면 한뼘 공간이 생각보다 좋아질 것 같은데, 하던 찰나 텐키리스 키보드들이 눈에 들어왔고, 역시나 이번에도 앱코를 구매하게 되었다. 앱코 구매 이유 컴퓨터 파워, 키보드, 마우스 모두 그동안 써오면서 별 문제 없이써왔던 터라, 자연스레 눈에 들어왔다. 키패드 부분이 빠지는데 키보드 가격이 6만원 이상은 사치 다나와 검색 마침 앱코 K611 세일을 하고 있었고, 키 버튼이 네이비 인것이 마음에 들었다. 방수가 되서, 청소하기 용이하며, 별거 아닌 것 같지만, 미끄럼 방지 되어 있고,키보드 덮개가 포함되어 있다. 덮개 안주는 곳도 은근 많다. 판매자가 박스를 좀 더 신경 썼더라면 좋았을 걸, 박스 자체에 비닐 행낭만 덜렁 오다보니 제품 박스가 많이 구겨져 있는게 아쉽다. 기존에 K740 쓰면서 너무 만족스럽게 써왔던지라 단순히 자리 공간 활용을 위해 구매한 건데, 만족스럽다. 기존에 갖고 있던 핑크와 흰색 키캡을 넣어 나름 다시 꾸며 보았다. K611자체에 아쉬운 점은 인쇄가 약간 어긋나게 인쇄된 불규칙 + 키 캡 자체가 약간 삐딱한 것이 있어서 키배열 똑바로 고르지 못한것이 아쉽다.",[]
5,"업무용으로 사용할 공간이 좁다보니 텐키리스 키보드를 알아보던중 앱코 K611 제품을 구입했는데 집에서 사용하는 고가의 체리키 키보드와 비교하더라도 재질이나 마감, 키감이 떨어지지 않는것 같습니다. 광축은 처음 사용해보는데 오류도 없고 특히 체리키 적축과 같은 리니어 정말 괜찮네요. 이정도면 메인으로 써도 충분할듯 합니다. 다만 감성이 고가 키보드에 비해 약하다보니 서브로 풀키로 하나 더 사는것도 고려해볼만 하네요. 좋은가격에 좋은 품질의 제품인듯합니다. 결론!!! 가성비를 원한다면 닥치고 무조건 이거사라!!!",['https://phinf.pstatic.net/checkout/20201117_64/16056102682857pHvz_JPEG/review-attachment-c4f7a387-a0ea-412f-8d08-cba8cc0640ce.jpeg?type=f287']
5,"사용하면 할수록 만족스러운 부분이 자꾸 생각나네요
제가 원하던 톡톡, 탁탁, 틱틱 거리는 클릭 소리가 확실히 나고
키감도 좋아요 클릭축 특유의 걸린후 들어가면서 느껴지는 키감이 좋고 하우징을 탁탁 치는(?) 끝까지 눌렀을때 딱딱 거리는 소리도 좋고..
원하던 소리입니다.

단점도 분명히 보이는게... 앱코라는 큰 단점과 저가형이라는 단점이 보이네요
앱코는 솔직히 비싼 제품도 마감이 무조건 최상급이다! 싶지도 않고 그냥 그런 품질을 보여왔고 이 제품도 그렇게 완벽하지 못한 마감을 가졌다고 생각됩니다.
저 같은 경우 엔터 키캡 안쪽이 금이가있어서 누를때 비정상적인 걸림이 느껴졌고 그 외에도 전체적인 사소한 키캡 마감이 보통 보다 약간 아래인 퀄리티를 가져서 많이 아쉽습니다.
스테빌라이저도 어느정도 가격을 생각한다면 잘눌리고 괜찮은편이라 볼수있겠지만 가격을 치워두고 키보드로서 본다면 스테빌라이저 품질은 보통보다 이하라고 보여집니다.

위 단점들은 편차가 있을수있는 부분들이지만 앱코라는 부분에서 자꾸 의심이 갑니다.
하지만 엔터키 키캡 불량으로 as를 받아본 결과 as는 아주 친절하고 빠르게 진행되었고 너무 만족스럽게 사용할수있도록 도와주어서 큰 불만은 없습니다.




[크고 작은 단점]
led 품질이 별로인편< 이하
키캡 호환성이 별로인것으로 보임
앱코라는 회사
스위치 소리편차가 체리 스위치보다 더 많이 느껴짐


[내 기준에서 위 단점들을 씹어먹는 부분]
스위치 소리가 좋음 소리임)

as가 좋았음 (이건 상담사에 따라 다른부분인 경우가 많겠지만 나는 너무 만족스럽게 as받았음)

디자인이 보통이상이라 생각함 (특히 색상이 두가지 이상이고 전체적으로 촌스럽지 않아 보이는 색이고 크게 호불호가 갈리지 않을것으로 보임)

키감이 체리 청축 보다 좋다고 생각함 (이 제품 사용하다가 체리 청축을 눌러보니 정말 별로였음 개인취향에 따라 다르겠지만 광축 특유의 소리와 타건감을 싫어하는게 아니라면 체리청축 보다 좋다고 느끼지 않을까 생각할정도로 너무 마음에 들어서 체리청축은 안쓸 예정)

아직 까지 키 씹힘 같은 고장이 전혀 없다는 부분 (광축 그리고 앱코라는 부분에서 솔직히 고장날까봐 걱정을 조금 했는데 초기 불량만 아니면 괜찮아 보임)

가격에 비해서 너무 좋음 (이 가격에 이런 키보드를 살거라고는 생각도 못했음 어떤 회사제품인지는 말 안하겠는데 집에있는 10만원 이상 체리축 키보드 2개 보다 전체적인 부분을 따졌을때 이 키보드가 무조건 더 좋음)





운이 정말 안좋은편이라 초기불량이 두렵고 뭐가 불량인지 잘알지도 못할것 같은 초보자에게는 살짝 추천을 못하겠지만

이건 뭐 때문에 불량인것 같으니까 어떤식으로 as를 받으면 충분히 고쳐지겠다 라고 생각 할줄아는 사람이면서 광축을 싫어하지 않는 사람이라면 강추

그냥 10만원 이상 키보드 살돈은 없고 디자인 괜찮아보이고 광축 써보고 싶은거면 그냥 사세요


스테빌 편차만 나쁘지 않게 받으면 이 키보드는 대부분 성공할것 같네요",[]
3,앱코나 콕스나 항상 느끼는 거지만 사출에 신경을 조금 더 쓰면 참 좋을텐데 말이죠.. 전자제품인데 뽁뽁이라도 제발 .... 제가 엠프리스도 흰색 샀다가 키캡 사출 자국... 가격대비 찍힘 상판 깨짐 등등등 으로 교환 스트레스 받다 도저히 안되서 k995p검은색으로 구매했었는데 검은색이라 티가 안나는건지 다행이도 괜찮았다마 키캡 사출은 역시나... 이건 저렴하게 구매한거라 아무래도 비슷하겠지 생각했지만 이건 좀 심하네요 ㅎㅎ f1키 보고는 저렴하니까 그냥 써야겠다 생각했는데 하우징 측면 4곳 보고는 교환 받아야겠네요 ... 에효 제가 운이 없나보네요 ㅠ제가 키보드를 좋아하는지라 다양한 회사의 다양한 축들을 갖고 있는데 회사 관계자분들께는 참 죄송한 얘기지만 다 그런거는 아니다만 싼게 비지떡이고... 가성비라는 글귀에 소비자들이 감내해야 하는 이런 사소한 부분들이 참 안타깝네요,[]
3,"빨리 받았습니다.
제품상자를 비닐로 포장해서 왔습니다.
상자에 구겨짐이 생겼지만 물건에 이상이 없으니 괜찮습니다.

광축이 써보고 싶어서 샀는데 전체적으로 쓸만합니다만 아쉬운점도 좀 있네요.
다소 키압이 느껴지고 스프링소리가 좀 들립니다.
윈도우키의 백라이트가 바뀌는 게 좋을것 같네요
기본이 꺼져있고 윈도우키를 잠그면 불이 들어옵니다.
처음엔 고장인줄...","['https://phinf.pstatic.net/checkout/20200930_120/16014734945722E8JS_JPEG/review-attachment-15320cc5-1269-4f79-86ac-e19a74438716.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200930_106/1601473512074tyAa8_JPEG/review-attachment-10fbd1d1-11f7-43be-af47-a88eb7422076.jpeg?type=f287']"
5,"챠카챠카 키보드가 찰지네요 조명도 예쁘고, 조명 보고싶어서 서재 불을 자꾸 꺼요 ㅜㅜ 눈 안좋아지는데 ㅋㅋㅋ 조명이 단색이라 더 예쁜거같기도 하고 키보드 자체 색깔도 너무 귀엽구.. 좋아요 호 다른것도 또 사고싶음
+ 배송해주실 때 뽁뽁이라도 한번 둘러서 보내주시면 좋을것 같아요 ..박스도 아니고 너무 얇은 봉투에 키보드만 덜렁 들어있어서 좀 당황했어요 키보드 포장박스도 망가져있고 ㅠㅠ","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_07_0/a9e550fe-20d6-11eb-9207-505dac8c3639_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201107_101/16047392079418wWJv_JPEG/review-attachment-e55c8f83-fcc5-4123-b8df-d21f47c4dccb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201107_58/16047392080461IpAg_JPEG/review-attachment-4b75efef-d424-4080-a9bf-e8e65b58a3e0.jpeg?type=f287']"
4,키보드 이쁘고 키감도 괜찮아서 맘에 들었어요! LED는 투과가 잘 안되는 키들도 있어서 조금 아쉬웠구.. 택배는 완충전혀없이 비닐에 키보드 상자만 와서 좀 그랬네요 ㅜ.ㅜ 상자 찌그러진 부분도 있고.. 그래도 이상없어서 만족중입니당!,"['https://phinf.pstatic.net/checkout/20201111_165/1605088717228x85oT_JPEG/review-attachment-b0984112-f3a7-412e-8e6c-05def1e1bdb2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201111_144/1605088717151vhRFX_JPEG/review-attachment-d60b20ba-55d6-46ef-b1ed-db3287906fb7.jpeg?type=f287']"
