star_point,comment,photo
5,많은 고민을 했던 제품 중에 하나였는데 진짜 정말 잘 샀다는 생각이 들었어요!!! 배송도 어제(금) 주문 했는데 방금 받았다는!! 포장도 아주 잘 돼서 왔고 어느 한 곳 흠집도 없이 깔끔했어요~~ 특히 터치감도 좋고 사이즈도 딱이에요!! 백라이트도 진짜 예쁘고 특히 키보드 소리 청아하게 탁하고 예쁘달까요.. 쿠ㅜㅜ 제가 원했던 사운드...^^ 감사하고 잘 쓰겠습니다^^,"['https://phinf.pstatic.net/checkout/20200912_232/15998830241939MlAk_JPEG/review-attachment-39a3cd3c-f626-4817-885f-155288e5cf19.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_43/1599883037279OKvWH_JPEG/review-attachment-81e01435-cd8c-45f9-882d-1452b5e88244.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_142/1599883025159vnEim_JPEG/review-attachment-7b86affe-c024-45d7-a3c6-d5ddebe14959.jpeg?type=f287']"
5,"빠른 배송 감사드립니다!
어제 오자마자 사용 중인데 텐키리스는 처음이라 가끔 헛손질 하네요..
적축은 처음이라 비교가 어렵지만 키감은 좋아요!
덕분에 마우스 움직이는 공간이 확실히 늘어났네요!
다만 뽑기 운이라는 얘기가 있어서 한달 리뷰 때 또 올릴게요~~~","['https://phinf.pstatic.net/checkout/20201007_105/1602032015900Ik4hn_JPEG/review-attachment-2371668e-869a-4198-aae3-cdf4caf90a42.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201007_119/1602032016296ObCQV_JPEG/review-attachment-112a287d-8a9d-4e82-b4d4-bb75d64cca4d.jpeg?type=f287']"
2,"나름 가격합리적이고 LED 좋구요
청축 좋고 텐키리스 공간 차지안해서 좋고 다 좋아요
좋습니다
근데 한영키 위치 ALT에다 박은건 너무 불편합니다

스페이스바 길면 점프가 높이 뛰어지는것도 아닌데 ;;;
쓸다리없이 스페이스바 길게 빼고 그덕에 한영키 박을곳이 없어서 우측 ALT에 한영키를 박아놓는 센스 ;;;

그덕에 타자칠때 한영 전환하려면 엄지를 졸라 꺾어서 누르거나 손한번 떼서 누르고 다시 쳐야하네요 (보통 우측 엄지로 뻗으면 바로 닿음)

저가형 키보드도 한영키 잘 붙어있어서 제가 미리 체크를
못한 부분이 되겠구요 담부턴 이걸 잘 체크해야겠군요
생각보다 엄청 불편합니다 ㅠ",[]
5,제가 앱코+ 텐키리스 제품을 주로 쓰는 편입니다. 청축은 너무 시끄러워서 키보드로 쓸게 많은 사람은 못쓰겠던데 적축이라 그런지 조용하고 부드러운 키감이 정말 마음에 들어요! 디자인도 깔끔하고 led 불빛도 너무 거슬리지 않을 정도라서 좋습니다:),"['https://phinf.pstatic.net/checkout/20200702_72/1593697554035Ytup9_JPEG/9515d6ffc28da4378fe35248dabd7003.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200702_92/1593697554116KJDru_JPEG/c26b040e4dbf2f17464450fe940d0042.jpeg?type=f287']"
5,멤브레인식 키보드만 수십년을 써왔다. 피파온라인을 즐겨 하던 중 손가락 관절의 통증과 열감이 느껴졌다. 정형외과에 가서 게임을 너무 힘을 줘서 했다고는 말하지 못하고 대충 둘러대고 치료를 받았다. 원인은 바닥의 기판에 접촉이 되어야 인식이 되는 멤브레인식 키보드 때문이었다. 자칫하면 장애를 입을 수도 있었던 위기. 나는 내 몸의 위험 신호를 알아채고 분석적으로 사고했다. 환경을 바꾸면 결과가 호전될 것이다. 한 차례의 경험으로 나는 키보드를 바꿀 결심을 했다. 수십년 간 한 종류의 키보드만 써온 터라 키보드에 대한 지식이 없었다. 나는 바닥에서부터 공부해야 했다. 스승은 오직 인터넷 검색 내용 뿐. 고독한 싸움이 시작되었고 기계식 키보드의 원리와 역사 그리고 종류에 대한 지식이 습득되었다. 이제 구매할 키보드를 정할 차례. 나는 입문자였다. 물건을 구매할 때는 무엇보다 자기자신에 대한 차갑고 정확한 판단이 필요하다. 이론적 지식은 알더라도 평생 기계식 키보드를 몸으로 느껴보지 못한 존재였다. 그러므로 나에게는 고장이 발생할 수 있는 전자기기인 기계식 키보드는 적당히 저렴한 것이 좋다는 결론에 이르렀다. 다음으로 최근 마우스를 무선으로 바꾸었다. 나는 요즘 컴퓨터 주변의 공간을 최대한 확보하고자하는 쪽으로 사상을 정했다. 기존의 키패드가 있는 키보드는 너무 길었다. 이왕이면 선이 없는 무선이면 좋지만 기계식 키보드는 뭔가 무선과는 어울리지 않는 특유의 감성이 있다. 그래서유선 텐키리스를 사기로 했다. 시끄러운 키보드 소리는 싫어한다. 그래서 적축으로 간단하게 결정했다. 사람들의 평도 꼼꼼하게 분석해봤다. 이 제품 정도의 평이면 좋은 편이었다. 결론적으로 수많은 선택지 중 나의 조건과 최상의 결합을 이루는 제품으로 이 제품을 선택했다. 이제 나의 손가락 관절은 더 이상 고통받지 않는다.배송 또한 만족스러웠다. 저녁 6시가 넘어 주문했음에도 불구하고 다음날 오후 1시쯤 받을 수 있었다. 유일한 단점은 k640과 달리 플라스틱 덮개가 들어있지 않다는 점이다.,['https://shopping-phinf.pstatic.net/20190628_13/f33555ad-fbcf-461d-bfdc-7b862d340877.jpg?type=f287']
5,"원래 같은제품의 청축을 쓰고 있었는데 과제나 시험준비 등 밤 늦게 사용할 때가 많아 부모님 형제들이 잘 때 문을 닫고 사용할 정도로 조심했었는데 갈축을 받아서 두들겨보니까 소음 걱정이 거의 없고, 묵직한 감이 맘에 듭니다.",['https://phinf.pstatic.net/checkout/20201006_38/1601958478632bImbV_JPEG/review-attachment-551c53b3-6265-4c92-ba44-919bdbaa9fa2.jpeg?type=f287']
1,"4일 째 되던 날 D버튼이 눌려지다 안눌려지다 함. 기분 뭐같은건 구매확정 후 이게 발생했고 판매자 대한민국 1이라는 이름답게 전화 안받기 1위임. 그래서 어쩔 수 없어서 앱코 전화 했고 1달 이내 고장은 교환 또는 무상 AS된다 함. 1주일 이내 고장은 환불된다 함. 근데 택배 포장해서 보내서 증상 적어주고 구매내역 프린트해서 동봉할 생각하니 아찔함. 존나 귀찮음.
내가 뭐 9천원짜리 키보드 산것도 아니고. 10년전 키보드 개 잘되는데 텐키리스에 기계식산 내 잘못 같음. 전화좀 받으세요 판매자님.
다른 분들 살 때 진짜 신중하게 사세요. 저와 같은 상품평 몇개 있길래 그냥 경쟁사 악플이거니 생각했는데 아니였음. 그냥 돈내고 스트레스 받고 싶으면 해당 키보드 구매하세요.",[]
5,디자인 깔끔하고 중국산 저가형과 달리 키보드 자체 무게감이 약간 있어 사용시 탈탈 털리는 소음은 없습니다. 바닥 접촉면 미끄럼 방지처리로 안정적으로 쓸 수 있네요.키감은 갈축 마제스터치 느낌과 달리 약간 리니어 느낌에 가깝네요. 사무실에서 쓰기에 소음 없고 좋습니다. 집에서 쓸거면 청축이 좋겠구요.케이블도 품질 좋고 길이도 넉넉합니다.,[]
5,일단 적축이여서 몰컴하기 딱 좋습니다그리고 텐키리스여서 마우스 활동범위도 넓어진것도 좋은거 같네요조금 아쉬운건 겉포장이 좀 아쉬웠는데내부 포장은 되게 만족 스러웠습니다키 교환이 가능한데 따로 여분의 오테뮤적축 키는 오지 않은것도 조금 아쉽지만그래도 축 교환은 할 수있게 축교환 집게(?)도 와서잘 사용 하겠습니다,"['https://shopping-phinf.pstatic.net/20191204_25/1d5e711d-c477-4c26-91a8-c98cf550b71c.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191204_17/6aa70aa4-614f-4bbb-b794-d6555690408d.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191204_12/9e9c202e-6e9e-45c9-a4d1-3f5d94772062.jpg?type=f287']"
5,지금 구매한 키보드로 리뷰 작성중인데 잘 작동합니다이거보다 저 저렴한 제품을 구매할려다가 그냥 이걸로 구매했는데 잘 구매한거 같아요피방에서 사용할 정도면 내구성도 어느정도 만족된 제품이겠죠소리 부분은 어차피 청축이라 그냥 넘어가고...짤깍이는 소리가 참 듣기 좋네요디아블로2 용으로 구매한 제품인데 다용도로 잘 쓸거 같습니다걱정한 부분은 LED 인데 은은하게 눈부시지 않고 딱 좋네요잘 쓰겠습니다여태 노트북 자판 만지다가 이걸로 타이핑하니까 좀 어색하네요열겜하다보면 익숙해지겠죠,[]
4,"주말에 주문하고 화욜에 받았다. 하지만, 바빠서 다시 주말 저녁에야 포장을 뜯었음..ㅜㅜ 기존에 앱코 무접점 키보드를 사용중인데 비슷한 느낌이다. 텐키리스에 무겁고 투박하고 심플하고. 이것은 무접점 보다 키압이 훨씬 무겁고 그리고 경쾌한 소리가 난다는 점이 다르다. 사실, 이 키 압과 소리 때문에 구입을 했다. 한 가지 단점이랄지 특징이랄지 한 것은 LED가 켜져야 글자가 제대로 보인다는 것이다. LED가 꺼져 있거나, LED 모드 중에 키를 눌러야 LED가 켜지는 경우, 어두운 상황에서는 글자가 잘 보이지 않아서 불편한 부분이 있다. 특히 숫자키의 경우는 보고 눌러야 하는 경우가 많은데, 잘 보이지 않아서 불편했다. 그 이외는 만족 !!!",[]
5,"음 나름 쓸만하게 왔습니다 퀄리티는 사진하고 비슷한데 진짜 키보드가
작더라고요 노트북에 손이익어서 작은 키보드 구매한건데 노트북
키보드보다 조금 작은거 보고 놀랐습니다 타건음은 그 타자칠때 느낌은
기계식이어서 모르겠지만 ㄱㅊ은데 소음은 어느정도 있는것같습니다
타자도 힘 적게 들이고 그런 느낌은 아니에요 약간 힘 좀 조야 하는?
머 그래도 led뿅맛하고 진짜 pc방에서 하는 딱 그 키보드 느낌이어서 나름 만족합니다",[]
5,"상당히 만족스럽습니다. 기계식 키보드 첫 입문 제품입니다.이 제품을 선택한 이유는 화려한 컬러 백라이트, 그리고 한글 각인 부분도 백라이트가 들어오는 부분 마음에 들었습니다. 작업 공간이 어둡기 때문에 한글로 백라이트가 들어왔으면 했는데, 의외로 이런 제품이 없습니다.그리고 적당히 다른 제품에도 있는 기능들이 대부분 들어가 있다는 점이었습니다.그리고 단순하고 깔끔한 디자인, 요즘 게이밍 기어들이 참 많이 출시 되는데, 디자인이 화려한 제품들이 많던데 저는 그런 화려한 제품 보다는 깔끔하고 단순한 제품을 원했기 때문입니다.그리고 입문 제품이었기에 가격도 중요했습니다. 위의 사항들을 모두 만족하면서 가격도 상당히 저렴하여 구입하였습니다.일단 하루 정도 사용해본 바로는 상당히 만족스럽습니다. 오래 사용할 수 있으면 좋겠네요. 다만 제품에 미세한 오염이나 크랙이 좀 있습니다. 새제품이 이렇다는게 좀 아쉽습니다. 크기 눈에 뛰지는 않아 그냥 사용하기로 했습니다.전체적으로는 만족하며, 이 가격에 구입할 수 있는 좋은 제품이라고 평가합니다.","['https://phinf.pstatic.net/checkout/20190706_206/1562377369286oj5bx_JPEG/P20190706_102948381_F87CA323-4996-4BAD-A093-E651AF7AA5AE.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20190706_242/1562377369469VW6Fx_JPEG/P20190706_103011337_B99DCD71-5565-4F31-8CD4-0E4F0C977022.JPG?type=f287']"
5,중2아들 쓰던 키보드가 고장나 급 주문했네요~게임 좋아하고 잘 하는 아이라 애들 아빠가 고르고 골라 좋은걸로 주문했는데 키보드 치는 감도 부드럽고소리도 그닥 크지 않고 젤 좋고 이쁜건 조명들이 화려하고 넘 이쁘네요~LED조명 들어오는 기능이 9가지 종류나 되고 진짜 아들맘에도 제맘에도 쏙 들었네요^^아들 신나게 겜할 수 있겠어요~,[]
5,"이번에 지마켓에서 저렴하게 기계식 키보드가 나와서 처음으로 입문해 봅니다.일주일도안 사용힌 것을 토대로 이 키보드와 보통의 멤브레인 키보드와의 차이점을 말해보겠습니다.1. 키보드 키감과 소리청축 키보드 = 경쾌하고 시끄럽습니다. 그리고 누르는 느낌이 좋아요. 탱클탱클한 것을 누르는 느낌멤브레인 키보드 = 그냥 시끄럽지도 않고 경쾌하지 않아요. 누르는 느낌은 물러터진 것을 누르는 느낌2. 시안성청축 키보드 = 화려한 LED 효과로 밤에 불키지 않아도 컴퓨터하는데 지자이 없으며...여러가지 효과로 인하여. 화려합니다. 단 너무 화려하게 해서 컴퓨터에서 시선을 빼앗가는 경우도 있습니다.그러나 단점아닌 단점은 한글 자판이 두개씩 있는 것 ㅃ, ㅉ, ㅒ, ㅖ 에는 불이 제대로 안들어 옵니다. 바로 아래 LED가 없는 관계로...멤브레인 키보드 = 어두운 곳에서는 사용하게 불편함. 물론 LED있는 것도 있겠지만 그거 살돈이면 이 키보드를 사는 것이 이득임.3. 활용성청축 키보드 = 축을 교체할 수 있는 장비를 여분으로 주며 기호에 따라 다른 축으로 교환하여 사용가능합니다. 또한 축이 고창나다더라도교체하여 사용가능멤브레인 키보드 = 맘에 안들겨나 키하나가 고장나거나 부서지면 모두 교체해야함.밤에 불안키고 컴퓨터를 쓸려고....샀습니다. 조용하게 못 쓴다는 거 빼고는 완벽합니다.어디가 이가격에 어런 키보드를 절대로 살 수 없을꺼 같네요.와이프가 제가 쓰는거 보더니.. 자기도 사달라고 하네요.그래서 갈축으로 하나 더 살려고 합니다.","['https://shopping-phinf.pstatic.net/20190127_20/2b51aed6-27f4-4b0f-8f7b-5f19cdb96582.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190127_2/32bbd20e-9fe6-4438-800f-43a3e6d3419b.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190127_16/6875a702-2a6d-4ef8-8e79-cfeb291c4c05.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190628_20/b08c11f2-92cc-4ec6-b496-ddfbdde3dae3.jpg?type=f287']"
5,"기존에 filco 마제스타처치 갈축 제품을 사용하고 있는데. 딸아이의 키보드를 교체하게 되어 구매했습니다. 기존에 사용하던 제품과는 1% 다른면이 있기는 하지만. 축이 생각보다 너무 좋네요. 무엇보다고 LED조작을 위한 소프트웨어를 설치 하지 않아서 좋아요.. 구질구질하게 소프트웨어 설치해서 셋팅하는 것은 딱 질색이거든요,.그리고 키캡이 이중 사출이어서 나중에도 깨끗하게 사용할 수 있을 것 같아요, 마지막으로 텐키리스 이건 안써보신 분들은 몰라요, 공간절약도 되고 삼실 키패드는 거의 사용 안하잖아요.. 좋은 제품 싸게 판매해 주셔서 감사합니다.",[]
