star_point,comment,photo
5,"포장부터 깔끔하고 배송까지 빠르게 왔습니다.
장점으로는 키보드는 말할 것도 없이 좋습니다. 소음이 크지 않은 적축으로 했는데 너무 소리가 안날까봐 걱정했지만 크지도 않고 작지도 않은 소음이여서 정말 만족했습니다. 그리고 외부충격으로부터 보호하기 위해 꼼꼼히 뽁뽁이도 싸주셔서 너무 마음에 들었고 내부 구성 또한 키패드는 물론 청소 브러쉬, 키 커버, 키캡 리무버, 스위치 리무버 그리고 PC방 전용 경고 스티커까지 알차게 들어있었습니다. 그리고 케이블이 페브릭으로 되어있고 길이도 넉넉해서 정말 만족감을 크게 느껴주는 제품이었네요.

단점으로는 LED밝기가 약한 느낌이 없지 않아 있네요. 최대로 올려도 더 밝았으면 하는 아쉬움이 남아 있습니다.

전반적으로는 이가격에 나올 수 없는 물건이라 생각하고 가성비 값인 제품이라고 생각합니다. 저는 무조건 추천입니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_09_29_0/4a6ea5fd-e2c9-11e9-ba3a-48df37269ee2_01.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_09_29_0/5bf7a16c-e2c9-11e9-af78-48df3726a06a_05.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190929_187/1569768961701R0fK5_JPEG/KakaoTalk_20190929_233805056.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190929_48/15697689617982CWVU_JPEG/KakaoTalk_20190929_233805056_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190929_192/1569768961867wWlpl_JPEG/KakaoTalk_20190929_233805056_05.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190929_89/1569768961857d0t7S_JPEG/KakaoTalk_20190929_233805056_08.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190929_83/15697689620045KMFn_JPEG/KakaoTalk_20190929_233805056_12.jpg?type=f287']"
5,"배송 엄청 빠르네요! 친구덕에 게이밍 키보드 알게되어 구매하게 되었습니다. 구매평이 가장 많은 제품 골랐는데 역시 이유가 있네요!
청축은 사용했었는데 눌리는게 너무 무거운 느낌이고 소리가 커서 적축으로 구매했습니다. 눌리는 느낌이 확실히 부드러운 느낌이 좋고 소리는 청축에비해 다이나믹하진않지만 리듬감이 있습니다. 외형적인 부분에서도 매트블랙으로 깔끔하고 세련된 느낌을 주고 깔끔합니다.
가격대비 성능 디자인 하나 빠지는게 없습니다. 다음 키보드는 좀 더 가격이있는 제품도 구매해보고싶네요^^키보드 잘 사용하겠습니다. 번창하세요! 플레가즈아~!","['https://phinf.pstatic.net/checkout/20200924_227/1600925301930327jA_JPEG/review-attachment-2b5b4a91-2dcb-4100-bc77-f3d543380081.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200924_173/1600925302190BOKm8_JPEG/review-attachment-3bba6344-9b01-42a9-b012-97f1cf15d511.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200924_226/1600925302949yz8wv_JPEG/review-attachment-8603707a-bd0b-46d7-8378-09f4d8b47b2d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200924_86/16009253032183F7Ni_JPEG/review-attachment-92400a46-90b5-427b-84a7-2a4bcfeea0f6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200924_253/1600925303122yyA0M_JPEG/review-attachment-bbf68334-1e2b-4c6a-8111-340bd8a4e96a.jpeg?type=f287']"
5,"기계식 키보드 첨사봤는데 타격감 굉장히 좋습니다ㅎㅎ 학생친구들은 밤에 몰컴하면 바로 걸릴 그런 느낌이구요 새벽에 잔잔바리하게 게임하...려다가 키보드 두둘기자마자 뭔가 타닥타닥 호롤롤로 쾅쾅쾅 웅장해지는 소리에요
불빛도 모드가 여러개고 심지어 게임별로 모드가 적용이 가능해서 신기하네요 커스텀도 있지만 일단 복잡해서 기본모드중에서 제일 잔잔한 거로 설정해 두었는데 색감 너무 곱고요~ 밝기 속도 조절도 간편하게 Fn키로다가 설정이 가능하네요
이번에 앱코 키보드 헤드셋 마우스 같이 맞추었는데 키보드와 마우스는 연결선에 찍찍이 가 원래 있어서 선정리하기 간편하고 참 좋아용
그전에는 택배오면 붙어있는거로 해서 뭔가 덕지덕지지저분해보였는데 역시 전문 브랜드는 사소한거부터 다르네요
새 장비 잘 적응해서 게임 승률도 좀 올랐으면 하네요 한달후 후기에서 뵙죠~
그리고 이번달 패드 이벤트에 신청합니다
컴퓨터 전용 패드 없어서 강아지 미끄럼 방지패드를 책상에다가 깔고 그러고 살고있네요.....","['https://phinf.pstatic.net/checkout/20201021_283/1603227869573RWeoq_JPEG/review-attachment-99c929a6-a780-4792-8447-61354dce2d2d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201021_169/1603227869520OH0kG_JPEG/review-attachment-6224527d-caa5-40a1-a156-53f9370140c0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201021_287/1603227868855W9IF9_JPEG/review-attachment-11b3431a-e293-467e-a4df-ce2322d356c5.jpeg?type=f287']"
5,"원래 소리나는 키보드를 절대 안 썼는데 주변에서 이거 사서 쓰는 사람꺼를 빌려서 써보게 됐습니다.
소리도 시끄러운 느낌이 아니라 말발굽 소리같아서 거부감이 덜했습니다.
타격감도 좋고 손가락 라인에 맞게끔 굴곡도 좋아 손에 착 감기는 느낌입니다. 오타율도 확연히 적어졌습니다.
그래서 바로 저도 구매했습니다.
배송도 빠르고 일의 능률도 높아졌고 아주 좋습니다.
백스페이스키 까보면 세 개의 플러스가 있는데 각 양쪽 플러스가 안 눌립니다ㅠ 그 전에 먼저 쓰던 사람꺼는 안 그런데.. 그래도 작동을 아예 안하거나 큰 문제가 되지는 않아서 그냥 쓰긴 쓰렵니다.
어쨌든 안 쓰는 기능이긴 하지만 불빛효과도 예쁘고 전체적으로 .","['https://phinf.pstatic.net/checkout/20201012_289/1602509504071KlVB8_JPEG/review-attachment-90e6c015-d531-487b-a7c2-7aca245c769a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201012_277/1602509509655iSWgf_JPEG/review-attachment-dd0fccb9-cfdd-494b-b7ee-762c509b61cc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201012_16/1602509514790mgMQO_JPEG/review-attachment-4ed432fa-b255-4b42-8dc9-f8e55be1e9e6.jpeg?type=f287']"
4,"제가 구입한 생애 첫번째 기계식 키보드가 k640 입니다. 일단 저는 타자를 치는 듯한 경쾌한 소리를 좋아해서 타건 소리가 가장 크다는 청축을 구입했습니다. 그리고 깨끗한 색깔의 화이트를 골랐구요. 구매의 가장 큰 포인트는 타건 소리였는데 일단 제가 기존에 사용하던 멤브레인식 키보드 보다는 짤깍 거리는 소리가 커서 좋았지만 제가 기계식 키보드를 처음 구매해서 사용했기 때문에 다른 기계식 청축 키보드를 사용해 본 적이 없어서 소리가 얼마만큼 큰 지는 잘 모르겠습니다. 개인적인 기준으로는 지금 치고 있는 소리보다 조금 더 컸으면 좋겠다는 생각을 합니다. 타건 소리가 조금 작다(?)는 것만 빼면 디자인도 괜찮고 특히나 사용하지 않는 동안에는 투명한 플라스틱 덮개로 덮어놓을수 있어서 먼지가 잘 들어가지 않게끔 배려해 주신게 생각보다 더 마음에 듭니다. 아직 비교 대상이 없어서 다른 청축 키보드를 사용해 봐야 겠지만 현 시점에서는 가격대비 성능에서는 무척 마음에 드는 제품입니다. 부디 잔 고장 없이 오래동안 사용할 수 있었으면 좋겠습니다.
감사합니다.","['https://phinf.pstatic.net/checkout/20201008_106/16020840138896dSBR_JPEG/review-attachment-9e057c49-28a3-4f82-9be7-68add20669c0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201008_279/1602084020522hTVmH_JPEG/review-attachment-7fec73e4-7950-4dca-a401-1e40df21d425.jpeg?type=f287']"
5,피시방에서 보던 그 보드 그대로라서 너무 좋아요ㅠ 키보드도 무거워서 쓸 때 안움직여서 너무 좋구요 제가 손목이 많이 안좋아서 적축으로 구매했는데 처음에 눌러봤을때는 이렇게 힘없이 들어간다고? 제대로 눌리는거 맞나..? 했는데 게임 사용 해보자 바로 손목 하나도 안아프고 부드럽고 정확하게 사용이 되길래 너무 행복해서 소리질렀습니다... 오래오래 잘 사용했으면 좋겠어요!!,"['https://phinf.pstatic.net/checkout/20201118_190/1605692185288gcNoA_JPEG/review-attachment-87b8bd34-0e70-4b05-bb75-793780e4b15c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201118_244/1605692184908kU3Gx_JPEG/review-attachment-9fa8b9cb-615c-4d2c-bae3-09c3b3c1ddfa.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201118_268/16056921848683lfI2_JPEG/review-attachment-54517925-30e5-49da-ae57-22fe0ddb454e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201118_198/1605692185887yHEPE_JPEG/review-attachment-2daa2b14-5731-4d1f-aae7-e6e1d150a3e4.jpeg?type=f287']"
5,기존 해커 키보드 만족하고 사용중이어서 구매했습니다. 기존에 사용하던 녀석이 3년쯤 되니 키가 안먹거나 반응이 느린것 같아 구매했고요. 새제품이라서 그런가 확실히 키반응이 좋더군요. 기존 키보드 대비 키보드가 좀 높아서 불편할줄 알았으나 실 사용시 전혀 문제가 없더군요.,"['https://phinf.pstatic.net/checkout/20201028_44/1603843023825PsOgO_JPEG/review-attachment-cb0d0d06-200e-49d4-9a3d-ccbab4c138b7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201028_38/1603843024003uPS1x_JPEG/review-attachment-c629a749-184a-418f-baea-a83c13028612.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201028_189/1603843024117NBfzy_JPEG/review-attachment-85d24378-f89e-4bee-9f6e-d3ca08456a51.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201028_109/1603843024183k3dSL_JPEG/review-attachment-a7cfb692-f945-4f61-8ff9-1974e165bfb8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201028_49/1603843024225vzLox_JPEG/review-attachment-43974d6f-03d9-4bdf-857a-9ca31cf39318.jpeg?type=f287']"
5,금요일에 주문했는데 토요일에 도착한거보니 택배 엄청 빨리와서 만족합니다! 그리고 키보드 화이트 청축으로 사니깐 LED 불빛도 화려하고 딸깍딸깍소리도 너무 좋아요~ 그리고 마우스도 추가로 주문했는데 마우스 속도도 조절가능하고 바닥에 LED가 들어오니 만족합니다! 잘 사용할께요^^,"['https://phinf.pstatic.net/checkout/20201108_216/1604838798789wkyt7_JPEG/review-attachment-d406905f-e623-4789-8ba1-bbb1bd0cf05d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201108_134/1604838799544pyciM_JPEG/review-attachment-bc38c774-e773-4ce5-a12d-33b6d5acc196.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201108_45/1604838798884nARv3_JPEG/review-attachment-10937193-d435-4a7d-9069-0392fea5ff70.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201108_67/1604838800169M0ylE_JPEG/review-attachment-53893b1c-1d78-4085-ad73-41cae322131b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201108_282/1604838794968alXU7_JPEG/review-attachment-1fad6ffc-f5c2-47b1-aa5f-876c74b239a1.jpeg?type=f287']"
5,"키보드에 누르는 타격감도 좋고,
소리도 듣기 거슬리지 않을 정도로 좋네요.
무엇보다 키보드 자체에 무게감이 있어서 좋습니다.
다만 키보드 숫자패드 윗쪽에 살짝 찍힘이 있는 채로 도착했는데,
반품하기도 귀찮고 해서 네임팬으로 살짝 색을 칠해서 사용하려구요.ㅠㅠ

그것만 빼면 완전 만족입니다.

추후 제품 출하시 해당 부분 꼼꼼히 살펴서 보내주셨음 하는 바램입니다.","['https://phinf.pstatic.net/checkout/20200819_198/1597830106011A9U6j_JPEG/review-attachment-897cc293-dd6b-4b08-9d13-ad52a6aa96aa.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_251/1597830105985KWqag_JPEG/review-attachment-4a44b382-0583-4ed7-b1b5-257710fd06fc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_220/1597830105942Kry3q_JPEG/review-attachment-928a69e1-b3cc-4465-9e22-42a73112b5b2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_275/1597830106200O3h0T_JPEG/review-attachment-dc8d6581-1ad3-46aa-a560-365afd69cc58.jpeg?type=f287']"
5,"뽁뽁이 할까말까 고민하다가 따로 안 해도 멀쩡히 왔다는 리뷰보고 그냥 구매했어요.
물건은 튼튼한 자체 상자에 담겨 손상된 곳 없이 왔습니다.
발송부터 배송까지 엄청 빠르게 왔고요.

사용해 보니 정말 소리가 좋네요.
다만 조용한 걸 원하시는 분들은 구매하지 않는 게 좋겠어요.
저는 키보드 탁탁 치는 소리를 좋아해서 굉장히 만족합니다.

키보드 덮개는 처음 써 보는 평평한 모양인데 의외로 무난합니다.
덮개 없이 사용하면 쉽게 오염되니 웬만하면 씌워 놓으려 생각 중입니다.

.

오래 쓸 수 있으면 좋겠어요.
많이 파세요.","['https://phinf.pstatic.net/checkout/20201122_65/1606010380205szYb5_JPEG/review-attachment-431dcecb-cd76-418b-a884-d312dbf1b8e9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201122_50/1606010383752V6GCF_JPEG/review-attachment-58739859-2359-41e9-bdcf-2cfba3827dd6.jpeg?type=f287']"
