star_point,comment,photo
5,"굿굿굿 ~
이런 스타일 처음 구매해봅니다 ㅎ
늘 과거 구조 일반 저소음키보드만 쓰다 ~
이번에 키보드가 상태가 안좋아서 교체할생각으로 ~
기계식키보드 구매하려다 이곳저곳 구경하며 ~
이걸 보내되었네요 ~

원래 마우스나 키보드 저렴한걸 쓰는 편이라 ~
6만원대도 부담되었죠 ~ 그래도 기계식 써보고싶어 그중 저렴한것 알아보다 ~ 또다른 광축키보드라는걸 보게 됨 ~
기계식과 광축은 다른거라고 ~
기계식이 더 일찍 자리잡았지만
광축도 늘어나는 추세이고 ~ 더 오래 쓸수있다고 하고 ~ 리니어가 있었고 ~ 딱 원하는 스타일이였네요 ~
기존꺼와 너무 달라서 좀 부자연 스러운 느낌이 있지만 또 시간가면 적응되죠 ㅎ

LED도 이쁘고 ~ 어두운곳에서는 더 이쁘고 ~
청축=클릭 이라는데 ~ 그건 소리더 더크다는데 얼마나 더클지 ㅎ
리니어 소음조금이라도 적은 스타일을 좋아해서 ~
기존 오래된구조의 일반 저소음보다 소리가 크지만 ~
이또한 적응될꺼같네요 ~
엔터키 넓은거 쓰다 ㅎ 이건 작은 스타일이라 이런저런
적응시간이 필요 ㅎ (안쓰던 사람이라면 ㅎ)","['https://phinf.pstatic.net/checkout/20200807_66/1596772559663bQ64M_JPEG/review-attachment-3595a6f5-a860-44c5-a3be-c731af673bf9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200807_218/1596772563482u0aHd_JPEG/review-attachment-ab993221-7894-4d56-a748-bdfcc3c3c7cb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200807_181/1596772567772dRObN_JPEG/review-attachment-333f414f-aa6a-4b58-a301-54b3b5a29233.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200807_112/1596772575051Qx7La_JPEG/review-attachment-1c701e02-3209-4273-8300-1cb99eda47ad.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200807_137/1596772580582QyHDQ_JPEG/review-attachment-44a3c6f6-636a-418b-8e4e-85ebbfcd3ef8.jpeg?type=f287']"
5,"기존에 쓰던 앱코 k6000 청축 키보드가 키씹힘이 생겨서 괜찮은 중저가형 광축키보드 찾아보다가 구매했습니다.
일단 우체국택배여서 어제 오후에 주문했는데 오늘 점심쯤에 도착했습니다.
빠른 배송이 정말 마음에 들었고요 다만 아쉬운점은 포장이 살짝 부실했습니다.
키보드박스 겉에 비닐만 씌워서 왔는데 뽁뽁이라도 조금 감아줘서 발송해주셨으면...좋았을것같네요ㅎㅎ
그래도 빠른배송에 택비2500원인데 이정도면 충분히 이해할만합니다.
언박싱해서 잠깐 키보드 쳐봤는데 진짜 타감은 너무 좋습니다.
클릭이 아니라 리니어여서 .
구매하실때 참고하세요.
느낌은 키눌렀을때 서걱서걱들어가는 느낌?인것같습니다.
led잘들어오고 측면 rgb도 정말 마음에 드는데 한가지아쉬운건 키 led도 rgb였으면 더 이쁘지않았을까...싶네요.
완전방수에 축교환도 되서 고장나도 쉽게 해결할 수 있는게 만족스럽습니다.","['https://phinf.pstatic.net/checkout/20200521_200/1590033332762yd8S6_JPEG/20200521_123544.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200521_60/1590033333381uDzQO_JPEG/20200521_123526.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200521_82/1590033375044Aqhmx_JPEG/15900333574578153287178301305537.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200521_136/1590033333477RUeLP_JPEG/20200521_123507.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200521_284/1590033334734QE5p5_JPEG/20200521_123446.jpg?type=f287']"
5,"만족하며 사용중입니다 ~
이런식 키보드는 처음이라 예전부터 기계식 느낌 사고싶었네요 ~
키보드 고장난김에 기계식느낌으로 알아보다 이거 구매함 ~
LED도이쁘고 ~ 아크릴 포인트도 좋고 ~
단 기존쓰던 키보드에 익숙한지라 ~ 적응기간이 필요 ㅋㅋ
가끔 엔터 잘못누르고 자판도 다른거 누름 ㅋ
전에껀 키좀더 넓고 엔터키도 넓고 해서 ~
리니어 소음은 다른거에비해 조금이라도 조용하겠죠 ㅎ
펜타그래프 키보드 쓰던 사람이라 그런지 ~
리니어도 소음이 크게 다가옴 ㅎ
거는 역시 펜타그래프 키보드 짱인듯 ~
키 커버는 호환되는거 알아보다 ~ 레오폴드 104키 실리콘 키스킨 발견 ~ 미끌한 재질이아닌게 아쉽지만 사이즈가 딱이네요 모퉁이만 살짝 부족하지만 키들은 완벽호환 ㅎㅎ
키보드 전 커버쓰는게 좋아해서 ~ 앱코 자체적으로도 키스킨 나왔으면 좋겠네요 ~","['https://phinf.pstatic.net/checkout/20200914_267/1600048946640l5blL_JPEG/review-attachment-ae1e2032-cc2a-4c47-a2d2-cb5877c58c61.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200914_110/1600048951157k6HR9_JPEG/review-attachment-987cd2b8-1dcc-4a85-9e8f-11670ca5b3e9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200914_111/1600048955643eiv25_JPEG/review-attachment-d8a16a56-b554-4435-b534-f4b46ac63880.jpeg?type=f287']"
3,1. 키감은 나쁘지 않습니다. 기계식 키보드자체가 약간씩 키가 고정이 안되고 조금씩 움직인다 하더라구요.....그래서 조금씩 흔들리는거�馨� 양호합니다.2. 소음도소리는 멤브레인이나 플린저 키보다느 약간있고 키보드 통울림도있습니다. 키보드 눌림음은.. 적축보다는 통울림��문인지 더크게 들리네요3. 키캡 보기에는 전반적으로 보기도 나쁘지않으나...누를��마다 조금씩 흔들리면서 약간 씩 미스가 나는 건 어쩔수없습니다.(기계식 키보드는 약간씩 흔들린다는데 이건 심한편인듯 합니다. 키보드가 약간 공중에 떠있는듯합니다. 집에있는 다른 회사제품은 안그렇습니다.(적축))4. 다중입력키씹힘현상은 저는 못느끼겟습니다.. 그렇게... apm 이 높지않고 타격 겜을 하는게 아니라서요...엑셀이나 한글에서 여러키를 마구눌러보면 약간의 딜레이가(이게 씹히는건가요?) 있긴 하지만 전부 눌려 나옵니다.---총평---처음에 이제품말고 동사의 k660 스페셜 도 받아봤는데요 간은 라인이라 거의 동일한느낌 입니다이회사 제품이 키보드가 타사 기계식보다 키흔들림있습니다. 그리고 키캡 뽑아보면 고정하는 부분은 항상금이 가있습니다.. 내구성이 얼마나될런지 모르나... 해당 회사에서 파는 다른 키캡도 구매 예정이라 한번 그것도 장착해보고 생각을 마무리하려합니다. 받았던 4개가 모두 그러니 그냥 이회사 제품은 그게 디자인이거나 내구에 문제가 없는 걸로 생각 할 겁니다.(포기한겁니다)추천도 많고 좋다고 하니 더 써보려고 하는겁니다.사진은 3번째 받았을 때 키캡은 포기하고 새로 구매하거나 제조사에 문의 해서 받을려 했습니다.. (받을 가망은 없을 듯하고 다음달에 구매해서 사용할 예정입니다.) 제가 찍은 사진은 구매시 참고하시길 바랍니다.타사 제품은 흰색부분이 저렇지 않습니다..흰색 십자부분사진은 앞 3개는 현제 받은 제품 나머진 전에 받았던제품 사진이 섞여 있습니다.,"['https://shopping-phinf.pstatic.net/20190922_6/d0444bd3-9d18-46d1-b21e-622978efc611.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190922_9/10e22b65-889c-4cbf-a50c-ef9cae5b0201.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190922_18/0af43968-4439-4d72-a060-b62584cfa7d1.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190922_24/96b8f966-4e27-4799-bac7-7fdb4272685a.jpg?type=f287']"
5,"몇날몇일 고민하다가 앱코꺼 구매하였습니다.
커세어 너무갖고싶었으나 금액에 한계를 부딪혀
뭐살까 고민하던중 마음에 드는걸 발견했네요.

멀티미디어 휠버튼이 없어서 아쉽지만 전체적인 마감도 훌륭하고 좋습니다. 리니어(적축)키보드 처음써보는데, 좀 더 소음이 적고 무거운게 저한텐 맞나봅니다 ㅎㅎ 약간 가벼운느낌이 있네요.

프레임도 튼튼하구요.
남편이 키보드 아무꺼나쓰지 뭐그렇게
비싼거샀냐며 엄청 싸웠지만....
결국 해냈습니다 ㅋㅋ 엄청 만족스럽네요.
LED 도 .
다만 키보드에 글자가 밑부분에 선명하지않은데
원래이런건지 궁금하네용.
뭐 ... 이정도는 :)","['https://phinf.pstatic.net/checkout/20200805_87/1596627336989I7sbN_JPEG/review-attachment-55ba0f9e-bad3-4860-83be-c332d7475485.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_18/1596627336989g6kHs_JPEG/review-attachment-f0202b04-b86e-4f8e-8d39-9c1376c25f4e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_214/1596627367219eOpVV_JPEG/review-attachment-98ea63f3-2b4f-4ee0-917b-12cd0dd21204.jpeg?type=f287']"
5,"처음에 커세어 살려다가 이것도 괜찮다는 평을 보고 샀는데 만족합니다.
아이가 넘 좋아라 하네요.
스마트폰 거치대도 사주고 키캡도 바꿔 줬더니 신났더라구요.
아이가 물을 자주 쏟아서 방수기능 언젠가 써보겠네요. ㅋㅋ
커세어랑 이거랑 둘다 써봐도 타이핑에 별 차이를 모르겠네요.
강추합니다.","['https://phinf.pstatic.net/checkout/20200923_294/16008492464570lk6L_JPEG/review-attachment-2d8ec67b-767b-40f7-aa66-e4640451d585.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200923_28/1600849277576m7rgT_JPEG/review-attachment-cbc37ea2-a9ee-4dda-a905-0959019a9c10.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200923_149/1600849319637xPKSd_JPEG/review-attachment-72f1393a-f279-4025-accf-f4e7eade1f81.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200923_244/1600849500340eLKI7_JPEG/review-attachment-2e430087-f685-4029-8528-572ffa380cba.jpeg?type=f287']"
5,"#ABKO #K660 #HACKER
기계식 키보드를 사용하고자 알아보던중
앱코 K660 ARC PREMIUM 제품에 대한 추천이
많아서 검색을 하여 구매하게 되었습니다.
본 제품에는 클릭과 리니어 타입 두가지로 나뉘는데
기계식키보드만의 타격음을 원하시면 클릭 타입을,
조용한걸 원하시면 리니어 타입을 구매하시면 됩니다.
저는 리니어 타입을 구매하였습니다.
색상은 블랙, 레드, 엘로우가 있는데
저는 사진과 같이 엘로우를 구매했는데
엘로우색상의 바디에 블랙 키패드가 잘 어울립니다.
타이핑 감도 좋고 광축이라 반응속도도 정말 빠릅니다.

ABKO K660 ARC PREMIUM 적극 추천합니다.","['https://phinf.pstatic.net/checkout/20200328_6/1585396749821BUCTI_JPEG/KakaoTalk_20200328_205833474_04.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200328_62/1585396749132DGlBi_JPEG/KakaoTalk_20200328_205833474.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200328_96/1585396749159nux68_JPEG/KakaoTalk_20200328_205833474_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200328_116/1585396749712gLeqD_JPEG/KakaoTalk_20200328_205833474_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200328_261/1585396749647aIGLg_JPEG/KakaoTalk_20200328_205833474_02.jpg?type=f287']"
5,"아니 이 가격에 이런 퀄리티 가능한겁니까 지금 설치하고 리뷰 작성하는데 손가락이랑 눈이랑 둘다 행복하네요 친구가 앱코 키보드 좋다고 추천해서 찾아보고 알아보고 구매했는데 백프로 만족합니다
타이핑 소리도 그렇게 거슬리지도 않고 그렇다고 기계식 특유의 사운드가 묻히는 것도 아니고 칠때마다 LED가 보이는게 좋네요
단점아닌 단점은 원래 쓰던 키보드 스페이스바가 작아서인지 한영키를 누르는게 조금 어색한 것 빼고는 만족합니다","['https://phinf.pstatic.net/checkout/20200819_288/15978012535467K1Nc_JPEG/review-attachment-2a8254a1-b45e-47a9-b457-0dde69c44814.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_129/1597801253519sNbTE_JPEG/review-attachment-70a50a40-3387-4312-99a6-8d8d48258896.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_272/1597801253551HmNYV_JPEG/review-attachment-5db6b288-8b93-4a28-a8ce-ae9877bd9aa2.jpeg?type=f287']"
5,"예전부터 PC방에서 쓸 때마다 타건감도 좋고 디자인도 예쁘고 전체적으로 사용감이 좋아서 찜해놨었다가 이번에 구매하게 됐어요~
노란색이 너무 예쁘고 타건감도 역시 좋고 키 반응도 빠르고 무엇보다 LED 모드가 타 키보드 대비 다양한 점이 가장 맘에 들어요~
불 끄고 보면 너무 예뻐요~ 키보드 하나만 바꿨을 뿐인데 게임할 맛 나네요~","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_02_0/d9b0e516-ed1b-11ea-98da-505dac8c35ff_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_02_0/0a8580c3-ed1c-11ea-9ec6-48df379ccacc_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_8/1599051420747NkUzV_JPEG/review-attachment-45d0ae21-7ec0-4878-a707-d8310174a6d8.jpeg?type=f287']"
5,"진짜 이쁩니다. 리니어 처음써보는데 너무 맘에 들구요

다들 키보드 고민많이 하시죠? 정말 후회앖을 선택임 마감도 좋고 소리도 듣기좋게 납니다
가림막같은게 같이오는데 사용안할때 덮어두면 먼지막기도 좋습니다
전 혹여나 못고칠정도로 고장난다면 다은은 블랙클릭한번 사보려구요 ! 사실 클릭사려했는데 새벽에도 pc를 하니 좀 시끄러울거 같아서 리니어주문했어요","['https://phinf.pstatic.net/checkout/20200516_236/1589627715610aJ7Na_JPEG/766FCA98-8503-4817-9136-6F12EFD7E1D7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200516_119/15896277168281Sdai_JPEG/1DD81536-B6A1-413F-B62F-65675094F516.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200516_119/15896277175152KkT1_JPEG/AF5DEE86-2231-43C8-9946-630A8E849BC0.jpeg?type=f287']"
