star_point,comment,photo
3,"첫 기계식키보드입니다. 책상에서 여러가지 많이 쏟을까봐 완전방수 기계식 키보드를 찾다가 이렇게 입문하게되었네요. 1인 사무실이라 주변에 크게 구애받지않아서 블랙/클릭/단일LED로 구매했습니다. 오늘 받아서 바로 집에서 노트북에 연결해서 사용해봤는데 이상없이 잘 작동합니다. 일단 키보드 케이블이 일반 고무가 아니라 직물로 되어있어서 좋았고 위에 플라스틱 케이스도 좋았어요. 확실히 통울림이 있어 업무환경 특히 소음?에 영향을 많이 받으시는 분들께는 1인 사무실이라도 비추합니다. 저는 스스로 기분전환 겸 일하는 느낌이 더 들어서 좋을 것 같아 구매했습니다 ㅎㅎ
그런데 배송올 때 사진처럼 비닐 안 뽁뽁이 한겹정도만 보호되서 왔어요. 박스 안에 따로 내장재가 있나 했는데 사진처럼 따로 없고 흰색 비닐안에 바로 키보드가 있습니다. 택배 이동간 여기저기 충격이 많을 것 같은데 지금은 키보드 상태가 괜찮지만 나중엔 어떨지 모르겠네요..","['https://phinf.pstatic.net/checkout/20200428_182/1588075375922LMYaU_JPEG/20200428_210053.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_224/1588074979217mtsVG_JPEG/20200428_205328.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_215/1588074988486PvrMr_JPEG/20200428_205359.jpg?type=f287']"
5,"정말 케바케인게 '리니어가 조용하고 타건감이 좋다' 등등의 리뷰가 꽤나 많아서 리니어를 샀는데 저는 클릭이 훨~~~~~~씬 좋아서 재구매 했습니다. (근데 동생은 클릭보다 조용해서 리니어를 선택. 그래서 동생이 리니어 쓰고 저는 클릭 사용중)

다른 구매자분들도 직접 만져보고 사시길 강추하지만..아마 직접 맍보고 사기보다는 평을 보고 구매하시는 분들이 대다수겠죠? 아니면 주변 피시방이라도 돌아다니면서 클릭&리니어 만져보셔도 괜찮을듯..

어찌됐든 평만 보고 샀다가는 이중으로 지출할 수 있다!

(. 워낙 블랙을 좋아하면서도 단일 LED라 요란스럽지도 않고요. 그냥 K660은 너무 요란한 LED라 개인적으로는 싫은 요소중 하나. 다행인건 동생은 노상관이라 잘사용중.)","['https://phinf.pstatic.net/checkout/20200319_179/1584583503697dWCxY_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200319_216/1584583508289cRs8X_JPEG/1.jpg?type=f287']"
5,"제품 무게감도 적당히 있어 안정감이 들고,
내구성 때문에 기계식키보드보단 광축으로 선택을 하였으나,
기계식 갈축?정도의 키감을 보여서 좋았습니다!
블랙색상으로 무난하며 LED빛과 은은하게 고급스럽게 잘 어울립니다. 만족하며 추천드립니다","['https://phinf.pstatic.net/checkout/20200929_41/1601340078799Y2jp7_JPEG/review-attachment-756c3ba4-64ad-493f-b92e-38c632e9dba3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200929_120/1601340078838Y0xow_JPEG/review-attachment-b0e92f7f-84cc-47c3-8ae8-5ff3fa01d354.jpeg?type=f287']"
5,텐키리스 키보드를 얼마 전에 구입해 사용하다 아들에게 주고 이 키보드를 구입했어요. 카일 광축 클릭 키보드로 타이핑을 하니 정말 기분이 좋아지네요. 이 키보드는 검정색 단일 Led로 되어 있어서 아주 깔끔합니다. 현란한 색상이 있는 키보드보다 한층 차분하구요. 이런 타입으로 텐키리스 키보드가 출시된다면 바로 구매하고 힢을거에요. 지금 키보드도 매우 만족합니다.,['https://phinf.pstatic.net/checkout/20201118_245/1605685436321tNTf8_JPEG/review-attachment-51a823b5-3550-4fdb-bfee-bb236b86e6b0.jpeg?type=f287']
4,"기계식 키보드중 가성비 끝판왕인듯.

하지만 배송과정에서 포장관련 뽁뽁이도 없이 상품박스에 비닐포장만 되서 보내셨네요. 다행이 어디 깨진곳은 없었지만 만약 택배 승하차시 상품들이 거칠게 던져지는 경우가 있었다면 제품이 깨질수도 있었을겁니다. 다음에는 포장에 신경 좀 써주세요.",['https://phinf.pstatic.net/checkout/20200826_245/1598440898109vjvox_JPEG/review-attachment-3b3d59dc-781f-4946-a681-720990f8db8e.jpeg?type=f287']
5,"상품성 /
가격 대비 사용 하기 좋은 키보드 입니다. 지금 약 2달 정도의 사용 기간을 가졌지만 원래 기계식을 쓰지 않아서 그런지 다른사람들이 말하는 누를때 힘이 들어간다 등의 말이 와닿지 않을 정도로 만족 스러웠습니다. 가격 대비 충분한 가성비가 나온다고 생각 합니다.

소리 /
키보드 칠 때 소리를 직접 듣고 사진 못해서 그런지 생각보다는 . 키보드 매장에 가서 다른 키보드를 만져보니 확실히 같습니다. 그래도 집에서 쓰기에는 신경 쓰이진 않을 크기입니다.",[]
4,배송 빠름. 쓰던거 고장나서 급하게 주문했는디 담날 바로옴. 기존에 쓰던건 cox사광축이었는데 특정키가 안되서 내구도가 중요하게 느껴지므로 써봐야 제품에 대한 평가를 제대로 할수 있을듯. 기존껀 리니어라 조용한대신 눌려지는 느낌이 없었는데 이건 클릭이라 좀 시끄럽지만 눌려지는 느낌은 확실함. 개인적으로 타건감은 펜타그래프만 아니면 다 괜찮아서 리니어라 더 낫긴한데 개취이니 패쓰,[]
5,"가성비 최고인 것 같습니다

Led는 그렇게 신경쓰지 않아서 저렴한것으로 구매했는데 검은색이라 깔끔하고 때안타서 좋습니다 무게감도 있고 재질도 철느낌이라 고급지고 다만 키소리가 살짝 날리는 느낌인데 이건뭐 가격생각하면 만족합니다 ㅎㅎ",['https://phinf.pstatic.net/checkout/20191213_88/1576204715688uvYEv_JPEG/15762047015231328071425.jpg?type=f287']
5,집에서는 체리 청축인 오x 스트라이크 프로 기계식 키보드 사용 중이고 이번에 연구실에서 사용할 키보드로 이 제품 구매하였습니다.결론부터 말씀드리면 10만원대 체리 청축 제품과 거의 흡사하며 오히려 치는 맛은 더 이 제품이 쫀쫀한게 더 좋습니다. 저처럼 레인보우 색깔 싫어하신다면 단일 led로 구매하세요. 축은 같고 색은 단일색상이라 깔끔합니다.찰칵거리는 느낌이 오테뮤 축이나 기타 피시방 싸구려 청축 느낌이 아니라 고급스럽고 부드럽습니다. 퉁퉁 튕기는 스프링소리나 공명음도 없고 참 잘 만든 제품이네요.저는 연구실에 주로 혼자서 일하기 때문에 이 제품으로 구매했지만 혹시 사무용으로 쓰실 계획이시라면샵에서 한번 타건해보고 사시길 권해드립니다. 나름 청축과 비슷해서 소음은 있습니다. 결론은 10만원대 기계식 키보드와 견주어도 손색없습니다. 고민중이시라면 구매하세요.,['https://shopping-phinf.pstatic.net/20190506_3/2bdbbfa4-6d6b-4ad6-a040-b48b84ec3626.jpg?type=f287']
5,"구매를 고민하시는 분들 있으면 동네 PC방 몇군데 가보면 이 키보드 엄청 많으니까 한번 써보고 구매하셈요

근데 PC방은 리니어방식 키보드를 많이 쓰는거같아요
저는 클릭방식으로 구매했는데 상당히 시끄럽습니다

저는 타격감이 좋아서 구매했는데, 쓰면 쓸수록 좋은 키보드라는게 느껴집니다
스페이스바 밸런스도 잘잡혀있고 LED도 은은하고 디자인도 군더더기없고
착한가격 착한가성비 인정합니다 다음에 또 사고 싶어요",[]
