star_point,comment,photo
5,"기계식 키보드랑 광축키보드랑 방식이 틀리고 좀더 빠르고 정확하게 하기 위해서 정보를 알아봤습니다. 앱코가 거의 압도적으로 정상자리를 차지 하고 있어서 주문했네요.
무엇보다 색감하고 밀리지 않는 무게감
타건반응속도등 방수능력!
물에 담궈도 될정도라 고민없이 이모델로 했네요
한단계 더 업그레이드 하고 싶으나 겜용이 아니라 갬성용이라 🤣😂
노랑이랑 빨강 무지 고민하다 빨강 했어요
노랑이도 이쁠듯..
처음 개봉후 딱 봤을때 느낌은 아. 레고다!
이건 레고다! 이런 느낌입니다. 타건감도 아주 가볍고 타이핑이 경쾌하고 오타가 적네요
청축이라 ㅋ 타자 칠맛 납니다
조용한 사무실에선 리니어 추천드리고 싶네요.
집에서 불꺼놓고 하면 아주 영롱함
키캡을 추가로 주문했는데 종류가 4가지 인데
사진이 없어서 너무 아쉽네요. 그냥 1번으로 했는데 교체해서 보니 이쁩니다!
걍 싸구려 살려다 조금더 보태서 이거 사세요! 두번 사세요!
색상은 레고색 레드입니다 ㅋ
플라스틱같은 조금진한 레드입니다.
!!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_01_23_0/337360d1-3dac-11ea-a7ce-505dac8c3639_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200123_257/1579761949925LPKON_JPEG/81EBBB18-566E-4C7E-8391-D006E312ED0B.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200123_35/15797620031472S8Eu_JPEG/C8C2487A-1CBB-4FF5-B0E5-ACE98C6AB724.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200123_33/1579762003893EpJBT_JPEG/7F658F9F-162E-46B1-BE0B-4C95D103018A.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200123_103/1579762008241CntD7_JPEG/9B7AB7EA-DF44-4490-9812-DCEC4304114E.jpeg?type=f287']"
4,"기계식 키보드를 처음 구매합니다.
제품 수령 후 바로 컴퓨터에 연결하고 바로 사용해 보니
역시나 일반 키보드와 느낌상 꽤 큰 차이가 있네요.
오타 날 확률이 있다해도 소리가 크면 안되기에 리니어를
선택했는데, 일반 키보드에 비하면 리니어도 소리가 꽤 납니다.
하지만 역시나 타이핑 하는 재미는 있네요.
단지 pc에 연결 후 두 어시간 사용하다 보니 갑자기 한/영 전환이
되지 않았습니다. 원래 사용하던 무선 키보드도 연결된 상태라
한/영 전환을 해보니 별 이상이 없네요. 결국 앱코 홈에 가보니
흔하게 발생하는 문제인지 첫 페이지 중간에 해결책이 씌어져
있네요. 쉽게 해결, 우측 alt와 ctrl 기능은 사용을 못한다는 말이
있는 것 같네요. 음.. 좀 더 자세한 원인까지 설명을 해줬다면
좋았을 걸.. 하는 아쉬움이 좀 있었습니다.
조명이 가장 큰 구매 목적이기에 제품은 평균적으로 마음에 듭니다.","['https://phinf.pstatic.net/checkout/20201115_39/1605441280045MwYgK_JPEG/review-attachment-9dc782a5-e3e2-46a6-a552-4e01d287bbae.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201115_197/1605441280108cYdPC_JPEG/review-attachment-57b7d406-025b-48dd-963a-485026e8af2a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201115_279/1605441280196H3yKu_JPEG/review-attachment-82912b50-9eb5-48ec-aa64-85e677e102bd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201115_296/1605441280576wPhO2_JPEG/review-attachment-412abdb9-4794-4bb9-b476-098d650e4378.jpeg?type=f287']"
5,"예전부터 세일을 자주 하던 앱코의 기계식 키보드중 하나인 K660 카일 광축 리니어를 구매했습니다.



이전에 사용하던 제닉스 멤브레인키보드를 썻지만 4년이상 사용한 제품이라 묵은때도 안벗겨지고 사이에 먼지가 잘 안빠져서 다이소 먼지제거랑 다용도 클리너로 박박 긁어쓰고있었다가 지스타때 타건만 해본 기억이 있어 구매 결정~



멤브레인키보드만 쓰다가 처음으로 입문하게되는 기계식키보드인데 청축처럼 시끄러운건 싫어서 보급형 라인에서 평이 좋은 카일광축 리니어를 선택했습니다.




* 타건

멤브레인과 다르게 키보드를 누르면 튀어나오는 느낌이 굉장히 좋네요. 너무 가볍지도 않아서 키보드 일을 자주 쓰게되는 사람한테는 피로도가 낮아 좋아보입니다. .








*방수

저는 이게 굉장히 마음에 들었습니다. 지스타에서도 아예 어항 같은데에 키보드 넣어서 홍보하더라구요.

항상 다이소 다용도클리너, 키보드 먼지제거젤리로 연명했다가 저런식으로 물청소가 가능하니 굉장히 만족합니다.





*키캡 도구와 청소솔, 먼지 커버 구성

키보드 키캡 커스텀 할 때 큰 도움되는 도구와 청소솔, PC방에서 자주 보던 커버로 구성되어있습니다.








*동시 입력 지원

광고처럼 동시입력 되는걸 확인 가능합니다.




*적당한 기울기

이건 호불호가 갈리는데 표준적인 기울기라 그런지 적응하기 좋았습니다.







*이런 사람에게 추천함

저렴한 가격에 기계식 키보드를 입문하고싶다면 추천.(현재 가격 행사중인데 자주 행사합니다)

키보드 청소를 간단하게 물청소로 하고싶은 사람 추천.

청축 같이 큰 소리가 나는건 싫은데 기계식키보드 입문하고싶다면 카일광축 리니어 추천.","['https://phinf.pstatic.net/checkout/20191220_54/1576838778987mPAlT_PNG/K-009.png?type=f287', 'https://phinf.pstatic.net/checkout/20191220_196/1576838778954kklH9_PNG/990733540_T7SirX8t_03b018f052a5e6207df116045f5b5e44faa9115f.png?type=f287', 'https://phinf.pstatic.net/checkout/20191220_16/1576838779107xh2vH_JPEG/KakaoTalk_20191220_190230709.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191220_24/1576838779265dgJeA_JPEG/KakaoTalk_20191220_190416739.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191220_247/1576838779567u02jG_JPEG/KakaoTalk_20191220_190325191.jpg?type=f287']"
5,"평상시에 사용하던 키보드와 느낌이 많이 달라서 좀 불편했습니다. 자판의 위치가 평상시에 사용하던 익숙한 위치가 아니라서 오타도 많이 나고 괜히 샀나 싶을정도로 불편했었습니다. 이 문제는 타자를 조금 천천히 치면 해결되긴 했습니다. 키보드의 타격감(?)이 매우 강합니다. 그래서 칠때마다 탁탁탁 소리가 꽤 크게 납니다. 방에 침대가 같이 있기 때문에 옆에 누가 자고 있는데 타자치면 꽤 시끄럽다고 방해가 될정도의 소리입니다. 이 점을 감안하고 구입하는게 좋을것 같습니다. 이런 문제점이 없다면 사용하는데 문제점이 없습니다. 좋습니다.

세척이 용이하다고 해서 나중에 사용하다보면 한번은 물세척을 하긴 하겠지만 아직 한달정도밖에 사용을 하지 않아서 세척할 일이 없습니다. 화이트 감성PC로 이번에 컴퓨터를 맞춘 덕분에 키보드 또한 일부러 흰색으로 맞췄는데 아직까지 딱히 세척을 할 일이 없을정도로 뭐 오염이 생기고 그러지는 않네요. 게다가 키보드 뚜껑같은게 있어서 사용하지 않을때는 덮어두면 먼지도 차단되어서 흰색임에도 불구하고 .

제품이 꽤나 무겁기 때문에 안정감도 있습니다. 백그라운드 라이트는 잘 들어옵니다. 그 전에는 라이트가 없는 일반 제품을 사용했었기 때문에 이게 얼마나 편리한지 여부를 몰랐습니다. 이제는 라이트가 안들어오는 키보드는 사용하고 싶지 않네요. 사무실에서는 일반 키보드를 사용하지만 개인 키보드는 라이트가 들어오는 키보드만 사용할 생각입니다. 만족합니다. 망가지지 않고 오래도록 사용했으면 좋겠습니다.","['https://phinf.pstatic.net/checkout/20200218_212/1582002815224O6tjN_JPEG/Key4.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200218_36/1582002815093KP4BR_JPEG/Key2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200218_138/1582002815066MdoRY_JPEG/Key1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200218_150/1582002815177NMxVh_JPEG/Key3.jpg?type=f287']"
5,"멤브레인 외길인생이다가 하필 커피를 쏟아서 어차피 제대로 안청소하면 찐덕해서 쓰기 짜증날거 고장날 것 감수하고 물세척 시도! 저번엔 운좋게 넘어갔는데 이번에 역시나 몇개 키 인식이 망한걸 보니 회로가 맛이 갔네요... ㅎㅎ 그냥 교체하기로.

그래서 큰맘먹고 돈 좀 더 들여서 그럭저럭 좋은거 써보자... 막 10~20만원짜리는 아니더라도.. 요샌 저가 기계식도 많으니... 예전부터 관심은 있어도 선뜻 손이 안갔는데, 기계식과는 타입이 좀 다르지만 무엇보다 '방수방진'에 이끌려 현재 가장 인기 좋은 앱코 광축 입문했습니다... 일단... . 심플 디자인인데 전혀 후져보이지 않습니다. 보통 리니어가 적축에 가깝고 클릭이 청축에 가깝다는데 기계식을 안써봐서 비교는 어렵지만 일단 사무용도로도 많이 해서 키압 덜걸리는 리니어로...! 키감 걱정을 많이 했는데(아예 손을 올려두기만해도 눌리거나 애매하게 눌려져서 오타가 많아진다거나 뭐) 그런거 없어요. 오히려 멤브때보다 오타가 안나는 것 같아요. 확실히 반응속도때문인지 회로 구분이 잘 되서 그런지 손만 안꼬이면 확실히 더 정확하게 입력이 가능합니다. 소음도 별로 없어요. 당연히 러버돔 멤브보다야 . 굳이 말하면 스페이스 타건 . 나머지 키는 오히려 맘에 들구요. 아무튼 앱코 광축 리니어로 잘 산 것 같습니다. 클릭도 써보고싶네요.",['https://phinf.pstatic.net/checkout/20200707_32/15941001598924HDv6_JPEG/review-attachment-c02be8ef-a3e9-4009-89a4-e29317400e0e.jpeg?type=f287']
4,"제품 잘 쓰고 있습니다. 기계식은 아니지만 기계식 입문으로 좋다기에 구매했고 며칠 써본 결과 만족하고 있습니다. 키보드 자체가 꽤 무거워서 평소에 쓰던 맴브레인이랑 비교했을 때 깜짝 놀랐습니다만 오히려 안정감이 있어서 좋습니다. 고무패드도 바닥에 붙어있어서 밀리지도 않네요. 완전방수라고 하는데 굳이 물을 뿌렸다가 고장나면 곤란하기에 테스트는 안 해봤는데 잘 돼있겠죠..? LED도 잘 들어오고 터치감도 살짝 묵직해서 치는 맛이 있습니다. LED는 중요하지 않아서 기능별로 작동만 되는지 확인해봤습니다. 다만 가끔 내가 누른 것 같지 않은데 눌려서 글자가 쭉 써지고 있는 경우가 생기는데 뭐 때문인지는 모르겠습니다. 손가락만 올려두고 힘을 안 준 것 같은데 어느새 눌려있더라구요.

아래는 조금 아쉬운 점입니다.
1. 포장이 기본 박스에 택배사 비닐으로만 구성돼있습니다. 물류센터에서 집어 던지고 난리도 아닐텐데 아무런 완충제가 없다는 게 아쉽습니다. 마침 박스도 몇 군데 패이고 찢어져서 왔더라구요. 별점 깎은 원인 중 하나입니다.
2. LED가 들어올 거면 다 들어오면 좋을텐데 사진에 보이듯이 절반이 잘린 키가 몇 개 있습니다. 한/영 키나 우측 숫자키 등도 윗부분만 불이 들어오고 중간부터는 절반만 들어와있네요. 키보드 자체가 불이 위에만 들어오게 설계돼야 한다면 키캡을 거기에 맞게 만들었으면 하는 아쉬움이 있습니다. 어떤 키는 다 들어오고 어떤 키는 절반만 들어오니 일관성이 없어 보입니다. 다만 별점 깎은 원인은 아닙니다.
3. 무한키, 6키 구분이 안 됩니다. 공공기관 인증 프로그램 사용시 오류가 뜨면 6키로 변경해서 사용하면 된다고 하는데 공공기관 프로그램을 안 쓰는 사람은 확인이 불가능합니다. 초기에 무한키로 설정돼있다고 하는데 그 안내를 확인하기 전에 몇 번 스위칭 했으면 지금 뭘로 설정돼있는지를 알 수가 없네요. 새로나온 아크는 우측 상단에 무한키/6키 구분을 만들어놨더라구요. 아마 이 버전의 키보드에서 구분이 안된다는 걸 알았기에 바꾼 것으로 보입니다. 별점 깎은 원인 중 하나입니다.
4. 통울림이 있는데 크게 신경쓰일만큼은 아닙니다.이건 단점이라기 보다 사시는 분 참고하시라고 씁니다. 제가 둔해서 그런지 몰라도 확실히 통울림이 있지만 그냥 있구나 정도이지 신경쓰일 정도는 아닙니다.

총평하자면 5만원 미만 제품으로는 적극 . 포장에만 좀 더 신경 써주시면 더 좋을 것 같네요.","['https://phinf.pstatic.net/checkout/20200430_7/1588232964501flO6l_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_63/1588232978799FUg9G_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_160/1588232995088Ogw13_JPEG/4.jpg?type=f287']"
4,"가격대비 좋은 키보드인것 같습니다.
원래 오래된 기계식 키보드 체리사 청축을 사용했었는데요.
광축이라는 새로운 키보드가 궁금해서 구입했는데 저렴하고 예쁘네요.

클릭으로 구입했는데 소리는 기계식 청축하고는 조금 다릅니다. 기계식의 찰칵하고는 조금 다른 느낌입니다.
좀더 둔탁한 소리가 해야되나??

사은품으로 주는 컬러 포인트캡 때문에 더 마음에 드는 키보드입니다.

조금 아쉽다면
한/영 키와 한자 키 빛이 잘 비치지 않는 점 제외하고는 좋습니다.
빛나니까 예뻐보이네요^^

그밖에 청소브러쉬, 키 제거 도구, 키보드 덮개 도 주니까 더욱 혜자스럽네요.

잘쓰겠습니다.ㅎ","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_07_0/693f53f1-c017-11ea-b434-48df37ae3fca_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200707_73/1594101724532b578n_JPEG/review-attachment-b4dda9f2-2a0e-401b-82b0-18da0c2a2376.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200707_177/15941017245304bmrb_JPEG/review-attachment-b53a1033-36ca-44c0-b6a2-48d79901cd49.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200707_191/15941017252040sGoy_JPEG/review-attachment-69218b76-d797-4bf9-8dd9-01aab17a54da.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200707_30/1594101724970biG1F_JPEG/review-attachment-20bd59dd-43c6-4aa6-8f05-688700b02cf0.jpeg?type=f287']"
5,"구매 이전에는 4년정도 ABKO의 기계식 제품인 K640을 사용했습니다.
만족하면서 잘 썼지만, 컴퓨터를 바꾸면서 새롭게 기분을 내고 싶어 ABKO 키보드를 알아보니, K660이 구매수나 평가에 있어서 압도적이더군요.
광축 타입에 대해 문외한이라 이것저것 지식 조사를 해 본 후, 클릭 방식을 채택하였는데, 기계식의 타격감에 익숙해져 있는 저에게 좋은 선택이었던 것 같습니다. 기계식 쓰시던 분들 중 변화를 적게 가져가고 싶으신 분들은 꼭 클릭 타입을 구매하세요.
일단 기능상은 ABKO 제품이라 의심을 전혀 하지 않습니다. 4년간 관리한 번 제대로 안 해줘도 고장 한 번 없이 작동해주던 K640을 생각하면... 의심하면 실례죠!
. 항상 블랙컬러의 키보드만 사용하는데 질려 레드컬러를 채택했는데, 컴퓨터 앞이 화사해진 것 같아 기분이 좋네요. 회사 업무용 컴퓨터에는 리니어 타입 옐로우 컬러를 택해서 사용해볼까 고민중입니다~~ㅎㅎ","['https://phinf.pstatic.net/checkout/20201031_115/16041225430084XQ0H_JPEG/review-attachment-1ba25680-caaf-4a31-a010-d9cf0dfe7ba6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_226/16041225429945PPle_JPEG/review-attachment-4207fab0-493c-426b-ad01-7548e73cb6f6.jpeg?type=f287']"
5,"멤브레인 키보드를 사용하고 있다가, 새로운 키보드를 새로 장만하고 싶어서 3일 동안 이러저러한 키보드를 알아보다가 이 키보드로 결정하게 되었습니다!
제가 좋아하는 화이트 색상이라서 매우 이쁘고 마음에 들어요!
LED도 이쁘게 불이 들어오고 다양한 LED모드가 있어서 입맛대로 원하는 모드로 설정해서 사용할 수 있다는 점이 좋았습니당
조금 아쉬운 점은 제가 기숙사에서 사용할 것이라 조용한 키보드를 원해서 이 키보드를 선택했는데, 막 조용한 것두 아니고 통울림이 조금있어서 그 부분에 대해서는 조금 아쉽지만 나중에 흡음재 처리를 하면 괜찮아 질것이라고 해서 그렇게 해보려고 합니다!
그래도 !","['https://phinf.pstatic.net/checkout/20201007_286/1602059530436Sdmfi_JPEG/review-attachment-b0a359bc-17bf-40f2-ae48-cc3843839669.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201007_76/1602059530598rD0vG_JPEG/review-attachment-8dbc8f34-f27e-455f-8c0e-d802f6b38202.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201007_211/1602059530554E4RHy_JPEG/review-attachment-ee18b283-8d3d-4167-ae21-408a3fc242ac.jpeg?type=f287']"
5,"그동안 조용한 적축 키보드를 사용하다가 카일 광축 클릭 제품을 알게 되었으며 사용해보니 괜찮은것 같습니다.

디자인 : 심플한 디자인에 RGB LED 거기에 색상을 좀더 선명하게 보여주는 화이트 색상 꽤 잘 어울리는 조화를 이루고 있음

키감 : 확실히 기존의 적축보다 누르는 압력이 조금더 필요하고 계속 듣게 되면 시끄로운 소음이 아닌 어느정도 잔잔한 소음정도라서 매움 괜찮다고 봄 다만 스페이스바 같은 경우 소리가 다른 키에 비해 통울림이 살짝 있음

정확하게 만족도는 4.5
스페이스 바의 통울림만 살짝 잡는다면 별점 5점도 아깝지 않다고 생각함

혹시나 구매하시는분들은 이점 참고 부탁 드립니다.","['https://phinf.pstatic.net/checkout/20200724_29/1595571142512TvgKx_JPEG/review-attachment-e629d556-7c07-49a6-9282-6fcf6e772c75.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200724_264/1595571142571GSDRE_JPEG/review-attachment-25a813b6-dc4d-4212-9e2a-bda376f3ac07.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200724_95/1595571142486zgFME_JPEG/review-attachment-95dd1894-19e3-4825-915d-e8f4ba7869fe.jpeg?type=f287']"
