star_point,comment,photo
5,"근 8년 가까이 쓰던 체리 청축 키보드가 수명을 다했는지 입력 오류가 슬슬 내기 시작하길래 새 키보드를 살 때가 됐다 싶어서 구매했습니다. 원래는 PC방에서 자주 보던 K660을 구매하려고 했다가 이게 훨씬 세련되보여서 샀는데, 사진보다 훨씬 예쁩니다. LED효과도 꽤 많고요.
외관은 진짜 100점 만점입니다.

타건감은 저는 체리 청축이 타건감이 경쾌한 축에 든다고 생각했었는데 제가 쓰던 키보드가 오래되서 그런진 몰라도 카일 광축이 훨씬 경쾌하네요. 클릭감도 더 확실한 것 같고요. 비교해보니 오히려 체리축이 더 쫀득한 키감인 것 같습니다.
개인적으로는 카일 광축이 클릭감이 더 확실해서 좋네요.

그 반동으로 통울림이 약간...있나 싶긴 한데 혼자 쓸 때는 신경쓰일 정도는 아닙니다. 저가형 오테뮤축 키보드에서 극악의(?) 통울림을 맛본적이 있어서 그런지 듣기 싫은 통울림은 아니네요. 다만 다들 아시다시피 클릭축은 사무실이나 조용한 곳에서 쓰셔야 한다면 피하시는게 좋겠습니다 ㅎㅎ

전체적으로 키보드 자체가 예쁘고 특출나게 단점도 없는 키보드고, PC방에서도 많이 사용되는 키보드 베이스라 입문용으로도 무난하고, 저처럼 다른 기계식 키보드 쓰시다가 저렴하게 바꾸시거나 서브 키보드 찾으시는 분들한테도 좋은 키보드인 것 같습니다.","['https://phinf.pstatic.net/checkout/20200718_20/1595065464427oSbCN_JPEG/review-attachment-23395835-02c6-4009-ab43-096932e79696.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200718_14/1595065464797v2qFF_JPEG/review-attachment-382906e5-01e2-4b2d-8fc8-790f53e9bcd0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200718_189/1595065464682gzm1k_JPEG/review-attachment-af65e8fa-de63-4573-a922-575b45b6eb3f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200718_216/1595065464855VehX5_JPEG/review-attachment-495ebb4d-6bc4-4230-88be-24cd00bdeeb5.jpeg?type=f287']"
5,"앱코가 박스 훼손 이슈가 있다 보니 걱정이 조금 되었는데, 미개봉 스티커는 전혀 훼손되어있지 않고 제조일자가 오래 되지 않아서 좀 더 안심이 되었습니다 :)

리니어 제품이라 적축느낌의 작은 타건음을 가졌고, 키압이 낮으면서도 반발력이 좋아서 쫀쫀한 타격감이 느껴지네요ㅎㅎ

그리고 같이 딸려온 키버튼을 장착하니 더 이쁘네요 LED도 너무 밝지도 약하지도 않게 적당하고 전체적으로 너무 마음에 듭니다 마감도 좋은데 이정도 품질에 이 가격이면 가성비 끝판왕이라고 보면 될거같습니다","['https://phinf.pstatic.net/checkout/20200711_296/159443909274155TWU_JPEG/review-attachment-cc720f2d-1b04-47f4-a3a5-1e1cfe889dc8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200711_41/15944390926752smIr_JPEG/review-attachment-15519444-261c-44f5-95a3-a42259aa4e6f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200711_266/1594439094169FsRYW_JPEG/review-attachment-8957351d-1f93-4ab3-95f6-0ab7c4eb587e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200711_172/1594439094564Nai7q_JPEG/review-attachment-28975f1f-5cb8-4329-a2bf-e524d108644a.jpeg?type=f287']"
5,"배송은 하루걸렸네요 역시나 하루걸릴줄알았는데 빨라서 너무좋아요
원래는 멤브레인사용하다가 -> 기계식청축을 사용했었고요, 광축 클릭(청축)을 써봤는데 너무좋더라구요 근데 집에서 사용하기에는 가족다있는데 너무 시끄러운거같아서 리니어(적축)으로 구매했어요. 확실히 다르네요 그리고 저는 적축이 저한테 더 맞는거같아요 훨씬가볍고, 타건느낌도 더 좋네요. 리니어 강추입니다. 그리고 중복눌림도 없어서 너무좋아요. 광축만 쓰게될거같아요.. 휴.
10번 20번 강추입니다. ㅎㅎ디자인은 말할것도 없이 예쁘구요 ㅎㅎ
10번사세요 20번사세요!","['https://phinf.pstatic.net/checkout/20200819_96/1597833969558SrGfg_JPEG/review-attachment-0d9a8b2a-c4c5-4e25-a5b9-5d18f5c9419b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_275/1597833969485scc5B_JPEG/review-attachment-8a380e5c-ab2a-45ec-a489-b6aefa6e0484.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_215/1597833969443EbojP_JPEG/review-attachment-2af56b1d-1e37-4021-adaf-71285b96700a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_42/1597833969377xuzt7_JPEG/review-attachment-c4728c55-4bfa-47ed-85d6-fbfd78e8ba8a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_88/1597833969357y0Rsx_JPEG/review-attachment-1d304eda-8f5b-4ad7-84d5-118271ee9174.jpeg?type=f287']"
5,"마우스랑 같이 구매했습니다. 마우스 상태 좋은데 약간 꺼끌한? 그런 재질이라 오래 사용하시다보면 그 부분만 맨들거려지는 그런 마우스? 오래 써야 그렇게 되니 큰 걱정은 안하셔도 될듯합니다. 키보드는 .. 받고 눌러보자마자 반품신청 했었습니다ㅎ 스프링 튕기는 통울림 소리? 그게 너무 심해서요.. 근데 계속 눌러보다 보니 소리가 줄어들다 못해 이젠 거의 안나네요. 새제품이라 소리가 났었나봐요! 키감은 쫀쫀하다기 보단 찰칵거리는 느낌이고 기존에 쓰던 기계식 청축 키보드 보다 소음이 좀 큽니다ㅎ.. 청축 특유의 소리가 아닌 키캡의 소리가 크다 해야하나? 그래도 키감 나쁘지 않습니다. 그냥 음 기계식 키보드 보다 좀 무거운 느낌?
스프링 소리 땜에 반품하고 싶었는데 키보드 자체가 너무 이뻐서 흔들리다가 그냥 사용하기로 했습니다. 그정도로 키보드 자체는 너무 이쁘네요.. 잘 만들었어요.. 굿..","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_10_0/b269bd4c-aae8-11ea-a4a6-48df379cc9e4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200610_161/1591772644211ai4SU_JPEG/20200610_141757.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200610_155/1591772644561890dr_JPEG/20200610_141716.jpg?type=f287']"
5,"포장 깔끔하고 너무 예쁨.(참고로 남자임)
그 전에는 청축 키보드 썼는데 타건감 전혀 부족하지 않음.
오히려 더 마음에 듬. 적축은 안 써봤는데 아마 이 느낌이지 않을까 싶을 정도로 부드럽고 사각함.
내구성 하나 보고 샀는데 막상 받아보니 디자인이 제일 마음에 듬.
제발 오래 쓰고 싶음.
글쓰는 직업이라 키보드를 많이 누르는데 3개월만 버텨도 다음에 다시 살듯. 레알.","['https://phinf.pstatic.net/checkout/20200706_13/1594009631129t3dqH_JPEG/review-attachment-94b09d60-0786-41a3-b629-59193a1e04be.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200706_90/1594009678233DCuNw_JPEG/review-attachment-97b5a9eb-2cca-464a-853f-7eb80ab8c1a3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200706_221/1594009716797pthIL_JPEG/review-attachment-fe650f94-3aa8-46fc-a186-a5e43cd31b18.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200706_241/15940097586374Hz2u_JPEG/review-attachment-7760f64d-78c1-42f6-8c37-5514f7acf845.jpeg?type=f287']"
4,"나름 값이 나가는 기계식 키보드를 사용했었습니다.
그런데 음료를 한 번 쏟아버리고 고가의 키보드가 먹통이 되자 회의감이 강하게 들더군요.
그래서 방수가 되는 광축 키보드를 구입하게 되었습니다.

앱코 해커 K662를 클릭, 리니어 모두 구입했습니다.
두 개를 사도 전혀 부담이 되지 않는 가격입니다.
.

통울림이니 스프링소리니 이야기가 있지만 저는 예민하지 않은 편인지 괜찮게 느껴지네요.
어떠한 단점이 있더라도 가격과 방수가 모든 것을 용서해줍니다.
혹여 나중에 무슨 문제가 발생하더라도 가격이 워낙 저렴하니 그냥 하나 더 사면 될 것 같다는 생각입니다.
물론 무탈하게 사용하게 된다면 최고겠지만요.

상품에 대하여 전반적으로 만족합니다.
배송 속도도 만족합니다만 완충재 포장을 해주지 않으셨다는 점은 아쉽네요.",['https://phinf.pstatic.net/checkout/20200821_268/1598005377353TIMOO_JPEG/review-attachment-1d3ec49a-4520-4d2c-aa1c-e7ea1524286c.jpeg?type=f287']
5,"입력속도도 빠르고 타건감도 좋습니다.
앱코 LED 도 멋지구요
키보드 색상도 맘에 들어요.
게임하는 재미가 더해진다고 할까요.
집에서 게임하는 재미가 솔솔합니다.
그리고 집에서 게임하다 음료 흘릴일들이 간혹 있는대 방수가 된다고 해서 완전 굿입니다. 키커버 최고. 먼지 들어갈일 없을거예요 ㅎㅎ","['https://phinf.pstatic.net/checkout/20201010_23/1602336720802LFrKC_JPEG/review-attachment-b9e6b2e7-2205-47dc-be68-ec19d3fe727b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201010_253/1602336746034wXFrb_JPEG/review-attachment-e2373da8-0768-4e04-bb02-3b26814c2656.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201010_128/1602336764338tx2dj_JPEG/review-attachment-4c1f5ae0-f026-4c47-8f54-2ceff9b0f854.jpeg?type=f287']"
4,멤브레인 플런저 기계식 광축 시대대로 다써봤습니다바로 전에쓰던 앱코의 아들인 콕스 광축키보드쓰다가 다 맘에드는데 소리때문에 바꿨습니다솔직히 예전이라면 앱코..거르는데 다른건몰라도광축키보드는 잘만든거같습니다 클릭축 처음 눌렀을때 쫀득한 그맛을 잊을수없네요 청축이 둔탁한 찰칵이라면 광축은 짤깍짤깍느낌 클릭축이 가정에서 사용하기 시끄러운 감이있어서이번엔 리니어축으로 주문했습니다#디자인실물이 더낫습니다 상판은 깔끔하면서도 키캡이 삼색이라 매력적이네요 회색이나 검은색이여도 좋았겠지만 이렇게 나온제품이없어서 특이합니다..#키감1년넘게 클릭축에 익숙해져있었는데 리니어축이 확다르네요그냥 쑥들어가듯이 눌려서 당황했습니다;; 어느정도 걸리는느낌이 있을줄알았는데 반발력만 살짝있어서 조용하고 키압이적어서 맘에듭니다. 사무용추천.한가지 아쉬운점은 led가 단색이라 뽕이 덜채워짐 끝.,[]
5,"노트북를 주로 사용하면서 키보드에 대한 아쉬움이 많아 기계식 키보드를 알아보다가 광축키보드를 알게 되고 나에게 맞는 광축키보드를 찾다가 해커 K662를 알게 되어 고민 끝에 구입했는데
경쾌한 키감과 무리없이 눌러지는 타건감이 너무 좋아요...잘 구매했다는 생각이 듭니다...^^","['https://phinf.pstatic.net/checkout/20201010_194/1602326247969BHFjS_JPEG/review-attachment-52a2f897-aa53-4fa5-8996-c9a641ce2651.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201010_11/1602326248531NxGg1_JPEG/review-attachment-d313bb59-3b3f-4ef2-8feb-0a25672e484c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201010_58/1602326248383XTcwn_JPEG/review-attachment-31fe1cc5-19fc-45b8-b670-d6c7d4359c03.jpeg?type=f287']"
5,잘 받았습니다~ 제가 산건 리니어구요 카일광축 리니어제품을 원래 만족하면 서 쓰고 있었어서 서브로 k662 모델로 하나 더 샀습니다 이벤트라 저렴하게 구매하였고 이벤트증정품인 키캡도 잘 받았습니다 키캡은 원래 누락되었었는데 문의드리니깐 그날 바로 출고해주셔서 빠르게 잘 받았습니다 디자인은 보다시피 깔끔하고 키감이 상당히 좋습니다 클릭의 소음이 신경쓰이시는 분들은 리니어로 구매하시면 아주 만족하실겁니다,"['https://phinf.pstatic.net/checkout/20200528_59/1590669191334IMyw8_JPEG/KakaoTalk_20200528_212612462.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200528_217/1590669191327CRWQq_JPEG/KakaoTalk_20200528_212612578.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200528_244/1590669191328eYVRr_JPEG/KakaoTalk_20200528_212612696.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200528_281/15906691913288J36B_JPEG/KakaoTalk_20200528_212612829.jpg?type=f287']"
