star_point,comment,photo
5,기존에 앱코해커 995 v3 화이트를 사용하고있었는데 색다른 타건감과 다른 키캡을 사용해보고싶어 구매했습니다! 완전방수라는점이 가장 마음에 들었고 키를 가볍게 누르면서도 클릭타건소리가나서 좋네요! 사진보다 실물이 깡패! 아크릴휴대폰거치대도 같이 사서 끼니 대만족이네요! 많이파세용,"['https://phinf.pstatic.net/checkout/20201125_227/1606261675823XLFAh_JPEG/review-attachment-2903b722-32df-4488-bfe9-f7334d3ded5d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201125_278/1606261685296TRCEI_JPEG/review-attachment-6dd2b8ef-9e0d-4da9-bafe-76034893977a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201125_134/16062617007702rADR_JPEG/review-attachment-23e8c3da-2569-4fec-822d-40b955dd2de5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201125_141/1606261708704NRyNA_JPEG/review-attachment-4d391cd2-ecce-4fd4-b823-3ad476743488.jpeg?type=f287']"
5,"예쁘다. 근데 한/영, 한자 라고 씌여진 부분은 좀 흐리다. 이게 의도한 것 같은데(검색결과 다른 사람 키보드도 그렇더라) 이 부분에 대해 동의하기 어렵다. 한영이 자동변환이 되지 않아 앱코 홈페이지에서 프로그램을 깔고 재부팅을 해줘야했다. 처음에는 고장이면 어쩌지 걱정을 했는데 이런건 처음부터 구매 페이지에 소개를 해두었으면 좋았을 거 같다. 받아보니 실물이 사진보다 더 매력적이다. 색감이 좋다. 검은색 키보드가 아니라 짙은 회색이고, 빨강이 엄청 빨간게 아니라 살짝 흰색을 섞은 듯한 느낌이라 전체적으로 벨런스가 맞는다. 타격음은 인터넷으로 듣는거랑 다르다.(집적쳐봐야 안다.) 힘을 크게 소모 하지 않으며 손에 달라붙는 타격감은 좋다. 타격음은...난 적축을 쓰고 남편 게임하는데 청축을 골라준거라...내 스타일은 아니다..ㅎㅎ",[]
5,"이번에 누나 본체랑 모니터를 맞추면서 마우스 키보드까지 같이 선물하려고 고민끝에 골랐는데,괜찮은 것 같아요.장점.1. 디자인은 색상은 역시 레드 와 블랙이라서 그런지 굉장히 마음에 듭니다.사이드 RGB도 고급스럽고, 키보드 자체의 LED가 흰색인데, 블랙과 레드에 잘 어울리네요.2. 타건감도 너무 좋고, 치는맛이 있으니 더더욱 재미까지 있구요. 소리는 정축에 가까운 소리를 들려주는 것 같습니다.3. 완전방수라서 무엇보다 만족하고. 키보드 자판 고장시 고장난 부분만 교체할 수 있는 점도 굉장히 마음에 들었습니다.4. 키보드는 무게가 있는편입니다. 그렇기에. 타건시 뒤로 밀림현상이 없고 묵직하니 좋습니다.단점.키보드를 잘 치시거나, 자판의 위치를 모두 아신다면 전혀 문제가 없으나, 자판에 LED를 껐을때, 키의 위치가 잘 안보이네요. 허나 가격대비 괜찮은 성능과 디자인 그리고 AS를 감안한다면 이 키보드 추천해드리고 싶습니다.배송도 빠르고 전체적으로 만족합니다 많이파세요~선물 받는 누나도 기뻐했으면 좋겠네요.","['https://shopping-phinf.pstatic.net/20191118_8/aa23e10f-8909-4847-b560-678454654676.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191118_1/e1c0a4d1-9418-48c8-bad5-34eab0d0a1e8.jpg?type=f287']"
3,"1.몇주사용했는데 최근에 잔고장이있었음 키하나가 연속으로 눌러지면서 먹통이됌 뽑았다가 끼니까 정상작동하는데 소비자 입장에서는 불안한건 어쩔수없음
2.통울림이있음 기존k66*은 전혀없어서 그상위모델이면 당연히없을거라는생각이 너무안일했음 그치만 콕*사 제품에 비해 덜한건 팩트
3.내가 하는게임 특성상 한두개키만 거의 사용하는데 몇주사용해보니 그키만 키압이 가벼워짐 내구성에 의심이감

필자가 불량을 뽑은거일수도있지만 개인적으로 내구성이 안좋아보임 짧게쓰실거면 구매하셔도될거같음 )폰지지대는 쓸만했음",[]
5,"제가 노트북을 사용하고 있어요ㅎㅎ 하지만 pc방에가면 앱코 해커 키보드에 감을 잊지 멋하겠더라구요.. 그래서 이번에 노트북을 주로 사용 하지만 기계식 키보드를 사용해보자하고 거치대와 키보드를 주문을 했어요ㅎㅎ 일단 노트북 키보드는 너무 피로감과 손목에 무리가 많이 오는 자세인지라.. 그래서 선택한 것이 K664 V2, 클릭 버전으로 구매했어요. 다른 앱코 제품중에서 단연 디자인이 앞서더라구요. 검빨을 또 좋아하는지라.. 허허.. 그리고 카일 광축으로 앱코는 이미 평이 좋기도 하죠. 일단 리니어 버전이아닌 짤각하는 소리의 클릭버전을 선택했지만, 개인적으로 제 기준에서 클릭버전 치고 소리가 너무 요란하다?!라는 느낌은 없었어요. 당연 노트북 키보드보다 피로도나 타이핑속도도 다르구요! 앞으로 컴퓨터를 구매하게 되는 요소중에 키보드는 아주 중요한데 지금 선택이 아주아주 만족하네요. 아참 led도 정말 심플하게 질되고 설명서도 설명이 잘되어서 그리고 키캡도 빼는게 어렵지 않아서 게임에 사용하는 부분만 튜닝해서 사용해도 될거 같아서 앞으로 앱코해커 제품을 컴퓨터 주변기기로 사용할거 같아요! 많이 많이 파세요!!","['https://phinf.pstatic.net/checkout/20190715_80/1563189757589xmBFL_JPEG/39BF4381-A19F-4D93-A5DD-D4C8F87C2609.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190715_234/1563189758076PKa7i_JPEG/C46633B2-3400-4440-8325-D7B5063F0137.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190715_299/1563189757417C4dYQ_JPEG/A1412DB5-0422-4F47-983F-3E4269DEED68.jpeg?type=f287']"
5,"아크 거치대까지 잘 받았습니다!
적지 않은 비용인데 폰이 딱 보이는 곳에 있어서 좋습니다.
키보드 각을 새우면 붕 뜨기는 하지만 무선충전패드랑 겹쳐놔도 잘되고 잘 견뎌서 괜찮은 투자 같습니다.
사진에 v2 제품설명사진과는 다르게 엔터와 +키가 빨간색으로 왔는데 사은품 보내주실 때 검은색키도 같이 보내주시면 좋겠습니다!",['https://phinf.pstatic.net/checkout/20200823_86/1598181139933dgVwG_JPEG/review-attachment-2e40d73c-d020-448c-a0bb-f4f5d1ed9cd8.jpeg?type=f287']
5,키보드를 바꾸려고 이거저거 알아보던 중에 친구가 최근에 키보드를 구입했었는데 앱코와 콕스의 카일 광축 라인업이 제품 품질과 가성비가괜찮다고 추천해줘서 이 제품을 구입하게 되었습니다. 방금 테스트를 마쳤는데 고장난 곳 없이 정상적인 제품이 왔네요. 밑은 개인적인 제품 소감입니다.1. 친구의 기계식 적축 키보드를 먼저 만져보고 (앱코랑 같은 계열사인 콕스의 제품이었습니다) 적축과 비슷한 키감을 가졌다는 리니어 제품을 구입했는데 제 느낌상으론 적축과는 다른 광축 리니어만의 느낌이 있다고 생각합니다. (키감이 좋다 나쁘다를 말하는 것이 아닙니다)2. 클릭방식보단 소음이 적다고는 하긴 했는데 소음이 없는 것은 아니라 직장에서 쓰실 분들은 구입하시기 전에 직접 타건을 해보시는 것을 추천드립니다.3. 키보드의 양 옆에 달린 LED 조명과 키보드의 키 부분에 달린 LED 조명의 옵션이 다양해서 보는 맛이 있습니다. 조명이 거슬리는 분들은 아예 꺼버릴 수도 있어서 사용자들의 다양한 취향을 만족시킬 수 있어서 좋네요.전체적으론 대단히 만족스럽습니다. 광축 키보드가 수명도 꽤 오래간다고 하니 이대로 고장없이 오래 쓸 수 있었으면 좋겠네요.,['https://shopping-phinf.pstatic.net/20190906_6/a1f1a13d-3ef0-40af-b3ab-d85060d61d84.jpg?type=f287']
4,받아서 포장비닐 뜯고 에어캡 뜯었습니다. 그런데 마주하는건 짓눌리고 찢어진 박스네요 화딱지나서 환불해버릴까 하다가 내용물만 괜찮으면 됐지 하는 마음에 까봤습니다. 제가 원한 색상에 깔끔한 디자인 이더라구요 근데 키캡이 조금헐렁거려서 불안정 하네용 값어치 하는 것 같습니다. 클릭형으로 샀는데 전형적인 청축소리와 함께 미세한 용수철 튕기는 소리가 띵띵하면서 자꾸 나네요. 제가 예민한건가요. 키감은 쫀딕쫀딕합니다 재밌네요ㅋㅋㅋ 박스는 맘에 안들었지만 제품은 좋아서 별4개 드립니다. 안에서 충격 안 받았으면 다행일텐데..,"['https://phinf.pstatic.net/checkout/20200107_234/15783868612989Tyzk_JPEG/KakaoTalk_20200107_174642666_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200107_287/1578386865393rIOkX_JPEG/KakaoTalk_20200107_174642666_02.jpg?type=f287']"
4,"우선 배송은 우체국이라 만족!
세팅하고 살짝 써보아서 기능적은부분은 말못하겠고 앱코제품 두번째인데 디자인이 참 좋네요
리니어와 클릭 고민하다 집에서 사용할거라 리니어를 선택했고 기존께 갈축이였는데 타건소리는 조~금 더 조용한듯하네요.
led도 백색인 단색이라 조잡하지않은점.
다만, 영문과 한글 이외엔 엘이디가 투과되지않는점.
그리고 가장아래 한영키와 한자키 엘이디가 살짝 모자라네요..ㅎㅎ
대체적으로 첫 느낌은 만족스러워요.!","['https://phinf.pstatic.net/checkout/20200220_61/1582198072969tE2ny_JPEG/20200220_201638.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200220_248/15821980838672PJ8Y_JPEG/20200220_201626.jpg?type=f287']"
5,빠른배송 고맙습니다! 이쁘네요ㅋㅋ 정말 잘 선택한거 같습니다. 자판 LED RGB로 들어오는거 별로라 화이트 단일로 선택했어요!!! 여러가지 패턴으로 변경도 가능하고 타건도 충분히 즐길수있어 좋네요. 스페이스바가 좀 길다는 느낌 한영키 치는데 자꾸 스페이스바 누름ㅠ 기존에 쓰던거 익숙해져 그런가봐요 다시 감 잡으면 될거같네요^^,"['https://phinf.pstatic.net/checkout/20200518_205/1589742816170gUD8w_JPEG/E23C6D4B-00BD-47B5-A8A7-22BC3740D4E4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200518_253/1589742818676QkhSY_JPEG/75280A71-520D-4F81-96F8-EAD3E2175727.jpeg?type=f287']"
