star_point,comment,photo
5,"기계식 키보드 처음 사보는데 키감이 쫀득쫀득하단 느낌이 들어요 그리고 실물이 더 이쁩니다.

+추가+
너무너무 이쁘고 좋긴 한데 써보니까 키보드를 살살 타이핑 하더라도 뭔가 키보드 속이 텅텅 울리는 느낌이 났는데 이게 통울림인것 같아요..ㅜㅜ 받고 하루도 안됐는데 통울림 소리가 이렇게 신경 쓰일 줄 몰랐네요. 사보기 전에 기계식 키보드에 대해서 나름 열심히 알아봤었고 5천원 만원짜리 멤브레인 키보드도 잘 썼어서 괜찮을 줄 알았는데 아니었나봅니다. 덕분에 입문용 기계식 키보드로 좋은 경험했습니다. 그래도 . 쫀득쫀득한 키감이랑 디자인은 정말 볼때마다 녹는거 같아요 ㅋㅋ",['https://phinf.pstatic.net/checkout/20201028_277/1603882559630Je4O0_JPEG/review-attachment-64d9f37c-46f3-4a2c-ad3b-b636a2fac53d.jpeg?type=f287']
5,디자인이 진짜진자 진짜진짜진짜 넘 예뻐요 완전 방수라고 하는데 그 성능을 실감하는 날이 오질 않길 바라구요...ㅎ 실물이 훨씬 예쁜데 단점이 있다면... 청축 뺨치게 시끄러운점.. 엄빠 몰래 컴퓨터 할 어린이들은 살 생각 하면 안 되는 으마무시한 소음 감수하셔야 할 듯 솔직히 갈축적축파라서 예쁘지만 얼마 못 가 서브로 다른 거 하나 더 살 거 같아여 하지만 예쁜 거 하나로 돈값 백프로예요,['https://phinf.pstatic.net/checkout/20200911_39/1599753355221XG45I_JPEG/review-attachment-a7917291-6434-425f-9e87-3f4aa5c4ac13.jpeg?type=f287']
5,"금요일 2시이전에 시켰더니 당일 배송해주셔서
토요일 밤에 왔어요! 하자없이 진짜 예쁩니다 ㅠㅜ 옆에 무지개색으로 빛나구요 키보드에서 연한 분홍빛 라이트 번쩍거림 선도 길고 진짜 예뻐요 조금 무게는 있어요 근데 뭐 들고 다니면서 쓸것도 아니라 ㅎ 잘쓰겠습니다",['https://phinf.pstatic.net/checkout/20200913_175/15999505960103imtP_JPEG/review-attachment-8013193a-aac5-4337-8577-cee4db16c4ff.jpeg?type=f287']
5,ㅜㅜ실제로 보는게 훨씬 색감 예쁘고 좋아요 베스킨라빈스 생각나는 색입니다! 거기에 유리 같이 빛나서 빛 비추는 거 따라서 넘 예뻐요.. 평범한 화이트 블랙 키보드 안 좋아해서 이것저것 비교해보다 샀는데 괜찮아요! 조약돌 쓰다가 바꿔서 아직 안 익숙한데 게임할 때도 괜찮은 것 같아요,['https://phinf.pstatic.net/checkout/20200714_217/1594728327521DzW2b_JPEG/review-attachment-a1c8a5b1-a6f9-4afd-9604-349604fa7f05.jpeg?type=f287']
5,키보드 사려고 많이 찾아보다가 결국 주문하게 된 키보든데 너무 마음에 들어요ㅠㅠㅠ 진짜 예쁩니다 키캡의 배색도 너무 예쁘고 옆에서 나오는 rgb led도 진짜 예뻐요ㅠㅠㅠ 타각타각 눌리는 소리도 딱 원하는 정도라 좋고 키감도 쫀득쫀득합니다!!! 고민하시는 분들 꼭 사세요!,['https://phinf.pstatic.net/checkout/20201129_271/16066307864548IIjv_JPEG/review-attachment-dcbde606-7c65-423b-be4a-b2e5c18abb61.jpeg?type=f287']
5,"배송도 빠르고 키보드 디자인 자체도 예뻐서 질렀습니다.
키감 역시 카일축의 쫀득함이 잘 묻어져 나오는 키감이였구요
완전방수와 강력한 내구성을 가지고 있어서 오래동안 사용할수 있을것 같습니다. 사이드 RGB LED와 심플한 화이트 디자인으로 깔끔함을 강조해 더욱 예쁜 키보드가 되어 만족중입니다",['https://phinf.pstatic.net/checkout/20200629_163/1593404604194qynYd_JPEG/1.jpg?type=f287']
5,일하는데 진부해서 색깔만 보고 키보드 바꿔봤는데 키감도 좋고 보기에도 기분좋고 배송도 빠르고 잘쓸께요!!,"['https://phinf.pstatic.net/checkout/20201122_104/1606003874858mVOiJ_JPEG/review-attachment-69a43985-5ca0-43c8-8071-5571e97de24d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201122_129/1606003875028vB9Dn_JPEG/review-attachment-105f8254-e9f3-4594-bd84-b1a9c8ca24ba.jpeg?type=f287']"
5,"좋은제품 저렴하게 구매 했습니다
실제보니 색상 너무 이쁘네요
키감도 너무 만족합니다","['https://phinf.pstatic.net/checkout/20201110_245/1605018979369jwedp_JPEG/review-attachment-84db2b45-a636-483b-9f97-932c1f2e1139.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201110_12/1605018979359Mhmyg_JPEG/review-attachment-fa771374-9b0c-4401-90e2-05776754f401.jpeg?type=f287']"
5,"키보드 너무 너무 마음에 들어요
가격도 크게 부담없는데 컬러도 예쁘고 무엇보다 프레임이 흰색인게 너무 좋아요. 키감도 좋고 LED기능도 만족합니다!","['https://phinf.pstatic.net/checkout/20200919_256/1600498507598yaWHP_JPEG/review-attachment-10d1a387-6fb2-402e-9fa4-a17a9205648d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200919_38/1600498507795dzKa5_JPEG/review-attachment-b9827054-34a3-48a3-bcd9-a569922cfb0b.jpeg?type=f287']"
5,"추석앞인데도 배송 완전빠르게 잘받았습니다
키감도 좋고 무엇보다 이쁩니다^^","['https://phinf.pstatic.net/checkout/20200923_146/1600841461147BCqhz_JPEG/review-attachment-40bc5560-4d93-480f-a91d-7be83229704e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200923_11/1600841461471vaNcJ_JPEG/review-attachment-cc5bad91-2da3-4922-b6a1-87494a8591e9.jpeg?type=f287']"
