star_point,comment,photo
5,"일단 조약돌 레트로 타입이란 점에 매력을 느껴서 주문했는데, 기존 자판이랑은 다르다보니 오타율이 엄청납니닼ㅋㅋㅋ

이거 신경 쓰이는 분은 안 사심이 좋을 거예요. 저야 모양 이쁘다고 쓰려 했고 어차피 노트북 자판 위주로만 다루다보니 자판 모양이 달라지고 이런 거에 딱히 불편한 건 없습니다.

청축으로 구입했는데, 실수했습니다. 갈축이나 적축으로 살 걸 그랬나봐요. 일단 경쾌한 타격감 같은 건 좋은데, 소음도 나고 스프링이 팅~ 하는 느낌이라고 해야 하나 소음이라고 해야 하나, 집에서 쓰기엔 소음이 나더군요.

영어 문구는 투명이라 LED 불빛이 들어와서 보이지만, 그 외에는 인쇄나 각인으로 만든 문구라 어두울 땐 안 보입니다.",['https://phinf.pstatic.net/checkout/20201113_288/1605250560513BO31Y_JPEG/review-attachment-bc73469c-9ae5-4e2b-96c8-a3ea7d6c875c.jpeg?type=f287']
5,"레트로 타자기 느낌을 아주 잘 살렸습니다. 챠각챠각 소리가 나는게, 청축이라서 그런지 정말 타자기 치는 느낌이 들어요. 키보드에 빛 나오는 것도 무척 마음에 들어요. 커스텀으로 원하는 키에 빛 들어오는 것도 좋구요. 정말 물건 자체는 레트로 타자기에 핑크색으로 정말이지 머릿속에서 생각하던 그대로 나온게 정말 취향입니다. 그런데...
드라마로 치자면.. 진짜 성격도 나쁘고 심지어 범죄도 저지르는데 너무 예쁜 최애가 있잖아요.. 현실로 나오면 큰일나는 최애들.. 그 최애랑 현실로 사귀는 느낌..? 이정도까지 똑같지 않아도 되는데 똑같아서 괴로운..?
이 키보드에게 딱 그런 느낌을 받았어요...
제가 청각에 예민한 편인데, 청축이라서 챠각거리는 , 자판 만지기만 해도 섞여 나오는 용수철 소리도 시끄럽지만 머릿속에서 생각하던 챠각거리는 레트로 타자기 딱 그 느낌으로 맞으니까 정말 취향인데.. 역시 시끄러운게 이미지에 맞고 좋은데 역시 시끄러워서 괴로운 느낌..
... ...진심으로 본인이 청각에 예민하다면 비슷한 디자인의 저소음이나 맴브를 사세요.. ..요즘 종류 많으니까요...
지금 이 글을 작성하는 저는... 현실로 나온 최애를 아직 못 버리는 어리석은 사람이라 구름타법이 뭔지도 모르겠지만 써야겠다 싶어요... ...솔직히 하루밖에 안 됐는데 저를 최애한테 맞춰야지 어쩌겠어요.. 그쵸.. 부디 제가 최애와 오래오래 예쁜 사랑 할 수 있었으면 좋겠어요... (청축을 갈축으로 바꾸느니 차라리 비슷한 디자인 맴브 사는 게 더 싼 것 같기도 하고..ㅠ)
아, 그리고 후기들 많으니까 너무 제 의견만 생각하지 마시고.. 꼼꼼히 생각해보시고 후기 읽어주신 분 모든 분들은 부디 성공한 구입되시길 바랍니다..☆","['https://phinf.pstatic.net/checkout/20200108_187/1578447549509YOsFG_JPEG/20200107_173651.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200108_90/1578447561356OtuHd_JPEG/20200107_174145.jpg?type=f287']"
5,"장점
전원선 피복이 고무가 아니어서 좀더 안정적

케이블 자체에 기본으로 선 정리 찍찍이 벨트가 달려서 선 정리시마다 케이블 타이를 찾을 필요가 없네요.

키보드 자체적으로 상당히 묵직해서 타이핑시 덜컹 거림이 없어서 좋네요.

기계식은 .

축도 여분을 미리 구매해 놔서 문제 발생시 그것만 갈아주면 돼서 키보드를 통째로 버리지 않아도 되니 좋다고 봅니다.

단점
방수 기능이 없는 기계식에 한해서 청소 하기가 좀 난해합니다.
축이 외부로 노출이 된터라 강하게 눌러서 걸레질을 할수가ㅜ없네요.
컴퓨팅 하면서 무언가를 먹을 때 일반도 신경 쓰이지만 기계식 키보드는 외부로 노출된 축이 보여서 더 그런것 같습니다.
뭐...신경 쓰기 싫으면 투명 케이스를 씌우고 다른 볼일 보면 됩니다.

생각나는 것만 적어ㅜ봤습니다.
배송 받앗을 때 포장 상태도 이중 포장으로 만족 했고 , 지금까지 사용 하면서 특별한 하자 없이 만족하며 사용중입니다.",['https://phinf.pstatic.net/checkout/20200502_253/1588404348073EaOb0_JPEG/1588404217019.jpg?type=f287']
5,"멤브레인만 쓰다가 기계식 키보드 써보고 싶어서 샀습니다
게임을 하는 것도 아니라서 디자인 이쁜걸로 찾다가 발견했어요
때탈까봐 블랙으로 했는데 그래도 역시 화이트가 이뻐보이네요
갈축이 소리도 크지 않고 키감도 적당해서 잘 고른 것 같아요
스마일 배송이라 완충제도 많이 해서 안전하게 왔어요
가격도 적당하고 너무 마음에 들어요","['https://shopping-phinf.pstatic.net/20190918_24/cb2b1952-d27a-4ea6-b8a5-3e4a3db32eea.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190918_29/2312c2e0-8655-4c8d-b8ba-dc808897ff8e.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190918_11/e1ff5745-d0f9-4c5a-b701-b11d3a6a932b.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190918_28/5baa06a4-b4d8-4305-bd79-a184930891c3.jpg?type=f287']"
5,"택배는 언제나 설레이지만...
이번 해커840은 두번 놀랐습니다. 들었다 놨다.
1. 제품 포장상태에 놀랐습니다. 비교적 충격에 영향을 덜받는 제품이기도하고 물류창고에서 출발함으로 대체적으로 배송상파손은 없기 때문입니다.
2. 키보드 덥개....제발 빠졌다고 해주세요. 설마 박스열었을때 덮고있는 플라스틱계의 습자지가 설마 같이준다던 키보드 덮개입니까? 앞에서 택배의 즐거운 포장상태에 감격하고 키보드에 잘샀구나 만족도가 높아진 탓인지...그냥 아무설명도 없으면 좀 덮어놓고 쓰다 꾸겨지면 버리자 했을텐데요.
3. 하여간 갑자기 예전 타자기도 생각나고 기계식 찾다가 정말 이쁜 키보드를 샀습니다. 네트로감성 조약돌키 몇가지 샀지만, 그중의 최고의 제품입니다.
지금은 마우스패드 받을려고 급하게 사진만 몇장찍었는데 쓰면서도 만족스러울거라 확신합니다.",[]
5,"기계식 키보드는 처음입니다.

가격도 저렴해서 입문으로 사용하기 좋은거 같아요.

시끄러운게 싫어서 갈축으로 선택하였습니다.

부드럽게 눌리고 좋네요.

다만 스프링 소리인지 타자를 칠때마다 뭔가 텅! 텅! 같은 울림소리가 조금 나더라구요

거슬릴 정도는 아니지만 민감하신 분이면 참고하시면 좋을듯 합니다.",['https://phinf.pstatic.net/checkout/20200903_84/1599128256345NmACr_JPEG/review-attachment-8dfb3f16-79c2-4558-99c7-b23f4020b96f.jpeg?type=f287']
5,"제품도 마음에 들고, 배송도 빠릅니다. 레트로 키보드 처음이라 처음에는 좀 낯설었는데, 며칠 써서 익숙해지니까 더 마음에 드네요. 타자칠 때 하이음이 날카롭게 들리는 부분이 있는데 저는 크게 신경쓰이거나 불편하지 않습니다. 개인 오피스에서 쓰고 있는데 화사하니 좋네요.",['https://phinf.pstatic.net/checkout/20201029_139/1603946998775FTFQo_JPEG/review-attachment-8fd87abd-a050-4ca1-ae1b-2dcce4164320.jpeg?type=f287']
5,"차칵거리는 소리와 용수철 소리가 초반엔 약간 힘들었지만.. 이제 어느 정도 익숙해져서 그러려니 합니다. 쿡쿡 눌러지는 편이라서 키보드 많이 사용하는 분들은 손가락에 피로감이 많이 쌓일 것 같으나, 저는 아니니까요. 키보드가 예뻐서 하루에 한번 만져보고싶었기 때문에 덕분에 컴퓨터를 자주 켰습니다. 키를 누를 때마다 빛이 물결처럼 퍼지는 효과도 예쁘고, 원하는 키에 빛이 들어오게 커스텀 할 수 있는 부분도 좋고. 먼지 안 쌓이게 플라스틱 커버 있는 것도 만족스러워요!! 앞으로도 최애캐와 계속 잘 살겠습니다!!♡",['https://phinf.pstatic.net/checkout/20200227_79/1582788560291iyMn0_JPEG/20200112_230701.jpg?type=f287']
5,"가격대비 정말 만족합니다
포장부터 맘에드네요
갈축은 처음이라 청축과 적축 중간느낌이라는데 적축에 더 가까운 느낌이네요 7:3정도??
둥근키캡은 처음인데 사각보다 좀더 붕 떠있는 느낌이 들긴 하네요 쏙 들어간 느낌은 아니구요
빈공간이 있어서 약간의 적응은 필요하네요
LED액션 메탈바디? 맞나요 무게감 패브릭케이블 마감도 아주 좋네요 레트로 감성까진 모르겠지만 ㅋㅋ
가성비 너무 좋습니다","['https://phinf.pstatic.net/checkout/20200227_55/1582813595227dxqgX_JPEG/A75C1999-8B7A-4409-B37A-15EC378523D3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200227_89/1582813595223MPf97_JPEG/D2350C86-3BD0-4D4A-B48E-8E5F090AA1A5.jpeg?type=f287']"
3,"핑크색 키보드를 찾던중 발견해 구입을 하게 되었어요
처음 받을 키보드 자판 하나가 불빛이 전혀들오지 않아 교환을 한번 받았는데 교환을 받은 키보드도 자판하나 불빛이 엄청약하네요^^;;;
어두운곳에서 보면 그래도 불빛이 들어온게 보이는데 낮에보면 불빛이 없는것 처럼 느껴져요ㅎㅎ;;;
제가 복불복 운이 없는것 같아요
생각보다 키보드 감도 좋고 탁탁거리는 소리도 경쾌하고 led모드를 선택할수 있어서 그런대로 만족해하면서 사용하려고요",['https://phinf.pstatic.net/checkout/20200605_191/1591288256668rb6u7_JPEG/20200605_011644.jpg?type=f287']
