star_point,comment,photo
5,"너무너무너무너무 예쁜 핑크색이에요
기존에 써왔던 키보드는 자판이 사각이었는데 이건 원형이라 타자칠 때 약간 어색하긴 하지만 그래도 그건 적응하면 되는 부분이니 괜찮아요. 타각거리는 청축 소리도 크다 생각했는데 써보니 나름 괜찮고, led도 여러가지모드에 제가 직접 원하는대로 설정도 가능해서 좋아요. 키보드 덮개도 있다는 게 저는 너무 좋네요. 제가 쓰려고 샀는데 남편이 너무 좋다고 탐내요ㅎㅎ","['https://phinf.pstatic.net/checkout/20200913_131/15999726340854STkS_JPEG/review-attachment-afc89972-3420-4f3b-b03e-fc6e038cfed2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200913_215/1599972635284lEvYQ_JPEG/review-attachment-68d1cdf6-a192-4922-894f-10fbac1018f2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200913_163/1599972635339f05sp_JPEG/review-attachment-3b0fec08-65f8-41a5-9758-1b67e89e70df.jpeg?type=f287']"
3,핑크색과 조약돌 모양의 외관은 너무나도 예뻐서 만족중이고 청축에 걸맞게 아주 경쾌한 소리가 나요. 그리고 다른 분들이 쓰신 리뷰와 같이 스프링 소리가 나지만 타자를 칠 때는 타자소리에 묻히는 편이에요. 또 제 키보드가 불량인지 4개 정도의 키에 불빛이 안나오더라고요ㅜ.ㅜ 그게 조금 많이 신경쓰여요.,"['https://phinf.pstatic.net/checkout.phinf/20200429_289/1588167090571pFE9r_JPEG/KakaoTalk_20200429_221204734.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200429_102/1588167095911g8ybL_JPEG/KakaoTalk_20200429_221206011.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200429_179/1588167101611g04Cw_JPEG/KakaoTalk_20200429_221205489.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200429_270/1588167103567xSfB7_JPEG/KakaoTalk_20200429_221205767.jpg?type=f287']"
4,"너무예뻐요 근데 뽁뽁이하나없이 비닐포장ㅠㅠ박스 다 찌그러져서 왔는데 당장은 키보드에 이상 없어서 그냥 써요
생각보다 스프링튕김 소리가심하게 나긴하지만 예쁘니까
봐줍니다 무게는좀나가요 묵직해요 키보드자체가... 그래서 안정감 있어요",['https://phinf.pstatic.net/checkout/20201006_275/1601975368677vIUTB_JPEG/review-attachment-9ced98c9-d5bf-46f4-9749-2aa52e80fea1.jpeg?type=f287']
5,우선 빠른 배송이 참 좋았지만 투명덮개가 깨져있고 검품을 위해서 였는지 개봉됐었던 흔적과 키보드 사용도중 입력센서가 오작동하는 횟수가 잦아 아쉽습니다 더 심해지면 a/s를 신청할 예정입니다 동일 모델을 여러개 사용해봤으나 특유의 통울림은 무조건 있는 모델인데 같은 키보드라도 거슬릴만큼 심한것도 있고 덜한것도 있고 편차가 있네요 키보드에 신경을 많이 들인 인지도 처럼 타사에 비하여 가성비 좋게 잘 나왔습니다 원형 버튼의 레트로 키보드이다 보니 부드러운 느낌을 원치않아 청축으로 구매를 했는데 보편화된 청축임에도 불구라고 동그란 키감이 재밌네요 불빛과 모드도 다양하고 키보드를 사용하는 내내 눈이 즐겁습니다 앞으로도 좋은 키보드 많이 개발해주셨으면 하는 바램입니다 솔직한 리뷰 올리며 감사드립니다.,"['https://shopping-phinf.pstatic.net/20190627_20/67b13ef4-d732-4ce3-b6b3-b666beb21169.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_18/015c9431-47bf-45f6-8639-69676adeb230.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_22/db462df2-9a87-4428-af0f-876d2077623d.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_0/8876c87d-4e3d-4146-b4be-647f39406b5a.jpg?type=f287']"
3,"대략적인 크기 및 혹시 모니터 받침대 쓰시는 분들은 걱정않고 들어갈 사이즈 입니다만..
진짜 이쁘고 이쁘고 이쁜데 문제는 플라스틱 통 울림소리 진짜 거슬려요 예민하신 분들은 고민 두번 해보셔야할 듯 합니다 이뻐서 참네요",['https://phinf.pstatic.net/checkout/20200513_129/1589296888190u2O1e_JPEG/image.jpg?type=f287']
5,"예쁜데 조약돌 모양이라 게임하는게 불편할줄알았는데 전혀 안불편하고 너무 너무 예뻐요!
청축이라 키감이 진짜 타자기 같아서 잘어울려요!!
갈축만 썼는데 갈축보다 약간 더 힘들어가지만 외관이랑 잘 어울려서 좋아요.
게임할때 불편할까봐 예쁜데도 고민하시는분들 꼭 지르세요!!",[]
5,아들꺼랑 2대 구입했습니다.배송시.안전하게 박스포장에 완충제포장후 비닐 포장되있어서 파손없이 잘도착했습니다기본적은 구성품은 부드러운솔.키보드교체용핀셋설명서 키보드 사용후 먼지 덮게 이렇게 있습니다.사용은 타자칠때 소리 좋고 타격감있습니다.LED밝기.LED표시속도.LED표시종류등 설정할수 있습니다.키보드 무게감은 조금있습니다..아들도 너무 좋다고 합니다.가격대비 성능좋습니다.,"['https://shopping-phinf.pstatic.net/20190625_6/39ea2cfa-11e9-4d3e-b9cf-459a3794051a.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190625_6/0491276b-f8a9-47d3-9702-40e7ce4b07df.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190625_0/aa87d664-88eb-4270-89a0-c6ff75e2c905.jpg?type=f287']"
5,배송도 빠르게 왔구요! 키보드가 예쁩니다. LED가 빛이 예쁜데 낮에는 불빛이 약하지만 저녁에는 굉장히 예쁩니다. 청축의 키보드 소리를 좋아해서 청축으로 시켰는데 타자감도 좋고 치는 느낌도 좋아요. 참고 사항인데 키를 칠때마다 키보드 자체에서 조금 울리는 듯한 소리가 납니다.거슬리기는 한데 적응됩니다. 숨쉬기 모드나 여러가지 불빛모드도 예쁘구요. 조약톨키캡이 오타가 있다는 소리가 있었는데 하루쯤 치다보면 적응되서 괜찮습니다. 가격대도 괜찮고 의자를 조금 낮게 앉는 편인데 기울여서 봐도 모든 키가 잘 보이고 좋네요! ㅎㅅㅎ!,['https://shopping-phinf.pstatic.net/20181116_23/87482d54-8465-40e4-9c4c-2214e99fa8d9.jpg?type=f287']
5,키보드엔 아예 관심도 없었는데 나름 큰맘 먹고 샀습니다. 기존꺼랑 다른 느낌으로 가려고 일부러 동글동글한 모양을 찾았고 시끄럽다는 청축으로 샀어요ㅋ 처음엔 오타가 좀 생겼는데 좀 쓰다보니 아주 만족스럽습니다. 자꾸 타이핑하고 싶어지게 만드네요~~~ 배송도 빨랐고 포장 상태도 만족스러웠고요!,['https://shopping-phinf.pstatic.net/20190627_3/f961870d-5672-4cb1-88e2-48ac472c8d99.jpg?type=f287']
4,이쁘고 키감 좋습니다. 적축 사려고 알아보고 있던 중에 색상이랑 디자인이 너무 마음에 들어 청축밖에 없었지만 우선 샀습니다.갈아끼울 수 있어서 교환식으로 샀구요 :) 현재로썬 청축 처음이라 경쾌한 타자소리가 아직은 적응이 되지 않구요 ㅋㅋ키감은 나쁘지 않습니다.전에 쓰던 키보드가 조금 오래되어서 뻑뻑하게 눌려서 그런지이건 아주 부드럽고 손가락에 무리가 안가요. 무엇보다 누르는대로 조명이 나와서 이뻐요 세상에 마상에 근데 델리트 키랑 스페이스바가 가끔 잘 안먹혀서 조금 더 써보고 문의드릴게요. 많이 파세요~~,[]
