star_point,comment,photo
4,디자인 + 키감은 진짜 너무 만족스럽고 적축 소리도 좋아요! 다만 알고 샀지만 통울림은 꽤 많이 심합니다ㅎㅎ.. 막귀고 안예민한편인데도 꽤 크게 들리네요 그리고 하단에 뭐가 묻어서 왔는데 지워지진 않아요ㅠ 또 왼쪽 하단 컨트롤키가 누를때 덜컥하고 걸리는데 교환하기 번거로워서 그냥 사용하려구요,"['https://phinf.pstatic.net/checkout/20200924_29/1600935719669R44tD_JPEG/review-attachment-741e4232-456d-4cfe-af41-6eb3ec9e090d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200924_97/16009357547794pYsf_JPEG/review-attachment-97fefaf1-5196-4e94-821d-ada3c36bc997.jpeg?type=f287']"
4,"이쁘고 이쁘고 이쁩니다
usb 꽂으면 이쁘고 이쁘고 이쁘고 이쁩니다
번쩍번쩍
그런데 손목이 너무 아픕니다ㅜㅠ
30분 두들기니까 손목이 나갈거같더라구요ㅠ
키보드자체가 두꺼운건 아닌데 이게 높낮이가 너무 낮아서 그런거같아요; 각도조절이 조금 더 되었다면 좋았겠다 싶습니당
적축이라 뭔가 둔탁한 키감에
저처럼 청축의 찰카닥소리를 싫어하시는 분들은 적축쓰세요!
그래두 계속 보게됩니당:)","['https://phinf.pstatic.net/checkout/20200806_269/1596724763371q0Dpw_JPEG/review-attachment-b3a31ba9-2531-4d8f-8166-21b5610eb71e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_150/1596724763596sCR7r_JPEG/review-attachment-132c0ab6-0faa-48fc-8868-05fa285ccee4.jpeg?type=f287']"
4,"지인 분께서 조약돌 키보드 사용하시는 모습 보고 저도 따라 샀어요! 디자인 포함해서 레인보우 LED도 너무너무 예쁘고, 타건감도 갈축이라 그런지 이전에 가지고 있던 청축 키보드보다 무게감 있고 소리도 작아서 마음에 쏙! 들었어요~
다만 통울림이 심해요. 진짜 심해요. 동영상으로 찍었는데 소리가 녹음이 안 되네요. 조용한 곳에서 쓰면 통울림 특유의 텅텅 소리가 제 고막을 강타하는 느낌이에요. 솔직히 처음에 받고 키보드 통울림 듣고나서 기분이 상했었는데 사람 여럿 있는 장소에 가져가니까 그나마 소리가 묻네요. 상품 자체에는 파손 같은 문제가 아니라서 일단 사용할 계획이에요.
후기니까 솔직하게 썼어요. 싼 가격에 이 정도 물건이면 된다는 생각은 조금 무례하단 생각이 들었거든요. 직접 제작하는 곳이 아니라 물건을 받고 판매하는 유통업계지만 이 부분에 있어서 좋고 나쁨을 알아주셨으면 해요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_10_25_0/446b3b43-f6f1-11e9-89b9-28b4484d5a96_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191025_258/1571984760953736KB_JPEG/C3478D1B-31FD-4875-9259-5F16AD248F7A.jpeg?type=f287']"
5,"키보드가 너무 이뻐서 일을 막 하고 싶은 마음이 뿜뿜 들고 다음날 출근하고 싶은 맘도 들고 퇴근할때는 키보드 빠이..하면서 퇴근합니다.

빛을 내는 옵션도 다양한데 밝기 5단계와 속도까지 조절할 수 있어서 절대 쉽게 질릴꺼같지 않습니다.

사무실에서 사용하고 있어 적축으로 구매하였고(적막한 곳에서 사용하기엔 소리가 조금 있음)타자치는 감촉은 있으나 손목이 편한 정도로 있어 키보드쓰는 일이 즐겁습니다.
엔터나 지우기 버튼 등 눌리는 느낌이 조금 다르지만 비쥬얼을 봤을때 크게 신경쓰는 부분은 아닙니다.

다른분들도 꼭 구매하셔서 이쁜 키보드 사용하세요🖤🤍❤
[리뷰 쓰다가 집에서도 이 키보드로 구매하고 싶은 욕구가 솟아오르네요..]",['https://phinf.pstatic.net/checkout/20200613_212/1592043561371ahUwc_JPEG/20200613_191859.jpg?type=f287']
5,원래 멤브레인 방식 키보드 쓰다가 혹해서 샀는데 신세계네요ㅎ 금새 적응해서 열심히 쓰고 있어요ㅎ 사무실에서 쓰려고 갈축했는데 적당한 소음이네요ㅎ 개인파티션 다 되어있고 어느정도 떨어져있어서 크게 문제되지않을거 같아요,"['https://phinf.pstatic.net/checkout/20200922_16/1600758396021FYNsP_JPEG/review-attachment-9fb8ef09-e3aa-4b51-913b-a5c13e142bec.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200922_249/1600758410039VnqwC_JPEG/review-attachment-51875943-612d-4282-a3e3-e8505fe28345.jpeg?type=f287']"
5,저의 첫 기계식 키보드인데 너무 만족하고 있어요!!! 주로 보고서 작성을 위해서만 키보드를 사용해 딱 저에게 맞는 것 같아요. 게다가 레트로 디자인으로 갬성 +1:) 다만 다른 후기들과 같이 통울림이 있어서 소리에 민감하신 분들에게는 비추에요ㅜㅜ,['https://phinf.pstatic.net/checkout/20201107_50/1604740607043Hldig_JPEG/review-attachment-25d61f79-8994-4528-bd82-a727578b56a8.jpeg?type=f287']
5,스페이스바는 뭉툭한 느낌이고 나머지 키는 챱챱 가볍게 ㅊㅣㄹ 수 있음 힘 안 줘도 돼서 손목 안 아픔 앱코는 항상 저렴한 가격에 평타 이상을 보여주는 듯 동생 생일이라 갖고 싶은 거 얘기하랬더니 조약돌 키보드 너무 갖고 싶다길래 찾아보니 디자인도 귀엽고 젛음,['https://phinf.pstatic.net/checkout/20201127_191/1606454342655KpdMk_JPEG/review-attachment-acf3c85c-fc50-409b-b923-6815764433a6.jpeg?type=f287']
3,"적축은 처음 써보는데 익숙해지니까 딸깍딸깍 소리도 안 나고 부드러워서 괜찮네요 외관도 엄청 이뻐요
다만 키보드 칠때마다 탕탕거리는 빈 철깡통 치는 소리가 나는게 유일한 흠입니다... 다른 분 후기에서 봤는데 대수롭지 않게 생각했는데 저는 계속 신경이 쓰이네요ㅠㅠ",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_25_0/682c0b52-fef9-11ea-9d26-a0369ff963bc_03.jpg?type=f287']
5,"전체적으로 괜찮아요!
색이 예쁘고 타닥타닥 하는 소리가 듣기 좋아요 ㅎㅎ
언니랑 같이 하나씩 사서 나중에 질리면 키캡만 바꿔서 쓸까봐요.
한가지 주의할 점이라면 키보드가 동글동글하다보니 오타가 자주 나는 듯 하지만 적응하면 괜찮아 질 것 같아요!",['https://phinf.pstatic.net/checkout/20201119_85/1605783981377y9lb9_JPEG/review-attachment-328d7579-12f3-4340-9ce9-fdf633583bda.jpeg?type=f287']
4,디자인 보고 반해서 샀는데 너무 맘에 들어요 쓰던 멤브레인보다 뻑뻑하긴한데 그게 더 맘에 드는 것 같아요ㅋ 근데 첨에 한영키 변경이 안돼서 as까지 받아야했나했는데 지식인에 찾아보니 키보드작동을 위해선 깔아야 파일이 있더군요 안내책자가 들어있었으면 좋았을 것 같아요,['https://phinf.pstatic.net/checkout/20200923_205/1600867338122PzCuA_JPEG/review-attachment-655c8278-6fae-4717-be12-9ac25ddcb6c1.jpeg?type=f287']
