star_point,comment,photo
4,지금 구매 확정을 해서 리뷰를 그냥 작성하고 있지만 아직 포장 상태 그대로 있습니다. 다른분 리뷰처럼 스페이스바에 울림이 다른 키하고 다릅니다. 근데 뭐 그냥 동생 줄거라서 알아서 사용하겠져. 노란색과 빨간색을 고민하다 이걸 샀습니다. 잘한거 같아요. 사용전이지만... 제발 뽑기 잘했길,['https://phinf.pstatic.net/checkout/20200828_291/15985762428752R127_JPEG/review-attachment-088e27a6-606f-477e-bb92-0ab2d6b2161a.jpeg?type=f287']
5,정말 최고네요. 배송 하루 걸렸고 포장상태도 좋습니다. 키감도 좋고 너무 예뻐요. 원래 갖고있던 키보드가 단색 LED라서 좀 허전해서 이것저것 사서 실패한 뒤에 드디어 정착했네요. 무지개색 LED를 보고 있으니까 기분이 좋아져요.,['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_19_0/783fa502-fa61-11ea-80e6-a0369ff94ec8_03.jpg?type=f287']
5,"모니터가 빨간색이라 레드바디샀는데 이뻐용
흰색 키보드쓰다가 빨간거로 바꾸니 기분이 좋네욥
청축쓰다가 넘 시끄러워서 앱코샀는데 리니어인가 그거샀어야 했나봐요ㅠ 이것도 소리는 크네요 청축보다는 아주쪼금 소리가 작아용
그래두 맘에듭니다","['https://phinf.pstatic.net/checkout/20200225_47/1582636347108MMVH5_JPEG/20200225_220828.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200225_120/1582636370541csQWH_JPEG/20200225_220815.jpg?type=f287']"
5,"일단 제품과 상관없이 무조건 추천드리고 감사드립니다. 오히려 제품업체보다 판매업체인 귀사 쇼핑몰 대표에게 더욱 감사드립니다. 이업체를 방문하신 분들은 이업체는 무조건 신뢰를 해도 되겠다는 말씀도 드리고 싶습니다. 8700제품 구매 했습니다. 제품을 받아보고 확인할때까지도 같은 제품의 다른 종류가 있다는것도 알지 못했습니다. 솔직히 리니어가 뭔지 클릭이 뭔지 5-중반이 넘은분들 대부분은 알지 못합니다. 이번에 알게 도었네요. 뜯어보니 구매한것과 타건이 달라 그때서야 확인해보니 같은 모델에 다른제품이었네요. 물론 선택할때 두가지로 설명된 구분이 있었다면 한번 더 확인 했을텐데 한가지 모델만 보여서 다른건 생각을 하지 못한 아쉬움은 있지만 교환 요청하려 제품을 다시 포장중에 박스 개봉면에 붙여놓은 스티커를 제거하면 교환이 안된다고 되어있는걸 보고 사실은 화가 많이 났었읍니다. 띁어보지 않고 어떻게 제품으 ㄹ확인할수 있을지..개봉후에 제품상의 문제가 없다면 구매자의 실수 하나도 인정하지 않겟다는 뜻으로 해석될수 밖에 없었읍니다. 설치를 했거나 사용을 했거나 등등의 사유라면 이해가 됩니다만 단순하게 개봉한뒤 실물을 보고 마음에 들지 않을수도 있는데 그 문구는 참 부담가는 문구 였습니다. 개봉한게 문제가 될지언정 구매업체에 제품을 교환 요청을 했고 내용도 추가로 기록해 드렸읍니다만 일부 업체에서는 대부분 전화와서 이것저것 묻고 따지고 하던데 이업체는 전화한통없이 수거하는 분 보내시고 바로 제품을 보내 주셨네요.. 뜯어보지도 않고 감사의 글 올립니다.. 안그래도 요즈음 작은일에도 많은 스트레스가 쌓이는데 이러한 고객응대의 서비스 정신이라면 앞으로 아따한 문제가 발생해도 고객의 입장을 생각해 주실듯 합니다. 앞으로 자주 방문해보려 합니다. 다시한번 감사드리고 늘 번창 하십시요,,",[]
4,배송은 보통장점은 역시 크리스탈 키캡이라 그런지 영롱하고 이쁨 그리고 다양한 모드가 있어 질리지 않게 사용이 가능 구성품은 정말 기본적으로 이루어져 있음 그리고 타건감도 확실하게 훌륭했으며 기존에 같은 회사 제품인 k600 하데스를 사용하고 있었는데 키를 누를때 두어번씩 입력되고 그랬음 그래서 이번 키보드를 구매할때 같은 현상이 발생하면 교환하려고 마음 먹고 유심히 눌러봤으나 그런점은 눈에 띄지 않고 타건감에 매력을 느끼게 됨단점은 키보드 LED을 커스터마이징 하는건 따로 프로그램이 CD가 없다 보니까 기계식 키보드를 처음 접하는 분들은 다소 어렵다고 생각할 수 있음 하지만 설명서를 차근차근 보면 충분히 따라 할 수 있다고 생각함 그리고 LED 별로 색을 지정할 수 없다는점이 아쉽긴 했음4점,[]
5,"너 무 너 무 좋아요 !!♡♡♡ 일부러 기존에 쓰던 것과는 다른 핑크색 키보드 고른 건데 타닥타닥 타격감도 좋고 손에 무리도 덜 가고 키보드도 넘 예쁘고!!! 컴퓨터 책상이 더러워서 사진을 이렇게밖에 못 찍었지만,, 색깔 보세요 고민한 시간이 아까워요 역시 살까 말까 하는 고민은 배송만 늦춘다는 거~! 가격도 괜찮게 구매한 것 같아서 넘 기분 좋으네용",['https://phinf.pstatic.net/checkout/20200804_57/1596500415492O9SNH_JPEG/review-attachment-880d2e86-fe3e-496b-bbb0-d8782595943e.jpeg?type=f287']
5,일단 키감은 말할 것도 없이 너무 좋아요! 키보드 자체는 묵직하고 키는 가벼워서 키감 아주 좋고 타격감도 아주 좋아요! 게임을 즐겨하지는 않지만 이런 키감을 좋아해서 가성비 좋게 산건데 너무 만족합니다 ㅎㅎ 색상도 화면으로 보는 것보다 훨씬 더 예뻐요! 너무 만족합니다 ㅎㅎ,['https://phinf.pstatic.net/checkout/20200909_71/15996559071844JE2U_JPEG/review-attachment-793cc3cb-3827-4105-8733-316cded4e36a.jpeg?type=f287']
5,"게임용 키보드 피시방에서 처음 써보고 좋아서 주문했습니다.
색깔도 이쁘고 와이프도 맘에 들어하네여 ㅎㅎ 피시방에서는 소리가 별로 안컸는데 집에서 조용한데서 해보니 소리가 생각보다 커도 이맛에 쓰는거라고 생각하고 잘 쓰겠습니다 ~",['https://phinf.pstatic.net/checkout/20200506_44/1588736324547lYYAB_JPEG/KakaoTalk_20200506_123221961.jpg?type=f287']
5,일단 배송이 무척이나 빨랐습니다물건상태도 아주좋구요자주다니던 피시방에서 처음접하고사용중이던 키보드가 고장이나면서 구입을 했습니다일단 색이 유니크하고 정말이뻐요와이프가 회사에가져가서 사무용으로쓰고싶다고 탐낼정도로 정말이쁘구요타건감은 굉장히 좋습니다청축과는 또다른느낌이나고광축이라는 느낌을 말로 설명하자니 애매하긴한데철컥철컥??이라는느낌??ㅎㅎ무튼 집컴이 게임용이다보니 타자두드리는맛이굉장히좋아요!손맛끝장납니다이 가격대에 이만한 아이템 없을듯하네요구매고민하시는분들 고민그만하시고구매하셔도 후회없을것같아요!!,"['https://phinf.pstatic.net/checkout/20190723_281/1563887454661OfNrT_JPEG/20190723_220529.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190723_59/1563887470105j98yM_JPEG/20190723_220536.jpg?type=f287']"
5,"k8700 광축 타건음이 너무 좋아서 사버렸는데.장점:- 타건 소리가 너무 좋음. 청축과 비슷하지만 뭔가 더 쫀득한 느낌.- 혁신적인 디자인. 크리스탈 키캡과, 레드&핑크는 굉장히 신선합니다.- 라이트 효과가 다양해서 좋습니다. 그리고 엄청 밝아요.단점:사실 살때 기대한것과는 다르게 단점이 많이 보입니다.- 소음이 큼(전 갈축을 쓰다가 이걸 쓰게 되었는데, 소음은 청축과 다를게 없습니다. / 갈축보다 키압이 높습니다.)- 레드&핑크로 살 경우 흔히 블랙&화이트 분위기인 책상에는 안어울립니다.- 키캡에 글씨가 영어와 숫자는 투명으로 라이트가 과하게 투과되는 반면, 한글은 그냥 검은색 잉크로 쓰여져 있습니다. 그래서 영어는 너무 밝고, 한글은 어둡고 얇아서 잘 안보입니다.- 정면에서 보면 라이트가 고르고 이쁘지만, 의자에 앉아서 45도 각도에서 보면 중간에 빨,노,보 색깔만 밝고 나머지는 빛이 어두워 보입니다.결과적으로는 만족합니다~. 6만원대에서 너무 높은 완성도를 기대하긴 어렵겠죠. 타건감 만큼은 최고 만족합니다. 소음은 이미 알고 샀으니까요.",['https://shopping-phinf.pstatic.net/20190628_26/d95e373d-0dde-4fab-aee1-fce0a2cd4b7c.jpg?type=f287']
