star_point,comment,photo
5,"피시방에서 써보고 넘 예쁘고 키감도 좋아서 샀는데 제것이 되니깐 더 좋군용...
회사 키보드만 쓰다가 이런 예쁜 키보드를 쓰니깐,,,게임이 더 잘될것만 같은 그런 느낌적인 느낌으로 게임을 더 오래할 것 같은 그런 기부니가 드는군요...
불빛 빤짝이는거 진짜 넘 존예에여 8ㅅ8
홍진영 키보드 그 여리여리한 분홍색은 별로 안좋아해서 조금 더 예쁜 분홍색이 없을까 찾아보던 도중 발견해서 넘 만족도가 높아여....!!!
갠적으로 v2보다 v1이 색 조합이 더 예쁘네여...ㅎㅎ","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_18_0/f901a749-68ac-11ea-b8c9-00000000464c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200318_39/1584490310415hOldq_JPEG/KakaoTalk_20200318_085859963_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200318_136/1584490310376tM448_JPEG/KakaoTalk_20200318_085859963_01.jpg?type=f287']"
5,"피시방에서 사용해보고 좋은거같아서 찾아보고
구매 하였는데 역시 좋아요 누르는 소리랑 키입력도 너무 좋구요 led도 너무 이쁘게 잘나오고 파손없이 빠르게 배송되서 좋은거같아요 ! 화이트랑 레드 고민하다가
화이트로 주문했는데 정말 잘한거같네요",['https://phinf.pstatic.net/checkout/20200311_286/1583900204979FV0dd_JPEG/A8E569B4-0C26-4915-B7A7-DBC6500372DB.jpeg?type=f287']
5,선물해주려고 키보드 구입했는데 너무 이뻐요! 황트톤이랑 레드라고 했는데 색운 핑크도 섞인 색이에요 ㅎㅎ키보드는 잘 모르지만 키마다 플라스틱으로 싸여있는 것도 좋은 것 같아요. 글씨는 절대 안지워져서 오래 사용할 수 있을 것 같아요!,['https://phinf.pstatic.net/checkout/20200129_19/1580277620125n4Myq_JPEG/7EEE7153-CDFB-40FB-9677-8F0938893759.jpeg?type=f287']
4,배송도 빨리오고 키보드는 상태도 깨끗하고 기스없고 좋아요! 성능도 키감좋고 USB선도 깔끔하고 구성품들도 이상없어요ㅎㅎ근데 컬러때문에 1점뺍니다ㅠ이건 레드보단 핑크라고 해야 맞는거같아요..레드는 아니고 핑크라기엔 진하긴한데 무슨 참치뱃살같은색이네요! 저는 그냥 화이트 베이스가 예뻐서 만족하는데 레드생각하시는분들은 제가 보기에 최대한 실물이랑 비슷하게 찍었는데 참고하세요~~,['https://phinf.pstatic.net/checkout/20190817_107/15660107987280KyOo_JPEG/20190817_115902.jpg?type=f287']
4,디자인도 그렇도 색감도 그렇고 너무 예뻐요! 키보드 색감이 볼때마다 마치 새콤달콤을 보는듯한 그런 달콤함을 선사해 줘서 볼 때마다 키분이 너무 좋고 LED모드 설정 굉장히 많아서 그날그날 마음에 드는 LED모드 매일 다른거 써도 대략 10가지 정도여서 10일동안 다른 빛을 볼 수 있어서 너무 좋아요! 누르는 느낌도 너무 좋고 한데 다만 누군가와 방을 같이 사용한다 하면 키보드 누르는 소리가 조금 커서 피해가 갈 수 있을 것 같긴 합니다만 혼자 산다면 정말 소리 굉장히 찰집니다 지금 이거 쓰고있는 순간에도 소리 챱챱챱 찰져서 너무 좋음! 혼자 산다거나 방을 혼자쓴다면 적극추천!@,[]
5,pc방에서 이 키보드 써보고 키감도 좋고 디자인도 예쁘고해서이 키보드 있는 자리만 앉았어요. 그러다 이번에 노트북 구매한 김에게임용으로 모델명 검색해서 구매했습니다.색깔이 너무 예쁘고 ㅋㅋ 키감도 너무 좋아요 입력도 잘돼요저렴해요 아주굿굿,['https://phinf.pstatic.net/checkout/20181130_97/1543581523597cDKFV_JPEG/KakaoTalk_20181130_213804172.jpg?type=f287']
5,상당히 마음에 듭니다^^ 키감 경쾌하고~ 배그할때 밀림현상 없이 키 잘 눌러지네요~ㅎㅎ밤에는 조금 시끄러울수 있지만.. 큰 문제는 안될것 같구요~디자인도 깔끔하고 예뻐서 이래저래 마음에 드는 녀석입니다^^부담없는 가격에 이정도 퀄리티면~ 키보드 고르는걸 고민한 보람이 있네요~지금까지는 대 만족이에요~~~,['https://phinf.pstatic.net/checkout/20180626_49/1529989577989F5gBR_JPEG/5065481B-8A88-47DC-9193-B716DFDF6568.jpeg?type=f287']
5,입문용 기계식키보드를 찾아보는중에 피시방에서 본 키보드가 맘에들어 구입하게 되었습니다^^배송도 신청한 다음날 바로 오고제품에 하자도 전혀없는 k8800 정품키보드를 받았습니다!생활방수도 되는 100프로 맘에 드는 키보드 입니다~잘쓰겠습니다^^,[]
1,"키보드 받아보고 봉인씰 뜯어져 있어서 교환처리 했더니만 똑같은거 그대로 보내왔네요 마음같아서는 환불처리 해버리고 싶은 마음입니다.봉인씰 뜯어진거 가지고 그러네 라고 할수도 있지만 봉인씰에도 적혀있죠? 반품 불가라고 즉, 상품가치가 떨어진다는 이야긴데 지금 저한테 그 상품가치 떨어진거 정가 다받고 파신거에요 그렇게 생각하면 제가 화가날만 한거 같은데 그래서 그냥 좋게 교환신청했더니 똑같은걸 그냥 보내와요????? 정말 최악중에 최악입니다. 별 한개도 아까운데 이한개를 안누르면 글이 안써지네요 정말 최악입니다. 다시는 여기 쓰고싶지 않습니다. 어떠하다 피드백 따위도 없는 참 좋은 업체네요 비추합니다. 이런식으로 장사하지 마세요",[]
5,"사진보다 실물이 훨신 이쁩니다 ㅎㅎ
피시방에서 써보고 맘에들어서 구매했습니다","['https://phinf.pstatic.net/checkout/20200917_291/1600315256937BuFso_JPEG/review-attachment-a37eebaf-c79a-4077-969d-9fa25a1163b4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_70/1600315256623DPb8U_JPEG/review-attachment-f23794c4-bef3-44fb-ad7f-0948e43bce84.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_123/1600315256869TjKNo_JPEG/review-attachment-fe08b8fe-0245-40e6-b608-2b0eea03e58f.jpeg?type=f287']"
