star_point,comment,photo
4,일단 포장은 그냥 비닐포장이었어요 박스에 넣어서 올 줄 알았는데 ㅠㅠ 좀 허술하지 않았나••• 하지만 본품 자체는 괜찮았습니다! 상처 없었고... 키보드 자체는 진짜 예뻐요 디자인적으로는 완전 만족입니다 전에 쓰던 키보드랑 비교하니까 자판이 조금 작고 한글 인쇄 크기도 쫌 작더라구요 이거에 익숙해져야겠죠...? 이상하게 키보드 라이트만 켜면 삐 소리가 나던데 이건 제 컴퓨터가 이상한 건지 키보드가 이상한 건지 잘 모르겠어요... 이미 포장 다 뜯어버렸는데 ㅋㅋㄹ... 그리고 타건감은 부드럽긴 한데 손가락이 힘이 좀 들어가내욥...? 게임하는 사람들은 상관 없을 거 같긴 한데 문서 작업용으로는 손가락에 무리가 갈 것 같습니당 주의하새요,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_22_0/daadcd17-1429-11eb-85cb-a0369ff968b0_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201022_209/1603345314113kxVTB_JPEG/review-attachment-3f8928e1-8156-4e9d-adef-450bd7bcfbc2.jpeg?type=f287']"
5,"타건음 : 생각보다 크진 않은 편
촉감: 크리스탈 키캡이 장착되어 있어 굉장히 좋음
성능: 게이밍 할 때 기존 쓰던 키보드보단 훨씬편함
+ 키락기능이 가장 유용함(청소 시)

한 달이 넘게 사용하고 있습니다. 한 컴퓨터에는 적축 앱코키보드를 사용하고 다른 컴퓨터에는 갈축을 사용하고 있는데 개인적으로는 광축이 가장 좋습니다.

적당한 타건음도 그렇고 적응도 되게 빨리 됐어요.

그리고 약간 무채색을 좋아하는 타입이라 흰색과 회색이 너무 이쁘네요.
키보드는 조금 .

.

앱코 키보드를 많이 사용해와서 그런지 이젠 앱코 아니면 안되겠어요..!
ㅋㅋㅋ

다음에도 사게되면 여기서 구매할 생각입니다.

번창하시구 .","['https://phinf.pstatic.net/checkout/20200416_257/1587036681591moPbX_JPEG/KakaoTalk_20200416_202512294.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200416_67/1587036681653FikHT_JPEG/KakaoTalk_20200416_202512683.jpg?type=f287']"
5,첫 만남은 PC방에서였음. 쫀쫀한 스페이스바 느낌이 너무 좋아서 하단에 적혀있는 모델명을 찍어옴. 근데 주문하려니 그 피방꺼가 클릭인지 리니언지 몰라서 뭘 살지 모르겠었으나 왠지 그 쫀쫀한 느낌이 클릭은 아닐꺼라 생각이 들었음. 그렇게 리니어를 오늘 배송 받고 스페이스부터 눌러봄. 아..이거다.. 됐다. 기계식이면서 쫀쫀한 느낌 좋아하면 이거 사면 됨. 더 쫀쫀한거 뭔하면 기계식 아닌 무접점인가 그거로 가야함. 그리고 기본 키보드 쓰고 있던 입장에서 완전 편한거는 키보드내에 단축키가 있다는거 음량조절 할 일이 좀 자주 있는데 완전 편함. 마우스도 앱코꺼로 샀는데. 앱코..우리나라 메이커 이기도 하고 점점 더 맘에 드는 중,['https://phinf.pstatic.net/checkout/20200616_52/15922801974732Ga6n_JPEG/20200616_125942.jpg?type=f287']
5,"이전에 쓰던 청축 키보드가 레트로 키캡이라
좀 불편하고 시끄러워서 광축 리니어로 바꿔봤어요
약간 쫀득한 키감이 맘에 듭니다 소리도 전에 쓰던 거 보단 작고 낮아서 좋아요
모노톤이지만 빛나는 것도 여러가지로 설정할 수 있어서 한동안 질리지 않겠어요
방수방진이라 고장 걱정도 덜겠죠
사실 집에서 일만 하다가 열 받아서 충동구매한건데
ㅅ ㅣ발 비용 치고는 꽤 훌륭한 소비생활이 되어서 약간 어리둥절 합니다",['https://phinf.pstatic.net/checkout/20200721_31/1595309170037IKk9a_JPEG/review-attachment-ef9567b6-d1cc-4c6e-94aa-36b49190b4a9.jpeg?type=f287']
5,"1. 배송 : 일단 배송이 무지막지하게 빠릅니다. 수도권지역이 아닌데도 이틀만에 도착하네요

2. 상품 : 마감도좋고 딱 제가 생각하는 그대로 왔습니다. 일단 디자인이 흑백흰으로 너무이쁩니다

3. 키감 : 대부분 피시방에서 써보고 구매하셨을텐데 클릭 특유의 딸각거림이 좋고 과하지않네요. 카일광축 물건입니다.","['https://phinf.pstatic.net/checkout/20200317_210/1584436718181I0CF9_JPEG/20200317_181716.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200317_204/1584436718703mRlrq_JPEG/20200317_181713.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200317_199/1584436719272GBoAr_JPEG/20200317_181702.jpg?type=f287']"
5,"피시방에서 써보고 저랑 잘 맞고 이 키보드로 할 때 준수한 플레이를 하게 되어 주문하게 되었습니다. 배송도 빠르게 잘 왔고 상태에도 이상이 없으며, 타건감도 괜찮습니다. 다만 스페이스바 같은 넓은 키는 좀 더 부드러운 맛이 있으면 해서 윤활을 하려 합니다.",['https://phinf.pstatic.net/checkout/20200901_50/1598933566506SdmTU_JPEG/review-attachment-10c0d926-9e73-486b-9806-fb2221b44152.jpeg?type=f287']
5,"기계식 키보드는 처음 구입해서 사용해보는거였는데
피시방꺼가 생각나서 키캡 크리스탈로 된걸 찾아보다가
디자인이 맘에 들어서 구입해봤어요
크리스탈키캡 키감이 너무 제 취향이라서
아직까지 후회없이 너무 잘쓰고 있어요ㅎㅅㅎ","['https://phinf.pstatic.net/checkout/20200605_27/15913599446688Nyux_JPEG/KakaoTalk_20200605_212306952_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200605_147/1591359948648APGRH_JPEG/KakaoTalk_20200605_212306952.jpg?type=f287']"
4,"배송 빠를줄 알았는데 실망..
그래서 별한개 뺌요!
전 리듬게임용으로 샀는데
한시간정도 해본결과 매력있고 재밌었음
걸리는 느낌이 강해서 손목에 힘이줘지는데
본인이 쎄게 치는 버릇이 있다면
찰떡같은 제품이지 않을까? 생각함
키캡 참 좋다.왜 다들 좋다고 하는지 알것같음
캡은 손에 착착 붙는다.
그래서 좀 더 사용해볼것임",[]
4,훌륭한 제품인데 크리스탈 키캡에 일반 키보드보다 손때가 잘 묻습니다. 무슨 방구석 폐인도 아니고 멀쩡한 직장인에 신혼부부라서 컴퓨터 그리 오래 하지도 않는데 한 2주정도 쓰면 너무도 투명해서 오히려 더 잘 티나는 크리스탈 키캡위에 손때가 묻어있는 모습을 볼 수 있습니다... 상대적으로 더 자주 닦아준다는 점 말고는 아주 준수해요.,[]
5,예쁜 키보드 구매하려고 3일동안 찾아다니다가 정말 많고 많은 것 중에서 이것만 맘에 들어서 샀어요! 결과도 흡족합니다^^ 짱 예쁘고 깔끔하고 좋아요~ 크리스탈 커버된 그레이 색상 키보드 진짜 찾기 힘들던데 겨우 찾아서 쓰네요 잘 쓸게용~!,['https://phinf.pstatic.net/checkout/20200526_72/1590476204931WIoeN_JPEG/20200526_155637.jpg?type=f287']
