star_point,comment,photo
5,"피시방가서 우연히 써보고 터치감과 크리스탈캡, 무지개빛이 맘에들어서 같은 모델로 검색해서 구매했어요!
역시나 좋으네요 !
완전방수라서 물로씻을 수 있다는 점이 아주 큰 장점 같습니다ㅎㅎ키보드 두드리는 소리마저 좋아요
배송도빨랏구용. 마니파셰요","['https://phinf.pstatic.net/checkout/20200620_82/1592632249093ILB5e_JPEG/20200619_183851.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200620_249/1592632249603fcs0i_JPEG/20200619_183857.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200620_38/1592632277135VKywi_JPEG/20200620_145103.jpg?type=f287']"
5,앱코 무접점 k995p v3 사용중인데 귀에거슬리지않으면서 약간의 타격감이 있는 제품을 찾다 구매했는데 만족스럽습니다~ 데빌시리즈보다는 좀더 누를때 힘이들어가는것 처럼 느껴집니다..크리스탈 키캡이라 그런거겠죠..? ㅎㅎ 타건시 소리도 좀더 경쾌해요!,['https://phinf.pstatic.net/checkout/20201128_136/1606573509118AS9xE_JPEG/review-attachment-6014f550-1b8e-42ad-ac3e-8f503d8c12fa.jpeg?type=f287']
5,"1. 키감이 좋네요. 예전에 K2000 썼는데 그거보단 약간 가벼운 느낌
2. 아크릴판이 무지개색으로 계속 바뀌는건 좀... 이거만 끄고싶은데 방법이 없겠죠?
3. 맥북에서 사용하는데 오른쪽 컨트롤 키도 먹혀서 좋아요
한달 써보고 다시 후기남길게여",['https://phinf.pstatic.net/checkout/20200826_9/1598420533863L8bYc_JPEG/review-attachment-7b861ca0-578f-46dc-b4cd-75c8989badc5.jpeg?type=f287']
5,키감 진짜 좋아요 듣기 싫은 달칵소리는 있지만 뭐랄까조금 다르네요 원래쓰고있던 k660 리니어 광축보단 훨씬 좋고요 무게도 무겁고 좋네요 일단 소라색 바디에 크리스탈 키캡이라 딱 눈에 띄네요 사이드 rgb도 색조절 가능해서 좋고세트로 마우스랑도 잘 어울리고 만족합니다ㅎㅎ~,['https://phinf.pstatic.net/checkout/20200324_263/15850236194429t6PW_JPEG/20200324_131221.jpg?type=f287']
5,일단 타자칠때 소리도 경쾌하니 좋구요. 아주 약간의 아쉬운점이라면은 fps 게임을 많이 하다보니 w키를 많이 쓰는데 이 부분이 손가락에 미끌~해져서 나는 누르고 있는데 실제론 안눌러지고 있어서 케릭터가 멍떄릴때가 종종있다는.... 제 손의 문제일수도 있겠지요 ㅎㅎ 좋은제품 감사합니다.,['https://phinf.pstatic.net/checkout/20200524_243/1590287449544EDi4S_JPEG/111333.jpg?type=f287']
5,"하늘색에 가까운 색깔입니다.
크리스탈 키캡이라 더 이뻐보이고 손떼나 오염도 금방 지울수 있었습니다.
카일광축이라 오래쓸수 있을것으로 예상되고 소리는 청축에 가깝고 키감 만족스러웠습니다.
우측위에 휴대폰 거치대도 함께 샀는데 방해요소 없고 폰 사용에도 용이합니다. (튼튼함)",[]
5,"피시방에서 써보고 사장님 추천받아서 바로 구매한 제품이에요. 기계식 키보드 자체를 좋아해서 그 특유의 타닥타닥 하는 느낌이 너무 좋은데, 이 키보드 왜 피시방에서 쓰는지 써보니 더 잘 알겠더라구요! 비싼건 역시 값 어치를 하는듯 하네요. 배송기간도 그렇게 오래 걸리지도 않고 외려 빠른 편이였어요 잘 사용하겠습니다😋",['https://phinf.pstatic.net/checkout/20191122_242/1574397196751Hk7Kb_JPEG/image.jpg?type=f287']
5,좋아요 ㅠㅠ 소리도 넘 맘에 들고 색도 예뻐요!!,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_17_0/361ffc20-1061-11eb-8539-a0369ff952f4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201017_114/1602929215736Mer2W_JPEG/review-attachment-af9559f2-d3fa-4db7-bef1-d04d1c874f9b.jpeg?type=f287']"
5,키보드 완전 이뻐요 광축 처음쓰는데 키감은 청축이 더 좋은거같아요,['https://phinf.pstatic.net/checkout/20201028_94/1603869549571J6cIz_JPEG/review-attachment-124954a8-4598-49af-a92b-8a49cf8c0044.jpeg?type=f287']
5,소리도 경쾌하고 led도 이쁘네요,['https://phinf.pstatic.net/checkout/20201116_20/1605537901425K6wKn_JPEG/review-attachment-13229978-3422-47c8-b6fb-df4beea2d51e.jpeg?type=f287']
5,피시방에서 쓸 때는 몰랐는데 옆에도 불빛이 나오더라구요 너무 예쁘네요 배송도 정말 빨랐어요!! 감사합니다 잘 쓸게요,"['https://phinf.pstatic.net/checkout/20200705_96/15938845491676eQE0_JPEG/review-attachment-e809b1ea-dccd-49f4-a986-316ae910c3f0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200705_118/1593884549149UCjgK_JPEG/review-attachment-cd37b692-9989-4772-a852-1079708521d9.jpeg?type=f287']"
5,이 키보드로 리뷰 작성중. 키감도 좋은데 이뻐서 더 좋음,['https://phinf.pstatic.net/checkout/20201007_287/1602054063837rxV2b_JPEG/review-attachment-4110183f-7128-4655-8458-1008b607caa6.jpeg?type=f287']
5,키보드 소리가 조금 크긴하지만 마음에 들어요,['https://phinf.pstatic.net/checkout/20201007_100/1602044071597pu689_JPEG/review-attachment-4253877d-cffb-473f-891b-8029339920e0.jpeg?type=f287']
5,"자판 두드리는 소리가 좋아요
배송 빠릅니다",['https://phinf.pstatic.net/checkout/20200919_221/1600502006364SMg69_JPEG/review-attachment-c5e2d556-871c-4141-a791-f4c62d4095a9.jpeg?type=f287']
5,배송 빠르고 제품 실물이 너무 이뻐요,['https://phinf.pstatic.net/checkout/20200921_210/1600672164941VYYKK_JPEG/review-attachment-6ae53bd4-0287-4792-a172-5743bce22f2e.jpeg?type=f287']
