star_point,comment,photo
4,"1. 배송빠름
2. 봉인라벨있어서 굿
3. 박스가 깔끔하고 붓이랑 기본구성으로 심플
4. 기존에 쓰던 키보드랑 비교하면 기존꺼는 밑에 전부가 고무패드라서 묵직하고 울림이 없이 오로지 축 소리만 났다면 앱코는 플라스틱과 바닥 사이 공간이 있어서 타이핑할때 오로지 축 소리만 나지 않고 플라스틱 소리도 섞여서 남! 반드시 밑에 소리 흡수하는 패드 깔기 바람!
5. 동영상에서 들리는 타건 소리는 약간 적축에 가깝지만 ! 딸깍이 아니라 짤깍 깔짝 이런 소리!
동영상은 강한쇠소리가 큰데 실제는 아니라는거~
6. 아마 이 키보드를 구매하는 대부분 사람들이 키캡의 예쁨때문인거 같은데 저도 그 부분이 9할를 차지할정도로 오로지 키캡만 보고 구매했음! 키캡이 쫀득하면서 나른한 느낌이 아닌 약간 바싹마른 플라스틱 느낌인데 이건 아마 밑이 플라스틱으로 마무리되어서 그런거 같아요! 고무패드로 마무리 되었으면 참 좋았겠다는 아쉬움!
7. 결론은 예쁨! ! 패드 깔면 소리 더 좋을 것 같음!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_06_0/082a3bfd-8f5c-11ea-ad8f-000000004708_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200506_9/1588743539871b0tFO_JPEG/C55592D2-A309-45B0-AE3D-78D7D292D1D5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200506_144/1588743540799yCIQv_JPEG/DE9B4F51-EB42-4DB3-B127-1CCD4B8F0A58.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200506_293/1588743539553xpH1I_JPEG/5A8C7064-6D25-48FC-8C63-3C1C836446CC.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200506_79/1588743539720ORPYl_JPEG/D7527448-D667-4253-9BAE-0FCBEB5B12FE.jpeg?type=f287']"
4,"기계시 키보드 입문용으로 샀는데 저소음 적축이면 더 좋았겠지만(사용경험없음) 디자인으로 모든게 커버됩니다 ! :)

저는 사무실에 거의 혼자 있어서 괜찮지만 여러명이 있는 사무실에서는 조큼 무리가 있지 않을까 생각됩니다.
집에서 쓰는 용도면 짱짱!

저는 게임을 안해서 게임용으로는 어떤지 모르겠네요
키보드 3개월동안 뭐 살까 고민했는데 딱히 마음에 드는게 없었다가 이거 보자마자 꽂혀서 주문했어요
다들 노랑이 하세요 😉","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_03_0/14b93469-a575-11ea-94c5-a0369ff95678_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200603_277/1591173316811CE0r8_JPEG/C81727C3-5179-4AC8-8AE0-B8DD0E6840D6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200603_89/1591173318857gCIKt_JPEG/AC7E0EB8-E7A7-42E6-9191-575A76938BB1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200603_155/1591173318899fU6S1_JPEG/FBD17EAF-B06B-4F2F-A879-73073B0211CF.jpeg?type=f287']"
5,"게이밍 키보드를 쓰는건 처음이라 걱정이 많았어요~

게임할때만큼은 상당히 만족스럽습니다. 예전

멘브레인 방식 키보드도 충분하다 생각했었는데

신세계입니다. 키보드 색감도 그렇고 내 입맛대로

불빛도 셋팅할수 있으니 사용할때마다 기분이 좋네요.

키보드 자체가 상당히 무게감이 있어서 안 밀려요.

타건감도 좋습니다.

다만 단점을 꼽으라면 타건시

발생되는 소음? 기존 멘브레인만 쓰시던분이라면

신경쓰일수 있는데 게임시작되면 들리지 않습니다.",['https://phinf.pstatic.net/checkout/20200312_186/1583993355131BE6NL_JPEG/20200312_150159.jpg?type=f287']
5,"텐키리스 였으면 더 좋았을텐데 ㅋㅋ 안보고 산게 미스네옷
그래도 키감 좋고 이뻐요 광축
처음 사용해보는데 괜찮네요
키보드 투명캡 씌울때 검은색 먼지 있는지 확인하고 씌우는게 좋을거 같아요 제꺼 먼지 끼엇있어서 빼지도 못하고 그냥 쓰는중입니다ㅠ",[]
5,어우 기계식키보드 피방에서만 써보다가 집에서 사다놓을까하고 찾아보다가 k9100를 구매했는데 매우 만족합니다 키감도 괜찮고 디자인도 그리 나쁘지않고 led 화이트로만 나와서 조금 아쉽지만 입문으로 쓰기에는 매우 만족합니다,['https://phinf.pstatic.net/checkout/20200102_232/1577900042637vmYYr_JPEG/20191231_230857.jpg?type=f287']
5,상품은 주문한지 이틀만에 왔고 에어캡에 잘 포장되어 와서 손상없이 잘 도착했습니다.크리스탈 키캡이라 그런지 LED도 굉장히 예쁘고 흰색 키캡임에도 불구하고 손에 때탈일 없이 자주 물티슈로 닦으면 깨끗하게 사용할 수 있을거 같네요.전에 쓰던 흰색 청축은 타건도 좋았지만 흰색이라 때가 많이 타서 아쉬웠는데 이 키보드는 그럴 걱정이 없을거 같아 좋을거 같습니다.그리고 키보드 옆면등 곳곳에 LED가 있어서 멀리서 봤을때도 정말 예쁩니다.키보드 추천드립니다!,['https://shopping-phinf.pstatic.net/20190721_11/8d12f404-bdea-45c4-a2a6-b78a48d6ebdf.jpg?type=f287']
5,올해 초에 구매한 K840에 이어서 K9100을 구매했습니다. 앱코 키보드에 만족도가 워낙 높아서 다양한 키감을 즐길 겸 하나더 구매했습니다. 정말 디자인이 예쁘고 키보드가 고급스럽습니다. 보기만 해도 흐뭇합니다. 타자치는 맛이 있으면서 부드럽게 잘 넘어가는 키감을 가졌어요딱 제가 원하는 스타일의 키보드네요K9100정말 좋은 키보드네요. 인생 키보드 등극했습니다. ㅋ,['https://shopping-phinf.pstatic.net/20191219_1/77971d20-dcb2-405a-935f-6e321bb474e1.jpg?type=f287']
5,"예쁜 기계식키보드가 사고 싶어서 앱코 키보드를 구매하였는데 바디는 옐로우, 키는 화이트라 과하지도 않고 디자인과 색감이 예뻐요.남편이 쓰는 기계식키보드는 적축이라 그거보다는 많이 시끄럽지만 손맛도 있고 때리는 맛도 더 있어요 ㅎㅎ밤에 불꺼놓고 해도 잘보이기도 하고 분위기도 있어서 행복한 쇼핑이였습니다.",[]
4,"이곳저곳 알아보다가 결국 이것으로 구매했습니다. ㅋㅋㅋ유투버 추천도 많이 봤고 고민도 많이했는데 일단 비쥬얼에서 모든 고민이 사라지게하네요 ㅎㅎㅎ
하루 정도 써봤는데 타건감 비쥬얼 빠질게 없네요 입문용인데 좋습니다! 키무게가 가벼워서 그런지 쉽게 눌려 갑자기 눌릴때가 있지만 적응하면 문제 없을것 같구요 추천합니다. 사은품 장패드 잘 보내주십쇼 ㅎㅎㅎ",['https://phinf.pstatic.net/checkout/20191214_222/1576301145400mqE5z_JPEG/20191213_110243.jpg?type=f287']
5,"우선, 문의 참고해주셔서 감사합니다.
덕분에 안전배송 받고 제품또한 문제없는 양품으로 잘 받았습니다.지인들한테 추천하고싶은 쇼핑몰이네요.
번창하세요 사장님!","['https://phinf.pstatic.net/checkout/20200318_276/1584491437597hGhtA_JPEG/20200317_082148.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200318_12/1584491445257S7X2M_JPEG/20200317_082204.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200318_164/1584491453686ObrfT_JPEG/20200317_112730.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200318_145/1584491467657zkVld_JPEG/20200317_084626.jpg?type=f287']"
