star_point,comment,photo
5,"신랑 키보드가 고장나서 새로 샀어요.
일렉트로마트 가서 다 직접 쳐보고 젤 맘에 드는거 바로 구매하려다가 인터넷 쳐봤더니 최저가가 거의 1-2만원 차이나더라구용.
그래서 바로 인터넷으로 구매했습니다ㅋㅋㅋ 카메라 같은 기기가 아닌 이상 인터넷이 최곤듯해요!
가볍게 타다다 쳐지는게 너무 좋아요!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_17_0/b3cd8811-100e-11eb-9751-505dac8c381b_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201017_190/1602894073727wOqaE_JPEG/review-attachment-ac340b59-a595-4ec7-aa4d-5c9cd2c09b5a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201017_151/1602894073836ghKOr_JPEG/review-attachment-415d53ac-87d2-4780-817a-b44bbd6c039f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201017_163/16028940741733KofW_JPEG/review-attachment-bb2e85d1-b91b-4219-aea8-e3cd02570035.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201017_177/16028940741010x6D9_JPEG/review-attachment-4eab8659-6b98-428e-bb1a-8c8c7bb64f7d.jpeg?type=f287']"
5,"전체적으로 굳굳입니다. 멤브레인 키보드만 쓰다가 처음 입문한건데 완전존좋이요! 리니어축으로 했는데도 소음이 있는데 거슬리는 소음이아니라 백색소음에 가까워서 작업할때 더 좋아요, 이번 입문하면서 k662도 같이 구매했는데 게임용으로는 적축보단 청축이 나은것같지만 전 게임은 총게임하는데 게임보다는 사무작업시간이 압도적으로 많아서 청축보단 적축이 나은것같아요, 부드럽고 가벼운 키감도 좋고 그리고 2중이라그런지 키자체가 소음을 많이 잡아주는것같아서 더 좋았어요","['https://phinf.pstatic.net/checkout/20200610_52/1591784477620BInyV_JPEG/20200610_175422.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200610_62/1591784478273ql30W_JPEG/20200610_175337_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200610_230/159178448042469QVV_JPEG/20200610_175721_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200610_209/1591784539704o4bUX_JPEG/20200610_192139_HDR.jpg?type=f287']"
5,"키감 부드러워 좋습니다! 인식률도 1000이라
피시방느낌도나고 정말 좋네요 ㅎㅎㅎ

3만원대 기계식적축 삿었는데 인식률도 별로고
동시입력 지원도 뭔가어색한느낌이라

입문용으로는 2만원더주고
이런거사는게 훨씬좋다고 추천드립니다","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_14_0/782e622e-de35-11ea-8435-48df37ae3fca_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200814_234/1597413159492f955P_JPEG/review-attachment-4ab35993-8c89-41bf-936c-5340753c5528.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200814_27/1597413175196MWCiG_JPEG/review-attachment-23b79c94-d446-4073-8a7b-dda57947c5df.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200814_205/1597413227720Hmpee_JPEG/review-attachment-a957b8b5-3337-429a-af32-286aa44c2a46.jpeg?type=f287']"
5,광축은 처음 사용해보는데 키감도 괜찮고 소리도 맘에 드네요~ 스페이스바 퉁퉁 소리가 조금 거슬리긴하지만 크게 문제 될 정도는 아니예요. 크리스탈 키캡 너무 이쁩니다. 불끄고 보면 LED 불빛도 무척 이쁜데 어째선지 촬영한 사진이 안 올라가네요ㅜ 아쉽지만 어쩔수없죠...여튼 너무 이쁘고 가성비 좋은 제품같습니다. 잘 쓸게요~!!,['https://phinf.pstatic.net/checkout/20200707_180/1594054395456zJcdX_JPEG/review-attachment-c37a1688-3ec3-432a-bf81-b6cf733b2384.jpeg?type=f287']
5,"오프라인 매장에서 보고 구입을 하려다가
인터넷 최저가가 1만원 넘게 차이가 나서 구입했습니다.

평소에 컴퓨터 타자를 칠 일이 많아서 고민하다가 구입했는데,
진작 구매했더라면 훨씬 더 좋았을텐데 하는 생각이 많이 들었습니다.

타건감도 괜찮고, 화이트 조명이나 이런 부분들도 아주 좋습니다.",['https://phinf.pstatic.net/checkout/20200808_300/1596866309826iWK3s_JPEG/review-attachment-5ac20ca1-8ad9-4cac-9e6d-9aa50eda0e80.jpeg?type=f287']
4,일단 키보드는 포장이 잘되어서 왔습니다 색감은 제가 원하던 색감은 아니였고요 아쉬운건 led가 화이트라 좋은데 키 전체에 하나씩 박혀있는게 아니라 띄엄띄엄 있다는 느낌을 지울 수 없었고 스페이스바가 너무 잘 망가질것 같은 느낌이에요,['https://phinf.pstatic.net/checkout/20200826_190/1598452119767nqxAf_JPEG/review-attachment-1a00fb0c-adbd-4243-a2b3-a03da8ce1cec.jpeg?type=f287']
5,"예뻐요~~
때 많이 안 타고 단조롭지 않은 제품 찾다가 딱이여서 바로 구매했습니다!
더 사용해봐야 알겠지만 지금은 만족스럽습니다 !!
저렴한 가격에 휴대폰거치대도 주셔서 너무 좋네요ㅠㅠ
7월에 시켜서 이벤트 해당 안되는가 걱정했는데 주셔서 감동이 2배예요ㅎㅎ!!
잘쓰겠습니당❣","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_08_0/757db839-c0ad-11ea-ba7f-505dac8c381b_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200708_187/1594166156304QO9L0_JPEG/review-attachment-09a047f8-69d6-42c6-8ac3-88f4d7f5ddea.jpeg?type=f287']"
4,"키보드 자체는 예쁘고 배송도 빨라서 좋았습니다
그런데 통울림이 좀 심하더라구요 처음 사는거라 다른 사람들 후기에 통울림 있다는거 보고 통울림이 뭐지 했는데 스페이스바 쳐보고 바로 알게 되었습니다 아 그리고 배송 올 때 아무런 뽁뽁이도 없이 비닐에 담겨 오는데 그래서 상자 끝부분이 좀 찌그러져서 왔습니다",['https://phinf.pstatic.net/checkout/20200815_188/1597461239298ScfTQ_JPEG/review-attachment-46a20b6e-9591-4ca6-804b-a8bf567686d3.jpeg?type=f287']
5,"색깔은 사진보다 살짝 어두운 느낌이에요
진회색이랑 연회색 느낌이고 이중코팅 되어있어서 반짝반짝한 느낌이 좋네요
가운데가 하얀 것보다 회색인게 더 이쁠 것 같아서 이걸로 샀는데 자판 색 실물로 보니까 잘 고른 것 같아요ㅎㅎ",['https://phinf.pstatic.net/checkout/20200715_163/1594803055927JpjD1_JPEG/review-attachment-2485c4a6-d0ab-47ca-b14e-9bbb4c39242e.jpeg?type=f287']
3,"요즘 대한통운 물량 폭주때문에 배송 2일만에 받았네요.
기존에 청축 사용하다가 써봤는데 생각보다 타건소리가 작진 않아요. 물건은 만족합니다만, 아무리그래도 전자제품 인데 뽁뽁이도 없고 여기서가 좀 그러네요 다행이 물건하자가 없으니 망정이죠..",[]
5,제품 잘받았긴 했는데 택배박스가 구겨지고 키보드인데 완중제 하나 없이 덜컹거리면서 온거 같네요 작동엔 이상이 없는데 좀 찝찝하긴하네요 잘받았으니 5점 드리긴하는데 완충제 약간만이라도 넣어서 발송해주시면 더 좋을거 같아요,[]
3,"무접점이라 입력을 잘되지만 통울림 자체가 좀커서 살살 안누르면 청축정도의 소음이 발생 되요
혹시 몰라서 키캡을 빼고 눌러봤을때 소음이 전혀 발생 안하는걸로 보아서 키캡의 설계가 잘못 되었던지 키캡 아래쪽에 방음할 수 있게 머라도 있어야 될꺼같아요",[]
5,저는 게임을 좋아해서 컴퓨터까지 샀고 살때 같이산 키보드를 일년정도 써오고 있었는데요 키보드 눌림이 잘 안먹힌다?와 스프링이 삐걱거리는 느낌을 받아서 새로운 키보드를 알아보다 구매하게 됐습니다완전방수라 물로도 씻어낼수 있는 키보드라는게 너무 혁신적이었구요 광축중에 청축과 유사한 키보드라 키감이나 소리가 너무 마음에 들어요ㅠㅠ 크리스탈 키캡이라 때가안타는것도 너무 만족스럽습니다특히 회색이라 칙칙하거나 밋밋하게 보일까 조금 걱정했는데 흰 빛이 나오니 한결 화사하고 옆에 레인보우 LED와 키보드 우측상단에 led빛을 반사하는 아크릴도 너무예뻐요ㅠㅠㅠ정말 만족스럽습니다!! 저는 단점은 잘 모르겠어요! 굳이 꼽자면 키보드소리가 조금 큽니다 하지만 전에 쓰던게 적축이라 적축보다 큰건 당연한것같아요..!,['https://shopping-phinf.pstatic.net/20190520_20/712359ce-039c-4420-8b1e-ec074a23e3a3.jpg?type=f287']
1,"전자기기가 봉투에 담겨오는 건 처음 봤습니다. 키보드 포장상자 찌그려져 있고, 개봉해보니 키보드에 esc키와 엔터키가 빠져있었습니다. esc키는 작동이 되다 안되다 합니다. 만족보다는 다른 키도 문제 있을까 걱정이 앞섭니다.",[]
5,기대이상으로 이쁘네요.타이핑 감이 살아있어 타이핑하는 즐거움이 있습니다.조용한 사무실에서 사용하기에 약간 소음이 있기는 하지만 큰 무리없이 사용하고 있습니다.새각보다 무게감이 있어 조금 놀랐지만 사용하는데 전혀 지장 없습니다.빠른 배송에 만족합니다.,[]
4,배송은 생각보다 느렸네요.집화 상차처리가 늦었던 것 같구요.기존 커세어 쓰다가 서브로 구매했습니다.물건은 정상 작동하는 양품으로 밀봉씰이 있습니다.이쁘기는한데 키코팅때문에 생각보다 적응이 잘 안됩니다.몇일 더 써봐야 하겠네요.다만 정말 부드럽습니다.,[]
2,"키캡이 흔들림 특징인지 뭔지 pc방 가서 비슷한 앱코 키보드 만져봤는데 역시나 흔들거림
키캡이 흔들림이 심하니 누를때 불안함
통울림 있음 소리 날까봐 리니어로 샀는데 딸깍 소리는 안나지만 통울림으로 탁탁탁 소리 심함
995 정도 되야 안남 cox 엠프리스 눌러봐도 안남
키캡 전혀 흔들림 없음

장점은 크리스탈 키캡 진짜 이쁨
키보드는 꼭 눌러보고 사세요",[]
5,"앱코제품은 처음접해보는데 퀄이 생각보다 많이 좋네요 코팅 키판도 좋고 생각했던것보다 키보드 무게감이있어서 좋네요
방수키보드 찾는도중에 디자인 괜찮은 녀석을 찾다가 구매하였는데
생각한거보다 만족스럽습니다 사용은 더해봐야겠지만 일단은 마음에 듭니다 리니어 키보드는 처음이라 다소 어색하나 키감이 나쁜것 같지도 않구요 방수성 테스트는 아직 안해봐서 해봐야 알것같네요 사용후 제품 괜찮으면 하나더 구매해야겠습니다.",[]
5,"카일은 처음 써보는데, 적응해 봐야할 것 같습니다.배송중 문제인지 어떤것인지 모르겠는데,키캡이 여러개 빠져있네요,1/3정도는 데롱데롱 상태라 손으로 꾹꾹 눌러서 다시 집어 넣었네요.LED 모드는 많은데 어두운것 좋아해서 다 끄고 써보고 있습니다.리니어로 구입했는데, 부드럽게 잘 쳐지긴한데 아직은 오타가 꽤 나오는것 같네요.",['https://shopping-phinf.pstatic.net/20190627_6/a369446e-ea0b-4fda-99b8-bf8b8d4c0539.jpg?type=f287']
