star_point,comment,photo
5,"리뷰만 봤을때는 어딘가 깨진 사람들이 많아서 꼼꼼히 살펴봤는데 다행히 멀쩡하네요. 처음 택배가 왔을때는 깜짝 놀랐어요. 아무리 본체상자가 따로 있다고 해도 그렇지, 택배박스가 아닌 그냥 택배용 비닐이라뇨... 뽁뽁이에 한번 둘러져서 온 것 보고 기절할뻔 했어요. 그래도 사고싶던 키보드니까 기절까지는 안했는데 좀 많이 놀랐네요... 소리도 기능도 모든게 잘 작동하는 것 같습니다. 아무래도 기계니까 후기는 한달 후 후기가 좀 더 믿음직 할 것 같네요!","['https://phinf.pstatic.net/checkout/20201124_298/16062164822932yr56_JPEG/review-attachment-32969293-0965-4509-9d3f-7e5d85be4b35.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201124_188/1606216482421eXE6d_JPEG/review-attachment-5e43bdaf-65e3-4bc1-97fb-f3b81f657e40.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201124_119/1606216482474Ra3uK_JPEG/review-attachment-8b9dc985-69fd-4f60-adbc-9dc40d28fd38.jpeg?type=f287']"
5,"일단 저는 무접점 처음 써봅니다
다른 무접점들은 다 10만원대가 넘어가서 너무 부담됐는데
이친구가 그나마 무접점중에서도 제일 싸길래 이친구로 구입했습니다

제가 시끄러운 키보드만 썼어서 그런지
1. 소리면에서 100점. 부글부글이라는 표현이 정말 맞는듯
2. (내가 이미지를 제대로 안보고 산 잘못이지만) led가 없고 키보드 우측에 작은 숫자판이 없다는게 조금 아쉬웠지만 원래 쓸일이 별로 없었기때문에 상관없음 (어디까지나 내 기준)
3. (손에 잘 맞는듯)

10만원대 무접점 키보드가 너무 부담된다면 이 제품을 구입하는걸 추천함.","['https://phinf.pstatic.net/checkout/20200807_184/1596782867364NzptL_JPEG/review-attachment-06c49926-8de0-4705-a2f2-221e3a124dce.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200807_190/1596782869805a0Yvx_JPEG/review-attachment-2433f226-4217-48ed-a21b-0493170819ca.jpeg?type=f287']"
4,쫀득한 키감보다는 저소음 적축에 가까운 리니어 키감입니다. 보글보글거린다는 건 정말이고 좋네요< 다만 3만원짜리 적축 키보드랑 소음을 제외하곤 큰 키감차이를 못느끼겠어요 그래서 -0.5점 키캡 마감으로 -0.5점 해서 4점 줍니다. 배송은 너무 빨라서 좋았어요!,"['https://phinf.pstatic.net/checkout/20200731_300/1596204041014l2Czx_JPEG/review-attachment-3ce9970a-90cc-4f33-b33a-2bfa8b4cc3b8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200731_262/1596204040854a3Wnw_JPEG/review-attachment-c6ccdacf-009a-4836-a64f-584ee12f9b7f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200731_107/1596204040994eVaDS_JPEG/review-attachment-4505fd63-2521-4c9f-8a49-cc9752a5d4f3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200731_285/1596204041152oNlHI_JPEG/review-attachment-fc077bf2-85a4-43b3-b5b7-fb8adbb60e1a.jpeg?type=f287']"
5,남편 몰래 산 키보드. 만날 만원 짤 쓰다가 넘어왔습니다. 근데 이거 상품평에(인터넷상에서) 쓸 때 키가 잘 안 먹네요. 한글에서 쓸 때는 그냥 손만 대도 써지는데. 확실히 일반 키보드보다 훨씬 좋습니다. 얼마나 좋냐면… 항상 손가락 힘이 닿지 않아 오타가 났던 부분이 있어서 백스페이스 누르는 게 일이었어요. 제가 하루에 글을 많이 쓰면 2만자 가까이 쓰다 보니 나중에는 손가락이나 엄지가 아팠거든요. 근데 이걸로 바꾸니까 소리도 조용하고 그냥 내가 쓰는 대로 다 눌러집니다. 확실히 오타가 나올 확률이 줄어드니 손가락 피로감이 확 주네요. 그 전에건 진짜 한 시간 내리 치면 아오 내 손가락 하면서 풀어줘야 했는데 지금은 그저 대강 쳐도 쳐집니다. 그러니 이렇게 상품평도 많이 쓰죠. 만약에 일반 키보드 쓰다 이거 쓰시면 절대 돌아가지 못합니다.(단호박) 전 키보드 10만원 가까이 주고 사는 사람 이해를 못했어요. 아니 만원이면 사는 거 뭐하러? 하.지.만 정말 확신할 수 있습니다. 키보드 당장 바꾸세요. 특히 키보드에 붙어사시는 분이라면 당장요. 손가락 건강과 10만원 어떤 게 더 중요합니까? 전 10만원도 중요하다고 생각합니다. (뭐라는 거지) 근데 한번 맛이 간 손가락은 다시 돌아오지 않아요. 그리고 비싼 걸 샀더니 게임하고 함부로 쾅쾅! 두드리는 버릇도 없어졌습니다. 고로 전 순해졌죠. 성격도 바뀌는 거 같습니다. 당신의 과격한 성격도 바꿔줄 키보드가 여기 있습니다. (테스트 삼아 그냥 길게 적어봤습니다),['https://phinf.pstatic.net/checkout/20190910_171/1568082367555UN59k_JPEG/KakaoTalk_20190910_110028560.jpg?type=f287']
5,깔끔하고 좋습니다. 타건음때문에 무접점 키보드 여기저기 찾아보다가 제일 싼 걸로 구매한건데 후회 없습니다 ㅎㅎ 도각도각거리는 타건음이 너무 좋아요. 근데 오른쪽 하단에 깨지다 말아서 날카롭게 삐져나온 부분이 있길래 스치기라도 하면 다칠까봐 깨버렸습니다. ㄷㄷ,"['https://phinf.pstatic.net/checkout/20200902_147/1599035077006z2Jot_JPEG/review-attachment-d8449d22-a2c0-43f6-a690-ba7e3415d009.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_69/1599035077083Ssbwf_JPEG/review-attachment-ed9056f8-a7d6-45ee-b8e0-1b62abe319ac.jpeg?type=f287']"
3,도각도각한 키감과 소리 키캡의 감촉이 마음에 듭니다. 하지만 상판 플라스틱이 깨져서 교환받고 교환받은 물건도 동일한 부위가 깨져서 왔더군요. 포장상태는 양호한걸로 봐서 앱코의 QC가 미흡한게 아닐까 추정됩니다. 다시 교환받기 귀찮아서 그냥 쓰지만 개선이 필요해보입니다. 반면 판매자분의 대응은 괜찮아서 별3개 드립니다.,['https://phinf.pstatic.net/checkout/20200820_83/15978964401058WpI2_JPEG/review-attachment-523f15b0-f152-42aa-a265-9bf8edbed992.jpeg?type=f287']
3,"저가형 무접점 제품 중 가장 마음에 듭니다.
키압도 딱 좋은 느낌이고 led를 싫어하는데 없어서 그런지 가격도 낮아져서 좋았습니다. 그리고 소음이 없지는 않은데 사무실에서 허용되는 정도의 소음입니다.
제품의 갈라짐 이슈가 있다고 하는데 아직까지는 모르겠습니다.
추천합니다.

ps. 포장상태가 안 좋아서 별이 다섯개에서 두개 뺍니다.
뽁뽁이를 넣어놨는데 상품에 두른것이 아니라 그냥 위에 올려놨네요. 택배상자의 6면체에서 1면 빼고 어디로 던지던 충격이 가게 만드는 포장상태였습니다.
택배상자를 열었을 때 그 어이없음이란....",['https://phinf.pstatic.net/checkout/20200702_162/1593665147396xDCHH_JPEG/KakaoTalk_20200702_074841163.jpg?type=f287']
5,"기계식 키보드만 쓰다가 처음으로 무접점을 구매했어요. 이 모델은 출시된지 꽤 오래돼서 고민을 많이 했는데, 전 텐키가 필요없고 타자치는 일이 많은 사람이라, 키압이 50g인 최신 모델보다는 k935가 낫겠다고 판단을 했습니다. 오늘 받아서 사용 중입니다만 잘 선택했다는 생각이 드네요. 기존 기계식 키보드와는 확연히 다른 타건음도 듣기 좋고 손가락도 편합니다. 그리고 저는 의외로 키캡이 정말 마음에 들어요. 거칠고 단단한 게 타자치기 딱이네요. 그리고 중요한 게 스테빌라이저인데, 몇몇 후기들을 보면 스테빌이 잘 안 잡혔다는 이야기들이 많아서 걱정을 했었거든요. 그런데 이게 웬걸 스테빌 정말 잘 잡혀있습니다. 철심소리는 하나도 나지 않아요. 무엇보다 가장 마음에 드는 건 부드러운 타건감이구요. 기계식 쓰면서 고통받던 스프링 소리에서 해방된 것도 정말 기쁩니다.같이 보내주신 가압스프링도 요긴하게 잘 쓸게요!!",['https://shopping-phinf.pstatic.net/20190525_22/9485a123-a55f-4e6e-9059-72c27c95e9c9.jpg?type=f287']
4,기계식키보드를 써음 써보는데 처음에는 키보드 자체 높이도 높고 키압 적응하느라 손목에 부담이 되더라구요. 2-3주 사용한 지금은 잘 쓰고 있습니다. 노트북의 얕은 키만 쓰다가 기계식을 쓰니 가끔 키가 안눌리는 경우도 있어서 다음에는 키압이 더 낮은걸 쓰려고 합니다.,[]
5,배송이 정말 빨랐습니다. 다음날 아침 9시 전에 가져다 주셨더라구요. 쓰던 것이 불편했는데 빨리 와서 좋았습니다. 텐키리스는 처음이라 불편할 것 같았는데 생각보다 적응이 빨리되고 키감이나 소리가 적절하네요. 케이블이 조금 아쉽지만 사무실에서 쓸거라 크게 거슬리진 않네요. 가격만큼 하는 제품인 것 같습니다.,['https://phinf.pstatic.net/checkout/20200306_166/1583454894962FoAS9_JPEG/KakaoTalk_20200306_093155914.jpg?type=f287']
