star_point,comment,photo
5,"만족스러운 키보드입니다.
노뿌계열 키보드를 웬만한건 사보았어서 비교를 해보겠습니다.

일단 출시된지는 오래된 모델이지만 개선판이라고 하더라구요.
그래서 윤활은 확실히 잘되어 있고, 스테빌도 준수했습니다.

굳이 키감이 제일 가까운 키보드를 꼽자면 한성 무접점과 비슷한 느낌이었습니다.
한성의 것이 조금더 서걱거러기는 하나, 윤활덕분인지 타건과 소리는 매우 흡사했습니다.
k995p v3도 꽤 오래 썼었는데, 약간 비슷하긴합니다.
앱코의 무접점들이 확실히 보글? 아니면 조금더 상큼한? 포글포글한 느낌이 있어요. 윤활이 마르고 빠지면, 이 키보드도 v3에 가까운 키감이 되지 않을까합니다.

텐키리스를 선호하기도 했지만, 은색하우징에 하얀키캡이 좋은 조합이라 구매하게된것도 있어요. 또 지금까지도 계속 인기있는 모델이라 궁금한 마음도 반정도 있었구요. 윤활이 너무 잘되어서 한가지 방향성으로 가는것 같아 아쉽긴하지만, 그래도 v3의 보글거림이 은근 있어서, 조금 더 써봐야 자세히 알 수 있을 것 같습니다.

혹시나 노뿌계열 무점점을 원하시는분들께 팀을주자면
다 같은 노뿌라 비슷하지만,
앱코는 보글보글
콕스는 중간정도? 먹먹한 느낌?
한성이 서걱서걱한 느낌이 강하다고 분류할 수 있겠네요

유튜브가 평을 보면 v3보다 v2가 더 낫다는 평도 있지만...
제가 오늘 받아서 몇시간 동안 사용해보고 느껴보니, v3가 조금 더 .
특유의 보글거림이 더 살아있거든요
또 각인이 v2는 한글은 LED가

그래도 보글거림과 무접점의 키감, 예쁜하우징과, 텐키리스의 공간활용등을 생각하면 충분히 5점만점에 5점 줄만한 것 같습니다.",['https://phinf.pstatic.net/checkout/20200915_181/1600171253036JufPA_JPEG/review-attachment-2e2d8cb9-c57e-476f-8a6a-36e2ab2dfbb6.jpeg?type=f287']
5,"개선판이라 그런지 윤활도 넉넉하게 잘되있고, 키감도 만족스럽습니다.
RGB LED도 잘되네요.
노뿌 키보드가 다 비슷하다만은, 체감상 한성의 무접점과 비슷한 느낌을 받았습니다.
솔직히 디자인, 유무선사용여부, 키압의 호불호만 크게 없다면, 굳이 비싼 무접점은 갈 필요가 없을 것 같아요
(최근에 나온 KN시리즈 빼고 노뿌계열 키보드 다써봤어요)

무선으로 쓸 사람만, 한성이나 KN시리즈를 고민해보면 좋을 것 같네요
콕스 무접점이 인기가 많기는 한데, 다 써본 저로서는 크게 좋다 이런건 없었구요

토프레 무접점을 제외한, 텐키리스 무접점 키보드중에선 좋은 선택지가 될 것 같네용",[]
5,키보드 고장나서 샀어요. 주말에 배송왔고 후기쓰려고 십일번가 왔더니 25프로인가 할인하더라구요. 평일이었으면 반품하고 새로 시켰을텐데...주말이라 삼만원돈 더 준 호구됐지만 그냥 씁니다..키감은 정말 좋아요. 다음부터는 텐키리스는 안써야겠어요.마우스랑 안부딪혀서 좋지만 불편은하네요.키감은 진짜 좋습니다.,[]
5,"사무실에서 쓸려고 구매했어요. 원래 회사 물품 잘 안사는데 키감이 좋은 키보드로 일하면 잘될것같아서요
지금도 엄청 기분이 좋습니다. 메신저 쓸때도 넘넘 좋고 피씨카톡 쓸때도 좋아요
사무실이 PC방이 된것같네요
키보드 덮개도 있으면 사야겠네요. 내 소듕한 키보드..!!
이제 일하러 가볼게요","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_06_0/94c97449-779e-11ea-9968-505dac8c38f5_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200406_250/1586133322420Lt5Gx_JPEG/20200406_092423.jpg?type=f287']"
5,앱코 k945p 무접점은 처음이고 타건감도 몰라서 반신반의 하다가 평이 다들 너무 좋아서 구입했습니다.텐키리스라 사이즈도 정말 아담하고 귀엽네요.하지만 무게는 묵직합니다.그래서 더 마음에 들었던..키감...키감은 다들 왜그렇게 찬양일색이였는지 알것같네요.기계식 같은 느낌에 소리는 조용하고 '사각사각'거려요.개인적으로 청축보다 훨씬 맘에 듭니다.45g할지 55g할지 고민 많이 했는데 45하길 잘했네요.55했으면 조금 무겁게 느껴졌을 듯합니다.앱코 제품 케이스 쿨러여러개 사용중인데 저에겐 믿거앱이 아니라 믿사앱이 되었습니다.정말 간만에 인터넷 쇼핑으로 산제품중에 최고 만족도네요.!,"['https://phinf.pstatic.net/checkout/20180817_137/hgshout_1534474601099GHm8P_JPEG/KakaoTalk_20180817_115443968.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180817_76/hgshout_15344746012613ElG7_JPEG/KakaoTalk_20180817_115443272.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180817_149/hgshout_1534474601419CVUEi_JPEG/KakaoTalk_20180817_115442826.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180817_145/hgshout_153447460159537PRk_JPEG/KakaoTalk_20180817_115442327.jpg?type=f287']"
5,"일반 게이머 입장에서 간단하게 리뷰해봄. 이 제품 살까말까 고민중인사람 보셈.0. 배송배송부터 얘기해야지. 서울 기준 바로 다음날 우체국택배로 옴. 박스가 아니라 비닐이라 아쉬움.뽁뽁이도 한겹이라 아쉽지만, 우체국택배라 안심 ㅎ1. 소음소음 굉장히 중요하게 생각하는 나는 대만족이다. 보글보글 소리에 서걱서걱한 소리의 조화.. 조용하고 작은 소리로도 내 빤쓰를 적신다.스페이스바, 엔터, 쉬프트에서 나는 스테빌 철심 소리 거의 안들리는거 같아. 솔직히 겜할때 헤드셋 쓰는데 철심소리가 들리니..? 적축보다 훨씬 조용하고, 저적보단 사아알짝 큼. 진짜 조용함. 2. 타건감키보드 초보라 정확히 설명은 못하겠는데 타건할 ??마다 뿌용뿌용한 느낌남. 기계식키보드처럼 걸리는게 없어서 손가락에 부담이 적게 들어간다. 한번 쳐보면... 그맛을 잊지 못할거시다3. .. 그리고 은은하게 옆으로 세어나오는 빛들이 난 맘에든다.. 진짜 개이뻐... 소프트웨어로 RGB 조정 가능하다고 들었는데, 난 소프트웨어 까는거 싫어해서 안깜. 로지텍 소프트웨어도 불안정한 마당에 앱코 소프트웨어는 더 깔기 싫음.. 여튼 RGB 최고임..4. 반응속도 및 키 씹힘 및 동시입력반응속도 진짜 개빠름.. 여러 게임하지만 특히 카트라이더 할때, .. 지프로 키보드가 더 빠르기야 하겠지만, 여러모로 생각해보면 지프로 키보드보다 훨씬 나음. 로지텍 지프로 무선, 파워플레이 쓰고있고, 로지텍 좋아하지만.. 키보드는 진짜 아니래..키 씹힘도 없음... 멤브레인처럼 러버돔 방식이라 바로바로 잘 올라와주고, 키씹힘 실사용하면서는 느껴본적이 없음..근데 동시입력은 이렇게 테스트 하는진 모르겠는데 난 숫자 1~8까지 8손가락으로 동시에 눌러봄. 동시입력 테스트 사이트에서 눌러보니 다른건 잘 되는데 위에 숫자가 동시입력이 잘 안되네; 1~8까지 동시에 누르면 4숫자만 눌림조용하고, 가벼운 타건감에, 이쁜 RGB를 원하는자 k945p 추천. 텐키가 필요하다? k995p 인가 검색해보셈",['https://shopping-phinf.pstatic.net/20190223_27/3eb1ac9b-db06-43cd-b469-08d0afaac3b9.jpg?type=f287']
5,노뿌무시하지마라!!(반성중..) 토프레 사용자 입니다 노뿌는 처음사용해보기도하고 앱코노뿌의 그 물방울 터지는듯한 소리가 너무끌려서 결국은 오랜간보기 끝에 제품을 주문하였습니다 일단 제품박스는 가격대비 무난한 편이였구요 제품의 마감은 개인적으로 만족한편이였습니다 그리고 제일놀란것은 타건감과 소리가 너무좋았습니다 리얼포스와 660C보유하고있지만 이 노뿌도 정말 물건입니다 소리가 너무 매력있어요 ㅠㅠ 게임용으로도 좋구요 무한동시입력에 빠른반응성 다만 앞으로 앱코가 해야할일은 전제품들의 마감이나 제품퀄리티가 항상일정해야한다는겁니다 앞으로 좋은제품 계속만들기를 응원합니다!,"['https://phinf.pstatic.net/checkout/20180904_78/1536048804407fkR5T_JPEG/KakaoTalk_20180904_165628877.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180904_170/1536048804599mMDOW_JPEG/KakaoTalk_20180904_165626354.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180904_67/1536048804786SCU5z_JPEG/KakaoTalk_20180904_170214968.jpg?type=f287']"
5,크리스마스 선물로 주문했는데 ... 26일에 받아서 좀 아쉽네요 ㅎ 우리 어른이한테 산타는 아직 있다고 속이려는 계획은 무너졌지만 이거 받고 신나하네요 고장은 안났으면 좋겠지만 내구성이 막 좋아보이진 않네요 ... 키캡 교체하는데 후들후들 하더라구요 타건음이 좋아서 샀어요 사각사각 ? 보글보글이라고 하던데 ... 뭐가 됐든 타건음이 좋아요 만족합니다,[]
3,키압이 기계식이랑 같이 표기대는에 처음엔 모르겠으나 계쏙 쓰다보니 손가락에 느껴질정도로 키압이 높아서 아프네요 스프링도 내구성이 낮은지 자주사용하고 반복적으로 눌려지는키는 조만간 고장날거같은 소리와 감촉이 느껴집니다 십만원이 넘는 키보드인데 5만원대에 키보드 느낌이라 별로같습니다 키동시입력도 안먹힐때 자주있습니다 다음에는 안살거 같네요,[]
5,제가 레오XX 회사 저소음 적축제품을 사용하고 있었는데 청축을 사용하다가 적축으로 바꿨는데 처음인지라 적응하기가 힘들었고 오랜시간이 걸렸습니다.... 하지만 무접점으로 바꾼 지금은 마치 제가 오랫동안 사용해왔던 키보드처럼 너무나도 편안했고 그 무엇보다 저소음 적축보다는 소리가 크지만 어느정도의 사각사각함을 느끼는걸 좋아하시는 분들은 이 키보드 추천드립니다!!!정말 신중히 선택하고 결정 하였습니다!!! 앱코 키보드 화이팅!!!,"['https://shopping-phinf.pstatic.net/20190627_15/57743794-fb8d-4045-935c-e2a23670427e.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_25/98dc09f7-7842-4dc2-a8c7-3899dec3fe89.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_8/1b43d9ac-446c-4b96-80c1-15fedb92c940.jpg?type=f287']"
5,블랙 키보드를 구매하려 했었는데 디자인으로는 이 제품이 계속 눈에 들어오더라구요. 흰색 키보드라 먼지나 때가 금방탈까봐 걱정되기는 하지만 후회는 없습니다 ! ㅎㅎ LED 색상도 이쁘고 무접점 특유의 도각도각하는 느낌도 너무 좋습니다. 소음도 적어서 정말 맘에드네요!,"['https://shopping-phinf.pstatic.net/20190627_9/0775183d-6176-429e-bb87-05880d9df94c.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_1/5e6c8d3e-8cab-4326-897b-0a67920d2a44.jpg?type=f287']"
