star_point,comment,photo
5,"주위에서 기계식이 좋다고 얘기는 많이 들었는데 가격이 아무래도 일반키보드 보다는 비싸다 보니 고민을 많이 했어요.
그래도 이 정도면 가성비 괜찮다고 생각해서, 미루고 미루다 드디어 샀어요.
불나오고 화려한 것도 많았지만, 첨 쓰는거니까 심플한걸로 ㅎㅎ
옛날 타자기 같은 깔끔한 디자인이라 귀여워요.
레트로 갬성~
기계식이 워낙 소리가 크대서 걱정했는데 생각보다 실제로는 도도도 정도라 괜찮은 것 같아요.
다들 무접점 한번쓰면 일반 멤브레인 못쓴다길래...
일단은 적응해보려구요 :)
외부 내구성이 약하다고해서 꼼꼼히 살펴봤는데 일단 배송시에는 멀쩡해보입니다~
곱게곱게 써볼게요.","['https://phinf.pstatic.net/checkout/20200611_96/1591839615258LyYSF_JPEG/KakaoTalk_20200611_103029078_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_73/15918396232908iJva_JPEG/KakaoTalk_20200611_103029078_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_284/1591839623436upcMP_JPEG/KakaoTalk_20200611_103029078_02.jpg?type=f287']"
3,"기계식 청축쓰다가 이거쓰니 안눌리는거같고, 어색해서 이게 불량품인지 내가 치는걸 너무 가볍게 쓰는건지 모르겠네요

받고나서 타자 안쳐보고 게임만 하다가 오늘 쳐보니 일부 글씨가 인식안되는거같아서 교환신청했다가 또 혹시몰라 기존 키보드 드라이브 삭제하니 좀 괜챃은거같아서 일단 학정했어요 이거 쓰면서 다시 좀 안눌리는게 너무 누르는게 가벼워서 덜 눌러서인지 아님 진짜 오류인지 잘모르겠네요.. 천처히 치면 입력은 되서;; 일단 한컴타자 하고 상태보고 해야겠네요;;타자칠때 유독이래서 게임할땐 세게눌러서 그런가? 무난한데, 타자만치면 이러네요...",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_12_0/72153ece-24a9-11eb-a2e1-505dac8c37f3_03.jpg?type=f287']
5,"아무것도 모르고 찰칵찰칵거리는 소리가 좋다고 해서 기계식키보드 청축을 사용하고 있었어요. 그런데 아무래도 청축이 소리가 좋은 반면 소음이 꽤 컸어요. 소음에 꽤 예민한 저는 도저히 청축을 더 이상 못쓰겠더라고요 집중력이 깨져서..오빠가 구입한 콕스 엔데버 무접점키보드를 써보고 타건음, 키감이 좋아서 구입해봤어요. 대학생이고 과제를 할때 문서작업이 주된 것이다보니 10키가 꽤 필요했던 저는 이 모델로 구입했는데, 콕스 엔데버 제품과 비교했을때 묵직함이 덜해서 좋아요. 엔데버 제품은 좀 묵직해서 오래 타건하면 조금 팔이 아프겠더라고요. 무접점키보드에 입문하시는 분들 이 제품 추천드립니다. 가격만큼 성능도 괜찮아요.",[]
5,"아주 약간 마감삐져나온부분이 있긴하지만 제조 공정 상 그럴 수 있다고 봅니다. 손톱끝으로 집어넣었어요.
소리는 회사에서 사용하기 적당했네요. 집에선 앱코의 갈축 키보드를 사용하고있는데 갈축처럼 경쾌한 울림은 없으나, 옆사람에게 적당히 방해되지 않을 정도의 울렁거림? 물속에 있는 듯한 독특한 소리가 났네요. 그리고 모르고 99000원짜리 동일 시리즈 텐키리스 상품을 구매했더니 다음날 바로 행사로 할인돼서 열불났었는데. 잘못 구매한김에 환불하고 재구매했어요. 반품비 50000원이 나가긴 했지만 결과적으로는 더 저렴하게 구매했네요. 어쨌든 제품은 몹시 만족스럽습니다.",[]
1,"처음엔 서걱서걱 보글보글소리 엄청 좋아서 만족하고썼습니다.

현재 한달정도 사용해보니 오른쪽 숫자패드부분은 여전히 보글거리지만,
많이 사용하는 한글자판부분은 보글보글, 서걱서걱 소리가 다 사라졌어요. 그만큼 소음도 좀 커지고..일반 키보드 같은 느낌이에요. 원래이런가요?..

또 오늘 사용중에 숫자패드 5번이 덜렁걸리길래 만져봤더니 안쪽이 부러져서 빠졌습니다. 지금 계속사용중인데 불편하네요 자꾸 빠집니다. 샷건친적도 없고 조용히 일하고 싶어서 산건데;;

Q&A 작성도 안되길래 리뷰에 남깁니다. 조치부탁드립니다.","['https://phinf.pstatic.net/checkout/20200505_242/1588670836695gDmpx_JPEG/KakaoTalk_20200505_182343783_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200505_270/1588670836704nNLeB_JPEG/KakaoTalk_20200505_182343783_02.jpg?type=f287']"
1,"배송은 빨랐지만, 배송받자마자 아무것도 안하고 열었는데;;;
마지막 엔터키가 빠져있더군요. 솔직히 진짜 너무 찝찝하고 짜증나고 열받았지만 귀찮아서 교환신청 안했어요.

여기서 구매하실 분들 잘 생각하세요. 저처럼 귀찮은거 싫어하는 사람은 ""새""상품임에도 불구하고 엔터키가 툭 하고 빠진 키보드 사용해야한다는 사실을요.

제가 아니라 다른 사람이 구매했다면 바로 교환했을텐데 진짜 귀찮아서 사용합니다. 아주 기분나쁘네요.",['https://phinf.pstatic.net/checkout/20200811_199/15971094997529gmWV_JPEG/review-attachment-b080eca8-c4f2-4f29-80fd-4ece3ec4a234.jpeg?type=f287']
5,소리가 너무 좋아요 보글보글보글 위치마다 약간 다르긴한데 사무용으로 신경쓰일정도는 아니예요손가락에 확실히 무리가 덜하고 부드러워요 숫자키가 너무 느낌이 좋아요ㅠㅠㅠ엘이디는 없어서 아쉬운데 그부분 업글된 모델도 있으니까 취향껏 찾으시면 될듯 사무실에서 사용중인데 소음이나 이런문제 전혀 없구요 키보드 높이가 있는 편이라 모니터받침은 좀 높아야들어갑니다,[]
5,"기존 토프레 무접점과는 다른 비교하기 애매한 색다른 키감이네요.
다만 마제식 스테빌이라서 스테빌라이저 키들은 키캡교체하기 살짝 까다롭고, 스페이스바가 다른 키보다 더 서걱이는 경향이 조금 있었습니다. 그래도 가격을 생각하면 상당히 괜찮은 선택지라 생각됩니다.
FC980C 집어넣고 이거 주력으로 쓰는 중이네요 ㅎㅎ",[]
5,계속 두드리고싶은 키보드입니다 ㅜㅜ 할인쿠폰써서 완전 싸게샀어요. 가성비 좋습니다. 특별히 튀는 소리나는 키도 없구요 부드럽게 잘 쳐집니다. 사무실에서 쓰기에 소음이 아주 적어서 최고인것같습니다. 주변에 계속 추천하고있어요 ^_^,[]
5,기계식 무접점 포함해서 비싼 키보드는 처음 써보는데 사각사각 소리나고 반응이 빨라서 좋아요. 많이 시끄럽지도 않아서 사무실에서 쓰기 좋습니다. 모노톤이라 클래식하니 단정한 느낌이라 더욱 좋구요. 팜레스트를 쓰고 있어서 아직 손목 무리는 잘 모르겠지만 확실히 손가락에 힘이 덜 들어가서 전반적으로 손에 무리가 덜 갈 듯 합니다. 잘 쓸게요!,['https://phinf.pstatic.net/checkout/20191211_268/1576075002665ewp0h_JPEG/20191210_231557.jpg?type=f287']
5,"이런 류(?)의 다른 제품은 사용 안해봐서 상대적 비교는 불가하지만 워낙 손목과 손등, 손가락이 아파서 고민하다가 우연히 검색해서 구매한 이 제품의 주관적 평가를 한다면 90점 정도 될 것 같아요. 너무 큰 기대를 했어서 그런지 몰라도 타이핑 소리도 작은 건 아니고 생각보다 손가락에 힘이 들어가긴해요. 그래도 일반 키보드에 비하면 훌륭하다고 생각해요. 교체 후 손목, 손등 피로도가 줄어든 것은 맞아요. 디자인도 깔끔하고 이쁘고 전반적으로 만족하며 사용중입니다.",['https://phinf.pstatic.net/checkout/20190902_241/156738166507580DL0_JPEG/KakaoTalk_20190902_084720770.jpg?type=f287']
5,"타이핑할때 손가락, 손등, 손목... 너무 무리가 와서 충동(?)적으로 검색하다가 구매했습니다. 무접점이라는 말도 처음들었는데 지금 이 상품평을 무접점으로 타이핑 중입니다~ 평이 워낙 좋아서 대체 어떤 느낌일까 무척 궁금했는데 하루만에 제품 받아서 바로 사용해보니 다르긴 다르네요~ 지난주 21장 빼곡히 타이핑할 일이 있었는데 진작 이 제품을 알았더라면 좋았으텐데.. 하는 아쉬움~ 포장도 엄청꼼꼼하게 해주셨고 친구맺기 쿠폰으로 쪼금이나마 할인받으니 다른 사이트보다 저렴하게 구매했네요. 처음이라 약간 어색해서 오타가 나긴 하지만 익숙해지면 정말 편할듯~ 맘에 들어요.",['https://phinf.pstatic.net/checkout/20190801_248/1564634107892DLfJg_JPEG/KakaoTalk_20190801_132939866.jpg?type=f287']
5,"사무실용으로 기계식 갈축을 한번 구매 했다가 시끄럽다는 민원에 결국 사용하지 못하고 조용한 키보드를 알아보던 중이었습니다. 사무실 옆자리 동료의 리얼포스 타건해보고 며칠을 지름신과 현실 사이에서 눈물 흘리다가 키보드를 잘 아시는 동료분에게 이것 저것 물어보고 추천받아 구매 했어요. 실제 타건은 기회가 없어 해 보지 못했구요. 실제로 받아보니 흑축과 비슷한 키감인데 마지막의 느낌이 좀 다릅니다. 흑축이 마지막에 또각이는 느낌이 살짝 있다면 이건 살짝만 눌러도 알아서 빨려들어가듯 마무리가 됩니다. 리얼포스의 쫀득한 느낌과는 차이가 있지만 어느정도 비슷하긴 합니다. 만족스러워요 키보드 바디의 텅텅 빈듯한 공명음도 없구요, 서걱서걱 거리는 키감이 리얼포스정도는 아니어도 기존에 사용하던 로지텍 무선 멤브레인 보다는 비교되지 않을 정도로 좋습니다. 구성품도 그렇고 게임방 수요를 예측하고 만든 키보드같네요. 키보드에 인쇄된 글씨들의 상태가 매우 고스러워 보이진 않습니다. 가격 생각하면 용서됩니다. (사진참조) 단 스페이스바 측면에 찍힌 해커 로고는... 사무실 용도 생각하면 지우고 싶네요. 넘버록이나 캡스록 상태 라이트는 별도로 없고 키보드 하단에 LED로 보여집니다(사진참조). 처음엔 LED 고장인줄 알았는데 정체를 알고 나니 귀여운 시도 같습니다. 고장없이 오래 잘 사용했으면 좋겠네요.",[]
5,"사무실에서 쓰려고 입문용 무접점 키보드 알아보고 있었는데
유튜브 리뷰에서 이게 되게 많이 보이길래 알아보다가 결국 샀는데 첫 기계식이여서 그런가..ㅎㅎ 그냥 키알못은 뭔들 좋더라고요
타감이 걍 손을 빨아들이는 느낌쓰 너무 좋은데 날잡고 윤활은 한번 해야할듯 싶어용",['https://phinf.pstatic.net/checkout/20191212_284/1576128051044dYegu_JPEG/%C5%B0%BA%B8%B5%E5.jpg?type=f287']
5,"손목에 결절종이 생겨서 작년에 수술을 했는데, 또 다시 재발을 했거든요.. 손목에 피로감이 덜한다고 해서 무접점 키보드 찾다가 실버랑 화이트톤이 예뻐서 구입하게 되었습니다. 어제 점심먹고 주문했는데, 오늘 낮에 도착해서 바로 설치해서 쓰고있습니다. 확실히 무접점이 좋은이유를 알것같아요, led 컬러가 파란빛이라서 좀 아쉽긴 하지만, 그래도 확실히 좋은듯합니다!",['https://phinf.pstatic.net/checkout/20191029_127/1572335395078Pvqdu_JPEG/KakaoTalk_20191029_163209796.jpg?type=f287']
5,처음으로 무접점 키보드를 써보는데 너무 제 마음에 드네요 다른 키보드는 소리가 너무 커서 시끄러워는데 이제는 마음편하게 사용할수있겠네요 한가지 불편한점이 있다면 스페이스바를 사용할때 바람 빠지는 소리가 난다는것 빼고는 전부 마음에 드네요,['https://phinf.pstatic.net/checkout/20200226_98/1582710381597Ae2TC_JPEG/KakaoTalk_20200226_184231982.jpg?type=f287']
5,"고객사에사 레오폴드 무접점 키보드를 잠깐 만져볼일이 있어서 몇번 사용해보다가 맘에 들어서 무접점으로 저도 하나 구매하려고 보니 미니키보드는 그다지 사용하기 싶지 않고 103키 풀사이즈 중에서 골라봤습니다.103키에 무접점을 골랐더니 리얼포스, 레오폴드, ABKO 중에서 고르게 되었는데리얼포스나 레오폴드와는 다르게 무한키입력도 되고 약간의 방수와 기타등등의 간단한 기능들이 포함되고 가격도 레오폴드나 리얼포스 보다 저렴하여 장점이 아주 많았습니다.K9 시리즈 중에서 보니 965P랑 965P V2가 있던데 뭐가 다른지는 모르겠으나 965P가 개선되어 나온 듯 하고,상위모델은 LED 기능이 많이 추가된거라 화려한것이 좋다면 상위버전으로, 심플한게 필요하다면 965P V2가 사무용으로 최상급에 속한다고 보여집니다.이거 쳐보니 좀 쳐보니 금방 적응되네요. 무접점이다 보니 .이거 크게 고장나지 않는 한 한동안 제 밥줄을 책임질 녀석이 되어 줄 듯 합니다. 맘에 듭니다. 추천!",['https://shopping-phinf.pstatic.net/20180919_0/bb4c5f8e-b2f1-4e8d-8443-18d82b72a5c9.jpg?type=f287']
5,우선! 배송 빠릅니다 그리고 포장상태좋아요무접점키보드 하면 앱무죠 가성비 정말 좋네요 45그램 키압보다 55그램 키압이 확실히소리가 좋습니다디자인은 솔직히 최근에 나온 시리즈보다 더 맘에 듭니다서걱거리는 느낌이 정말 맘에듭니다 중독성있네요 아주 만족합니다,"['https://phinf.pstatic.net/checkout/20190216_285/15503290365124M6y0_JPEG/20190216_232230.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190216_164/1550329057668so7wc_JPEG/20190216_232314.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190216_221/1550329080705aQcv2_JPEG/20190216_232608.jpg?type=f287']"
