star_point,comment,photo
5,얼마전에 유튜브에서 우연치않게 보다가 소리가 너무 좋아서 사보았는데 일단 전체적인 키보드 소리는 매우 만족입니다. 모든 키의 소리가 균일한건 아닌데 스테빌라이저가 들어간 키의 경우 팅기는 소리가 조금 있긴하지만 그렇게 신경쓰일 정도는 아닙니다. 마음같아선 별5개를 주고싶은데. 잘 보면 키캡제조 과정에서 인지 조금 오돌토돌하게 튀어나온 부분이 있습니다. 유통사문제는 아닌거같고 제조사 문제일테지만 하자라 치면 칠 수 있는 부분 같습니다. 이런점 빼고는 매우 만족 입니다. 사용하는데 문제없고 이거가지고 교환이니 뭐니 번거로워서 안할테지만 조금 아쉬운 부분이긴 합니다.,"['https://phinf.pstatic.net/checkout/20200707_105/1594100125467Uw5h0_JPEG/review-attachment-7fa9361d-f21b-447b-8c69-8ae12f2d9eae.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200707_160/1594100137647EH09c_JPEG/review-attachment-6f93a063-30f4-401c-8976-19ed74780c88.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200707_203/1594100151825oHQsM_JPEG/review-attachment-8cea7f26-3d64-4dd2-a377-baba04fd7d56.jpeg?type=f287']"
5,시끄러운게 싫어서 고민하다 구매하게 되었습니다 조용하고 타건감도 좋아요 한영변환키가 안보여서 걱정했는데 스페이스바 오른쪽 알트키 누르니 되네요 포장도 뽁뽁이로 바닥에깔고 키보드도 따로 감싸져서왔어요 배송도 정말 빨랐구요 만족합니다,"['https://phinf.pstatic.net/checkout/20200905_124/1599297580428UJPWG_JPEG/review-attachment-753796c6-5b8a-42be-98cd-8c2becf226fe.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_229/1599297580236JRH3u_JPEG/review-attachment-b6e12698-5bfb-45cb-845b-2357a50454fb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_6/1599297580272qkhF8_JPEG/review-attachment-7aab99db-e147-44a7-84cc-e1e00b2567bc.jpeg?type=f287']"
5,"첫 날은 생각보다 키감이 무겁다는 느낌을 받았는데
점점 적응 해 가면서 기분 탓이었나. 생각을 하게 되네요.
그래도 무게감에 대한 적응은 아직 좀 더 필요할 것 같아요.

개인적으로는 Fn + F9 기능으로 오타율을 확실히 줄였어요.

소리도 전에 쓰던 키보드에 비하면 거의 없는 수준이라고 할 수 있어요.

며칠 더 적응하면 더 편하게 사용할 수 있을 것 같은 생각이 듭니다.

그리고 컬러가 너무 예뻐요.
만족합니다.",['https://phinf.pstatic.net/checkout/20200917_28/16003287158316c2Nv_JPEG/review-attachment-99ab8e6e-1d0d-4d0e-ac65-fe5196df30fb.jpeg?type=f287']
4,"5월 25일에 구매하였고 나중에 특가 가격 궁금해하시는 분들이 계실까봐 말씀드리면! 배송비 포함 10만 9천원 이에요, 우체국 택배로 빨리와서 기분은 좋았는데 제품 겉 박스 자체에 뽁뽁이가 둘러져 있진 않아서 이런 서비스적인 부분에서는 살짝 아쉬웠어요 ㅠ 대신에 겉박스를 열어보시면 키보드 본체 겉에 기본적으로 뽁뽁이가 싸여져 있어서 본체 손상에 관해서는 크게 걱정은 안하셔도 될거 같아요 ㅎㅎ 또 보글보글 거리는 소리땜에 정~말 치는 맛은 베리굳뜨b 좋아요 또 FN+F9 키를 누르면 2.2mm 에서 1.4mm로 전환되는 게임모드는 처음엔 이게 내려간건가?.. 싶은데 롤이나 FPS RPG 겜 (본인 취향 따라) 몇 판 하다보면 키가 확실히 슉슉 들어가는 느낌때문에 아하, 내려간거구나? 하고 손꾸락에 느껴져요 올라갔는지 안 올라갔는지에 대한 느낌을 아시려면 슉슉 들어가는거보단 서걱서걱 거리는 느낌이 조금 더 강하게 손꾸락에 남아요 갈축 비슷하다고 생각하시면 될거같아요 새벽엔 조용해서 그런지 더 확실하게 알수있구요 암튼 현재까지도 사용하는데 큰 문제점은 없지만 아쉬운점은 몇몇 키캡이 울었다는 것과 (일그러져 보인다는 뜻) 철심 스테빌 소리가 약간 있는건 기성품이라 어쩔수 없는거 같네요 근데 저는 그렇다고 하더라도 솔직히 소리랑 디자인만 보고 샀는데 이 정도면 꽤 준수하지 않나 ㅇㅇ 싶어요",[]
5,"특가 행사 때 잡으시면 이만한 무접점 가성비 키보드는 없다고 생각합니다. 우체국 배송으로 오기 때문에 배송 부문은 두말할 나위가 없고요 특이점은 스테빌이 참 잘 잡혀있고 (기존 K990 모델보다 스페이스바 개선된 듯) 통울림도 거의 없습니다. 키압이 체리 적축보다 낮은 편이라 장시간 타이핑하기에도 좋고, 타건감/타건음 둘다 만족스럽습니다. 세미 비키스타일로 높이가 살짝 있는 편인데, 팜레스트 쓰지 않아도 불편하지 않습니다. 다만 제꺼는 하판 밸런스가 살짝 틀어져 있는지, 우상귀 쪽을 누르면 미세하게 흔들거리는데 종이 접어서 받치면 되는 문제라 괜찮네요 앱코 브랜드 이미지를 깰 수 있는 모델이라고 생각하고 좋은 제품, 좋은 가격에 행사해주셔서 고맙습니다. 다만, 스카이문 모델은 공홈에 소프트웨어가 올라와 있지 않아서 K990 버전으로 다운받아 해봤는데, 키 조정이 안되는 것 같네요 .. 급한 부분은 아니라 차차 제조사에 문의해보겠습니다. 아무튼 감사합니다.",[]
5,"ㅎㅎㅎ 색자체도 너무 이쁘고요 질감, 소곡소곡 들리는소리가 기분좋네요.
처음 접해보는 무접점키보드라 불안했는데 아주 만족합니다. 단지 ... 여름휴가기간이라 배송이 몇일부터 몇일까지는 좀 늦는다든지 글을 좀 남겨놔주셨으면하는 아쉬움이 남습니다^^.","['https://phinf.pstatic.net/checkout/20200807_98/15967796965700y88G_JPEG/review-attachment-5e818f96-9e94-4a8f-a2ef-bf1b0a09f2f8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200807_273/1596779717207joXbx_JPEG/review-attachment-8fe79e0a-b2c8-410f-b25a-0b4f494bff73.jpeg?type=f287']"
5,"정말 키감 대박이고 배송 엄청 빠르고 키도 다 되네요 사진첨부 이벤트도 참여해서 장패드도 주니 너무 좋은거같아요 안그래도 장패드 오래썼는데 너무좋습니다.
손가락에 피로도가 벌써 줄어든기분 ㅎㅎ 키보드 계속 치고싶네여","['https://phinf.pstatic.net/checkout/20201006_154/16019803527208w4UU_JPEG/review-attachment-c21be288-60dd-4588-809c-e65fa19ad98a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201006_27/1601980384201kmkex_JPEG/review-attachment-a47534c8-78dc-4b2b-803f-ad5aed428759.jpeg?type=f287']"
5,"기존에 realforce r2 텐키리스랑 leopold fc660c 모두 써봤는데 두 제품 다 타건감은 좋았으나 풀배열이 아니라 사무용으로 쓰기엔 불편했음.2제품 다 팔아버리고 그 유명하다는 앱코 해커 k990 v3 스카이문 제품을 새로 영접했음.풀배열에 무접점 노뿌~ 타건감은 기존 2제품과 비교해도 손색이 없는게 아니라보글거리는 느낌이 오히려 더 좋아서 더 마음에 듬게다가 이쁘고 방수기능까지 있어 딱 내 스타일~!앞으로는 키보드때문에 고민하는 일 없이 내 인생키보드로 정착하길 바라며,구매결정 완료함~!!끝~!!",[]
5,키보드의 끝판왕입니다. 일단 무접점이어서 타이핑 소리가 엄청 작습니다. 그리고 타닥타닥이 아니라 보슬보슬느낌이어서 귀에 거슬리지가 않아요! 여유만 되신다면 고민하지말고 이 키보드 사세요. 그리고 무엇보다 컴퓨터 관련 부품은 무조건 까만색만 고집했던 스스로가 안타깝게 느껴질만큼 색감이 이뻐요.. 컴퓨터를 꾸미고 싶게 만드는 키보듭니다.,['https://phinf.pstatic.net/checkout/20200613_222/1592029797325sKSrL_JPEG/KakaoTalk_20200613_152732252.jpg?type=f287']
5,금액이 높은만큼 좋긴좋습니다.기존에 갈축사용자였는데 약간 가볍고 높이도 약간높네요. LED가 좀 아쉽네요. 불끄고보면 때낀듯하고 주변부만 들어옵니다.기존거는 글씨에 LED가켜졌었는데 좀 아쉽네요.보글보글거림은 유튜브같은 영상보다 실제가 더보글거리고 훨씬 조용한게 정숙합니다.오일링하면 더조용하겠지만 그렇게까지는 안해도 될정도로 조용합니다.저는 배그하는 팀원이 키보드소리 난다해서바꿨는데 너무좋습니다.타이핑시 서걱거린다는데 모르겠네요.그냥 부드럽습니다.지갑의 여유가된다면 키보드의 끝판왕입니다.망설이지말고 구매하세요.,[]
4,일단 타건할때 소리는 다른 기계식 키보드와 호불호가 갈리겠지만 무접점 좋아하시는분들한테는 무조건 호 일거같습니다 하지만 아쉬운건 저한테 온 제품에는 왼쪽 쉬프트가 좀 이상한거같은 느낌이 드네요 그것만 제외하면 모든게 만족스럽습니다.,[]
5,"업무용으로 콕스 엠프리스 50g 쓰다가 할인해서 질렀습니다.원래 이 모델을 사려했으나 엠프리스가 할인하던 시기에 약 6만원 차이가 나서 질렀었는데, 캡스룩 표시등이 불편하게 느끼던 중에 이 모델 할인을 봤네요.일단 색감이 아주 좋습니다.타건감도 타건샵에서 쳐봤던 995모델보다 더 좋네요.엠프리스보다 키압이 5g 낮지만 구분감은 더 있습니다.무엇보다 엠프리스는 캡스룩 키에 led가 변경되지만 손이 큰 사람은 확인하기 어렵습니다. 이 모델은 전통적인 위치에 led가 있어서 더 편한것 같네요",[]
5,기성품 키보드 10대이상 써봤습니다. 스테빌 윤활이 되어있다고는 하지만 부족한 키도 있긴 있네요. 하지만 하우징 색깔 어디에도 없는색이고 키캡. 특히 포인트키캡이이뻐요. 또한 노뿌느낌도 나쁘지않고 부드럽습니다. 엠프리스보다 타건감은 살짝 아쉽지만 더 튼튼하고 단단한느낌입니다,[]
4,"보글보글 소리도 좋고 키감도 좋습니다
근데 저는 한영변환키랑 한자변환키 있는걸 오래쓰다가 이걸로 바꿨더니 적응이 안되네요. 별도 안내가 없어서 홈피가서 레지스트리파일 다운받아 설치했네요. 첨에 한영변환이 안되서 난감했습니다",[]
5,일단 디자인과 색상이 취향 저격이라 구매했습니다. 기존에 기계식 키보드만 주구장창 사용하고 있었지만. 무접점은 처음이라. 1. 키감 - 보글 보글 이라고 표현하면 딱 일것 같습니다. 사람에 따라서는 부글부글 같은 느낌과 소리가 나는 타건감입니다. 보강판을 때리는 소리가 나지 않아서 신선했습니다. 조용하게 보글 보글 2. 마감 상당히 깔끔합니다. 키캡도 뭔가 처리를 해 놓은듯 살짝 까끌까끌한 느낌의 PBT 키캡 일단 계속 사용해 보면서 내구성을 봐야 할 것 같네요일단 첫 인상은 참 좋습니다.,[]
3,보글보글한 키감은 마음에 들었지만 키캡 부분부분 보이는 덜처리된 마감은 아쉬웠습니다. 알트키에 스프링 소음이 심해서 처음으로 튜닝 도전했다가 쉬프트랑 탭키까지 번져서 잠시 봉인해뒀습니다... 뽑기운이 살짝 있는 것 같네요.,['https://phinf.pstatic.net/checkout/20191223_63/1577056980453Kb8pP_JPEG/20191221_154148.jpg?type=f287']
5,"완전 무소음은 아니고 기존 사용하던 것 보다 높이가 있어서 살짝 손목이 아픈 것 같았는데 며칠 쓰면서 적응하니까 편하고 조용하고 좋아요


무엇보다 무게가 있어서 업무중 키보드가 밀리지 않아서 사무실용으로 사용하기 좋네요",[]
5,소리도 보글보글 거려서 좋네요 LED도 예뻐요 가격이 조금 부담스럽긴 하지만 그래도 만족합니다,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_18_0/eee74e1f-f974-11ea-a8e6-a0369ff94ed0_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200918_94/1600409094502TsTmz_JPEG/review-attachment-e127b341-210e-4822-8e67-15f8180539d1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200918_143/1600409110147p2aT2_JPEG/review-attachment-e002553e-7a1c-4834-a5a2-a743ee01a1e6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200918_153/1600409110502ChEig_JPEG/review-attachment-e81ea591-5429-4c74-9bbf-cfebf5de6ce0.jpeg?type=f287']"
5,배송빠르고 디자인 색 너무 이뻐요ㅎㅎ그리고 타감소리가 너무 좋네요~잘쓰겠습니다,"['https://phinf.pstatic.net/checkout/20201013_144/1602557848745pPFpo_JPEG/review-attachment-30ae2b04-33c9-496f-a07f-3b51319e4093.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201013_207/1602557849513pW3iz_JPEG/review-attachment-85d4abeb-0334-4e6a-b6ca-dec40645e7d2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201013_135/16025578495305AjGI_JPEG/review-attachment-a6b02013-5d57-4784-a8f2-52c8c78aaa28.jpeg?type=f287']"
5,배송도 엄청빨리오고 처음에는 비싼 금액대 때문에 고민많이 했는데 정말 후회없어요 키감넘 좋아요 ㅠ 다음에는 색상도 다양하게있음 좋겠어요,"['https://phinf.pstatic.net/checkout/20201010_224/1602309325394orwhU_JPEG/review-attachment-4f658b89-0eb8-40d6-8dc6-0c7e0b23241c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201010_213/1602309325739D3fdd_JPEG/review-attachment-2a483c44-e9a4-462d-a119-2bd446b44d80.jpeg?type=f287']"
