star_point,comment,photo
5,"1. 디자인 - 화이트 색상을 처음 구매했는데 PBT 재질의 제품으로 깔끔한 디자인을 보여주고 있어서 구매하게됨.
2. 기본적으로 스테빌라이져 윤활이 되어 제공됨(물론 개인적으로 하는거만큼은 아니지만 이 가격에 이정도면 훌륭함)
3. 무접점의 역활을 확실히 하고있고, 키압도 생각 이상으로 가벼워서 구름타법이 가능함.
4. 청축, 갈축, 적축 전부 체리축으로 사용해보고 노뿌 무접점 입문용으로 매우 좋다고 생각함.
5. 배송 - 조금 느리긴 했지만 제품포장도 잘되서 왔고, 제품도 하자없어서 마음에 너무 들었음

이벤트할때 잘 구매한거 같아서 기분도 좋고 매우만족해서 영상까지 촬영해봤음. 앞으로도 좋은제품 많이 판매했으면 좋겠습니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_05_0/a9d21d30-d726-11ea-9ee7-246e963a4708_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_248/1596637159472RXITr_JPEG/review-attachment-a65f4c6b-4c2d-4f91-a0f7-f8e3ff9c4065.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_102/1596637159431UnckW_JPEG/review-attachment-6b094195-22cb-4e9c-9c51-4b5f468d027d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_90/1596637159431gfK2M_JPEG/review-attachment-5939a599-fed8-48ce-805a-caa97c2de272.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_252/1596637159547zTLIr_JPEG/review-attachment-bbbb4026-7695-4522-99f9-11871017e3fe.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_87/1596637159683TVnjk_JPEG/review-attachment-5793e506-3e8f-45b6-b6bd-a04fdfdcff67.jpeg?type=f287']"
5,"마우스와 키보드를 많이 다루다보니 어느 순간 손가락이 아파옵니다. 집에서는 기계식 키보드를 쓰고 있지만 큰 소음 때문에 사무실에서는 몇 번 기계식 키보드 사용을 시도했다 물러나곤 했습니다.
얼마전 무접점 키보드의 존재를 알게 됐습니다. 소음이 없고 키감이 그렇게 좋다고 하더라구요!?
마침 앱코 해커 평이 괜찮은데다 할인 판매까지 하더라구요. 나에게 진정 이 제품이 필요할까 아닐까 한참을 고민하다 나를 위한 선물이라는 핑계로 과감하게 결제 버튼을 눌렀습니다.

주말에 주문한 키보드는 월요일이 지나고 화요일에 바로 도착. 한가해질 때까지 기다리다 박스를 오픈했지요. 어랏? 블랙 컬러를 주문한거 같은데 왜 화이트가? 주문서를 다시 확인해봅니다.
아... 왠일인지 화이트를 컬러를 주문했더라구요. 기억력의 오류인지, 손가락의 오류였던건지.
하지만 잘 더러워진다는 걸 제외하면 이쁘긴 화이트 컬러가 이쁘니 과거는 뒤돌아보지 않기로 합니다.

포장을 풀고 구성품을 꺼내봅니다. 키보드, 설명서 1개, 청소를 위한 브러시, 그리고 키캡 분리용 도구.
키보드를 제외하며 당장은 필요 없는 것들이기에 키보드를 제외하곤 박스에 챙기고 키보드를 PC에 연결합니다.

키보드를 연결하자 키보드에서 발산되는 화려한 불빛이 나를 감싸고.... 손가락이 그 위에서 춤을 추기 시작합니다???

키감은 집에서 쓰는 기계식 키보드와 다른 경험입니다. 손가락이 키 위에서도 부드럽게 논다는 느낌이려나요. . 옆 동료의 말에 의하면 키보드로 하는 ASMR을 듣는 느낌이라고 합니다.

이제 4일 사용해봤는데 아직까지 키보드를 만지는게 즐겁습니다. 일할 때 쓰다보니 LED 라이팅은 크게 다가오지 않지만 부드럽고 편한 키감은 키보드를 많이 사용하는 사람에겐 큰 장점으로 다가올겁니다.","['https://phinf.pstatic.net/checkout/20200809_29/1596964799028bQFDb_JPEG/review-attachment-b21c2598-e99d-4ab9-8c6b-874bbde83342.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200809_18/1596964889489vx4Bu_JPEG/review-attachment-c3572589-806f-458b-bdae-5c2b5e5d5cbc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200809_100/15969648925279iSq1_JPEG/review-attachment-a862ce7e-8f54-427c-9b99-cb140ca49656.jpeg?type=f287']"
5,"내인생 최애 키보드 재구매
(타건음 녹화영상 첨부해놨습니다. 1번씩 들어보세요^^)

정확하게 10개월전 예약구매할때 구매하여
내인생 첫 무접점 키보드 였습니다.

그래서 인데 네이버 베스트 리뷰에도 제리뷰가 아직도 올라가있더군요
ㅎㅎ 쑥스럽군...


그런데 화이트로 재구매 하고싶어서 다시 구매하였고
구매하는 김에 제가 좋아하는 크리스탈 키캡도 구매하여
화이트 핑크조합 + 레드 키캡을 더해서
아름다운 키캡을 만들자는 의도로 다시 구매하게됐습니다.

(원래는 신제품 나오면 살예정이였는데 화이트도가지고싶어서
걍재구매함 ㅎㅎ)

배송은 약4일 정도 걸렸습니다. 주말이 껴있어서
시간이 조금 걸렸네요 포장상태는 아주 양호하게 잘왔습니다.
뽁뽁이에 칭칭 감겨서 대략 3~4겹 정도?
아주 안전하게 잘왔습니다.

예약구매시에는 키보드먼지막이가 부실하게와서 너무
안타까웠는데 이번에는 바꿔서 왔더군요 ㅎㅎ
아무 만족스러움 그자체였습니다.

바로 키보드 펌웨어 설치하고 컴퓨터에 연결했습니다.

무접점 키보드 찾아보신분들은 아시겠지만
앱쿠 무접점은 조금더 고가의 무접점 키보드와 비빌만큼
좋은 키보드입니다. 무접점도 여러사람에따라 호불호가
갈리겠지만

적당한 보글거림과 초콜렛부서트리는 니낌이 아주 잘살아있는
쫀득한 키감을 선사합니다.

게이밍 키보드답게 화려한 led도 앱코의 장점중하나라고 생각해요

무엇보다 가장 좋은것은 스크로크길이 조절입니다.

스크로크길이 조절이되는 키보드는 r사의 고가 키보드 중
고가라인의 몇몇 키보드가 제공하는 기능인데

10만원데 키보드에서 스크로크길이가 조절되는 키보드는 아마혁신
이라 말할수밖에없습니다.
게임을 좋아한다면 너누나도 좋아할 기능이라고 할수밖에없죠 ㅎㅎ


아마도 가성비 무접점중 당연 상위등급의 키보드라고 생각합니다.

매우 추천드립니다.1!!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_10_16_0/0072f8bb-ef69-11e9-8ec8-48df37269fd0_07.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_10_16_0/09681055-ef69-11e9-af78-48df3726a06a_09.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191016_4/1571156971721NU139_JPEG/20191016_003518.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191016_83/1571156970838S3nCn_JPEG/20191012_151916.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191016_53/1571156970935bFDia_JPEG/20191012_152008.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191016_176/1571156970985XLn5z_JPEG/20191012_152044.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191016_275/1571156970996yl700_JPEG/20191012_152155.jpg?type=f287']"
4,"커플로 2개 사서 30만원에 샀는데 한달도 안되서 할인 5만원씩 하네요;; 10만원공중 분해 **꼭 할인할때 사세요**
키보드 하우징 열어봤는데 미세한 흠집같은게 있어요 타자치는데 문제는 없는데 괜히 찝찝하네요;;; 이마트일렉 마트에서 써보고 사는 거라 타건감 굉장히 좋습니다. 청축쓰다가 무접점 쓰니깐 보글거리는 키감이 부드럽고 넘사네요 기본 키캡도 PBT라서 보드랍고 매트한 질감이네요! LED도 색감이 굉장히 예쁘게 잘 빠졌구요 앱코 저가형 k590 쓰다 넘어온 저로썬 만족스럽습니다!","['https://phinf.pstatic.net/checkout/20200801_252/15962296919341g6hv_JPEG/review-attachment-163529fa-55a6-4f50-943c-3ca0b67c3a50.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200801_52/1596229691339xSKe4_JPEG/review-attachment-2a1552c5-8a52-4785-8db5-e4151416eac2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200801_97/1596229687237A8GPd_JPEG/review-attachment-d881a6de-7459-4b62-bfac-39878d29557f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200801_237/1596229684834szGnH_JPEG/review-attachment-e6e83615-3fa0-4197-86af-aff9d189d336.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200801_36/1596229692173RuYjz_JPEG/review-attachment-173a0e91-9f69-4b0e-9653-c09bb0e65196.jpeg?type=f287']"
5,"고1올라가는 아들 생일선물로 사줬어요~ 오늘첫등교에 생일에 딱잘맞춰서 와줘서 얼마나감사한지.... led키보드 고민많이했어요 겜하는데도 정신산만한데 굳이 키보드를 이런걸로해야하나~ 저가도 많드라구요
저가led키보드사야하나~ 저가로사서 망가지면... 그때좋은거서주지뭐~ 생각생각하다 결국 이걸루주문했네요 비싸기도하지만 역시 오~ 저두감탄이나오네요 키감 자체가 틀리다라는~ 이전에쓰던 키보드는 따각따각소리가나는데 이건소리가 많이시끄럽지가않고 부드러운소리? 그런느낌이였어요 저가랑 비교도할수도없겠지만~ 일단 자유자재로 led가 변하니성능에도감탄~^^ 아이가너무좋아하고 즐거워해서 저두보람느끼네요 게임은많이안했으면좋겠지만 점점일상도찾아가면 점차 게임횟수도줄겠죠? 여튼 좋은키보드여서 또만족스러워서 좋은하룹니다 더 더 번창하시고 늘 좋은하루되세요~^^","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_03_0/6e5b3d0c-a593-11ea-8333-a0369ff95ec0_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200603_163/1591186240844L2VFe_JPEG/20200603_205801.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200603_30/15911862480447pxQH_JPEG/20200603_205810.jpg?type=f287']"
5,"지인을 통해 사게 되었다. 키보드에 대해 잘모르고 비싸기만 하다고 생각했다. 하지만 고민 끝에 사게 되었고 정말로 잘 샀다고 느껴짐.

소리 - 귀르가즘

감각 - 손가락 끝마다 부드럽고 타자치는 재미가 있음. (과제 하고싶어짐ㅋㅋ)

색감 - LED 키보드 중에서 색이 명백하고 너무 예뻐서 예전에 쓰던 키보드가 눈에 안드러옴 ()

디자인 - 키보드 구성이긴 하나 키 마다 독특한 기능도 있고 너무 예쁨
케이스가 있어서 안쓸때는 관리가 잘 될것 같음

결론 - 돈을 질러봤는데 . 잘 샀다고 평가함","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_22_0/5b199d80-8465-11ea-82c6-48df379ccacc_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_22_0/e2a387cd-8466-11ea-b4e5-a0369ff94ed0_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200422_40/1587536043058u2GrD_JPEG/KakaoTalk_20200422_151137659.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200422_73/1587536043058hdqCm_JPEG/KakaoTalk_20200422_151138024.jpg?type=f287']"
5,제 값주고 두개 산게 아쉬운거 빼고는 만족감 높아요 굳이 업글 안해도 될 느낌? 기본 키캡도 너무 예쁘고 싸구려 기계식보다 엘이디도 확실히 선명하고 예쁘게 잘 뽑았어요!!! 스페이스바 통울림만 빼면 너무 만족스러운 제품입니다,"['https://phinf.pstatic.net/checkout/20200915_277/1600140159220xNJxB_JPEG/review-attachment-aa2822b5-b675-42e6-a41b-b655cdfe606e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200915_166/1600140160394ul27O_JPEG/review-attachment-26845ea5-f980-4814-acee-a40f2feed650.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200915_6/16001401567102wuyv_JPEG/review-attachment-92c798ca-50e3-487f-9312-0400e1d84ae6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200915_226/1600140154936KpSxB_JPEG/review-attachment-9fa17dab-dbff-482b-a960-a01953215569.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200915_129/16001401577272EbWN_JPEG/review-attachment-df2f9a3c-1259-4912-b94d-46effb6b8eb2.jpeg?type=f287']"
5,"중3이 된 큰아들이 컴퓨터랑 모니터 기타 관련된 제품들을 모두 골랐습니다 게임을 안하는 엄마는 잘 모르지만 일단 눈으로 보기엔 조명이 들어와서 그런지 참 예쁘네요^^;;;;;인터넷으로 이것저것해보았고 키보드도 눌러보았는데 촉감이 예술이네요 ㅋㅋㅋ
어떤 pc방보다 더 좋아요라고 말하는 아들 그래서 심부름도 잘하고 게임하는 시간도 잘 지켜주니 참 효자입니다 진작에 사줄걸 후회가 되더라구요 ㅎ","['https://phinf.pstatic.net/checkout/20200131_268/1580460122717QsbiY_JPEG/CYMERA_20200130_182625.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200131_155/1580460128525q4Q8y_JPEG/CYMERA_20200130_182603.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200131_45/1580460138956QlSNs_JPEG/CYMERA_20200130_182425.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200131_122/1580460151042xfBNj_JPEG/CYMERA_20200130_181817.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200131_185/15804601581134Ykye_JPEG/CYMERA_20200130_181753.jpg?type=f287']"
5,"저는 본래 한성 등의 저가 브랜드에서 기계식 키보드를 사용하고 있었습니다. 기계식 특유의 타겨감을 좋아해서 청축이나 갈축으로 사용중이었는데 이번에 해당 무접점 키보드를 구매하게 되었습니다. 이 제품이 보급형 무접점 키보드라고는 하지만 꽤 비싼편인지라 지금 일 관계로 집을 나와 있는 상태라 잠깐 테스트만 해보고 돌아가기 전까지는 기존의 키보드를 쓰려고 생각중이었는데 사용해보니 생각이 바뀌네요. 진짜 외형, 타건음, 타건했을 때 느낌 모두 깜짝 놀랄 정도였습니다. 별 다섯개가 부족한 수준입니다. 다만 이는 제 주관일 수 있어 이 리뷰를 보시는 분을 위해 실제 제품을 사용하며 느낀 특징을 비교적 객관적으로 남겨 두겠으니 참고 부탁드립니다. 1. 외형 - 블랙색상 강추합니다. 진짜 멋집니다. '무접점 키보드'에 RGB 백라이트 넣은건 신의 한수인데 앱코 외에는 그런 제품 찾기가 힘듭니다. (기계식은 백라이트 있는것도 흔합니다.) 굉장히 고급스러워 보이고 타 회사의 블랙 키보드들이 거우 색상 때문에 백라이트가 잘 안보여 실망스러웠던 경우가 많았는데 이건 아닙니다. 객관적으로 쓴다고 해놓고 멋지다고 써놓은 데에는 다 이유가 있습니다. 2. 키보드 자체기능 - 일반적인 키보드가 갖는 기본적인 펑션키 기능, RGB 백라이트 조절기능이 전부 있고 부가적으로 새로운 기능들도 있으나 이런 기능은 크게 중요하지 않다고 판단됩니다. 있을 기능은 다 있고 추가된 키보드 부가기능을 쓰는 사람은 별로 없을 것 같네요. 3. 타건음 - 몇 가지 예시를 들어드리겠습니다. 분필로 칠판에 필기하는 것과 매우 유사한 소리입니다. 처음 소리는 또각또각 똑똑 하는 맑으면서도 뭔가 끝음은 둔중하게 내려앉는 듯한 독특한 타건음이 납니다. 골프공을 실내 퍼팅연습용 인공잔디 위에 살짝 들었다 떨어뜨렸을때 나는 소리, 당구공을 당구대 위에서 살짝 들었다 떨어뜨리면 나는 소리와도 유사합니다. 지우개로 박박 지우는 소리랑도.. 살짝 비슷한가 싶네요. 끝음이 매우 낮게 깔리는 음색이라 더 조용하게 느껴집니다. 세게 치면 꽤 큰 소리가 나긴 합니다만, 역시 음이 낮게 깔려 크게 . 기계식이랑 비교하자면 적축보다도 더 조용한 것 같습니다. 4. 타건감 - 기계식 키보드를 쓰던 사람이면 호불호 갈릴 수도 있을 것 같습니다. 기계식이 스프링 누르는 느낌이라면 이건 탄성있는 스펀지 누르는 느낌입니다. 그 말은 곧 부드럽게 누르면 그냥 아무 소리 없이 폭 눌러진다는 뜻입니다. 이 점 때문에 아무리 부드럽게 눌러도 특유의 총쏘는 소리같은 타건음을 내는 기계식 키보드 청축에 만족하던 사용자들이라면 약간 불만이 있을 수 있겠네요. 5. 기타 - USB 금도금의 경우 맘에 드네요(실용성보다도 사실 간지나서..) 또 . 그리고 키보드 밑의 홈을 통해 선을 뺄 방향을 맘대로 바꿀 수 있다는 점도 굉장히 실용적입니다.",[]
5,요즘 배송이 늦어지는 점에 대해서는 감안하고 있었습니다만 이틀밖에(제 기준 늦지 않음) 걸리지 않아서 좋았습니다. 이녀석을 언박싱 하자마자 저는 느꼈습니다. 제대로 샀다는걸 너무 단정하게 생긴 녀석이 컴퓨터와 연결하자마자 빛을 발광하며 저를 유혹시켰습니다. 매혹을 맞은 저는 조심스레 그녀에게 손을 내밀었고 저는 한번더 놀라울 따름이었습니다.. 여태까지 나는 키보드라는 물건을 사용한적이 있었나 살다살다 타건음이 asmr 영상보다 귀르가즘을 더 느끼게 해줌과 동시에 내가 무언가를 누르고 있는지 의심조차 드는 물건입니다. 만약 가격이 조금 있어서 고민중이라면 절대로 후회하지 않을 선택임을 확신합니다.,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_18_0/9f3e65c3-1095-11eb-b148-48df379ccacc_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201018_14/1602951844853aUJ0k_JPEG/review-attachment-f995f2af-93bd-4748-bb35-fae4df02e45f.jpeg?type=f287']"
