star_point,comment,photo
1,"별로 추천하고 싶지 않음.
1. 하우징 뒤틀림 있어서 알아서 맞춰야 함 (안맞추면 키보드 칠때 덜컹거림)
2. 충전상태에 대한 인디케이터가 없어서 완충되었는지 알 방법이 없음. 30%보다 적게 남으면 전원 옆에 인디케이터만 깜빡인다고 함
3. 충전케이블이 너무 깊게 들어가기때문에 케이블 머리 부분을 잡고 빼기가 정말 힘듦. 케이블 선 부분을 잡고 빼야하는데 단선이 쉽게 잘 될 것 같음.
4. 키압이 45g 인데 키 위치에 따라 키압 차이가 상당함.
5. 기능키들 소음이 잘 안잡혀있음 (특히 스페이스 스테빌 소음 상당함. )
6. 전체적인 소음이 좀 있는 편임 (리얼포스 무접점에 비해서)
디자인은 깔끔한데 소음이나 디테일한 부분이 상당히 별로임.
블루투스 키보드를 블루투스 키보드로 활용하지 못할것 같음
차라리 배터리를 내장으로 넣지 말고 건전지로 하는게 어땠을까 싶음
앱코 키보드 처음 써보는데 어지간해서 재 구매는 안할듯",[]
5,일단 당장엔 하자없어 보여서 만족하고 제발 초기불량 안걸렸으면 좋겠네요 동글 없이 작동잘되고 동글로도 작동 잘되고 쓸모없는 LED 싫어하는데 다 빠져서 좋고요 엔데버이후 매인키보드는 무조건 무접점인데 이번에 이걸로 갈아탔습니다. 그림이나 이것저것할때 키보드가 그때만 선없이 쓸려고 블투모델 필요했는데 이제서야 나오네요 사실 배터리타입보다 건전지를 원하지만 한국은 안 내주니 아쉽습니다. 스테빌라이저 대부분 조용히 처리잘되있고 35g보다 45g는 확실히 단단한 느낌이 나네요 좀 많이 쳐야 길들여질거같아요... 전체적으로 일단 만족합니다.,[]
5,제품이 무선이라 책상이 깔금하며 타건감도 좋고 키의 품질이 정말 좋아 보이네요. 오히려 led 버젼이 아니어서 베터리도 오래가고 키 마감이 더 훌륭해 보입니다. 그리고 한성제품과 마지막까지 고민했는데 맥을 쓰는 입장에서 동글을 같이 보내줘서 앱코로 구매했어요. 추천 합니다,[]
4,"제가 2년전에 L사의 무접점 키보드를 쓰다가 군대갈때 팔고 지금 전역해서 이 무접점 키보드를 선택했습니다. 지금은 제가 커스텀 키캡을 장착한 상태이나 기본 키캡도 휼륭하고, 스페이스바 스테빌이 조금 질꺽거리긴 하지만 그 외 전체적으로 매우 만족스럽습니다. 그리고 노뿌 무접점의 특징이 잘 살아있어서, 타이핑 할 때마다 만족스럽습니다.",[]
5,잘 받았습니다~~~,['https://phinf.pstatic.net/checkout/20201129_96/1606644537362uhlGh_JPEG/review-attachment-04879f38-4f53-40ae-8539-fb8809844555.jpeg?type=f287']
5,"리얼포스 50인가를 사용하는데
음 앱코는 무접점 느낌이 엄청 무거움
키보드 소리도 커요 속도는 무선이라 ㅋ
그래도 무선이라 함 써보삼",[]
5,깔끔하고 소리도 조용하네요 ㅎㅎ,[]
5,KN01유선 버젼보다 키캡 품질이 많이 개선되어보임. 마감이 깔끔하고 선명함.,[]
5,최고의 선택을 한거 같아요일단 화이트 키캡이 너무 깔끔하고키캡 놀이하기도 좋구요55그램이 확실히 쫀득쫀득하네요,[]
4,잘 사용하겠습니다.,[]
5,키캡 좋고 키감은 더 좋습니다스테빌도 정갈합니다보글보글 거림이 줄어들어노뿌 본연의 키감을 더 느낄수 있습니다,[]
4,키보드는 좋은데 본사 홈페이지에 지원 프로그램이 아직 올라오지 않았네요,[]
5,키감이 너무 쫀쫀해서 좀 길을 들여야 할 것 같아요.이전에도 앱코 945를 사용했는데 같은 45 키압인데 이놈의 키감이 더 단단한 느낌입니다,[]
