star_point,comment,photo
4,"너무 기다리던 키보드가 왔어요~!! 주문 후 3일 정도 걸렸던 것 같네요.
우선 배송은 기대하지 마세요 키보드 박스 단품에 그냥 비닐포장입니다. ㅋㅋ 동가격대의 키보드가 뽁뽁이에 무장하고 배송오는 걸 봤을 때 좀 더 신경써주셨으면 좋겠네요 배송도중 내쳐지는게 기본인데 실제로 제품 개봉했을 때 키캡 몇개가 빠져서 뒹굴고 있었어요 속상해서 정신없이 끼우느라 사진은 없네요 암튼 스테빌은 진짜 생각 보다 좋았습니다. 여기서 강조하는 건 생각보다 입니다.
스페이스바는 네 당연히 안잡혔고요 저는 뽑기가 잘 된건지 좌쉽 우쉽 아주 잘 서걱 거리고 철심소리 안나요 근데 키캡 바꿔끼니 윤활이 좀 닦인건지 약간 찰찰거리네요 키캡 바꾸실 분들은 참고하세요 그리고 저런 앞선 말한 단점에도 연결하고 타건하는 순간 정말 기분이 좋아지고... 그렇네요 제가 써본 키보드는 다 기계식이라 무점접은 처음인데 너무 좋아요 ㅜ ㅅ ㅜ 흑축쓰다 바꿔서 더 그런걸지도 모르는데 정말....손가락이 키보드에서 떠나지 않습니다. 하우징 색이랑 키캡색은 약간 차가운 빛도는 화이트입니다. ! 로지텍 마우스와 비교했을때 확실히 다른 화이트 입니다. ! 구매하실 분은 참고하세요! 아직 리뷰가 많은게 아니라 걱정했는데 솔직히... 그냥.. 사셔도 민감한신 분들 아니면 충분히 만족하시면서 사용하실 듯 합니다.","['https://phinf.pstatic.net/checkout/20201008_287/16020956845640K58V_JPEG/review-attachment-f3e0d9a3-524c-4fe3-8573-2645086af018.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201008_44/1602095684596RqHu2_JPEG/review-attachment-6922068f-658e-4f0d-98e7-ed1c9d95fbb1.jpeg?type=f287']"
4,"RGB 다 이쁘게 잘 들어오고 무접점 특유의 보글보글한 느낌의 키감도 좋습니다. 가격대도 나쁘지 않고 좋은편이지만 한가지 아쉬운 점은 제가 받은 상품 기준 왼쪽 스테빌에서 찰찰거리는 소리가 나네요.
뭐 뽑기운 일수도 있고 이제품의 문제점 일 수도 있지만 저는 나중에 추가 윤활을 해야할 것 같네요. 스테빌 소음이 아쉽다는것 제외하고는 만족합니다.","['https://phinf.pstatic.net/checkout/20200908_111/1599562403969dHcCD_JPEG/review-attachment-1ccc3165-5443-4b13-b886-2a6d7426b9b2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_269/1599562404765rLQUt_JPEG/review-attachment-aee3105a-fef0-42b0-92ce-be7d865ec272.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_41/1599562404601vcpiU_JPEG/review-attachment-ae35f4d9-133f-4668-bcb9-7c6d6f95ed3e.jpeg?type=f287']"
4,서걱서걱 보글보글 소리 좋아요!!ㅋㅋㅋ신기한 느낌 근데....스테빌 철심소리가ㅠ스페이스쪽은 수평이 안맞는건지 오른쪽이 살짝 올라가있네용 스테빌빼고는 만족스럽네요 포트 탈착식인거랑 LED도 이쁘고..사자마자 키캡도 이쁜걸로 끼워줬어요ㅋㅋㅋ,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_12_0/f3d5ae25-f4b0-11ea-9b5a-505dac8c38f5_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_227/1599885086078WNwLe_JPEG/review-attachment-348a1bda-7193-4d61-a859-0a80891f90da.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_149/1599885085815wMmuu_JPEG/review-attachment-d126938d-2770-436d-9084-332c19cc5a29.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_132/1599885085433cgLeF_JPEG/review-attachment-2ce9d1d1-9f89-4a38-b6f9-f660cb6f8dd0.jpeg?type=f287']"
5,"무접점 처음 입문인데

기키갤에서 스페이스바랑 좌시프트 스테빌소리 엄청 심하다고

차라리 엔데버가 낫다고 그랫엇는데

제껀 좌십은 엄청 양품이 왓네요 다행이

근데 스페이스바는 청축소리가 나는게 윤활 따로 해줘야 할듯 싶네요.

백스페이스바에서도 약간 스테빌 소리가 납니다 그외는 양호하네요

키보드 커버도 있어서 미사용일땐 커버 닫으면 먼지유입 차단되서

좋고 키보드 청소붓 유용하게 사용할듯요

사실분들은 감안하고 사세요

키압은 35G 엔데버에 비해 약간 더 가벼운느낌? 이 나네요

기존 오테뮤청축이나 갈측쓰시면서 손가락이 아프단 생각이 안드시면

55G 으로 가도 나쁘지 않을거라 생각되네요

제기준 45G약간 가벼운 느낌이 듭니다.

이상입니다",['https://phinf.pstatic.net/checkout/20200926_13/1601089021807RTmwT_JPEG/review-attachment-3295cd3c-edbd-496e-b93b-ba3b05d643ac.jpeg?type=f287']
5,무접점 작정하고 산건데 만족해요 키감도 좋고 보글보글한게 여기 적응해서 기계식 못 쓰겠음.. 이게 단점이에요 다른 키보드 소리 너무 큰 것 같고 시끄럽게 느껴지는거? 키감이나 그런거는 좋아요 마감도 나쁘지 않고 좋습니다. 만족쓰,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_04_0/e5b21fdd-1e8d-11eb-9207-505dac8c3639_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_04_0/eef7c7aa-1e8d-11eb-a2e1-505dac8c37f3_03.jpg?type=f287']"
4,"키감은 하나 하나씩 누를 때는 잘 모르겠는데 여러게 쳐보니 확실히 좋더라고여. 키압은 무접점인지 pbt키캡이라서 그런지 몰라도 다른 기계식 키보드 45g 보다 더 가벼운거 같습니다. 담에는 50g 짜리 내놓아도 좋을거 같아요.
그리고 스테빌쪽은 윤활 한번 해야겠습니다. 특히 스페이스바 쪽은 사이드로 들어갔을때 철컹거림이 심해서 이질감이 좀 심한 편입니다. 스테빌쪽은 윤활 한번해야겠습니다.
lgb 양은 사진보다 밝아요. 밝기를 최대한 올리면 눈이 부실정도입니다. 무접점 텐키리스 찾고있었는데 간만에 좋은 물건 하나 나온거 같아요",['https://phinf.pstatic.net/checkout/20201008_68/1602129808720qOM6c_JPEG/review-attachment-304e2c28-ea9c-4233-8f9f-be5abd92a09f.jpeg?type=f287']
5,"불량이와서 한번 교환받았습니다 교환이 괴에에~~~엥장히 오래걸리니 참고하세요

스테빌쪽은 손봐야합니다 특히 스페이스바는 찰찰거림 심하구요 스페이스같은경우는 간단한 튜닝? 으로 찰찰거림잡을수있습니다
후기보고 알고샀어서 감안합니다

원래 엔데버사려다가 마제식스테빌라이저라 키캡교체시 불편한점과 kn01은 전체 화이트,RGB이쁨,케이블분리되는점이 만족스러워 구입했습니다","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_21_0/fb55033f-fbe0-11ea-83e5-48df379cc9e4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200921_74/1600675610034PFMzw_JPEG/review-attachment-8b4c8508-7f7d-42c7-806a-89f4349a0804.jpeg?type=f287']"
4,"일단 디자인이 정말 마음에 들어요.
처음 왔을때는 무난한 디자인이라고 생각했는데 불이 들어오는 순간 타자치는 재미가 배가 됩니다! 너무 재밌어요
그런데 하나 거슬리는건 스페이스바가 조금 아쉽네요 너무 철컥철컥 소리가 나네요ㅜㅜ
그 외에 누르는 느낌음 괜찮은것같아요","['https://phinf.pstatic.net/checkout/20201126_223/1606354122008zFQoF_JPEG/review-attachment-94647c9b-354d-4202-b150-59dd6d11d353.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201126_114/1606354156643lRx40_JPEG/review-attachment-90772361-eab7-47f3-b22d-8ec196f6f536.jpeg?type=f287']"
5,"보글보글 소리 들을 때마다 정말 기분이 좋습니다. 키감 자체는 약간 호불호 갈릴만도 하긴 한데 소리만큼은 진짜 몇 번을 쳐도 질리지가 않네요. 요새는 1일 3타자연습하는 맛으로 삽니다. 스테빌 소리는 익히 들은 바로 상태가 그렇게 좋지 않습니다만 추가적인 간단한 간이 윤활로도 나름 잘 잡혀서 진짜 만족하면서 사용하고 있습니다. 굳굳굳 키캡놀이 자주 하실 분은 체리식인 얘 사서 윤활만 적절히 해주면 불만 없을 것 같습니다. 진짜로. 그리고 RGB 너무 이쁜 거 아니에요? 엔데버 투 톤 키캡도 이뻤는데 단색으로 진짜 깔끔하게 나온 것도 겁나 이쁘네요. 어우 너무 행복해! 다음에 또 색깔놀이 버전으로 또 내세요, 꼭이요!",[]
5,"저의 첫 정전용량 무접점 키보드입니다. 원래는 타사 제품을 구입하려다가 입력스트로크 조절 , 텐키리스 라는 점 때문에 이 제품을 구매하게 되었습니다. 사진의 모습은 단일색상 모드를 사용한것입니다. 제품의 크기가 작지만 사용하기엔 딱 편한 크기입니다. 책상이 작은 편이라 더욱 더 유용한거 같습니다. 펑션키를 사용한 색상변경도 굉장히 다양하기 때문에 분위기에 맞는 색상을 정하기 좋았습니다. 그리고 제일 큰 장점으로 타건이 너무나 좋습니다. 고급지면서 가볍습니다. 키캡의 느낌도 좋습니다. 느낀 단점은 c타입 젠더를 사용해서 유선 연결을 했을때 단자부분이 1CM가량 튀어나와있어서 약간의 불안함이 있습니다. 그리고 한영키가 없습니다. 설명서를 봐도 키보드를 봐도 한영키가 보이지 않아서 매우 당황했습니다. 전체적인 만족도는 매우 높습니다. 가성비있는 제품인거 같습니다.",[]
