star_point,comment,photo
4,기존에 커세어 K63무선 버전을 쓰다가 타이핑시 오타가 많이나서 무선 제품을 찾던중에 구매 하였습니다. 무접점 정전용량이라 멤브레인에 가까운 키감과 정숙성이 있고 키높이가 높지 않아 타이핑이 편합니다. 손목 꺾임이 좀 있어서 손목받침대는 하나 따로 구비하는것이 좋을거 같네요. 외관은 군더더기는 없는 디자인 입니다. PC와 안드로이드 휴대폰에서 잘 작동합니다. 빅스마일 쿠폰으로 저렴하게 잘 산거같습니다.,[]
5,"조용합니다 만족하고 이쁘네요
이렇게 비싼 키보드 처음인데
타격감, 반응속도??, 소음 만족합니다.
배송 주문 다음날 와서 좋았습니다.","['https://phinf.pstatic.net/checkout/20201126_47/1606365800892kUjos_JPEG/review-attachment-1332c11d-da0d-4c6e-87be-77aeafc317df.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201126_2/1606365809537nLomx_JPEG/review-attachment-34ea80dd-09b5-469e-9edf-1c5b9c8e580a.jpeg?type=f287']"
5,무소음이라 너무좋아요. 보글보글 나는 소리가 맘에듭니다. 만족해요.가격은 비싸지만 제품 만족도가 높아요.,['https://phinf.pstatic.net/checkout/20201120_223/1605859594044SzVSI_JPEG/review-attachment-a4920fe8-83ea-416f-9e15-028bfecc8c2e.jpeg?type=f287']
4,"가성비 좋습니다
무접점 입문용으로 추천합니다
스테빌은 윤활이 좀 필요해요^^",['https://phinf.pstatic.net/checkout/20201123_83/16061394819547dS4i_JPEG/review-attachment-17731258-6dec-4500-9aa8-8b538a0bd15c.jpeg?type=f287']
4,"무접점 특유의 키감은 역시 좋네요 다만 제 키보드는 백스페이스, 왼쪽 쉬프트에서 소리가 신경쓰일정도로 납니다 스테빌이 안정적이지 못한것은 아쉽네요 윤활해서 쓸 생각입니다",['https://phinf.pstatic.net/checkout/20201009_34/1602212922699Kisgi_JPEG/review-attachment-27a0805d-7006-4d1a-b975-85f3b7b6f051.jpeg?type=f287']
5,잘받았습니다 두번째 구매입니다 너무 좋아용,['https://phinf.pstatic.net/checkout/20201029_47/1603937240273m73V5_JPEG/review-attachment-4bc7ba93-aec3-4c59-83aa-e53dbac7382a.jpeg?type=f287']
5,소리가 적고 손에 착착 붙어요~,['https://phinf.pstatic.net/checkout/20201009_73/1602234993421ehcM0_JPEG/review-attachment-4812836d-5b82-4ab9-99dc-89d9c9386938.jpeg?type=f287']
5,무접점 키보드 처음 써보는데 만족합니다 !,['https://phinf.pstatic.net/checkout/20201010_242/1602307330556WLOYx_JPEG/review-attachment-dd5fadd2-ec29-412e-aff5-2ce2ff7c330a.jpeg?type=f287']
3,앱코 해커 KN10 조용해요,['https://phinf.pstatic.net/checkout/20201005_296/1601880878435gdIxo_JPEG/review-attachment-c15161e1-4188-4d8a-8a6e-09fe311b0956.jpeg?type=f287']
5,"앱코 무접점 키보드 2번째 구매했는데, 가격대비 성능 좋은거같습니다. 잘쓰고 있습니다.",['https://phinf.pstatic.net/checkout/20200928_41/1601265520060UJSIj_JPEG/review-attachment-0afb35e5-730e-4a22-95d0-8ecd53e8e76a.jpeg?type=f287']
5,만족합니다 무소음이라 맘에 쏙드네요 디자인 깔끔하고 마음에 들어요 잘쓸게요,['https://phinf.pstatic.net/checkout/20200922_72/1600775345010CObUk_JPEG/review-attachment-3cddd301-68a5-4db9-bfbf-740c2e534571.jpeg?type=f287']
5,"KN01 텐키리스 구매후 무접점 만족하여, 풀배열 KN10제품 구매했어요
사무실 용도로 사용하려고요 조용하면서 45g이라 손가락 부담도 적어서
장시간 사용시 부담이 적습니다",['https://phinf.pstatic.net/checkout/20200922_76/1600771344662bwenq_JPEG/review-attachment-ae0ca8df-e3f4-4e57-8a86-11f7e69a1fde.jpeg?type=f287']
5,"처음 사용해 보는 무접점인데 정말 만족스럽습니다
키캄도 너무 좋아요",['https://phinf.pstatic.net/checkout/20200917_158/1600307938775vM68j_JPEG/review-attachment-2d32cd65-b462-435b-979b-540d954d5dcf.jpeg?type=f287']
5,배송 빠르게 잘 왔습니다. 만족합니다.,['https://phinf.pstatic.net/checkout/20200922_162/1600773787879Mh3ed_JPEG/review-attachment-2d296dc0-be08-4397-8906-e74cf2cf277b.jpeg?type=f287']
4,키압과 디자인다 멋집니다. 다만 제품 마감상태는 별로네요. 새상품인데 흠집도 나있고 블루투스 리시버도찌그러져 있네요.,[]
5,꼼꼼한 포장과 좋은상품 잘받았습니다,[]
5,타격감깔끔함최고입니다거기다 무선캬 더 이상 바랄 게 없어유,[]
4,LED가 너무 예쁘네요. 키감도 보글보글 좋습니다.,[]
5,잘 쓰고 있습니다~ 많이 파세요~,[]
5,다 좋은데 아쉬운게 하나 있다면 스테빌라이저쪽 소음이 거슬리네요...,[]
5,걱정했는데 너무마음에들어요,[]
5,빠른배송 감사합니다!! 키감 아주 좋습니다!!,[]
