star_point,comment,photo
4,"기계식 키보드는 처음이라 개봉했을때 외관은 너무 예쁘고 맘에 들었어요 근데 타이핑할때 가끔가다 스프링 튀는 팅팅 소리가 들리고 키높이가 높아서 그런지 약간씩 흔들려서 견고한감은 없네요 조심해서 써야할듯...
다른 기계식 키보드도 이렇게 유격이 큰가요?
그리고 핸드폰 거치대도 케이스를 빼야 껴지네요
좀 더 공간이 여유가 있었으면 좋겠어요",[]
5,"쿠폰 받아서 저렴하게 구입했는데 가성비 모든면에서 갑!감성 키보드라는 걸 잊지 마시고, 펀의성과 작업을 생각한다면 그냥 흔한 멤브레인..감성키보드로 접근하면 비싼 레트로 키보드 보다는 부족한 면이 많지만, 그런대로 이가격에 충분히 쓸만합니다!갤럭시탭s6 안정적으로 거치됩니다!",[]
5,"디자인 최고네요..
청축인데도 소리가 그리 크지 않고 딱 좋네요..
12.9인치 아이패드도 잘 들어갑니다.
케이스끼우면 안들어 간다는 소리를 들었는데 딱 맞게 들어가네요..","['https://phinf.pstatic.net/checkout/20201118_285/1605699686455pfIXY_JPEG/review-attachment-dca5cb4c-7868-493e-8ed9-7d330195b87a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201118_7/1605699686269gKWIx_JPEG/review-attachment-563b2473-25fe-48dc-ad71-d65b62404570.jpeg?type=f287']"
5,너무영롱하고 예쁨 ㅠㅠ,"['https://phinf.pstatic.net/checkout/20201015_6/1602712248352uqGOQ_JPEG/review-attachment-f5773172-0f9a-4cb8-9e4e-5cd42137eefb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201015_50/1602712248210OMJjW_JPEG/review-attachment-4ea5c0d3-5d9b-44cd-8999-d2fda4ed21be.jpeg?type=f287']"
5,디자인도 예쁘고 키감도 좋아요. 이번 달 소비 중에 제일 맘에 들어요!,['https://phinf.pstatic.net/checkout/20201129_113/160664115766748aUR_JPEG/review-attachment-99d6830b-5137-458a-a5dc-624bfcb03f60.jpeg?type=f287']
4,"타자기처럼 경쾌하게 타이핑을 할수 있습니다. 누를때마다 그 자판 뒤쪽으로 불빛도 들어옵니다! 일반 키보드 처럼 위쪽 뒷면에, 높이를 조절 할수 있는게 있으면 좋지 않을까라는 생각이 듭니다.",['https://phinf.pstatic.net/checkout/20201127_292/1606480094562wwiek_JPEG/review-attachment-2b393316-7374-45b1-a535-30483a0c8eec.jpeg?type=f287']
5,진짜 너무너무너무 예뻐요!,['https://phinf.pstatic.net/checkout/20201127_106/16064736041415SA5K_JPEG/review-attachment-cf703264-863d-48d3-bf22-fcd214332850.jpeg?type=f287']
3,"안기울어지고 잘 쳐집니다~
키보드 소리는 좋은데 집에서만 쓰세요~
카페에서는 쫓겨날듯~^^",['https://phinf.pstatic.net/checkout/20201018_62/1602992848209CHIxn_JPEG/review-attachment-24f468a5-db02-466b-b9d3-95dae98c182b.jpeg?type=f287']
5,너무 이뿌네요. 배송도 매우 빠릅니다,[]
5,배송 빠르고 예쁘네요,[]
5,너무조아요 ㅋㅋ 굿,[]
5,"배송 빠르고 저렴하게 구매 했습니다.
블루투스 키입력이 살짝 느린 감이 있지만
디자인과 키감이 구매 목적이어서 매우 만족합니다.
비슷한 디자인이 해외 직구에서 훨씬 비싸요.",[]
5,잘받았습니다. 잘쓰겠습니다.,[]
5,배송 잘 받았습니다. 감사합니다.,[]
5,일단 느므느므 이쁩니다. 아이패드프로 사용할려고 구매했는데 아직 연결은 못해봐써요 ㅋ 전원만켜봄,[]
5,빠른배송감사감사대박나삼,[]
