star_point,comment,photo
2,"1. 키 배열이 불만족스러움 오른쪽 시프트키가 일반적인 키보드에 비해 절반크기라 불편하고 전반적으로 타건감이 아쉬움
2. 눈으로 봤을때는 잘모르겠는데 qwer asdf 키 레이아웃이 일반적인 키보드와 뭔가 다른것인지 타이핑할때 자꾸 오타가남
3. 터치패드 감도는 못쓸정도는 아니지만 스크롤 방향 반전을 기능이 없어 정해진대로만 사용해야함

메인으로 사용하기에는 아쉬움이 많은 키보드",[]
5,배송 빨리와서 좋네요. 인식 한번에 잘 되고 가볍고 편해서 좋네요. 마감이나 질감이 아쉽지만 가격이 모든걸 용서하네요.ㅎㅎㅎ 아. 요새 나오는 pc의 UEFI바이오스에선 인식되는데 구형 pc의 바이오스에서는 드라이버 로드가 안돼서 그런지 작동 안되네요.,[]
2,"제품 퀄리티가 별롭니다.
흔들면 안에서 덜그덕 소리나고
제품 사출도 별로에요.
작동은 잘됩니다.","['https://phinf.pstatic.net/checkout/20201103_290/1604371438628ST5zj_JPEG/review-attachment-78bf0721-0fb8-429c-8370-e4dc851b517a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201103_218/1604371439238bJNeK_JPEG/review-attachment-e9a5eae7-e909-4496-b95d-bfa6adbd2085.jpeg?type=f287']"
3,그냥저냥 쓸만합니다,['https://phinf.pstatic.net/checkout/20201116_258/1605521377016H5YGT_JPEG/review-attachment-42103f8c-de49-462f-b1dc-70abfd901167.jpeg?type=f287']
5,잘 작동합니다. 굳,['https://phinf.pstatic.net/checkout/20201020_53/1603201845891PKgVs_JPEG/review-attachment-a5c3d1f6-a8c8-476b-a693-a853a18607ed.jpeg?type=f287']
4,"가성비로 만족합니다
재질은 저렴한 티나고 좌클릭이 애매하게 먹히네요",['https://phinf.pstatic.net/checkout/20201013_106/1602582687157od6NF_JPEG/review-attachment-a0ba85d9-0b06-44b6-9321-9a585024f4e0.jpeg?type=f287']
5,마우스패드가 같이 있어서 쓰기에 편해요.,['https://phinf.pstatic.net/checkout/20201012_109/1602512535411BLbyd_JPEG/review-attachment-0f796429-0953-4be9-8b4a-3e08577d35fc.jpeg?type=f287']
1,배송 정말 오래걸리네요,['https://phinf.pstatic.net/checkout/20201013_168/1602584721561mxnez_JPEG/review-attachment-6a138f45-49c7-47e9-aa37-e9042124d374.jpeg?type=f287']
5,빠른배송이 좋습니다,['https://phinf.pstatic.net/checkout/20201014_77/1602668555768JOGAt_JPEG/review-attachment-81a0c167-fdaa-4338-a221-ad2d79760a48.jpeg?type=f287']
5,깔끔하니 좋네요.,[]
5,가성비 굿^^,[]
5,"크기는 일반 노트북 키보드 크기여서, 거실에서 쓰기 좋아요.
외관이나 마감등이 딱 이 가격만큼 해서 너무 큰 기대는 하지마세요.",[]
5,키보드 한글자판을 다외우고있어서 상관없을것같아서 삿는데 가격이 싸구 사용할만합니다. 근데 한글자판 보면서 사용하셔야되는분은 다른거 구매하시는게 좋을것같습니다~,[]
5,컴터와 TV를 연결하고 소파에 앉아서 컨트롤하기에 이보다 편할 수가 없네요. 문서작성시 피드백 속도도 나쁘지 않고 여러가지 단축키가 편리성을 더해 줍니다. 무게도 가볍고 인식율도 만족스럽네요.,[]
5,"저렴하고 사용이 편리합니다
다만 크기가 작아 장시간 타이핑은 어려울 수 있습니다",[]
3,조금 끊기지만 가성비는 나쁘지 않아요,[]
5,"좋습니다.
잘쓰고 있어요^^",[]
4,좋아요,[]
5,"이런 키보드가 높게 설치되어있어서 서서 사용해야했는데 앉아서도 편하게 쓸수있구
데스크탑에 해두면 삼미터? 떨어져서도 작동이되니까 누워서 티비 보면서 조작도 가능해서 너무 좋아요",[]
5,이 가격에 가볍게 쓸말합니다.,[]
3,걍 티비에 쓸려고 저렴한거 샀어요저렴행6ㅇ,[]
5,배송도 빠르고 포장도 잘 되서 왔습니다.,[]
5,매우 좋아요..........,[]
5,"일반 키보드보다작아요
그래도 원격환경에서는 좋아요",[]
3,"다른제품에 비해 가볍기는 한데 키감이 제가원하던키감은 아니네요...
수신거리도 괜찮고..작동은 잘돼요
^^",[]
5,포장상태/배송기간/품질 모두 만족합니다.,[]
5,좋은 상품 빠른배송 감사드립니다.,[]
4,가격저렴해서 좋고 어차피 메인사용용도 보다는 보조라서 크게 불편하진 않습니다만 확실히 작아서 오타는 좀 납니다. 제품 마감은 좀 싼 느낌은 나구요. 하지만 가격에서 용서,[]
5,"가격대비 나쁘지 않은데 마감이 좀 아쉽
건전지 넣는 곳이 금방이라도 떨어질것같음",[]
3,기능면으오 충실 한데 마감이 아쉽네요. 특히 배터리 커버가 너무 흔들거림,[]
4,"가격대가 가격대인 만큼 가성비는 좋으나, 유격으로 인한 소리가 있습니다. 테이블 위에서 사용하신다면 괜찮은 제품이지만, 누워서 사용하실땐 신경쓰일수도 있습니다. 저는 만족합니다.",[]
4,필요하시다고해서 대신주문했어용~,[]
5,저렴한 가격에 좋은 제품 입니다,[]
5,가성비가 좋아요.,[]
1,스마트티비에 리모컨으로 검색할때 불편해서 무선키보드 필요해서 구매한것이 넷플릭스에서 한글좌판이 한글입력이안되네요.아무 소용없어 그냥 리모컨사용합니다.반품할려니 귀쟎아서...,[]
5,슬림한 스타일 키보드고 디자인도 기능도 마음에 듭니다,[]
5,"배송 빠르게 잘 받았고, 작동 잘됩니다 가성비 좋네요",[]
5,작아서 휴대하기가 좋고 터치패드가 있어서 좋아요,[]
5,"PC에서 쓸라고 H기업 블루투스 키보드를 삿는데 연결이 자꾸 끊기고 해서 2.4g 인 요놈으로 다시 구매했습니다.
역시 아직 pc에서 블루투스는 좀 불안정 한듯 합니다. 이녀석은 잘 연결됩니다.",[]
2,마감이나 재질이 저렴해 보여요,[]
5,배송 좋고요 제품좋아요,[]
4,"저렴한 만큼 키감도 구리고 터치패드감도 구리고 수신률도 1.5미터정도 수준이라 별로지만 다른 비싼 MS, 로지텍도 똑같이 구리다는 평가가 많으니 차라리 저렴하게 구입한게 이득인듯",[]
5,"배송 빠르고 제품 문제없이 받았습니다.
잠깐 써본거지만 가격대비 괜찮은것 같아요.
만족합니다",[]
5,배송이 빨리왓구 작동도 먼거리에서 문제없이 잘됩니다,[]
5,이 가격에 이정도로 뭐라하는 사람이 이상한겁니다. 중분히 좋습니다,[]
3,그저그래요,[]
5,잘작동하고 편해요. 티비연결용으로 좋아요,[]
5,"배송 빠릅니다만, 비닐로만 포장되어 있습니다.
얇은 제품이기에 포장에 좀더 신경써주셨으면 좋겠습니다.",[]
