star_point,comment,photo
5,"❤️엑토 레트로팝 키보드 - 그레이 색상 후기❤️
(실제 제품 사용 사진 마지막에 타자치는 영상 후기도 있으니 타자소리가 궁금하신 분은 동영상 참고해주세요!)

저는 이 제품 구매하기 전까지 고민도 정말 많이 하고, 장바구니에 담았다가 뺐다가 하는 걸 정말 수없이 반복했었는데요 ㅠ
결론은 '대만족'입니다! 정말 만족해서 쓰는 후기라서 아주 정성들여 작성해보았으니 구매를 고민하고 계신분들에게 제 후기가 도움이 되었으면 좋겠네요 ㅎㅎ
(사진 각도 및 베스트 후기 이벤트에 당첨되려는 건 안 비밀...ㅎ ㅋㅋㅋ)

제가 사용하면서 느낀 장점들을 적어보자면...

1. 우선 색감이 대박이에요! 아예 통으로 그레이 색상인 키보드가 아니라 '연한 회색, 짙은 회색, 오렌지색이 포인트로 들어간 색상 조합이 잘맞는 키보드'에요! 포인트 색상들 덕분에 통통 튀는 발랄함이 느껴진달까요? 약간 장난감 키보드 같은 귀여움도 있고, 인별 갬성사진 찍기에도 너무나 예쁜 색상이랍니다~

2. 타자 소리가 정말 대박이에요! '타탇타다닥'이 아닌 ""토독토도독도돋"" 소리라서 날카롭지 않고 뚠뚠한 느낌이랄까요!? 그런데 타자 쳐지는 건 또 부드럽게 쳐져요~! 저는 로*텍 키보드랑 스마트키보드폴리오케이스를 모두 다 사용해보았는데요! 제일 타자 치는 맛이 느껴지는 건 바로 '엑토 키보드'랍니당~! 이 타자소리가 문서작업, 일기 등등 여러 타자 치는 작업을 할 때 더 몰두하게 해줘요 ㅎㅎ

3. 레트로를 선호하는 사람에게는 아주 딱입니다! 일단 색상도 색상이지만, 책상에 포인트 주기에도 정말 좋구요~ 특히, '타자기 감성', '레트로 감성' 아주 뿜뿜 느껴진답니다 ㅎㅎ

4. 블루투스 연결 속도는 (사람마다 다르게 느끼겠지만) 저는 그렇게 불편하진 않았어요! 제가 사용하지 않으면 저절로 절전모드가 되었다가, 다시 키보드를 사용할 때 타자를 치면 연결된다는 점이 만족스러웠답니다~~ 자동 절전모드 덕에 배터리 걱정이 없어졌어용 ㅎㅎ


음.. 그리고 (아주 만족 중이지만) 굳이 아쉬운 점들을 적어보자면...

1. 소리는 정말 예쁘고 좋은데, 조용한 곳이나 사람들이 많이 모이는 장소에서는 사용하기 어려울 거 같아요 ㅠㅠ ... ㅎㅎ 집에서 쓰는게 제일 좋을 거 같아요!
2. 키보드가 살짝 높은 편이에요! 그래서 오래 타자를 치면 손목이 피곤함을 느끼거나, 무리가 올 수 있을 거 같습니다ㅠ => 그런데, 이건 !! '엑토 손목 받침대'로 충분히 보완가능하니까 이 키보드 구매하실분들은 손목받침대도 같이 구매하시는 거 추천해요! (저는 같이 구매했는데, 안샀으면 큰일날뻔 했습니다 ㅎㅎ 지금은 같이 쓰면서 아주 만족중이에요~! 찰떡궁합!)
3. 음.. 그리고 휴대용으로 가지고 다니기에는 부피가 있다는 점...? 집에서 두고 쓰는게 인테리어 효과도 있고 더 좋을 거 같아요! (그렇다고, 아예 휴대용이 불가능한 건 아닙니다 ㅎㅎ)

지금까지 #내돈내산 후기였구요 ^^
제가 고민을 정말 많이 해보고 구매한 만큼 열심히 후기를 작성했으니
구매를 고민하고 계신 다른 분들께 도움이 되었으면 좋겠어요 ㅎㅎ","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_01_0/e36a1428-ec45-11ea-9463-a0369ff94ec8_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_01_0/ede5a490-ec45-11ea-9620-246e963a464c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_211/1598959190443otixh_JPEG/review-attachment-6f58cf1c-dabf-4b3e-acf4-4ab95b034951.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_291/1598959222599J4KpJ_JPEG/review-attachment-c866a9f6-6f20-42e9-bea1-3d4305a455b3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_224/1598959228809MHJjG_JPEG/review-attachment-664fa68d-249d-4340-9ff1-02bf9c75a48f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_110/1598959236269pUaxy_JPEG/review-attachment-0c160f28-7957-491f-88ef-bd90146e2e59.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_62/1598959243106NeCVH_JPEG/review-attachment-49520abd-a605-434c-850f-07b7d57ee62c.jpeg?type=f287']"
5,"블루투스 키보드가 필요한 참에 어떤 걸 살지 계속 웹서핑 하다가 딱 이 제품이 눈에 들어왔어요. 제가 제일 좋아하는 보라색에 디자인도 앙증맞게 귀여웠죠. 게다가 레트로라니 정말 제 마음을 홀라당 뺏어간 제품이에요.
그런데 웬걸 3월부터 재고가 없는 상황이더라고요. 코로나에 공장도 가동이 잘 안 되고 있는지 입고가 늦어진다는 소식만 몇 번째... 정말 제가 3월부터 5월 둘째 주까지 얼마나 기다렸는지 모릅니다. 드디어 입고됐네요.
일단 키감 정말 좋고요. 백스페이스, 스페이스, 엔터, 컨트롤, 시프트 키 등등 모든 키의 위치가 딱 적당해요. 제가 백스페이스를 습관적으로 새끼손가락으로 누르는데 처음 쓰는데도 딱 그 위치에 맞더라구요ㅋㅋ 신기했어요. 보통 처음 쓰면 그 키보드만의 키 위치에 익숙해지는 데 좀 걸리기 마련인데 이건 그런 게 없어서 놀랐네요.
레트로긴 하지만 무거운 느낌이에요. 아직 오래 써보진 않아서 기보드 자체의 높이가 있다보니 오래 쓰면 손목이 아플 것 같은 느낌이었어요. 그래서 손목패드를 놔서 쓰는 중인데요. 손목패드를 놓으니 한결 편해졌네요.
블루투스 페어링도 노트북이랑 잘 됐고 핸드폰, 아이패드 다 잘 되네요.
한 가지 아쉬운 점이 있다면 전원 키가 없다는 거예요. 몇 분 안 쓰면 자동으로 꺼지긴 하지만 그래도 전원은 제 의지대로 껐다가 켰다가 하는 게 더 좋거든요ㅎㅎ 나중에 리뉴얼해서 판매하신다면 다시 구입하겠습니다ㅎㅎ","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_13_0/61b371d4-9500-11ea-8b3f-505dac8c35ff_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200513_155/158936386109741pHQ_JPEG/20200513_181547.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200513_185/1589363886214wTsf6_JPEG/20200513_181706.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200513_282/1589363908128pRY48_JPEG/20200513_181716.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200513_117/1589363938634tvfnD_JPEG/20200513_182711.jpg?type=f287']"
4,"장점👍
1. 디자인이 독보적으로 예뻐요
2. 키감이 정말 좋아서 계속 두드리고 싶을 정도예요
3. 간편하게 연결 가능해요
4. 사용하지 않으면 자동적으로 수면모드에 들어가서 효율적이게 사용가능해요
5. 사용 중에 연결이 끊기거나 조금이라도 지체되는 경우가 없습니다

단점👎
1. 두께가 꽤 있는 편이라 손목에 무리가 갈 수 있으니 손목이 닿는 부분에 뭐라도 깔아두고 사용하시면 좋을 것 같아요
2. 두께, 크기, 무게를 고려해봤을때 휴대용으로 애용하기는 힘들 것 같아요
3. 자판 사이사이의 틈이 꽤 깊은 편이라 먼지라든가 부스러기등이 잘 빠질 것 같고 관리하기 번거로울 것 같아요

키감이랑 디자인 좋은 제품을 찾으려고 눈에 불을 키고 서치하시는 분들께 적극 추천해드려요! 이만큼 그 조건들을 충족시킬 제품 찾기 어려우실 듯해요","['https://phinf.pstatic.net/checkout/20201031_269/1604079145067VXa31_JPEG/review-attachment-8a6105e0-41fc-496f-9f38-4e438ee78ee6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_136/160407914763935eow_JPEG/review-attachment-a9c0c658-1791-4976-8797-d0ff0a7a0ffb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_101/1604079147747Tcw3z_JPEG/review-attachment-88dbec39-4c55-45c8-bb01-4f8b17cd46b0.jpeg?type=f287']"
5,"안녕하세요^^ 엑토 BTK-03 후기 남깁니다.
처음 받자마자 색깔이 하얘서 너무 좋았는데 타자감도 역시 좋네요.
기존에 가지고 있는 엑토 BTK-01 이 있었는데 그때의 타자감은 플라스틱이 타닥타닥하는
소리처럼 들리는데 03 시리즈는 타닥타닥 소리가 크지는 않고 토도독 토도독 하는 훨씬 부드럽게 타이핑 쳐지는 느낌이에요.
이 후기도 구매한 엑토 03 시리즈로 쳤는데 확실히 느낌도 좋고 저는 이미 이 키보드에 익숙해져 있는 터라 타자 치는데 오타도 없이 잘 되네요~
키보드 안쳐지는 부분은 없고 파손 된 부분도 없어서 너무 좋습니다. 하얀색인게 너무 좋아요.
깨끗하고 깔끔한 디자인에 장남감 같기도 하고 무튼 너무 만족입니다.
모두들 코로나 조심하시고 좋은 제품으로 받으셔서 행복한 타자감을 느끼시길 바랍니다^^","['https://phinf.pstatic.net/checkout/20200820_212/1597932751773gIEvQ_JPEG/review-attachment-9c656c61-eca7-4167-a139-0e88f6fe0310.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_173/1597932765117Q9TCu_JPEG/review-attachment-372ef61d-04fe-45b2-b5af-3fc77ea60591.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_21/1597932775286pzvdJ_JPEG/review-attachment-0fbe2c2b-3604-4d5d-95a0-22f81298ce02.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_78/15979327857162CwL6_JPEG/review-attachment-f00acc15-f054-4e84-ac1e-f335fd87c214.jpeg?type=f287']"
5,"저는 이번에 같은 키보드 제품만 3번째 구매하고, 동생들도 줬는데요 제가 딸기우유 색의 핑크칼러 좋아하는데 제 마음에 쏙들며, 금액도 좋고, 무엇보다 사용 키감이 듣기에도 쓰기에도 너무 좋습니다 정말 ~마우스도 엑토에서 산건데 너무 귀엽고 핑크세트로 구입해서 작업도 항상 기분좋게 하네요 그리고 as도 고장나니까 친절하게 해주시고, 아무튼 다 좋아여 강추합니다^^","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_25_0/cbf6daa3-9e56-11ea-8ee2-505dac8c3721_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200525_293/1590390592103WJGPT_JPEG/476A2964-45C6-4EE6-B5C8-D8D0A87ACD4B.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200525_183/1590390607203KsalY_JPEG/AD7C10F1-F309-4FDB-A2B2-2E50BCBABC79.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200525_42/1590390648578VGyXX_JPEG/3259703E-1C0E-487B-AC7C-4FC8C420FD2D.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200525_158/1590390659763BAPLd_JPEG/76D29859-B74B-4170-B526-1807DDE49BBD.jpeg?type=f287']"
5,배송도 빨리 왔고 키보드도 너무 좋아요 ~! 워낙 이런 키감을 좋아하는 편이라서 저는 만족스럽게 잘 쓰겠지만 조용하고 스무스한 키감을 원하시는 분들은 고민해봐야할 것 같아요~ 아이리버에서 나온 이런 키보드 썼었는데 그거보다 소리가 조금 더 묵직한 느낌이라 해야되나 토도도 라면 이건 ‘도도도’ 느낌이고 핳 귀엽고 색감도 난리났고 너무 좋아요! 그럼에도 두가지 아쉬운점은 ㅋ 이게 연속으로 안쳐지는거랑 좀 높아서 무릎에 올려놓고 타이핑을 하고 있는 내 자신을 보고있자니 조금 현타오는거? 하하 그래도 만족스러움이 더 크니까 5점 최고입니다! 안전하게 포장해서 보내주셔서 감사해요~,"['https://phinf.pstatic.net/checkout/20201125_285/1606311278604HaJdQ_JPEG/review-attachment-a35ddee3-cd89-4ccb-9ce6-831aa61b4ee9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201125_233/160631127925945OYp_JPEG/review-attachment-a41d4fc4-9372-4a1d-870a-565f8f879333.jpeg?type=f287']"
3,"우선 받았을 때 귀엽다는 생각이 바로 들어요 동글동글 넘 귀엽잖아요
생각보다 페어링도 잘 되고 키감도 나쁘지 않아요 물론 친해지는 데 조금 시간이 걸릴 것 같지만 키보드 자체는 괜찮아요

근데 배송이 오래 걸리고, 아무리 비싸도 전 물건만 멀쩡한 거 받으면 만족하는데
뽁뽁이 하나 없이 큰 박스에 덜컹 온 거에 조금 놀랐습니다... 뭐 이건 제가 예민했다고 쳐도 받은 물건 상태가 꼭 남한테 한 번 갔다 온 것 마냥 깨끗하지 않네요... 얼룩 같은 것도 있고 뒤판의 스티커도 제대로 안 붙여져 있고... 그리고 이건 제품 자체가 그런 건지 마감이...네.. 그닥 잘 돼있는 편은 아니더라구요... 그럼에도 그냥 쓰는 건 교환해도 똑같을 것 같고 가격도 그렇게 안 비싸니깐 그만하면 다행이다, 내가 그냥 좀 예민한 거다 생각하려고 노력 중이라서 그냥 쓰려구용 어쨌든 키보드 자체는 나쁘지 않아요",['https://phinf.pstatic.net/checkout/20200523_16/1590237791946Nam4T_JPEG/719C073E-DFA6-46E7-84CF-8562F8490DCF.jpeg?type=f287']
5,"진 짜 예뻐요 엄마가 웬만하면 뭐 예쁘단 말 잘 안하시는데 이 키보드 보시곤 이거 왤케 이쁘냐고 감탄하셨어요.
게다가 키감도 좋고 소리도 예뻐서 계속 갤탭에다가 물려서 쓰는 중.. 예전 블투키보드는 접을 수도 있고 가볍긴한데 딜레이도 있고 키감 별로였지만 이건 좀 무거운 대신 키감 대박에 딜레이도 없어요. 컴에서 키보드 쓰듯 쓸 수 있어요.
진심 너무 예뻐서 기능 구려도 참고 쓸 수 있었는데 기능까지 완벽해서 별 5점만점에 10억개 주고싶읍니다 한 달을 썼는데도 안 질려요","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_03_0/39189ea5-d586-11ea-879a-505dac8c3607_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200803_23/1596458372945jxVyV_JPEG/review-attachment-1907c25d-4746-4672-a876-d6440245f561.jpeg?type=f287']"
4,"전원버튼이 없는게 아쉽고 건전지 넣는게 좀 힘들어요. 스무스하게 안들어가고 빡빡하게 들어감.. 이래도되나?싶을정도.
그래도 사용하는데에는 지장없고요, 타이핑할때의 느낌은 가볍게 타다다다하는 느낌이아니라 무겁게 타닥닥닥하는 느낌이라 아쉽지만 잘 쓰겠습니다.","['https://phinf.pstatic.net/checkout/20201011_287/1602403120480gCQ93_JPEG/review-attachment-48f739bf-a125-415e-a1e8-fe088ddd8ff1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201011_284/1602403120542VxMF3_JPEG/review-attachment-73205c69-8ef7-4300-93d1-b46ebdb7ce49.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201011_33/16024031205746Rmyu_JPEG/review-attachment-af0d6466-63a3-4f33-8356-406384f2355d.jpeg?type=f287']"
5,"원래는 민트을 사려다가 민트가 품절되어 화이트를 사게 됐는데 화이트 사길 잘했다는 생각이 들었습니다. 장난감 같지 않고 깔끔해보이고 한 달이 지난 지금도 새 것처럼 보입니다. 저는 소리가 좀 나는 걸 원해서 타닥타닥 소리 나는 게 만족스러웠는데 혹시 조용한 곳에서 사용할 생각이면 생각보다 좀 시끄러울 수 있습니다. 이건 실물이 사진보다 훨씬 예뻐요. 키모양이 동그랗고 높아서 그런지 키감도 마음에 들고, 쓰기 힘들 것 같았는데 사용해보니까 잘 써져요. 제가 전에 사용하던 키보드보다 동시입력이 가능해서 그런지 오타도 덜 나고 타이핑 하는 데 큰 지장도 없었고 한 달 동안 잘 사용하고 있습니다.",['https://phinf.pstatic.net/checkout/20200714_126/1594732039563UNOJH_JPEG/review-attachment-b778a00d-0bfc-40eb-b985-df94bbc40aa9.jpeg?type=f287']
