star_point,comment,photo
3,"이런 스타일 키보드는 처음 써보는데 아직 손에 안익어서 오타는 좀 있어요
달그락 거리는 소리가 많이 나요
부드러운 키감 원하시는 분들은 비추
분홍색+흰색 예쁘고 화면 그대로예요
마감이 별로 좋지 않다는 평을 보고 샀는데 진짜 몇군데 그런 게 보이네요 근데 사용하는 데 아무 지장 없어요
숫자키 위에 있는 1, A, 자물쇠 램프는 불이 자기 맘대로 들어왔다가 안들어왔다가 하네요.. 이거 어떻게 켜는 건지 모르겠어요 몇번 켜지는 거 본 적은 있는데 거의 꺼져있는 시간이 90퍼센트에요
그리고 저렴한 브랜드 키보드는 오류가 많다고 하는데(이상하게 써지거나 키가 안먹히는 등) 지금까지 오류는 하나도 없었어요","['https://phinf.pstatic.net/checkout/20200803_265/1596441272210tYol8_JPEG/review-attachment-b949cac4-8259-43a6-9a01-7fe0dc8066ff.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200803_209/1596441271804UJPxd_JPEG/review-attachment-64d9e9e6-3041-4a52-a52f-4939f875a8a4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200803_15/1596441312950esK2X_JPEG/review-attachment-c06432f9-cf0e-45ac-b9bb-a3d4085d6ea1.jpeg?type=f287']"
5,"우선, 가성비가 너무 좋은 제품같아요 ㅎㅎ
저렴한 가격에 마감이나 퀄리티도 좋은 것 같아요!
키보드 소리가 궁금하신 분들이 계실것같아서 동영상을 찍었는데, 일반 동그란모양의 키보드 소리는 동글동글 부드러운데, 세칸정도되는 Shift키나 Spacebar는 철컥거리는 가벼운 소리가 나네요! 동글동글 부드러운 소리가 좋은데 철컥거려서 이 부분이 거슬려용 ㅎㅎ
다른 제품은 안써봐서 다 이런지는 모르겠지만, 소리에 혹시 예민하신 분들은 참고하셔서 구매하세요^^","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_09_0/6b8e151a-a9f0-11ea-a0d1-0000000049a8_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200609_175/1591666027173rCQFq_JPEG/KakaoTalk_20200609_102537173.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200609_150/1591666049101rfBQ7_JPEG/KakaoTalk_20200609_102537173_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200609_56/1591666052783ii0EJ_JPEG/KakaoTalk_20200609_102537173_02.jpg?type=f287']"
5,"이 키보드는 제 직장동료를 통해 알게 되었습니다. 정확히는 이거랑 똑같이 생긴 것의 무선 버전이었습니다.
평소대로라면 기계류는 고장나지 않는 한 그대로 써오던 저는 심각한 고민에 빠졌습니다.
컴퓨터는 근무중에도 집에 있을 때에도 매번 마주하는데, 저 예쁜 게 있으면 기분 좋을 텐데, 그것도 2만원 미만인데...(검은색의 일반적인 것도 2만원 미만이 있지만, 이렇게 디자인에 좀 신경쓴 건 대체로 2만원 넘어가더라구요)

여기서 예쁘다 함은 색상과 모양을 의미합니다.
저는 민트색을 너무 좋아하지만(마침 동료가 산 것도 민트색이었습니다) 너무 원색에 가까운 건 매일 보는 사물로선 좀 꺼려지는데, 이건 파스텔톤으로 보는 눈이 편합니다.
모양은... 레트로갬성으로 타자기 모양이지만 또 진짜배기 타자기처럼은 다르게 군더더기가 없는 모양이고, 무엇보다...자판 아래쪽이 안으로 푹 꺼지지 않은... 글로 표현이 어려운데, 일단 제품상세이미지를 보시면 알겠지만...
청.소.하.기.에.엄.청.편.합.니.다.
컴퓨터 쓰면서 과자 하나 오물거리다가 부스러기가 자판 틈새에 들어가는 그 불쾌함은 거의 모두가 한 번쯤은 겪어봤으리라 짐작합니다. 이건 그럴 걱정이 없어요!
또, 예쁘다고 여기는 것은 개인차가 있다 치더라도, 옆의 동료가 타자를 치는데 . 여느 키보드의 날카로운 따닥따닥 하는 소리가 아닌, 약간... 조금 mute된 듯한? 소리입니다. 피아노로 비유하면 중간페달을 밟고 건반을 칠 때의 그 정도 뭉툭한 소리!
그렇게 지켜보다가 회사 비품으로 저도 저 키보드를 새로 하나 장만하고(그건 무선), 실제 써보니 집에도 하나! 그게 이 유선입니다.
(사실 색이 모두 예쁘게 나왔다보니, '집에는 원래 쓰던 키보드처럼 올블랙으로 둘까?' 하고 고민도 좀 했습니다...만 역시 민트의 승리였습니다)

결론은 시각적, 실무적, 위생적으로 모두 만족스러운 키보드입니다.",[]
5,잘 쓰고 있습니다. 처음에는 키보드가 익숙하지 않아서 오타도 자주 났는데 한달 정도 쓰니 적응돼서 타이핑하는데 별 문제가 없네요. 탁탁탁 치는 소리가 나서 재밌습니다. usb포트 인식도 잘 돼서 아직까지는 키보드 고장이나 에러가 나지 않았네요.,['https://phinf.pstatic.net/checkout/20201112_2/16051680974268FF1J_JPEG/review-attachment-52710658-8db4-4a5d-9669-1275b71baf24.jpeg?type=f287']
5,민트색 키보드는 여기거 말고 찾기 어려워 이걸 택했는데 키보드 자판 글자가 잘 지워진다해서 고민 많이 했는데 사용한지 한달 가까이 되었지만 글자 지워지는거 아직 잘 모르겠어요~~일단 키감도 나쁘지 않고 이 가격에 이 정도면 괜찮습니다~무엇보다 너무 이쁘네요!!!,"['https://phinf.pstatic.net/checkout/20200523_138/1590219711376CJmr9_JPEG/60A87B72-9EBB-443C-B1EB-BBFB989BD5B6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200523_90/1590219711589Go1MN_JPEG/79510AE8-C4F3-468D-BADE-AC565BBCA675.jpeg?type=f287']"
3,"키감이 좋아요
근데 색상은 민트색보단 회하늘색? 파란끼 도는 회색정도라 민트색 생각하고 사시는 분들은 참고하세요.
소리는 생각보다 안나요. PC방의 타닥타닥거리는 소리 생각하는 분들은 비추입니다. 좀 먹먹한? 소리에요. 저소음은 아니고 그냥 적당히 소리나는데 좀 먹먹한 느낌입니다.","['https://phinf.pstatic.net/checkout/20200624_57/1592975633873F91F1_JPEG/IMG_-616eix.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200624_268/15929756645678DGzg_JPEG/1592975651140.jpg?type=f287']"
5,저 정말로..... 민트색은 별로 안좋아해서 깔끔하게 흰색 시키려고했는데 계속 민트가 눈에 밟히길래 시켰더니 너무 예쁜 톤다운된 민트가 왔어요......예뻐죽겠어요! 레트로한거 진짜 맞아요 키보드가 둥글어서 귀엽고 타자감이 진짜.....쳐보세요 소리가 뽀쨕뽀짝 소리나요........ 이렇게 저렴하게 살 수 있어서 행복해요 얼른 자소서 쓰러가야지....... 감사합니다! ⋆⁺₊⋆ ♡̷̷̷ ⋆⁺₊♡̷̷̷‧₊˚✧,"['https://phinf.pstatic.net/checkout/20200519_206/15898899331283cfLV_JPEG/398D7F04-E6D8-42D3-B08C-B0A9C1F63904.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200519_138/1589889950229f2E9r_JPEG/55E8916C-D056-4F36-AD05-8C3C520D6173.jpeg?type=f287']"
4,"색깔도 너무 예쁘고 디자인이 참 아기자기하네용. 저소음도 너무 맘에 들어요!
타이핑을 많이해서 낡은 키보드를 이쁜디자인만 보고 샀는데 조금 버벅거림이 있어요ㅠㅠ 그리고 한자키가 저쪽에 있고 조금 어색하네용... 한자키는 오른쪽이 진린디😢😢",['https://phinf.pstatic.net/checkout/20200927_10/16011340828631xtV0_JPEG/review-attachment-93fec112-011e-4cff-b85d-e44b96167d55.jpeg?type=f287']
3,"일단 전혀 저소음이 아니에요ㅜ
2주 좀 넘게 썼는데 R이랑 T가 긁혀나가고...
진짜 예쁘긴 한데 보통 키보드보다 1~2cm작은거 같아요.
예전 키보드보다 타자치는 폭이 좁다는걸 손이 느낍니당...손 작으신 분들이면 좋을듯.
키보드 청소 넘 힘들어요ㅜㅠ꿀팁있나요...",['https://phinf.pstatic.net/checkout/20200830_207/1598723367051GK2aw_JPEG/review-attachment-9176cd6c-d710-44d5-b72c-f186ff1f5149.jpeg?type=f287']
5,"사진처럼 쨍한 민트는 아닙니다ㅜ 바랐던 민트는 아닌데 그래두 하늘색이 더 섞인 채도 낮은거라 이뻐요!
키 하나가 스프링?이 없이 왔는데 교환도 너무 빛의 속도셔서 놀랐습니다ㅜ
민트색 마우스도 판매해주시면 좋겠다는 바람...♥
번창하세요!",['https://phinf.pstatic.net/checkout/20200708_245/1594151449069N30UA_JPEG/review-attachment-8ce114e9-72f2-4d42-98fd-075681a6471e.jpeg?type=f287']
