star_point,comment,photo
4,멤브레인 방식이라서 그런지 제 예상보다 타격감이 훨씬 가벼웠어요. 그리고 생각보다 오타도 많이 안 나더라구요. 한달 지나고나니까 더 익숙해져서 좋아요. 타닥타닥 치는 소리도 듣기 좋습니다. 다만 저소음은 아니어서 집에서만 사용해야할 것 같아요. 그리고 키보드 위에 쌓이는 먼지 청소하기가 어려워서 덮개를 씌워 놓는 것을 추천드립니다!,"['https://phinf.pstatic.net/checkout/20201118_196/1605667456119KA8Sa_JPEG/review-attachment-32ccee69-f506-4fc5-aa9d-97bba3b1bc73.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201118_175/1605667456525yDPI1_JPEG/review-attachment-13293f48-ab6c-49cd-a7f4-603e17b28d42.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201118_92/1605667457353hW1nU_JPEG/review-attachment-ff1fccb9-9c50-456a-8e97-0e626a555694.jpeg?type=f287']"
4,"디자인 깔끔해요!
일단 타닥타닥 두드리는 소리는 없어서 좋은데 키보드 누르는 깊이감..? 좀 깊숙이 눌러진달까 이 느낌이 아직은 어색해서 적응하는 시간이 좀 필요하겠네요 ㅎㅎ
설치라고 할 것도 딱히 없이 건전지 끼우고 칩 꼽으니까 바로 작동되서 쉬웠어요 이 가격에 만족합니다!","['https://phinf.pstatic.net/checkout/20201127_267/16064635936562Xalk_JPEG/review-attachment-f625210a-e2b2-4366-b191-bfefe258c601.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201127_188/1606463600198GY1qe_JPEG/review-attachment-905d3fe5-4066-4559-9523-c9d1ea612785.jpeg?type=f287']"
4,"교환 신청해서 다시 제품을 받았는데 처음 배송된 제품은 하자가 많았으나 교환제품은 년식도 20년3월 제품으로 나름 정상적인 제품을 잘 보내줘서 잘 쓰고 있어요
그것 빼고는 반응속도나 터치감이나 디자인 모두 만족합니다 가격대비 대 만족 제품입니다
참고로 두번째 주문할때는 쿠팡에 주문했는데 이아이는 20년6월식이였어요 ㅎ. 제품은 대 만족입니다

사진은 첫배송 상품 컨디션입니다
후 제품은 대만족이에요~~^^","['https://phinf.pstatic.net/checkout/20200803_174/1596440154472JT4DT_JPEG/review-attachment-7e3222be-d510-41dc-9249-da378c22160a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200803_146/1596440249791n9hUj_JPEG/review-attachment-9a1c5e44-bcbe-486b-9f42-3e65f9293039.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200803_94/1596440279795OWJof_JPEG/review-attachment-154e9182-cd74-4f91-ae5f-dd120997d63a.jpeg?type=f287']"
5,생각했던 너무 예쁜 민트색이라 만족스러워요 쨍한 민트 아니고 연한 민트입니다 키감도 부드럽고 타자 소리도 좋아요 다만 키스킨이 없어서 조용한 곳에서 쓰는 건 무리일 것 같아요 레트로 키보드답게 타닥타닥 소리가 매력적입니다 소리는 의외로 묵직한 느낌이 들어요 정말 타자기 치는 것 같은 느낌...! 레트로 키보드 특유의 느낌 좋아하시는 분들한테는 정말 추천드려요 인테리어로도 훌륭하답니다 다만 디자인 특성상 청소가 힘든 언 어쩔 수 없는 것 같아요. 너무 만족하는 제품입니다,['https://phinf.pstatic.net/checkout/20200909_16/1599603635261U3ydl_JPEG/review-attachment-19dc9419-6fdc-42a0-a726-54f90320b71f.jpeg?type=f287']
4,"우선 배송이 아주 빠른거에 큰 만족을 했습니다.
그리고 포장도 튼튼하게 잘 왔구요

기계 다루는 걸 좋아해서 연결은 큰 어려움 없었고
다른 분들도 연결은 아주 쉬어서 걱정할 필요가 없으실 겁니다.

색상도 딸기우유 색상이라서 너무 만족스럽고
타자감도 너무 만족 스러워요

살짝 키보드 누르는 소리를 좋아해서 생각보다 조용하다 싶었는데
타자가 빨라서 한 번에 여러소리가 나니까 이 정도 소리가 적당하다 싶네요

단지 아쉬운 점이 하나 있습니다.

오른쪽 숫자 패드 옆쪽 +모양 옆에 조립하는 면에서
살짝 조립이 덜 되는 건지
누르면 딸깍 딸깍 소리가 납니다.

다른 분 후기에서도 그런 게 있다고 하더라구요
저도 이런 아이가 왔나봐요 ㅠㅠ
일단 개봉하고 사용 한거라서 따로 연락드리진 않았았지만
그게 너무 아쉬워서 별 한개 제외 할게요

하지만 너무 여기저기 자랑했습니다
가성비 그리고 학생들한테도 너무 좋을 듯 싶어서
이제 막 자취하는 동생들에게도 보여줐더니 만족하고 사고 싶다하더라구요

다른 고객 분들을 위해서 딸깍거림이 없는지 확인 한 번 해주시고 배송 하시면 좋은 것 같다는 오지랖 남겨봅니다 .ㅎ",[]
5,"디자인이랑 색깔이 예뻐서 구매했는데,
전반적으로 다 만족해요.
무선이라 편하고, 숫자키보드도 있어서
작업할 때 좋아요.
연결방법도 쉽고, 설명서와 건전지까지
동봉되어있어 바로 사용 가능합니다.

. 색깔은 한방울 코랄끼가 들어간
베이비핑크 색이예요.
. 굿!",['https://phinf.pstatic.net/checkout/20201026_287/1603700426656ynBgx_JPEG/review-attachment-ef0b2fdd-1f59-4cc4-b7df-7f88e48d7407.jpeg?type=f287']
4,"색깔이랑 디자인 너무 맘에 들어요~ 그런데 키감이 그렇게 좋진 않네여😂

그리구 블루투스 키보드 인 줄 알고 샀는데 그 usb 잭 같은거 꽂아서 쓰는 거였어여하핳
이건 제품 확인을 잘 못한 제 실수겠죵.!

구매하실 분들은 참고하세요~",['https://phinf.pstatic.net/checkout/20201017_281/1602902097016EvF3G_JPEG/review-attachment-e114ca9f-8987-4bda-9d1b-2607cb7c7dce.jpeg?type=f287']
5,"너무 마음에 들어요!
원하던 그 제품입니다~
다만 키가 확실히
평소에 쓰던 일반적인 키보드랑은 달라서 그런지
키감도 많이 다르고 민감해서 그런지
오타도 좀 많이 나긴하네요 ㅠㅠ
(어쩌다보니 컴퓨터 주변 용품이 전부 액토가 되었네요)
그래도 디자인 측면에서 너무 마음에 들었고
센스있게 건전지 하나 넣어주셔서 너무 만족했던 구매였어요~
정말 좋습니다!
항상 번창하세요~","['https://phinf.pstatic.net/checkout/20200412_224/1586670970858AxGhc_JPEG/2CBC750B-D720-4835-98C1-3B9A3F19F750.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200412_34/1586670971003yupGm_JPEG/C9F8F6CA-615A-44B6-8271-0B18C5A1C3DA.jpeg?type=f287']"
3,"외관상으로는 제가 원하는 딱 그스타일 그색이고 타격감도 훌륭했는데... 아쉬운건 스페이스바가 자꾸 눌려서 안나와서. 이렇게 공간이 생겨요..
쓰다보면 좀 나아질거라 생각하고 그냥 쓰고 있는데 계속 그러면 버릴거에요.....
정말 다 좋았는데 아쉽네요
제가 불량을 뽑았나봐요",[]
5,우선 소리가 너무 좋아요 크기는 제가 생각했던 것보다 좀 큰데 편합니다 오른쪽 쉬프트 키를 누르는 소리가 혼자 다르기는 한데... 거슬리긴 하지만 크게 불편하지 않아서 그냥 넘어가려고요~ 색깔도 너무 예쁘고 만족합니다! 근데 딸기 우유 색깔인지 알았는데 그 색은 아녜요 핑크가 좀 더 진합니다,['https://phinf.pstatic.net/checkout/20200909_175/1599629423341bfrdN_JPEG/review-attachment-8d8b798d-190a-4f1d-9e68-d679f64db1f5.jpeg?type=f287']
