star_point,comment,photo
5,"적당한 가격의 합리적인 키보드!!입니다.
고민하는 시간에 배송만 늦어질뿐~
배송: 정말 빨랐어요
제품: 생각보다 부드러운 키감,파스텔의 색상으로 인테리어효과있고 동그란 키판이 익숙해지면 오타없이 빨리 칠 수 있을 것 같아요. 저는 개인적으로 블루투스 연결보다 리시버연결이 편해서 이 제품 선택했는데 노트북 연결도 바로 잘 되고 편해여~
고객응대:🌟🌟🌟🌟🌟처음 받았을때 불량이었는데 바로 빠르게 새제품 교환해주셔서 감동했습니다. 빠른 고객 서비스에 믿음이 갑니다. 주변 친구들에게도 홍보하러 갑니다!! 키보드 글자만 안 벗겨지고 오래쓰길 바랍니다~ 앞으로 엑토에서 다른 제품도 구매해보고 싶습니다.
지금 새제품 교환 받자마자 리뷰 다시 쓰는데 지금은 리시버 전류도 신경쓰이지 않고 불빛도 제대로 들어옵니다. 추천!!!","['https://phinf.pstatic.net/checkout/20201117_152/1605614397885bI2RI_JPEG/review-attachment-a5653d26-7172-4ffc-902d-dbed61d10589.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201119_222/1605785578043Sa2Ka_JPEG/review-attachment-97efd8ee-ae42-4f11-a443-878b027f2724.jpeg?type=f287']"
3,"스위치 용으로 구매했는데 리시버가 있는 제품에 너무 귀여운 디자인에 핑크라 구매했습니다! 디자인도 가격도 너무너무 마음에 드는데 처음에는 배송할 때 잘못와서 박스가 많이 구겨졌다고 생각했는데 열어보니 원래 그랬던 제품인것 같다는 생각이 들더라구요! 리뷰 영상 촬영하다가 리시버가 안들어가서 이상하다 싶었는데 가운데가 어디 찍힌 것 처럼 휘어져있어서 펴주었고, 그렇게 하니 인식은 잘 되는데 키보드에 전체적으로 어디 쓸린 것 같은 상처가 많았습니다ㅠㅠ
그래서 전체적으로 새제품 보다는 중고 제품같다는 인상을 받았어요!
사진상에서는 필터어플로 찍은 사진이라 잘 안보이지만 30cm정도 거리에서 봐도 크게 느껴지는 상처입니당..ㅠㅠ
교환할까 고민했지만 요즘 시기에 택배받는게 불안하기도 하고 게임할때 하루라도 빨리 써보고 싶어서 교환하지 않고 스티커를 붙여서 사용하기로 했어요:-)
혹시 이런게 민감하신 분들은 꼭 감안하시고 구입하시길 바래요!","['https://phinf.pstatic.net/checkout/20200611_239/1591858340468z3qbW_JPEG/IMG_2806.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200611_101/1591858340555IMTAp_JPEG/IMG_2804.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200611_277/1591858340571BX29C_JPEG/IMG_2805.JPG?type=f287']"
5,무선 키보드 두개샀는데 하나는 컴퓨터 하나는 스위치 게임기에 연결하려고 샀어요 스위치는 블루투스지원은 안하지만 이렇게 리시버 있는 제품은 별도 없이 바로 연결해서 빠르게 타자치기 가능합니다 동숲할때 특히 아이템같은거 검색할때 엄청편합니다 스위치 있으신분은 꼭 구매하세요!,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_02_0/80d998a6-a47e-11ea-b3f4-48df379ccacc_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200602_187/1591067368495g1MfG_JPEG/F6048208-9299-4383-97A7-38D6E95B36F9.jpeg?type=f287']"
4,"usb방식의 무선제품이 따로 있는점이 좋았고, 75배열인 점도 마음에 듭니다. 소리도 완전 조용하지는 않지만 딱 적당합니다.
스테빌도 정상적이라 스페이스바 같은 키도 가장자리 눌러도 잘 되네요. good~!

전원 on/off 키가 따로없는건 아쉽네요...",['https://phinf.pstatic.net/checkout/20200907_145/1599408709925ye3gv_JPEG/review-attachment-684a63ba-f4a2-4e08-b0a8-58ceece667d4.jpeg?type=f287']
5,"이뻐요 연결도 플러그꼽으면 1분기다렸다가 바로돼요 편함 소음도 별로없고 키감도 적당히 ㄱㅊ 무겁지도 않음 휴대하기도좋을듯. 근데,, 살짝 높아서 오래 사용하면 손목살짝아플듯 근데 2만원에 이정도스펙이면 불평없이 잘쓸듯요 ㅎㅎ",['https://phinf.pstatic.net/checkout/20201009_122/1602211185654spJGy_JPEG/review-attachment-0af14a94-0676-46b4-be85-75ebb838756d.jpeg?type=f287']
4,딸아이가 구매요청 해서 구매 했어요. 색상 디자인 다 맘에 든다고 합니다. 자판 칠때 탁탁 소리나는게 느낌도 좋다네요. PC방 자판에 나는 소리랑 같다고 그자판 좋아하시는 분들은 만족하실꺼라고 합니다. 가격도 저렴하고 배송도 빠르고 만족합니다. 추천해요.,"['https://phinf.pstatic.net/checkout/20200501_130/1588291456001Jz8tl_JPEG/20200428_212407.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200501_182/1588291461287rId8q_JPEG/20200428_212405.jpg?type=f287']"
5,동물의숲할때 타자치는게 너무 불편해서 키보드를 구입하게되었어요 일단 색감이 너무 예쁜 파스텔 보라색이고 동글동글해서 너무 귀여워요ㅠㅠ 연결도 되게 쉽고 잘 되서 만족합니당 키보드때문에 편지 잘 안썼었는데 이제 편지쓸때 편하게 쓸 수 있어서 넘 좋아요!,['https://phinf.pstatic.net/checkout/20200715_71/1594801053353b6e3R_JPEG/review-attachment-b20c4a7d-448b-47d9-b146-f33f3316a029.jpeg?type=f287']
5,처음에는 어색했는데 몇번 사용하니 금방 익숙해져서 저는 좋았어요^^* 타다닥 타자감이 저는 개인적으로 좋고 크기가 생각보다 크기는 한데 집에서 사용할거라 오히려 크기는 괜찮은 거 같아요 색도 제가 좋아하는 거라 기분좋게 잘 사용할 것 같아요~,['https://phinf.pstatic.net/checkout/20200825_287/1598357811587HsD7G_JPEG/review-attachment-fff149b4-4913-41e7-b167-8c640d3f4fca.jpeg?type=f287']
4,보기는 좋아요 책상에 올려놓으면 예쁘고 레트로 타자기 갬성.. 하지만 키보드는 입력장치잖아요? 키가 전체적으로 너무 높아서 오래 치기 힘들고 손가락이 키에 걸려 오타나기가 쉽습니다. sns 글정도 치는 용도면 괜찮지만 타자를 많이 쳐야되는 상황이라면 그리 적합하진 않습니다. 입력음은 크거나 작지 않은 보통입니다.,['https://phinf.pstatic.net/checkout/20200410_240/1586501513850PjhoO_JPEG/20200410_153459.jpg?type=f287']
5,"처음에는 배송이 느린것같아서 좀 짜증이 났엇지만
물건 받으니까 그런 짜증같은건 잊어버렸어요,
라벤더 색상 구입햇는데...기분이 너무 좋아지네요..색깔효과^^
젤 중요한 키보드는 넘 부드럽고 좋습니다
뭔가 일을 많이 하는 생각 ??ㅋㅋㅋ
좋은 물건 주셔서 감사합니다",[]
5,배송은 그냥저냥이었고 제품은 마음에 드네요. 미니키보드라 숫자키패드가 없어서 살짝 불편하지만...알고 산 거라 상관은 없고 전체적인 키감은 멤브레인방식에서 느끼는 딱 그 키감이에요. 기대값에서 더하지도 덜하지도 않아서 5점입니다.,[]
5,디자인 깔끔하고 맘에 듭니다. 키감도 독특한게 괜찮아요 소음도 크지 않은 편이구요. 다만 오른쪽이 일반적인 키배열이랑 좀 달라서 적응 기간이 필요할 듯 하고 생각보다 크기에 비해 무게감이 있습니다. 블루투스 버전도 사려고 했는데 좀 생각해봐야겠어요 ㅎㅎ,[]
5,"일단 상품 자체가 너무 예뻐요. 색도 잘 뽑았고, 사이즈도 적당해서 좋아요. 상품 자체에 오염, 흠집 전혀 없고, 당연 하자도 없습니다. 받자 마자 바로 사용했는데 느린 거 없이 바로바로 글씨가 나옵니다. 고민하지 마시고 사세요.",['https://shopping-phinf.pstatic.net/20200208_22/b1b5f874-6bc3-4aa4-81c5-9e59c1fe4097.jpg?type=f287']
2,"디자인은 정말 너무나 예쁩니다. 정말요...하지만 개인적으로는...키보드 자체 높이가 너무 높아서 손목 받침대 필수이고, 키캡높이가 높아 오타율도 높습니다. 이거 작성하면서도...몇번이나 오타가 ㅠㅠ 원형의 디자인은 너무나 좋으나 왜 거의 모든 키캡이 사각인지 알겠네요 ㅠㅠ 디자인은 별 10개도 아깝지가 않지만...좀더 적응해 볼게요~",[]
4,"귀여워요 타자치는 느낌도 좋아요
근데 색이 사진과는 좀 차이가 있어요
분홍에 가까운 연보라네요!","['https://phinf.pstatic.net/checkout/20200903_164/1599120450493y6oV7_JPEG/review-attachment-1d3bab39-03d3-48b1-b5ee-aa5c6ffc6322.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200903_88/1599120450623b6htd_JPEG/review-attachment-af99dfac-847b-4055-9a2d-50ccd68fe9d7.jpeg?type=f287']"
4,배송 빨랐고 제품 잘 작동해요~ 색감도 예쁘고 괜찮네요 ㅎㅎ 불이 들어오면 더 좋았을뻔!,['https://phinf.pstatic.net/checkout/20201128_226/1606553800987dnQHx_JPEG/review-attachment-cd0acc64-613b-4d63-8b52-df168e0702c2.jpeg?type=f287']
5,블루투스인줄 알고 잘못 시켜서 반품할까 하다가 너무 이뻐서 그냥 사용하려구요~~근데 자판에 먼지가 쌓이면 어떻게 청소해야하나 고민이네요~~ㅋㅋ,['https://phinf.pstatic.net/checkout/20201116_239/1605507864388rD2dv_JPEG/review-attachment-4b30b34e-14d5-4d43-951f-c56bc95b614a.jpeg?type=f287']
5,"항시 대기중~
노트북 키보드로 사용하고 있어요
터치감도 좋고 아이가 만족해 합니다^^",['https://phinf.pstatic.net/checkout/20201119_38/1605788915318gTVdB_JPEG/review-attachment-1877e651-af7c-4412-8075-b5250e4942d4.jpeg?type=f287']
