star_point,comment,photo
4,소리도 작고 레트로 디자인이 이쁘며 타자감이 좋아요 근데 블루투스가 되어서 아이패드에서도 쓸 수 있었으면 좋았을텐데 무조건 연결 유에스비를 꽂아야 되더라구요 그래서 젝은 따로 구매했습니다...그리고 타자키에 글씨가 좀 삐뚤어요 일부러 레트로 느낌 내려고 의도하신건지 모르겠으나 그렇게 믿고 쓰려합니다 건전지 포함인게 좋네요,"['https://phinf.pstatic.net/checkout/20200906_219/1599393512303gwsVu_JPEG/review-attachment-919e4376-3771-4e23-9a12-bb772ee05c12.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200906_125/1599393558162IAoSi_JPEG/review-attachment-e0bca45d-64b1-4faf-8107-14cdec3fed6c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200906_55/1599393471790obnfu_JPEG/review-attachment-eb67ac09-77c6-44ce-9169-c3e5b4394773.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200906_124/1599393531408dc82L_JPEG/review-attachment-5b39871c-c386-4f6f-9216-9cbf11ca9341.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200906_62/1599393628908O8hRc_JPEG/review-attachment-8eb42fc4-4207-48bb-a245-8bdb1e6c84fe.jpeg?type=f287']"
5,배송에는 4~5일정도 걸렸습니다. 배송상태는 외부포장이 비닐로 되어있어 제품상자에 손상이 있었으나 제품에는 이상이 없었습니다. 하나 아쉬운 것은 키보드 자체에 수면모드가 자동으로 작동된다고는 하지만.. 그래도 on/off 버튼이 따로 있었다면 더 좋았을 것 같습니다.,"['https://phinf.pstatic.net/checkout/20200911_34/1599796154933lF2h2_JPEG/review-attachment-8e460625-1716-443e-886a-fba0920cf1b8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_35/1599796154645PWWlE_JPEG/review-attachment-fb869274-f63f-417d-b479-b86305d363ff.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_32/1599796154776MIaEg_JPEG/review-attachment-6cf6a71f-5492-41be-b1aa-e9a3992d49d9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_15/1599796154703EVSNc_JPEG/review-attachment-845d3743-d49f-4c98-a826-ad352771abed.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_264/1599796154834wQTrW_JPEG/review-attachment-3ad4c175-31ce-4d2e-b402-f786bd00385b.jpeg?type=f287']"
5,"배송 하루만에 왔고 포장 잘 되어서 왔네요
일단 처음에 받았을때 제품 크기는 적당해 보였고 원래 소형 무선 트랙볼 키보드를 사용중이었는데 사용하다보니 키가 너무 작고 트랙볼이 적응이 잘 안되어서 결국 다시 돌아왔네요
정사이즈라 역시 타이핑도 잘 되고 사용에는 좋네요
단점은 무게가 좀 무겁다는 것 밖에 없네요
그냥 집에서 어디 책상위에 놓고 쓰기에는 전혀 부족함이 없어요
3m 정도 떨어져서 책상에 놓고 사용하는데 오입력이나 딜레이도 없고 잘 되네요
어두울때 찾기 편하려고 일부러 밝은색으로 골랐네요
레트로 하나쯤 가지고 싶었는데 정말 만족하면서 사용중이네요","['https://phinf.pstatic.net/checkout/20200429_27/1588140377827wg7Xp_JPEG/20200428_170109.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200429_24/1588140378297M3nbc_JPEG/20200428_172817.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200429_215/15881403781064Sadr_JPEG/20200428_172822.jpg?type=f287']"
5,"아주 잘 사용하고 있네요
트랙볼 키보드 사용하다 트랙볼이 생각보다 손에 익지 않아서 무선용으로 작은걸 구매한건데 잘 사용하고 있어요
레트로스타일 예전부터 하나쯤 써보고 싶었는데 솔직히 타자에 그렇게 좋은 건 아닌데 그냥 편하게 사용하기에는 좋네요
예전엔 리시버 사용하는 제품들도 않좋았는데 요즘은 무선 수신도 오류 한 번 없이 잘 되고 역시 지금은 블투보단 리시버 사용하는게 더 좋네요
넘버키 없고 풀사이즈랑 크기 같아서 타자에 크게 무리없어요
입력할 일이 많다면 추천안합니다
그냥 적당히 사무용이나 집에서 무선용으로 사용하기엔 정말 추천합니다","['https://phinf.pstatic.net/checkout/20200529_289/1590740848886XTnU1_JPEG/20200428_170109.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200529_84/15907408493500kj3b_JPEG/20200428_172817.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200529_134/15907408493437GXB5_JPEG/20200428_172822.jpg?type=f287']"
5,"제가 토요일에 오후에 물건을 사서 화요일에 오겠거니 했는데 월요일 오후 1시 쯤에 바로 배송이 오더라구요! 빠른 배송 좋았습니다!
물건도 안전하게 잘왔구, 불량품이나 빠진거 없이 잘 배송됬어요.
키보드 사이즈는 생각했던 크기랑 똑같아서 만족했고, 디자인은 두말 할것도 없이 심플하고 예쁘구요!!
키보드 타격감은 제가 생각했던 경쾌한 눌림이 아닌 좀더 부드럽고 묵직하게 눌리는 타격감인데 이건 이것 나름대로 또 느낌이 좋더라구요.
키보드 누를때 소리는 개인적으로는 만족하나 조용한 독서실에서의 사용은 주의가 필요할듯한 소리에요.
한글파일 이나 메모장, 다른 인터넷 사이트에선 전혀 문제없이 잘써지는데 이상하게 리뷰쓰는 곳에서는 빠르게 치면 오타가 나네요..!
그래도 다른 곳에선 잘 써지니 별로 크게 문제가 되지는 않을것 같아 별5개 달아요!
다음에 또 키보드 살 일이 생기면 여기 키보드를 구매할것 같습니다! 감사합니다! :)","['https://phinf.pstatic.net/checkout/20200121_217/1579587095323v1IjM_JPEG/%C5%B0%BA%B8%B5%E51.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200121_225/1579587095320nhwmR_JPEG/%C5%B0%BA%B8%B5%E52.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200121_95/1579587095283eb6DQ_JPEG/%C5%B0%BA%B8%B5%E53.jpg?type=f287']"
5,"엑토 무선키보드입니다, 인식속도 빠릅니다.
배터리 용량을 자세히 확인할 수 없어서 아쉽긴 하지만
가격대비 이쁘고 스위치용으로 쓰는데 반응속도 괜찮습니다.
*블루투스 아니라서 스위치 독이랑 연결됩니다.
스위치 본체에 연결하실거면 A to C 사셔야합니다.
기본적으로 레트로 키보드이다보니, 적응하시기 어려운 감이 있으실 겁니다.
감성 위주, 인테리어 위주론 추천하나 문서작성등의 용도로는 비추천 드립니다.",['https://phinf.pstatic.net/checkout/20201013_95/1602520496277qfw8G_JPEG/review-attachment-e7ba9565-01c8-4406-8ccf-69e731266231.jpeg?type=f287']
4,"스마트폰 등 타 전자기기를 이용할때 편하게 타자치기 위해 구입했습니다. 디자인도 너무 예쁘고 가벼워서 좋아요!

단점이라면... 디자인에서도 알 수 있듯 키캡이 볼록솟아있어 그 사이로 이물질이 들어가기가 쉽다는것...? 그리고 키보드 자체에 높이가 있어서 타자감이 좋진못해요. 손을 공중에 띄워놓고 타자쳐야하는 느낌...

그래도 메인 키보드로 쓰는게 아니라, 디자인 만족용+서브용으로 쓰고있어서 그런데로 만족합니다~",['https://phinf.pstatic.net/checkout/20200713_63/1594595940958Oz0dX_JPEG/review-attachment-ba85b344-f957-4f78-b15e-e1ff4742929f.jpeg?type=f287']
5,배송 빨랐구요 제품도 이상 없습니다 디자인과 키감이 타자기 같아요 좀 생소하지만 익숙해지면 괜찮겠죠 저는 노트북을 tv와 연결 시켜놓고 침대 위에서 컴퓨터를 하는데 그럴때 무선 키보드가 있으니 노트북 이동할 필요 없이 간편하게 컴퓨터를 할 수 있어서 많이 편해졌어요,"['https://phinf.pstatic.net/checkout/20200419_64/1587280914175Q3gmM_JPEG/20200419_162116.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200419_131/15872809239073mlCO_JPEG/20200419_162042.jpg?type=f287']"
5,딸아이가 검색해서 결제만 해줬는데 막상 설치해서 사용하려니 갤럭시탭하고는 잭이 안맞아서 호환이 안되네요. 집에 리더기가 있어서 리더기 꼽고 하는데 왜 잭이 구형인가요? 요즘 핸드폰 충전기도 모두 동그란 잭인데 이 키보드 잭이 예전 핸드폰 충전기잭 모양입니다. 탭하고 호환안된다 기재하셨더라도 잭 모양이 요즘 모양이라면 리더기 꼽아서 충분히 사용 가능했을꺼에요. 실제로 패드가 두개인데 구형은 호환되고 신형은 안되서 황당했어요.,[]
5,"무선 민트 키보드 찾고 있었는데 너무 만족스러워요. 저는 PC방 키보드의 달칵 거림을 기대했는데 그것보단 조금 소리가 조용하고 부드러운 편입니다. PC방은 ""타카따까카타카"" 느낌이라면 이건 ""다가그그다가드그"" 느낌 이랄까요?
그리고 상자안에 용도를 알 수 없는 회색의 고무가 들어있었는데 받침용인가요? 그걸 모르겠어요.","['https://phinf.pstatic.net/checkout/20200410_63/1586498353610bR70P_JPEG/KakaoTalk_20200410_145808849_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200410_218/1586498353911knwSA_JPEG/KakaoTalk_20200410_145808849_02.jpg?type=f287']"
4,"제품 이제 받아서 리뷰작성차 적어보네요.
디자인은 정말 굿이네요.
기존 사용중인 마우스하고 색맞춤도 좋구요. ^^
키감 가벼운건 어쩔수없지만 쓰는데, 불편함은 없네요.
개인적으로 아쉬운건
키보드 높이 조절기능이 없다는거 정도군요.
판단되어, 고민중이시라면 추천입니다.",['https://phinf.pstatic.net/checkout.phinf/20200322_165/1584862000206hqpEr_JPEG/KakaoTalk_20200322_162604820.jpg?type=f287']
5,오랫동안 눈여겨보고있다가 구매했는데 왜 이제야 샀나 후회할 정도로 좋아요! 타자를 다다다 막 쳐도 소리도 잘 안나고 자판 누르는 느낌도 좋아요! 보내주신 물건도 에러 없이 좋은 제품으로 주셔서 편하게 잘 쓰고있습니다❤ 번 창하세용~,['https://phinf.pstatic.net/checkout/20200709_59/1594293116206jgBHQ_JPEG/review-attachment-f212411b-0e66-4dd1-9114-f12d2d232fa4.jpeg?type=f287']
4,일단 디자인이 너무 마음에 들었구요 제가 이런 타자소리를 좋아하는 편이라서 소리도 좋았어요! 근데 타자소리가 좀 큰편이라 혼자있을 때는 괜찮은데 기숙사에서는 저녁늦게는 못치겠네요ㅠ 그리고 높이 조절이 가능하면 좋겠어요!! 그것만 빼면 너무 만족합니다!,[]
5,"저렴하고 귀여운듯해요. 가볍게 쓸 서브키보드가 필요해서 샀는데 배송도 빠르고 좋네요ㅎㅎ

저렴하다보니, 키보드자체 재질에서 저렴한 플라스틱 느낌이 나긴하지만 크게 신경쓰이진 않아요. 애초에 싸게 산거니까요! ㅎㅎ

메인 키보드 있으신데, 서브로 필요하시거나, 태블릿에 연결해서 쓸 계획인 경우에 추천드려요",['https://phinf.pstatic.net/checkout/20200530_2/1590811040080SFHnm_JPEG/20200530_094450.jpg?type=f287']
5,전에도 엑토 핑크 유선 키보드를 사용중이었는데 무선이 필요해서 바꿨어요. 무선에다 미니사이즈라 공간활용에 있어서 더할나위없이 만족합니다. 기존의 핑크색상도 예쁘지만 먼지가 쌓이면 청소가 어려워 이번엔 블랙으로 선택했어요.,['https://phinf.pstatic.net/checkout/20200214_205/1581652235575ONJfd_JPEG/20200214_124813.jpg?type=f287']
5,저소음 키보드 찾다 구매 하였는데 소음도 거의 나지 않고 미니미니 해서 귀여워요 마우스랑 세트 로 맞추면 찰떡일듯 하구요 키보드 연결도 손쉽게 잘 연결 했어요 다만 건전지끼웠을때 몇번씩 빠져서 작동시킬때 애 좀 먹었네요 그점 빼곤 좋아요,[]
