star_point,comment,photo
4,"일단 너무 예뻐요. 타자기 처럼 생긴 키보드 완전 가지고 싶었는데 딱 이 키보드가 타자기 같은 클래식한 느낌이에요 ㅎㅎ
몇가지 단점을 말하자면, 일단 부피가 커서 들고나시기 불편하고, 키보드 두께가 꽤 있어서 손목 위치가 애매하달까, 원체 손목이 안좋은 저는 좀 쓰다보니까 손목이 아프네요
그리고 따로 키보드를 끄는 버튼이 없어서 안 쓰고있을 때는 저는 블루투스 설정에서 키보드 연결을 해지해 두고 있는데 , 가방에서 키보드가 눌리면 아이패드가 자꾸 켜져서 불편한 점도 있어요.
낮에는 몰랐는데 새벽에 조용할 때 쓰다 보니까 키보드 안 치고 있을때 기계돌아가는 소리처럼 좀 딱딱 거리는 소리가 나는데 제 것만 그런지는 모르겠네요
그리고 타자 빠른 분들은 살짝 답답할 수도 있어요,,

즉 요약하자면,, 엄청 성능 좋은 키보드를 바라는 사람은 사는 것을 보류하되, 오래 쓰지 않고 2만원짜리 저렴한 핵존예 키보드 원하는 사람들에게는 추천합니다,!","['https://phinf.pstatic.net/checkout/20200422_283/1587522189611Rbf9I_JPEG/E7394518-3175-4B35-920F-3C4207633E55.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200422_155/1587522637360Ww6ET_JPEG/77204A2A-7499-43C5-90D7-944BA103C5C1.jpeg?type=f287']"
5,"오프라인에서 블루투스 키보드를 보던 중, 타자를 치는 소리가 쏙 마음에 들어 사야겠다고 마음을 먹은 키보드인지라 더 기분이 좋습니다. 원가보다는 조금이라도 싼 가격으로 사고 싶어서 둘러보던 찰나에 딱 발견했는데 가격적인 면에서도 끌렸습니다. 딱 배송을 받자마자 기뻤습니다. 제가 원하는 그 제품이었던거라서요. 충전식이 아니라는 게 조금 아쉽지만 그래도 키보드감이 좋아서 만점 드립니다.","['https://phinf.pstatic.net/checkout/20200524_65/1590302376526GNIjX_JPEG/B612_20200522_185721_439.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200524_289/1590302387919s6v1n_JPEG/B612_20200522_191230_458.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200524_17/1590302402299kC0JG_JPEG/B612_20200523_151738_110.jpg?type=f287']"
5,"아이패드 구매하면서 레트로 키보드를 사고 싶었는데 다른거는 30만원정도 하길래..ㅜㅜ 좌절하다가 엑토 레트로 키보드를 찾았습니다.
아이패드 에어4 그린을 구매해서 민트색이랑 찰떡 일꺼 같아 구매했는데 완전 찰떡은 아니지만 나름 귀여워용!
약간 탁한 민트초코의 민트 생각하시면 될거 같아요!
로지텍 키보드 보다 키감은 좋은거 같구 다만 독서실이나 스터디 카페에서 쓸수는 없을거 같네용....",['https://phinf.pstatic.net/checkout/20201121_278/1605969424749rKWby_JPEG/review-attachment-f92c5b43-a844-483e-8f40-abb2d80476b0.jpeg?type=f287']
4,간생간사(간지에 살고 간지에 죽다)를 완성하기 위해 동생 생일선물로 사줬어요!아이패드랑 맥북이랑 돌아가면서 연동해서 사용한대요 :) 무게감은 꽤 있어서 편하게 들고 다니기는 무리겠지만 간지 하나는 죽이네요-흰검이 깔끔하고! 통통 튀는 키보드 자판이 계속 치고 싶게 만드는 것 같아요 ㅋㅋ 뭔가 내 돈 주고 사기에는 실용성이 떨어져서 싫지만 남한테 선물로 받으면 만족도가 매우 높을 것 같은 제품이에요! 기계 욕심 많은 분들에게 선물로 강추할게요 😊,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_04_28_0/9b4ce986-6980-11e9-9b38-505dacfba98a_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190428_191/1556433596120ClkA2_JPEG/20D1D193-8C5A-41E3-829F-7512F4D8C0C3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190428_300/1556433594781zWM2V_JPEG/821F2376-EC5D-4AAA-80AC-EF44865DEF77.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190428_150/1556433595081tzQRK_JPEG/6B33B967-C3A9-47B9-B06A-ED5C168560F6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190428_47/1556433596389H3h03_JPEG/713ABCE7-F90D-420B-9904-A14DBD9C929E.jpeg?type=f287']"
5,"거의 3달동안 계속 사용하다가 생각나서 들어와서 리뷰 다시 남깁니다.
일단 소리도 다지인도 너무 마음에 듭니다. 다만 조용한 곳에서 사용하기에는 눈치가 보여 좀 그렇고 집에서 사용하기 좋습니다. 그리고 손목이 꺾이는 현상이 있어서 좀 불편하기는 한데 저는 밑에다가 수건을 깔아서 사용하니 이 방법도 괜찮았습니다. 손목보호대가 있다면 그걸 사용해도 좋을것 같네요
그리고 동그란 키캡을 처음에는 어색해서 그런지 오타도 많이나고 적응하느라 시간이 좀 걸렸는데 이제는 완벽하게 적응해서 일반 키보드 사용할때 오히려 보고 치게 되더라구요~ 처음에는 어색해도 적응되면 이보다 편리한 블루투스 키보드는 없을것 같아요
후기 다시 쓰려고 들어왔는데 ㅋㅋㅋ 분홍색이 보이니...저것도 구매하고 싶어요ㅠㅠ 이거 자체가 너무나도 예쁜 색감을 가지고 있어서 파스텔계열 좋아하시는 분들에게는 정말 딱인 제품일것같아요!",['https://phinf.pstatic.net/checkout/20200422_163/1587514808550sscWx_JPEG/9715F5BC-4201-454F-9437-B9EF3253013E.jpeg?type=f287']
5,"귀여워요 페어링도 잘 되고
달각달각 맘에 들어요
아이폰이랑 연결해서 쓰는건 불편한점이 조금 있는데
갤럭시 탭이랑은 너무 잘 맞아요.
들고 다니기엔 가방 안에서 눌려서 켜질수도 있고 무게도 좀 있어서 불편할것 같아요. 그래도 귀엽고 예쁘니까 괜찮아요ㅋㅋ
민트 진짜 ㅎㅎ

F5 키랑 숫자 5키 테두리에 회색 자국이 있길래 묻은건가 싶어서 물티슈로 닦아도 보고 지우개로 지워도 봤는데 안지워져요ㅠ 긁히거나 쓸린자국 같아요....",['https://phinf.pstatic.net/checkout/20200925_33/1601042952525Eee3X_JPEG/review-attachment-60357bba-49ef-4b69-8afa-d206b6ad0f8f.jpeg?type=f287']
5,"딱 생각했던 핑크 색상이라 너무 예뻐요. 전체적인 키보드 크기도 적당하고 둥근 키캡의 크기도 적당하고 타건감도 좋아요.
생각보다 무겁지 않고 한 손으로 들어도 가벼워요. 집에서만 쓸 용도로 산 거라 상관은 없지만 밖에 들고 나가야 할 경우에는 가방에서 안 눌리게 앞에 넣어주면 될 것 같아요. 소음이 엄청 적은 편은 아니지만 전체적으로는 만족스러워요!
처음 받았을 때 사이사이에 이물질? 같은게 있었는데 바람 날리면 날려져서 깨끗하게 사용 가능해요~","['https://phinf.pstatic.net/checkout/20200403_84/1585906145312gLz6a_JPEG/5290E12D-D28F-428D-A6C8-6CCC3B04C240.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200403_279/1585906145595Um0Xb_JPEG/FC4A4D39-53A6-48C4-B1B5-6B6FB2422F1E.jpeg?type=f287']"
5,"연결도 잘되고 진짜 잘쓰고있어요
핸드폰 타자 칠 일이 많았는데 너무편리합니다
디자인 예쁘고 맘에드는데 혹시 무거울까봐 경량형도 함께 구매했는데
안사도될뻔했어요 충분히 가벼워서 들고다니기에 무리없어요ㅎㅎ
키감도 경량형보다 이게 더 편하고 오타도 덜나요
친구들이 알아서 영업당합니다;; ㅋㅋ 어디서샀냐고 물어봐여
가격말하면 놀래요 더 비싸보이나봐요",['https://phinf.pstatic.net/checkout/20201022_146/1603363046711uxC43_JPEG/review-attachment-01ad3835-de55-4b5d-8fe0-ca8f8c4bea1a.jpeg?type=f287']
4,"키보드로 휴대폰 글쓰고 싶어서 주문했어요~ 지금 상품평써보면서 테스트하고 있어요~ 예쁜데 약간 장난감 타자치는 느낌이네요~ ㅎㅎ 인식은 바로바로 잘되네요~
14일날 주문했는데.. 17일에 수령했고요! 하루정도 늦어진것 같은데 그건 택배사 문제인것 같아요~
박스가 약간 찌그러져오고 스티커도 누가 뗐던것 같아서 기분이 좋지 않네요! 그리고 키보드를 들고 흔들면 속에서 뭐가 하나 돌아다니는 소리가 나요!
근데 쓰는데는 큰 문제 안되는 것 같아서 구매확정합니다.","['https://phinf.pstatic.net/checkout/20200417_133/1587116188042FEVpF_JPEG/1587116156575.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200417_265/1587116220919Ah5cy_JPEG/1587116195415.jpg?type=f287']"
5,"너무너무 귀엽고 키보드 사기전에 다른 제품들 비교하면서 엄청 고민했는데 엑토 사길 잘했어요.. 귀여워요 ㅠㅠㅠ디자인만으로 별 5점 가능.. 그리고 타자 소리도 좋고, 들고 다닐 분들에겐 사이즈가 좀 클 수 있긴한데 레트로 디자인은 사이즈가 작을 수가 없는지라 전 완전 만족입니다!",['https://phinf.pstatic.net/checkout/20200928_267/1601227395224Gk6qn_JPEG/review-attachment-699de0ee-86fa-446e-ba1f-95f84a33ce3a.jpeg?type=f287']
