star_point,comment,photo
5,"예쁜 키보드 찾다가 구매하게 되었는데 예뻐요
사용감응 예상보다는 약간 뻑뻑한 느낌이 있고 누르면 잘 튀어오르는 느낌이라고 할까요.. 과장보태서 용수철(?) 같이 튀어오르는듯한 너낌? (쓰던 노트북 대비, 원래 쓰던 노트북 자판이 워낙 스무스 했음..)
손가락에 꽤 힘을 주르고 누르게 되는 것 같아요 이건 좀 사용감이 더해지면 약간 헐랭해 질 것 같아요.
그리고 노트북에 더이상 유에스비? 꽂는 곳이 자리가 부족한데 블루투스라 너무 좋네요 휴대폰이랑도 열결되는거가 진짜 장점인 것 같고 사이즈도 작고 무엇보다 예쁩니다. 키스킨도 같이 구매했는데 씌워서 쓰면 확실히 소리가 덜 나는 것 같아요! 추천드려요~~!","['https://phinf.pstatic.net/checkout/20201105_204/16045738001110xgsp_JPEG/review-attachment-6d5eba60-d534-46af-870f-7bdeee98d102.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201105_57/160457380013601IPR_JPEG/review-attachment-66f29431-37b4-4fdc-8bfc-59709449bfd0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201105_182/1604573800815fNXMR_JPEG/review-attachment-df87d794-b43e-4258-92f4-deaa60d5a20d.jpeg?type=f287']"
5,"배송빠르고 제품도 좋아요
아이패드 9.7에 연결해서 사용하려고 구매했어요
가격이 저렴해서 뭐 대충쓰고 버리자 라는 생각에 구입했는데
우선 가볍고 가방에 정말쏙들어가요
블루투스 연결잘되구요
한영 전환잘되요 (처음에 설명서랑 달라서 상세페이지보고 알았어요)
한영전환 안되시는 분은 상세페이지 부분에 있으니 참고하세요
제품 가볍고 키보드누르는 소리도 들리긴하는데 개인적으론 시끄러운 소리는 아니에요 ^^
제품 잘쓸께요 많이 파세요","['https://phinf.pstatic.net/checkout/20200617_266/1592381823096K0Vdz_JPEG/KakaoTalk_20200617_171512758.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200617_197/1592381822835q5fxz_JPEG/KakaoTalk_20200617_171512490.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200617_249/1592381822710uWmQU_JPEG/KakaoTalk_20200617_171513028.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200617_15/1592381823040J3OHD_JPEG/KakaoTalk_20200617_171513581.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200617_77/1592381822669SgfMd_JPEG/KakaoTalk_20200617_171513418.jpg?type=f287']"
5,평소에 물건 험하게쓰고 그렇게 자주 쓸거같지도 않아서 저렴한 제품 구매했는데 이정도면 만족스럽습니다. 디자인도 군더더기없이 깔끔하네요!! 계속 페어링 되는게 아니라 오래 안쓰고 있으면 끊기는데 나름의 절전모드인것같아요 불편한점은 아직까지 없어요☺️ 만족합니다,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_02_0/f4a72bc2-a4ba-11ea-83f8-505dac8c385b_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200602_149/1591093152773Vhbgp_JPEG/BE12B1D1-3233-4006-B1C9-FBBFCE711330.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200602_56/1591093143457c2Nys_JPEG/38ACB07E-74F6-443C-A2FA-69DF9C1CB23D.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200602_180/15910931424092Trxq_JPEG/70219615-9176-407D-8329-DD04DD19A203.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200602_27/1591093146757KNpgY_JPEG/C57A51CF-F6E2-4C53-ABC4-E71F758F27A4.jpeg?type=f287']"
3,"9월 7일 12:17pm에 주문 했고 9월 9일 19:52에 도착했습니다.

기존에 로지텍 k380 키보드 블랙이 품절이었나? 암튼 없어서 분홍색으로 쓰다가 다른 키보드 써보려고 찾아봤는데 가성비 좋다는 후기가 좀 있길래 주문했습니다.

포장은 그리 중요하지는 않지만 박스가 좀 찌그러져서 왔어요.
키보드 스킨이 키보드 전체를 덮는 건 줄 알았는데 딱 키만 가려지는..좀 작은 듯 해요
타자를 빨리 치다보면 움직여서 지저분해보이지만 따로 테이프로 고정시켜뒀어요.

저는 블랙으로 주문했는데 심플하니 괜찮은 듯 합니다. 한달 사용해보고 후기 남길 수 있으면 남겨보겠습니다.","['https://phinf.pstatic.net/checkout/20200909_295/1599650660457TqfpM_JPEG/review-attachment-3824dbfc-8b46-4158-a0a0-d59175d7c611.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200909_113/1599650671598h2MGO_JPEG/review-attachment-0c168141-92c1-48fd-9ca2-37d295531c3e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200909_101/1599650683155FuOOt_JPEG/review-attachment-9d68a2bc-3617-452c-b660-8d8ccfcca794.jpeg?type=f287']"
5,배송 짱빨랐고요 키보드도 좋아요! 블루투스 연결 바로바로 잘되고 키보드 윗쪽이 높ㄱㅔ 되어있어서 좋네요 안 먹히는 키 없이 다 잘 인식돼요! 타자 치는 소리는 조용한 독서실에선 천천히 살포시 눌러도 좀 눈치보일 거 같지만 키스킨 사서 사용하면 괜찮을 거 같기도 하고? 근데 저는 집에서만 쓸 용도로 산거라 상관없어서 그냥 써도 괜찮네요 (재구매하러 올 때까지 단종 안 되고 가격 안 올랐으면 하는ㅎㅎ),"['https://phinf.pstatic.net/checkout/20200408_61/1586311253840Xh46i_JPEG/5C60806C-0996-4E4D-BF2A-462944B9E770.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200408_142/1586311253544jPhSK_JPEG/2093C6A2-81E6-4B65-9D29-E71C9A91192F.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200408_83/1586311253306wn9z8_JPEG/885B1E58-1D2F-428F-BB26-6B0F0D640A8B.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200408_71/1586311253925Uvuu0_JPEG/7B3A5119-EDB0-4B97-AE08-76C6F555332D.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200408_116/1586311253113VpGBL_JPEG/9F795A6B-A725-428E-AB20-F4E04FFDA3EF.jpeg?type=f287']"
5,"평소 랩탑을 사용하는데 자판이 불편해서 미니키보드(유선)를 사용하고 있었습니다. 필요에 따라 이동하면서 사용하다보니 키보드의 실용성이 중요하던 터였습니다.어느날 부터인가 유선의 불편함이 조금씩 자라나더니 블루투스 미니키보드가 절실하게 되어 꼼꼼하게 비교하여 '엔보우 N패드 라이트 블루투스 키보드' 를 구매하게 되었습니다.1. 광속배송이라서 매우 놀랐구요. 2. 생각했던 것 이상으로 깔끔한 디자인이 마음에 들고, 무엇보다 터치감이 굉장히 부드러운 소리가 좋았습니다. 설명서에 자세하게 적힌 내용대로 쉽게 연결되어 사용해 보았습니다. 3. 자판의 간격이 가깝지 않아서 오타는 많이 줄어들 것 같습니다. 4. 무게는 적당히 안정적입니다. 너무 가벼우면 어쩌나 걱정했는데 사용해보니 안정감이 있어서 좋네요. 5. 작고 얇지만 매우 견고한 모습이어서 가지고 다녀도 안심이 되겠어요.블루투스 미니키보드의 가격이 워낙 다양하기도 하지만 생각보다 높은 가격대가 많아서 많이 망설여지더라구요. 몇만원씩 주고 사려니 너무 아깝더라구요.블루투스 미니키보드 찾는 분들께 엔보우 N패드 라이트를 권하고 싶습니다~^ ^","['https://shopping-phinf.pstatic.net/20200121_9/37986fd6-3ade-4df2-b7c2-522fe4ff7688.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200121_28/b78b5b9b-7cda-4955-bff3-a004610844f2.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200121_10/9dc22925-2e02-4725-8a61-62d1cd699471.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200121_0/2a66d156-69f4-4f4b-a8f0-ef0a2ebfb94f.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200121_17/867167f2-1844-4eba-8787-d526b391d8cd.jpg?type=f287']"
4,"좋아요
가볍고 귀엽고 디자인도 마음에 들어요
페어링 잘되고 이거로 혹시나하고 오버워치도 해봤는데 잘되네요
저렴한 가격에 잘 산것 같습니다
근데 같이 온 키패드커버에 무슨 검정색 무언가가 묻어있는데 잘 안지워지네요(두번째사진)ㅜㅜ","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_26_0/a052848e-ffb4-11ea-a518-a0369ff95678_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200926_279/1601096208603M3i6z_JPEG/review-attachment-7622266e-9515-4aaf-be80-603b1c6b627f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200926_281/1601096222802hde9M_JPEG/review-attachment-cc6b08ef-87f5-496a-8a4e-f9df431f122c.jpeg?type=f287']"
5,"노트북을 독서대에 놓고 쓰니까 자판이 멀어서 키보드 구매했습니다. 이 제품과 비슷한 다른 키보드가 많은데 이제품을 고른 이유는 다른 제품들과는 달리 Fn키를 안누르고 F키와 Del키를 사용 할 수 있어서 입니다. F키랑 Del키를 많이 사용하는데 펑션키 누르고 눌러야되면 귀찮은데 이건 안그래서 골랐습니다. 화면밝기 조절은 윈도우에서는 안되는걸 몰랐네요;;;ㅎㅎ
자판크기는 14인치 노트북보다 커요. 그리고 가격도 저렴하고 키감도 노트북 엘지 그램쓰는데 비슷한 느낌이에요. 저는 문서작업을 많이 하지 않고 타자도 느린편이라 끊김없이 잘 되는 것 같아요. 더 오래 써봐야되겠지만 우선은 되게 만족스럽습니다!
라운드마감이라 안날카로운데 뒷면은 라운드부분이랑 전체가 마감이 날카로워서 휴대시에 케이스같은거에 안넣으면 다른제품에 기스생길거같아요...;;;","['https://phinf.pstatic.net/checkout/20200407_173/1586234844997b0T37_JPEG/CE6A13BF-1F5B-461D-A0D7-0674B770893E.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200407_4/1586234844978Hx7FV_JPEG/39C605DF-356C-4CE6-9F71-319C2A1ACFB0.jpeg?type=f287']"
4,블루투스 연결이 굉장히 잘 되어서 좋았습니다. 다만 새 제품인데 스크래치가 두 군데 정도 있더라고요 ㅠ.ㅠ 그래도 가격대비 가성비가 좋은 것 같아서 계속 사용해보려고 합니다. 사진은 갤럭시 탭 10.1인치와 같이 찍어본 것이니 크기 참고하실 분은 참고해주세요!!,"['https://phinf.pstatic.net/checkout/20200619_19/1592549723384JAPfn_JPEG/20200619_154542.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200619_149/1592549733906xSpBk_JPEG/20200619_154546.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200619_270/1592549742769YTElO_JPEG/20200619_154600.jpg?type=f287']"
5,"갤럭시탭s7+ 와 같이 사용하려고 구매했습니다.
전에 비싼 블루투스 키보드도 사용해봤지만 아무리 좋아도 무거우면 활용성이 떨어지더군요
그래서 이번엔 무게를 가장 고려해서 구매했는데
무게, 가격, 기능, 크기 모두 만족합니다.
타격감과 소리도 마음에 듭니다.
태블릿에 한번 연결해두면 그 다음에 껐다켜도 바로 연결이 됩니다.",['https://phinf.pstatic.net/checkout/20201111_94/1605055434091DGPNt_JPEG/review-attachment-44e5fef2-5708-4b05-8b32-d398ea5e609b.jpeg?type=f287']
