star_point,comment,photo
4,"혹평이 많아서 후기 왠만큼 읽은것 같아요. 제가 이 제품을 선택한이유는 가볍고 컴팩트 하다는 점과 거치대 포함가격 때문입니다 . 많은 단점들 중에 가장 걱정됬던 점은 오타와 물음표 위치 입니다 지금 구매한 자판으로 후기 쓰고 있는데 제가 써보니 자판이 익숙치 않아 오타가 나는거지 익숙해질거같고요, 물음표위치가 일반자판과 다르게 있다보니 난감하지만 이작은판에 들어가있음됬습니다 저는ㅋ 있을지 몰랐는데 위아래좌우키도 들어있어요. ㅋㅋㅋ도 누르고 있으면 연속으로 됩니다. 타이핑 소리는 카페에서 충분히 커버될것같고,, (보통 카페에서 포스팅이나 메모장 기입정도로 사용예정)글고 거슬리는게 바닥수평이 안맞는지 들뜬 부분이 테이블이랑 부딫치면서 같이 소리가 나네요 . 그건 스티커를 붙이든 해서 제가 보완하면될듯합니다 . 쨋든 저는 판매되는 키보드들중에 저렴한 편이기 때문에 단점이 다 커버 되요. 전문적으로 글을 쓰시거나 조용한 곳에서 심도있는 글을? 쓰려면 더 비싼걸 사면 되요. 글고 더 저렴이들은 제 스타일이아니니 제외.. 노트9라 무겁고 케이스에 손가락거는게 달려있어서 이런 거치대?가 꼭필요한데 이가격에 거치대도 있으니 .암튼 가벼워서 젤좋아요 저는ㅋㅋ 매우 만족합니다 . 아 저는 보통여자손 입니다. . 방정맞은 자판치기 영상 짧게 첨부했어용

(?????백스페이스로 지우고나면 가끔 지운거 앞에 글자가 중복으로 나타나는 기이한? 현상이 자꾸 일어나는데.그건 왜때문이죠???????? 자판때문인가싶서 별하나 뺍니다)","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_09_03_0/a7bb4f30-ce40-11e9-b0ae-505dac8c38f5_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190903_211/1567510998981muzz1_JPEG/20190903_200241.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190903_36/1567511007265dt4Hu_JPEG/20190903_200222.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190903_85/1567511014027WRgEK_JPEG/20190903_200211.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190903_118/1567511021475e6YNf_JPEG/20190903_200204.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190903_58/1567511028605Teq5F_JPEG/20190903_200113.jpg?type=f287']"
5,"너무 가볍고 슬림하고 편리하고 예뻐요.
블루투스 연결도 전원켜고 버튼만 누르면 되서
어렵지않고 빨라요.
키패드는 기존에 쓰던 사이즈보다 작아졌으니
당연히 손가락이 어버버 하긴 하지만
계속 쓰다보면 적응하는 게 인간인지라.
예쁘고 휴대성 좋고 편리하면 된거죠.
접으면 실버
펼치면 화이트 키패드가 제 태블릿이랑 딱인 듯.
포인트 사용해서 저렴하게 구입했는데
잘 산것 같아요.
유용하게 잘 사용할게요.","['https://phinf.pstatic.net/checkout/20200927_80/1601183695318TJDwg_JPEG/review-attachment-bdd11458-0b7e-4675-92f2-dd2c8a5982da.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200927_42/1601183707322VTIgn_JPEG/review-attachment-98a0cce6-3ffc-428c-8b1f-a1cca26c7da1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200927_47/1601183721072GrV5v_JPEG/review-attachment-dde5888e-03c4-42fa-92a5-6fd03a64e45c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200927_12/1601183731628o1CRh_JPEG/review-attachment-c2db3342-71cf-4ced-bfe5-4f7b87a444b0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200927_174/16011837744215du2B_JPEG/review-attachment-2f552ae3-cc43-4732-91da-2b70dfe57fcf.jpeg?type=f287']"
5,"와 진짜 편하네요!! 이 후기도 블루투스 연결해서 바로 쓰고 있습니다!! 블로그 쓰기 시작하면서 모바일이 편한대 글을 쓰려니깐 손가락이 너무 아파서 구매하게 되었습니다. 덕분에 1일 1포스팅 잘 할수 있을거 같아요!
물론 데스크탑 키보드나 노트북 키보드 보다는 살짝 불편하긴 합니다 (키패드가 작으니깐요)
하지만 가성비가 좋아서 구매했습니다. 이 후기가 도움이 되어 많은 판매하시길 바랍니다! 좋은 하루 보내세요 :-)","['https://phinf.pstatic.net/checkout/20200911_162/15998052989885tU1r_JPEG/review-attachment-1edd3054-b3d8-4d51-997d-0dbd15fa1fba.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_276/1599805298982THYqS_JPEG/review-attachment-c30bb58d-32e7-483d-ab97-4f8641a93e77.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_78/1599805299422VR0Hf_JPEG/review-attachment-3d2ce29a-6494-44ad-9494-de9879f77ea8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_161/1599805299313v51gf_JPEG/review-attachment-10f34184-b49c-46c8-8248-91dc5e79b143.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_115/1599805300049TjPlH_JPEG/review-attachment-6a8040dc-08a2-49ae-97b3-b5f705ffb7b1.jpeg?type=f287']"
5,"글쓰는 일이 많아서 공간차지 하지 않고 간편하게 휴대할 수 있는 키보드 검색하다 접이식에 거치대까지 되고 가격도 착해서 주문 했어요.
어제 오전에 주문해서 오늘 오후 빠른 배송으로 안전하게 포장되서 잘 받았어요~
앞면은 화이트고 뒷면은 실버라 색상이 예쁘고 잘 어울리는 조합이네요. 키보드도 사용 후 접어서 케이스에 쏘~옥 너무 마음에 들어요!
페어링도 빠르고 터치감도 정확해서 타자가 잘 입력 되요~ 소음은 거슬리지 않아요.
작은 키보드 안에 키가 빠짐없이 들어 있구요, 오른손 왼손에 각각 스페이스바가 있어서 정말 편리하고 타자칠때 흔들림 없이 작업했어요.
제품도 고급스럽고 가격도 모두 만족해서 추천하구요, 내돈산 후기 였어요~ㅎ(이 후기도 엔보우 키보드로 작성했어요ㅎ)","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_05_0/17b9bebc-d6f2-11ea-a780-505dacfba98a_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_167/1596614541041g4g0E_JPEG/review-attachment-88393dcb-a3b1-48c2-8b89-7d9107911f7e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_132/1596614541535obC56_JPEG/review-attachment-73c812eb-06cc-4cb9-8228-7b09346ffbd4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_236/1596614892545UAmaC_JPEG/review-attachment-b52a8e96-efbd-4f28-ae6e-750f5a5d2071.jpeg?type=f287']"
5,"너무너무 잘 쓰고 있어요! 친구들 것과 비교했을 때 엔보우 키보드가 가장 작고, 가볍고, 저렴하고 실용적인 제품이에요.
아이패드 6세대를 쓰는데, 아이패드 짧은 쪽 길이보다 작거나 비슷한 제품을 찾고 있었어요. 아이패드보다 작고 아주 가벼워서 휴대성도 좋고, 무엇보다 디자인이 귀엽고 깔끔해서 아주 좋아요. 키보드 케이스에 태블릿PC나 휴대전화를 끼워 세울 수 있도록 한 것도 정말 똑똑하고 편리한 디자인이에요.
접이식이어서인지 가끔 수평이 맞지 않으면 타자를 칠 때 살짝 덜그럭하는 감이 있는데, 다시 접었다 피거나 아래에 종이를 받쳐 주면 해결되는 문제여서 무리 없이 사용하고 있어요.
타자를 치면 일반 노트북보다 조용하고, 무소음이나 저소음보다는 소리가 있는 편이에요. 타자감은 만족합니다.
블루투스 연결도 바로바로 아주 잘 되고, 배터리 성능도 오랜 시간 유지되어 정말 잘 사용하고 있어요. 타 블루투스 키보드보다 저렴한 가격에 이 정도 품질이라니, 매번 쓸 때마다 만족하는 제품입니다. 많이 파세요!!","['https://phinf.pstatic.net/checkout/20200709_113/1594271185615o0mUW_JPEG/review-attachment-aa068e64-499a-43b1-8c91-867ca87228f3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200709_139/1594271185774HPAVl_JPEG/review-attachment-b37d666b-12b0-4b51-a96e-d5f9b5d23b88.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200709_212/1594271185766Ka5P1_JPEG/review-attachment-ddde23e7-fd83-4ba0-8c71-8f8bd16e77e1.jpeg?type=f287']"
4,"후기 꼼꼼히 읽고 고민해서 샀는데
정말 후기대로 나쁘지 않네요 (후기도 이걸로 작성하는데 나쁘지 않아요!)
일단 진짜 가볍습니다 거치대 안에 넣어져서 와서 확실히 공간활용 잘 된 느낌!
디자인도 나쁘지 않고 타이핑소리도 시끄럽지 않습니다.(그래도 정말 조용한 곳에선 쓰기 무리일것같습ㅂ니다)
페어링도 단번에 되고요

다만 이게 자판 크기가 조금 안 일정해서 그런지 오타가 조금...잘 나네요 이거는 적응해야할 문제긴한데
태블릿으로 수업 내용 바로 타이핑하려고 산건데 조금 아쉽습니다
근데 가격이 싸서 이정도면 잘 산 것같습니다!휴대용으로 급하게 쓸 용으로는 괜찮은거같아요
타이핑도 안밀리는 편이고 인식도 잘 되는 편입니다.
(+제 키보드는 들뜸현상이 심하지 않더라구요 제품바이 제품인것인지 모르겠지만 들뜸때문에 걱정해서 안 사려했는데 크게 걱정 안하셔도 될것같습니다)
리뷰가 두서없는데 읽어주셔서 감사합니다 제품사실때 도움이 되셨길!","['https://phinf.pstatic.net/checkout/20201020_248/16031936661228FLiM_JPEG/review-attachment-8b0e9c00-f8b8-4973-ad09-b1666117d547.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201020_16/1603193672426LPqyr_JPEG/review-attachment-7b2b2d33-2bc8-4241-861b-0cc411373883.jpeg?type=f287']"
4,"뽑기운이 없나봐요. 잘되던 키보드가 하루만에 말썽이라 교환접수중입니다.

최근들어서 타이핑 할 것들이 좀 생겼는데 아무래도 패드 자체에 뜨는 키보드로 하다보니 화면도 가리고 좀 불편하더라구요. 그렇다고 애플에서 키보드케이스를 사자니 가격이 어마무시하고...저처럼 타이핑 자주 안하면 그 가격주고 사기 너무 아깝잖아요ㅠㅠ(저만 그런거 아니쥬..?)
일반적인 블루투스 키보드를 사려고 찾다가, 태블릿 쓰시는 분들 가장 큰 메리트가 장소 구애없이 어디든 들고 다니는 편리함이잖아요? 근데 아무리 콤팩트하다고 홍보하는 키보드라도 태블릿보다 큰 부피 차지하면 의미가 없다 생각했어요.
그러던 중에 찾게된 꿀템!!!!!
접이식 블루투스 키보드 이 가격이면 밑져야 본전이다싶어서 얼른 구매했어요. 와 근데 웬걸? 오자마자 펼쳐서 충전하면서 연결해봤는데 페어링도 문제없이 잘되고 키보드 수평도 잘 맞아서 타이핑 할 때마다 헐덕거린다거나 불편하지 않았어요.
아무래도 접이식이다보니 문자배열에 아직 적응은 안됐지만 대수롭지않은 문제예요.
케이스도 있어서 가방안에서 멋대로 열리거나 꺾일 걱정도 없고 좋아요. 다만 케이스 일부분을 슬라이드하면 모바일홀더인데 부드럽진않아요!
사실 밑져야본전이라 생각했던 게 넘 부끄러울 정도로 마음에 들어요ㅋㅋㅋ","['https://phinf.pstatic.net/checkout/20201020_25/1603185567746tC848_JPEG/review-attachment-6e6b00a4-40f6-4bf9-9b76-e56566a6c545.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201020_285/1603185567770N83vo_JPEG/review-attachment-6c5ee189-dd43-450a-8e95-6844f1d4d1c9.jpeg?type=f287']"
5,"블로그를 시작해서 편하게 사용하기위해 휴대성까지 겸비한 제품으로 찾아보았어요.
쿠폰사용해서 할인된 금액으로 구입했구요!
자판은 10분 사용해보니 금방 적응되서 편하게 사용할 수 있었구요.
핸드폰 블루투스 연결하면 1~2초 내에 연결되어 빠르게 사용할 수 있어요.
케이스에 보관도 편하고 케이스에 핸드폰 끼워서 사용하니 너무 좋네요.
가성비가 정말 좋은제품입니다!","['https://phinf.pstatic.net/checkout/20200923_130/1600839091551kXawL_JPEG/review-attachment-15d158d1-a31f-4d30-9bc3-64c80931ef86.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200923_277/1600839055474pavKp_GIF/review-attachment-828951ca-153f-499e-b562-e8e2bd2a91e4.gif?type=f287', 'https://phinf.pstatic.net/checkout/20200923_52/1600839093936lSdaT_JPEG/review-attachment-208e0bcb-aef1-4748-9c66-114646c79221.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200923_160/16008390940133wEsv_JPEG/review-attachment-573028ad-5eae-4d8a-896b-7ccac7486920.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200923_223/1600839090173rMHOF_JPEG/review-attachment-6b986f5a-9fbc-4b76-b218-e5dcbe2120fb.jpeg?type=f287']"
5,"사용한지 몇개월 되었네요. 일단 무게가 정말 가벼워서 여자들이 쓰기에 딱 좋습니다. 접으면 컴팩트하기도 하지만 타제품에 비해 가벼운 무게 때문에 구입한건데 여러모로 만족도 높습니다.
아이패드 12.9인치에 사용 중인데 사진 정도의 크기로 딱 적당하구요. 손이 그리 크지는 않아서인지 타자 치는데 불편함은 없습니다. 다만 키의 위치가 조금 달라서 익숙해지는데 시간이 좀 걸리는 편입니다.
한쪽이 들뜬다는 평이 많은데 저는 다행히 들뜨는 현상 없네요.
충전 시간 대비 오래 씁니다. 70시간이라고는 하지만 70시간을 내리 쓰는 경우가 없어서....구매 한지 몇개월은 된거 같은데 딱 두번 충전 했습니다. 글을 쓰는 일이 아니라 카톡이나 웹서핑 정도의 용도면 충전을 자주 하지 않아도 오래 써서 편하네요.
충전 시간 대비 사용 시간, .
케이스는 핸드폰 거치하기 좋아서 또 은근 쓸모가 있습니다.
다만 가끔 키보드를 안 쓰고 있으면 블루투스가 해제되는건 아닌데 키가 먹히지 않는 현상이 발생되는데, 몇번 화면 터치해주고 타자를 쳐줘야 키가 먹힙니다.
블루투스는 한번 설정해두면 그 뒤로도 알아서 잘 잡히는데, 아주 가끔 안될때가 있습니다. 설정은 간단해서 크게 거슬리지는 않습니다.
노트북에도 연결해서 사용 가능하면 좋겠는데 그 부분에 대한 설명이 없어서 아쉽네요.
하지만 전반적으로 가격대비 성능은 만족스럽습니다.",['https://phinf.pstatic.net/checkout/20200810_61/15969939785595YH5U_JPEG/review-attachment-5a61a84f-da0a-4de3-a450-58d3a0d9a468.jpeg?type=f287']
5,"저는 리뷰에 가장 많던 문제점인 수평 안 맞는 거, 자판배열 다른 거 이거 다 감안하고도 휴대성+가격+디자인 면에서 메리트를 느껴서 샀는데 정말 잘 산 거 같아요 진짜 강추 ,,, 디자인 진짜 예뻐요,,, 약간 짧은 닌텐도? 정도의 크기라 휴대성도 장난 없고 자판 배열 불편함도 처음 쓸때 제외하곤 못 느꼈어요 수평 안 맞는 것도 적당히 뒤로 젖혔다가 펴주니 괜찮아졌고요!! 더 써봐야 알겠지만 가격대비 가성비 진짜 짱인 것 같아요 ㅠ 광고 아니고 내돈내산인데 이가격에 이 퀄리티라니 감동 받아서 바로 리뷰 쓰러 왔어요 ㅠㅠ 당연히 노트북이나 유선 키보드보단 못하지만 3만원짜리 쿠팡 키보드 케이스에 딸린 키보드에 익숙해져있던 저는 이 정도면 선녀네요 저처럼 딱히 기계에 대해 예민하지 않으신 분들은 이거 사도 충분히 키보드 같고 불편함 못 느끼실 거에요 !! 전 아이패드 사게 되면서 가끔 쓰려고 싼 걸로 샀는데 그냥 이걸로 쭉 쓰려구요 ㅎㅎㅎ 아 그리고 키보드 케이스 겸용 거치대에 밑쪽을 여니 더 큰 거치대가 두둥 ,,, 디테일에 감동해버림 ㅠㅠ","['https://phinf.pstatic.net/checkout/20200918_284/1600429146907cFMwM_JPEG/review-attachment-11b8f8af-f6e7-472c-99dd-bba4191a9498.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200918_244/1600429147018Blndw_JPEG/review-attachment-3e68b0d7-d264-45d4-b49e-cb8df8ccc3a8.jpeg?type=f287']"
