star_point,comment,photo
5,"블루투스 키보드 태블릿이랑 연동해서 쓰려고 진짜 많은 브랜드들 후기보면서 여러 제품 비교하고 최종 구매했습니다!
제품별로 사이즈, 타자소리, 무게, 충전식/건전지식, 접이식인지 아닌지, 지속시간, 가격 등 비교해보았고, 저는 무조건 휴대가 간편하고, 사이즈가 너무 작지 않으며, 충전식, 타자소리가 그렇게 크지 않은 것을 우선으로 삼았는데 다 만족합니다! 연결도 잘 되고 아직은 적응 중이지만 금방 오타없이 잘 쓸 수 있을 것 같아요ㅎㅎ 디자인도 깔끔하고 사용하기도 편해요! 추천합니다~","['https://phinf.pstatic.net/checkout/20200917_69/1600331237853zSGu2_JPEG/review-attachment-6a7570ee-a2ba-4f3e-bc83-1aa822fc11b8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_182/1600331242934wrWj6_JPEG/review-attachment-9778b452-7548-4300-9e9e-c1b0d7303568.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_156/1600331244105uR9UC_JPEG/review-attachment-e7a3cdf1-87f5-4df4-863d-000c7578d258.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_137/1600331244714sB5sM_JPEG/review-attachment-821014b7-5a99-485a-9d8d-e7355c3205de.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_61/1600331246010ze0tt_JPEG/review-attachment-b7b2b157-9f12-473b-913e-1c389316de6c.jpeg?type=f287']"
5,"만족! 적당한 크기에 디자인도 예쁘다.
(접으면 생각보다 길쭉한 느낌인데 펼치면 적당해 보임)

딱딱하고 얇은 책상에 대고 쳤더니, 타자 소리는 기대보다는 컸다. 일반적인 얇은 노트북 키감과 소음을 떠올리면 된다.
다른 사람들 리뷰에선 다 조용하던데, 나만 왜 이런가? 아무래도 책상탓이 큰 듯하다.

, 이걸 받고 나니 내가 더 무거운 다른 키보드를 주문했으면 못 들고 다녔겠다 싶었다. 작은 폰은 수월하게 거치되지만 무거운 케이스를 낀 큰 폰은 미끄러져내린 걸 보아, 딱 '거치대 겸용(무게+) ~ 휴대용 기기(무게-)'의 최대치와 최소치 마지노선 중간에 잘 걸친 제품인 듯하다.

충전된 채로 배송되어서 바로 테스트 해볼 수 있었다.
아이폰 메모어플에 연결해서 써봤다. 블루투스 연결은 아주 빠르게 잘 된다. 다만 실험 후반에 스페이스 바가 여러 번 눌리며 '.(온점)'이 3개씩 찍히는 현상이 발생해서 당황했다. (스페이스 바 2번 누르면 문장끝으로 인식하여 온점+공백으로 자동변환 해준다.)

여러 후기에 언급된 것처럼 시프트 키 누르기가 어렵지만 이건 조금만 침착하게 누르면 나름 적응할 수 있는 범위다. 개인적으로 나는 Shift보다 Ctrl키 위치가 더 불편하다. 새끼손가락 뻗기 전에 생각해야 한다. Fn키랑 좀 바뀌었으면 좋겠다.

무엇보다 좋은 건, '가로로' 접히는 제품이란 거다. 세로로 2단 이상 접는 제품들은 조금만 푹신한 곳에 놓고 왼손 오른손 얹고 나면 글자 사이사이가 다 어그러져서 쓰기 어려운데, 이건 다리 위에 올려도 느리게나마 타자가 가능한 수준은 된다.

화이트 색상도 포인트인 빨간 로고랑 잘 어울리고 .

다만 . 미끄럼 방지 고무의 존재를 충전기 연결하면서 알았다. 원목이나 유리 표면에서는 괜찮을지도 모르겠다.
따라서 위에서 말한 타건 소음 문제와 겸하여, 아래에 뭘 깔거나 두꺼운 책상에서 쓰기는 추, 얇고 딱딱하거나 맨들맨들한 플라스틱 코팅 표면의 책상에서 사용하는 건 비추다.","['https://phinf.pstatic.net/checkout/20200206_277/1581000526338EGUfP_JPEG/9795F8E9-5C31-4065-A824-4783B5FE26B1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200206_64/1581000526075l4ryn_JPEG/5F8D8448-CD4C-43A7-893D-82FA59221A4F.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200206_91/1581000526257YqGXJ_JPEG/30C2BD3B-F367-407E-B0A1-CD08FA5CFD93.jpeg?type=f287']"
4,"사진은 기기 올려놓는 부분에 턱 있는 거랑 미끄럼방지용 실리콘 있는데도 상세페이지론 그게 잘 안보여서 그거 위주로 찍음. +배송 엄청 빨라서 기분 좋게 짧게나마 사용해 봤는데, 구린 기기랑도 인식 정말 잘됨!!! 화이트 예쁨!! 여자손 평균 크기인데, 한글타이핑(특수기호, 숫자 제외)은 불편함이 없지만 이 이상 손크면 불편하겠다는 느낌은 듦. -단점은 숫자키랑 물음표 크기가 작고, 백스페이스가 통상보다 한 줄 아래에 위치해서 적응기간 가져야 하고, 오른쪽 쉬프트키는 나만 그런 건진 모르겠는데, 좌-중앙-우 로 삼등분했을 때 중앙만 인식되고 조금만 기울어지게 타이핑하면 쉬프트 인식이 잘 안됨(왼쪾 쒸프트로또 씨쏘놀이 햬뽰는뗴 모써리만 쪼끔 눌리는 꺼 아닌 이쌍 인씪 짤뙴 끄럐써 뼐하나 뻄) 오른쪽 새끼손가락이 가진 자아를 버리고 항상 쉬프트키 중앙 정위치 잘 지켜서 치면 문제없음
%수정추가%(안드로이드 구린기종 기준)펑션키+방향키 상하좌우로 페이지업 다운, 홈 엔드키 대신 되긴 하는데, 사용설명서가 설명서 역할을 제대로 못함ㅎ;;;공식 사이트에서 키 기능 설명서 찾으려는데 제품이용정보란에도 따로 없고..존재 했으면 사용설명서나 상세페이지에 링크나 배너 달아뒀겠지 근데 없네? 싶어서 얼른 포기하고 퍼즐게임기 하나 생겼다 생각하기로 함","['https://phinf.pstatic.net/checkout/20200908_252/1599547389767oDfGp_JPEG/review-attachment-b5cef134-de74-4ab1-848d-31ba898a963c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_96/1599547401821Rd8Wh_JPEG/review-attachment-8efa663b-7e31-441c-9518-cae2170a9cd4.jpeg?type=f287']"
4,"갑자기 폰이 업무용이 되면서 징그럽게 많은 내용을 카톡 그리고 문자로 보내게 되어서 이틀 고생하다 블루투스 키보드를 구입하기로 마음먹고 몇개월 사용하지 않을거라 다이소에 있으면 사려고 했는데... 역시 고가의 제품이라 다이소에는 판매하지 않더군요..;;; 그래서 후기도 보고 디자인도 보고... 충전식 블루투스4.0이상으로 기준을 잡다보니 오아 제품이 눈에 들어와서 구입하게 되었습니다.
장점은 깔끔한 디자인, 빠른 인식, 키보드 타격감(?)이 좋음, 마이크로5핀 충전식, 연결이 쉽다는 점, 거치대 일체형 이정도 입니다.
단점은 shift키가 잘 안먹혀서 쌍자음 쓸 때 오타가 좀 많이 난다는 점, 컨트롤키랑 Fn키 위치가 바뀌어 잘못눌려지는 경우도 많고, 휴대용인데 생각보다 묵직한 무게감(폰 두개 들고 다니는 느낌??), 케이스를 별도 구매해야 한다는 점입니다.
단점이 생각보다 좀 있어서 별점 하나를 빼긴 했지만 일단 제가 너무 필요해서 샀고, 저는 나름 만족하는 중이라...ㅎㅎ
키보드가 없었으면 앞으로 일을 어떻게 해야 하나 했을 겁니닼ㅋㅋ","['https://phinf.pstatic.net/checkout/20201002_114/1601624722610u7LlL_JPEG/review-attachment-154ee3b1-e7c7-4f37-854a-4fc58ce96635.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201002_244/1601624729845v10PY_JPEG/review-attachment-58c10373-7119-4146-b6f2-51e19889c5d0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201002_271/1601624737734hx1jO_JPEG/review-attachment-5bd08555-0aab-46ca-af21-dc25cf89b09a.jpeg?type=f287']"
4,고민하고 고민하다 원픽 했습니다. 거치대 있는 게 최강점인 것 같고 키보드 소리도 방해되지 않을 정도라 조용한 카페에서 사용해도 무관한 것 같아요! 실제 크기는 예상보다 컸고 무게도 조금은 있습니다! 그래도 편하게 이거 하나 들고 다니면서 장시간 사용하기에는 너무 좋을 것 같아요. 많이 많이 파세요 ^^ 화이팅!,"['https://phinf.pstatic.net/checkout/20200911_36/1599784924390OFGgM_JPEG/review-attachment-03bee205-2154-4528-8d8c-4af98fd6faa0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_211/1599784924850NyKqt_JPEG/review-attachment-29dfad9c-0d78-4e9c-ad23-89ecf8d95c90.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_189/1599784924694rlaXW_JPEG/review-attachment-6836eefe-8758-4440-9932-58315275c06b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_208/1599784924771CzN7w_JPEG/review-attachment-85abe675-c925-4cdd-bac2-1d930eeb03df.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_54/15997849250631uGb4_JPEG/review-attachment-c5f771b2-3027-436e-ba30-473876f36baf.jpeg?type=f287']"
5,"구매 고민하시는 분들께 도움이 되고자 후기 작성합니다.

1. 색상
화이트, 블랙 두가지가 있어서 취향에 맞게 잘 선택할수 있는점 좋았습니다.
블랙 깔끔해서 샀는데, 화이트도 땡기네요 ㅜㅜ

2. 크기
핸드폰(v30)이 큰 스마트폰이 아님에도 키보드길이의 3분의2나 차지하네요.
꽤 길이가 짧습니다. 애플키보드의 절반 조금더 넘네요.
접었을때 두께는 스마트폰의 딱 두배정도 됩니다.
펼쳤을때 두께는 스마트폰보다 얇아요.


가볍습니다. 휴대성으로는 정말 끝판왕이라 생각해요.

4. 키감
개인적으로 노트북키감보다는 훨씬 좋습니다.
가벼우면서 쫀득하다 해야할까요 ㅎㅎㅎ

5. 인식률
제가 양품인지 몰라도 빠릿빠릿하게 아주 잘써집니다


총평 : 휴대성만 보고 사서 마감이나 키감은 큰 기대안했는데, 생각보다 너무 좋아서 놀랐습니다. 주머니에 넣고다니기엔 무리이지만 사진중 아이패드 미니5와 찍은걸 보면 알 수 있듯이 왠만큼 작은가방에도 쏙하고 들어갈거 같아요!
크기는 길이 스마트폰의 1.3~1.5배 / 두께 접었을때 스마트폰의 약2배 정도입니다. 올해 지른 제품중 가장 만족도가 높네요!","['https://phinf.pstatic.net/checkout/20191111_6/1573441083885lNWrH_JPEG/IMG_3050.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191111_239/1573441072574WxkzL_JPEG/IMG_3051.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191111_60/15734410726493WXhI_JPEG/IMG_3054.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191111_176/1573441072338FaAYS_JPEG/IMG_3057.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191111_29/1573441072271XKXGr_JPEG/IMG_3060.JPG?type=f287']"
5,"전에 쓰던 블루투스 키보드가 수명을 다해서 지인중에 오아블루투스 키보드를 쓰시는 분이 있어서 시켜보았어요 :) 처음에는 좀 생소했는데 보니까 오아가 선풍기로 흥햇던 브랜드엿네요!ㅎ
키가 좀 작아서 불편할수도 있다고 들었는데, 저는 손이 작은 편이라서 전혀 문제 없었고, 사실 그렇게 얘기해주셨던 분 남편분도 잘 사용하신다고 했었어요~ ㅎㅎ 개인적으로 이렇게 가로형?으로 접히는게 앉은자리에서 책상 없이도 타이핑할 수 있어서 좋은거 같고, 핸드폰 거치대도 달려있어서 가지고 다닐때 편리할거 같아요 (저는 핸드폰 거치대를 따로 들고다녔기 때문에~) 다만 아쉬운거는 요즘 핸드폰이 너무 커서 세로로 세워지지는 않네요 ㅎ 그래도 접이식 블루투스 키보드이기 때문에 작은 점을 감안하면 아주 아이디어 상품인것 같아요 ㅎㅎ","['https://phinf.pstatic.net/checkout/20200107_260/1578359293094bNSku_JPEG/20200107_100518.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200107_87/1578359293215cALN9_JPEG/20200107_100512.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200107_115/1578359294251uv8Qj_JPEG/20200107_100451.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200107_281/1578359294594DF5eh_JPEG/20200107_100256.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200107_127/1578359295288c9nI8_JPEG/20200107_100210.jpg?type=f287']"
5,"사용하던 키보드가 하나씩 작동하지 않아서 폭풍검색후 구입했어요.
접으면 한 손 컴팩트하게 한 손에 쏙!
살짝 무게감 있어 더 좋았어요.
스페이스바가 짧아서인지 띄어쓰기가 잘 되지 않는 불편함은 더 사용하면서 익히면 될거 같구요~
앞으로 몇 년 더 잘 써봐야겠어요~","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_13_0/f4b5f380-2548-11eb-9751-505dac8c381b_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201113_145/1605228107174EGaNm_JPEG/review-attachment-d16fb917-77a9-454a-96f0-bd90270b9082.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201113_6/1605228107567x7QBo_JPEG/review-attachment-9d330fb5-9a2a-4bff-b026-fd6133c5193a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201113_211/1605228107587dFUmJ_JPEG/review-attachment-30cce9d3-5f26-4e1e-b5ee-0819729da02d.jpeg?type=f287']"
4,"아이폰과 갤럭시탭에서 모두 사용할 수 있는 제품을 찾다가 오아 폴더블 키보드를 구입하게 되었습니다. 블루추스 첫 연결에서 큰 문제가 없었고, 재사용 시에는 첫 연결보다 더 빨리 연결되는 점이 좋았습니다. 처음에는 좀 딱딱하고 탁탁하는 소리가 나는 키보드감이 어색했는데 몇 번 테스트를 하면서 키보드 위치를 익히게 되니 큰 어려움 없이 사용할 수 있게 되었습니다. 스마트기기 받침대를 따로 사용하지 않아도 된다는 점이 편리했는데 받침대 바닥은 고무?실리콘? 같은 재질로 되어있고 앞 부분에 미끄럼방지 턱이 있어서 가로나 세로로 사용해도 스마트폰이 미끄러지지 않아서 좋았습니다. 다만, 요즘은 두꺼운 케이스를 쓰는 경우도 많은데 이왕 있는 받침대 조금만 더 세로 길이가 길었으면 좋았겠다는 생각을 했습니다. 모든 키가 정상적으로 작동하고 .
다만 우측 하단의 방향키, 좌측 하단의 펑션키, 중앙 하단의 스페이스키 등을 단독으로 누르면 키보드가 움직여요. 밀린다는 것이 아니라. 폴딩 되는 부분을 중심으로 힘이 가해지는 부분은 내려가고 그렇지 못한 부분은 위로 들려서 키보드가 위아래로 움직임이 느껴진다는 말입니다. 키보드를 다 펼쳤을 때 완전히 평평하지 않고 들뜨는 부분이 있어서 좌측 하단 키를 누를 때와 우측 하단 키를 누를 때 들뜨는 정도가 달라서 신경이 쓰입니다. 사용에는 지장이 없지만 가구 발 하나가 들떠서 신경쓰이는 것처럼 거슬려요. (사진 보시면 키보드 바닥이 들떠서 그림자 크기가 왼쪽, 오른쪽이 달라요) 제가 받은 키보드는 오른쪽으로 갈수록 들뜸이 심해서 왼쪽, 오른쪽 하단 키를 누를 때 차이가 달라서 더 거슬려요. 바닥에 닿는 부분에 완충작용을 할 수 있는 부드러운 무언가가 있으면 더 좋겠다는 생각을 했습니다, 무게는 생각보다는 무겁지만 다른 블루투스 키보드 여럿과 비교했을 때 과도하게 무겁거나 한 것은 아니고 ‘초경량’은 아니구나 하고 느낄 수 있는 정도라 크게 신경쓰이진 않는 부분입니다. 키보드 들썩이는 것 말고는 가격, 성능, 디자인, .
지금 이 후기도 오아 폴더블 키보드로 작성하는 중인데 오타도 별로 안나고, 편하게 작성하고 있어요. 바닥 들뜸을 해결한 가성비 최고 키보드가 나오면 좋겠네요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_02_15_0/b9baefc3-4f52-11ea-adeb-0000000049a8_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200215_182/1581702668048UCcCl_JPEG/image.jpg?type=f287']"
5,"키보드로서의 기능이 충실하게 잘 되어있습니다.
소음이 적어서 실제로 도서관에 가서 사용해보았는데 폐를 끼치지 않을 정도로 소음이 적은 편이라고 당당하게 말할 수 있습니다. 하지만 그렇다고 자신감에 넘쳐서 피아노 치듯이 타자하시면 그건 좀 귀에 거슬릴지도 모르겠네요.

타자치는 느낌은 키를 누를 때 어느정도 경계가 뚜렷해서 제대로 잘 치고 있구나 하는 즐거움을 가질 수 있습니다.
그렇다고 기계식처럼 자세한 감상을 바라기에는 무리가 있습니다. 쫀득쫀득하거나 그러한 감상은 잘 모르겠는데 경계가 뚜렷한 반발심이 키를 누르고 떼자마자 키가 튀어오르는 맛이 확실히 있습니다. 이거 너무 즐기려고 한다면 소리가 커지는 건 당연하고 조심하셔요.


그리고 내구성은 아직 사용기간이 짧지만 대체로 얇고 넓은 판으로 구성되어있는 키보드에 비해서 아주 적절한 비율로 접을 수 있기 때문에 외부충격으로부터는 훨씬 유리하다고 느꼈고요. 배터리도 2일 정도는 충전하지 않고도 불편함 없으니 제 입장에서는 그걸로 끝. 충분합니다.
일주일이나 충전하지 않아도 된다거나... 그렇게까지 편해질 생각은 없었습니다. 리뷰 읽으시는 분은 동의하실지 모르겠군요. ㅎㅎ;

허나 다양한 기기를 페어링할 수 없어서 폰과 태블릿을 함께 사용할 수 없는 아쉬움을 가지고 있어서 그것은 안타깝게 생각하고 있습니다.
사용자가 무엇을 바라고 사용하려고 하는가가 중요한 문제가 되겠지요.


제게 있어서는 이 상품은 밖에서 부담없이 글을 쓸 수 있기 위한 것.
집 안에서는 많은 분들이 컴퓨터를 사용하시겠지만 혹시 휴대폰이나 태블릿을 이용하려고 하신다면, 저는 좀 더 비싼 돈을 주고 사서 무거운 블루투스 키보드를 살 것입니다. 아니, 하나 더 사고자 합니다.

너무 가볍게 잘 쓰기에 적합하다보니까 길게 쓰다보면 피로감을 호소할 수 있다는 의미입니다.
그럼에도 것 또한 잘 생각해보시길 바랍니다.

저는 밖에서는 이 키보드를 앞으로도 분명 애용할 것입니다.",['https://phinf.pstatic.net/checkout/20200603_151/1591196207751LMbHP_JPEG/beauty_20200603235630.jpg?type=f287']
