star_point,comment,photo
4,"제품 검수는 한번 하시는게 좋을듯
광택라인 부 불량으로 왔는데
구찮아서 걍 씁니다.
제품 마감이 이러니 가성비라는
일장일단은 못벗어날듯 하군요.

일단 상당히 묵직하니 적응중이구요.
기존 구닥다리 키보드랑 크기가 비슷하네요.
적축도 사무실에 저 혼자라 ㅎ
아무튼 친해져보겠습니다.","['https://phinf.pstatic.net/checkout/20201121_212/1605938808076VyawT_JPEG/review-attachment-4d4b4390-504d-40d1-8f3c-db2cf7329b14.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201121_29/1605938808289I8lBI_JPEG/review-attachment-56d23f8b-6af2-4e79-b0a2-4dd2174db1cf.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201121_82/1605938809423QEDSJ_JPEG/review-attachment-4f67931a-b2d4-41a4-9ef4-c52062307782.jpeg?type=f287']"
1,내가 중고 물품을 산것도 아니고 새 제품을 구입한건데 이딴걸 새 제품이라고 보낸다면 기분이 아주 ㅈ같겠죠? 보니깐 여러번 반품 처리된걸 보낸거 같은데 이런걸 받은 사람 입장으로써 기분이 좋진 않네요 깔끔하게라도 만들어서 보내던가 다음달에 마우스랑 쿨러랑 살라고했는데 거지같아서 여기서 물건 안삽니다 그냥 되니깐 반품은 안하는데 기분은 진짜 더럽네요 좋겠네요 이딴 제품 보내놓고 물건 팔려서 급한 내가 호구 되야지... 아 그리고 키보드 만능 키스킨? 진짜 ㅋㅋㅋ 전용 키스킨도 아니고 이딴거 팔아 먹을라면 최소한 사진이라도 올려서 어떤 상품인지 제대로 알리기는 합시다 이건 키스킨이라고 온게 그냥 넓은 실리콘이 와서 당황함 괜히 몇천원 날려먹었네 진짜 쇼핑하면서 오랜만에 기분 ㅈ같네,"['https://phinf.pstatic.net/checkout/20191227_290/1577431781544zWbtL_JPEG/A6BDC7BB-5558-4EA1-A06E-D7E2F15FC985.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20191227_292/1577431781814R0cW5_JPEG/D80A8CE1-F56F-4E19-A9B1-7CC2ADC92AE8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20191227_210/1577431781821vAeAm_JPEG/58513D62-2497-4B93-9A1E-C7B4C3F9A69B.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20191227_32/15774317817970yuGF_JPEG/DC6C528F-CE26-42D3-925D-2F436575F64F.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20191227_238/1577431782369vIyHf_JPEG/738E5C12-B27C-425E-A65B-E91008A46222.jpeg?type=f287']"
3,"먼저 약간 실망스런 부분은 택배포장이네요.
택배박스포장 없이 비닐로 들어와서 그런지 모서리 부분과 테잎 봉인 부분이 떨어져서 왔내요.

그래도 가격이 한두푼 하는것도 아닌데 에어캡 포장이 추가 비용선택으로 들어가 있는게 좀 아쉽습니다.
그리고 동글도 옵션으로 같이 판매하면 좋지않을까 하는 생각도 드내요.

블루투스동글 따로 구매해서 스마트폰 블루투스 연결및 데스크탑 연결 하여 사용해보니 연결은 됐는데 약간의 문제가 블루투스 동글인지 키보드인지 모르지만 주기적으로 5초간 끈김이 있내요.

그리고 메탈소재 때문에 그런지 모르지만 일반 키보드 보다 무게가 상당히 무겁습니다.

적축이지만 키보드 소리는 개인적으로 일반 키보드와 비슷하게 느껴지내요.","['https://phinf.pstatic.net/checkout/20200107_260/1578384620289YFGrj_JPEG/20200102_124138.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200107_185/1578384636443z2kn5_JPEG/20200102_124804.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200107_132/1578384649064nxtmn_JPEG/20200102_124822.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200107_185/1578384688196ew726_JPEG/20200102_124836.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200107_278/1578384701068BcxRT_JPEG/20200102_124903.jpg?type=f287']"
5,"하하 생각했던대로 되었습니다
근데 진짜 처음 받는분이 1분만에 세팅이 가능할지 의문입니다 왜냐...
설명서가 없기에 처음 페어링이 좀 어렵습니다
fn+F1 누르고 빠르게 F5를 눌러야 했다는 사실을 블로그나 기타 등등에서 찾아서 알게되었네요
지금 후기를 제품을 사용해서 작성하니까
약간의 긴문장도 손쉽게 할수 있습니다 ㅎ
일단 가성비는 최고라고 할수 있네요
자판배열이 일반 키보드와 동일하고 사무용으로 완전 굿이면서도... 유선의 기능까지 사용할수 있어서 혹시나 온라인 게임과, 테블릿, 휴대전화에서 타이핑을 필요로 하시는 분께 강력 추천 드립니다!

이제 스마트한 2020 출발 입니다!! ^^","['https://phinf.pstatic.net/checkout/20200120_42/15795225180629gaAD_JPEG/20200120_211411.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200120_249/1579522533211nFQeh_JPEG/20200120_180225.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200120_6/1579522541812dT6Hu_JPEG/20200120_180632.jpg?type=f287']"
5,"집에서 사용하기에 적축 저소음 유선 블루투스 겸용 기계식 키보드를 구매했어요

내장 배터리라 그런지 묵직해서 이동식으로 들고다니기는 그렇겠지만 블루투스 페어링으로 집에서 스마트폰과 태블릿, 노트북, 데스크탑 등의 효용성에서 좋은 것 같아요

이 가격대에 가성비 좋고 쉽게 입문할 수 있는 제품 찾기가 흔치 않다고 생각합니다","['https://phinf.pstatic.net/checkout/20201007_146/1602073134884xAD1H_JPEG/review-attachment-ec97685c-af5d-4b1c-880a-0d85a086472c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201007_192/1602073141580wnPwS_JPEG/review-attachment-11cfff37-b98f-42f8-8d7b-99f909190e01.jpeg?type=f287']"
5,"내장배터리 덕에 묵직하네요~ 이동용 아니고 사무실에 쓸꺼라 밀리지 않고 더 좋아요!
첫 기계식인데다 블루투스 다중연결을 목표로 했는데 잘 됩니다 다만 기계 전환에 몇초 걸리긴합니다!
키스킨을 씌웠더니 별로 안예쁘네요 ㅎㅎ 키스킨 벗기면 깔끔하게 예쁘다 싶게 생겼어요^^ 적절한 가격에 좋은 물건 잘 샀어요 잘 써볼께요!","['https://phinf.pstatic.net/checkout/20200825_210/1598318601070JeIdE_JPEG/review-attachment-ee6a97a9-e7e0-44cf-911c-57800c21cd37.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_172/1598318601142HQ1Bi_JPEG/review-attachment-669d7d50-41ea-44d3-993a-8f48e4a14350.jpeg?type=f287']"
4,"일단 배송이 빨랐습니다. 목요일 오후 3시에 주문했는데, 토요일 오후 2시에 받았습니다. 일단 제품은 만족합니다만. 아마 환불처리 되었던 제품인가? 하는 느낌을 받았습니다. 밀봉 테이프가 두겹이더라고요. 그리고 키 몇 개는 다른 키에 비해 약간 떠보이긴 합니다. 그래도 가격대와 괜찮은 마감처리, 키에 문제는 전혀 없어서 그냥 사용하려고 합니다. 그리고 또 소음이 적다고 적축을 샀는데, 이거 사무실에서도 사용가능한 정도의 소음이라고 했거든요? 아닙니다. 기계식은 어디까지나 기계식입니다. 이거 타건소리 꽤 큽니다. 회사에서 쓰면 바로 뺨 맞는 각입니다. 개인 공간에서 사용하시는걸 추천드리고 블루투스 연결 직접해봤는데, 어.... 이거 물건입니다. 어느 가격대에도 이 타건감에 블루투스 페어링 4개짜리 없습니다. 계속 사용을 해봐야 알겠지만, 일단 제품에 만족도는 역대급 입니다.",[]
5,2개째 구입합니다. 사무실에 한게 집에 한개. 타자감 좋고 다른 고가 기계식 키보드 비해 딸리는 점 없습니다. 블루투스 기능도 쓰기 쉽고. 단 스페이스버 길이가 타 규격 키보드 보다 길어서 한영 변롼시 미스타입이 좀 나네요. 적응하면 쉽습니다. 많이 파세요,['https://phinf.pstatic.net/checkout/20200908_237/1599530715122iIId9_JPEG/review-attachment-c323f5b5-932f-498f-bfee-1edde8305cad.jpeg?type=f287']
5,"축을 고르는 키보드 자체를 처음 구매해봤어요
축별로 타건음도 많이 찾아봤는데 적축이 나을것같아서 주문해봤습니다
결론은 만족스럽구요!
저처럼 타건음이나 느낌이 궁금하신분들 위해서 동영상도 찍어봤어요
영상보다 좀 더 차분한? 소린데 영상이 되게 가볍게 찍힌것같아요
아 그리고 블루투스 연결하는데 설명서보고도 조금 ? 애먹었습니다 ㅎㅎ 헷갈렸었거든요
무튼 만족스럽습니다!",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_20_0/ca325bfc-ca4a-11ea-9f28-a0369ff968b0_03.jpg?type=f287']
1,"하... 중고를 보내셨나... 박스상태는 다 구겨지고 테이프는
2장붙어있고 밑에깔린 테이프에는 먼지 잔뜩이고 제품에는 기스많구 고무패킹부분에는 먼지 묻어있고 새제품 맞나요? 일단 제품 자체문제는 없어서 그냥 쓰는데 새제품 제대로 팔아주세요","['https://shopping-phinf.pstatic.net/20190811_24/637c999e-8f0b-473c-8c4c-f0f66eb94da2.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190811_18/95e3dc87-d3b6-4fcd-8587-0592e5edd4b2.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190811_21/e0ac9f67-21e5-4527-bc0e-af0ffef05808.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190811_7/23a6454b-9d0a-4e9a-97b4-3c2670a211b2.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190811_7/768b6b20-2542-4d94-9632-3ded724cc7d6.jpg?type=f287']"
