star_point,comment,photo
5,"먼저 배송이 아주 빠릅니다 ^_^ 하루밖에 안걸렸어요!
아주 만족스럽습니다. 이게바로 서비스죠!

박스부터.
옛날의 무지박스를 버리고(?) 새롭게 상큼한 박스가 도입되었지요!
박스 너무 예뻐요. 저거 계속 쓰면 좋겠어요 ㅋㅋㅋ! 노랑노랑 너무 좋아.

바로 제품이야기 합시다.

먼저 장점~!!!
1. 체리축인데, pbt키캡인데 이 가격! 미친가성비.
10만원 이하에서 만나볼 수 있는 체리축 이라는게 첫번째 강점.
led가 지원이 되지는 않지만 정갈한 체리축이 79,000. 이것만으로 사실 어지간한 키보드는 압살하는 장점이라 하겠습니다. 게다가 키캡은 또 pbt재질. 저렴한 pbt로 보이지도 않아요. 질감도 부드럽고 좋은 느낌을 줍니다. 이정도 가격에 체리축을 썼다고 하면 보통 pbt여도 질이 떨어지거나 abs가 사용 되었거나 둘중 하나일텐데 그게 아니라는게 참 대단해요.

2. 측각임에도 전혀 떨어지지 않는 시인성.
인쇄가 레이저 인쇄에요. 하지만 애초에 측각이기도 하고 그덕분에 손에 닿을일이 정말 손에 꼽아야 하므로 문제되는점은 아닙니다. 게다가 그동안 봐왔던 레이저 인쇄 해놓은 글씨들과는 많이 다릅니다. 글씨가 삐뚤어져있다던가 시인성이 떨어진다던가 뭉개진게 단 하나도 없었습니다. 해상도(?)또한도 굉장히 높게 인쇄되어 작은 글씨임에도 시인성이 아주 높아요. 이게 놀라운 부분. 폰트 자체도 깔끔하여 확인하는데 눈이 피로하지 않습니다.

3. 디자인과 실용성
.
- 상부 : 자칫 밋밋하고 심심해보일 수 있는 블랙에다가 키캡 색깔에 차콜그레이를 부여해서 모던한, 말그대로 현대적이고 세련된 느낌을 주었다고 보여집니다. 인디케이터 모양도 그렇고.. 저는 회사 로고 박혀있는걸 굉장히 거추장스럽게 생각하는 편인데 로고도 키보드랑 일체감이 있게 느껴져서 좋았습니다.
- 하판 : 하판에도 신경쓴 모습이 보입니다. 미끄럼방지 고무가 무려 6개 -_-!! 키보드가 많이 무거운편은 아님에도 불구하고 이 고무 덕분에 밀림이 거의 느껴지지 않습니다. 조절 다리같은 경우도 유격없이 잘 잡혀있고 다리를 펼치고 타이핑해도 소음이 증폭되거나 하는 부분은 거의 느껴지지 않습니다.
- 케이블 : 페브릭케이블이고! '가끔 볼 수 있는 밀도가 있는편인데 정말 의지를 가지고 절대 굽혀지지 않겠다는 의사를 표명하는 그런 케이블'이 아니라 '비교적 유연하게 배치할 수 있는 적당한 유연함'을 갖고있어요.

4. 타건감
이게 정말 핵심인 부분. 왜 이렇게 잘팔리나 알 수 있는 부분입니다.
아주 부드럽고 깔끔합니다. 다른 고가의 키보드와 비교해도 밀리지 않아요. 부드러운데 방정맞지 않습니다.
저같은경우는 갈축인데.. 사실 원했던 축이 품절이어서 고른거지만 체험해보니까.. 이거..!!!
걱정과후회를 날려주는 타건감을 줍니다.
부담스럽지 않고 정말 딱 떨어지는 소리를 냄과 동시에 타건시에 손에전해지는 피로도도 정말 낮아요.
소량이지만 스테빌라이저엔 윤활도 되어있습니다.
정말 체리축을 잘 담아주었다는 생각이 듭니다. 즐거운 타이핑을 하게 해주는 키보드입니다.

그리고 단점~!!
1. 부실한 부속품
설명서와 키캡리무버가 끝. 정말 심플합니다. 키보드루프가 들어있다거나 아니면 리무버가 와이어형이면 좋겠다 싶은데 그것들의 부재가 생각보다 허전함이 있어요. 근래에는 저가제품중에서도 와이어 리무버나 키보드루프를 주는 경우가 많지요.
저같은경우는 그냥 일단 잠깐이라도 자리를 비우면 커버를 씌우면서 사용하는 편인데 덮을게 없어서 다른키보드 커버를 씌우고 있습니다. 여담이지만 플라스틱 리무버같은 경우는.. 키캡을 긁어버리기도 하니까ㅠ 아무래도 잘 안쓰게 되지요.

2. 일체형 케이블
이것도 앞서 이야기한것과 통하는 부분. 본체 디자인 자체도 쓸데없이 튀어나온 곳이 없고 케이블 과 본체가 만나는 부분또한 다행히 쉽게 단선되게 생긴 모양새는 아니지만 아무래도 일체형 케이블인점은 아쉽습니다.

3. 미세한 통울림
미세한 통울림이 느껴집니다. 소음이 적은 축일수록 이 통울림이 부각되어 느껴질 것 같습니다.
흡음제 처리를 하고자 하여도 .... 외부장갑(?)이 보통의 나사조립하는 키보드가 아니죠!
그래서 튜닝시 유격 발생의 우려도 있어 쉽게 조치할만한게 아니니 더 아쉽게 느껴집니다.
물론 이 통울림이 정말로 심하게 거슬린다 느껴질 정도가 아니라는것과 되려 이정도의 통울림을 선호하실 분도 분명 계실것이라는거!


정리
단점도 분명히 있습니다. 하지만 이정도의 제품 퀄리티와 즐거운 타건감을 제공하는 키보드. 흔하지 않습니다. 아니. 거의 탑에 가깝죠.
써보면 후회하시지 않을 것이라 생각합니다.


덧) 타건영상도 찍었는데 링크가 안되는군요 ㅠ_ㅠ..","['https://phinf.pstatic.net/checkout/20200719_159/15950855753763VNKt_JPEG/review-attachment-3732eda0-a351-4d97-93d6-a9a3e14e91b5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200719_202/1595085621779We0t9_JPEG/review-attachment-45a3385e-5e76-4bc0-b9c2-9152d9e56053.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200719_278/1595085649610P6RYA_JPEG/review-attachment-fd342fa1-df33-47f1-a59e-1b4d5339c119.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200718_83/1595056440224pDuf5_JPEG/review-attachment-16e6661b-6636-40c8-a8f5-5b307dc3e866.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200718_41/1595056446218hth2k_JPEG/review-attachment-41448721-a714-4382-ba73-8e67d5590908.jpeg?type=f287']"
5,"생각보다 저렴한 가격이라 고민했지만 딱 받아봤을 때,
느낌은 고급스러운 느낌이 들었습니다.

구성품
할인가 8만원 정도에 키보드, 리무버, 제품보증서로 간단합니다.
개인적으로 루프를 선호하여 조금 아쉽습니다.
다만 이벤트 구성품으로 온 무선충전 장패드는 맘에 듭니다. ^^

외관
무광 블랙이라 . .
하단 기본 고무패킹이 마감이미끄러지지 않아서 만족스럽습니다.
2단까지 높이 조절이 되지만 1단은 살짝 불안한 감이 있었습니다.

통울림
타건할 때마다 통울림이 조금 느껴집니다.
신경안쓰고 있으면 어느정도 괜찮지만 감각이 둔한 제가 느낄정도라
예민하신 분들은 흡읍제 따로 작업하시거나 참고 하시면 될꺼같습니다.

스테빌
윤활작업이 되어있지 않아서 철심소리가 조금씩 들립니다.
예민하신분들은 윤활작업 해주시면 좋을꺼 같습니다.

타건감
전체적으로 느낌이 굉장히 좋습니다. 체리 mx 적축의 느낌 그대로 전해집니다.
플라스틱 마찰 느낌이 없고 키하나하나 누를때의 감각이 살아있습니다.
특히 사각사각거리는 느낌이 굉장히 매력적입니다.

총평
타건의 느낌이 너무 좋아서 다른 단점들은 생각이 안나는 정도입니다.
전체적으로 마감도 훌륭한편이라 만족스럽습니다.
다음 시리즈가 기대가 됩니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_02_18_0/baaca58b-521c-11ea-bc01-505dacfba98a_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200218_178/1582009242331yUSNG_JPEG/KakaoTalk_20200218_155650195_04.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200218_278/1582009242402L81lB_JPEG/KakaoTalk_20200218_155650195_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200218_2/1582009242384NpldP_JPEG/KakaoTalk_20200218_155650195_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200218_203/1582009242355W50cI_JPEG/KakaoTalk_20200218_155650195_02.jpg?type=f287']"
4,"체리 스위치라서 그런지 키감은 가격에 비해서 준수한 편 마감은 크게 흠 잡을데 없고 딱히 메크로같이 잡다한 기능 안 쓰는 사람에게는 추천합니다.

타건시 약간의 통울림이 있으며 키감이 매우 좋다고는 말할순 없으나 가격적으로는 경쟁력 있다고 생각합니다.

체리 스위치에 매크로나 여러가지 기능키 그리고 N키 롤오버를 넣은 키보드들은 10장은 기본이고 약 2배 정도는 들어가니 정말 타건을 위해서만 키보드를 구입하신다면 사볼만 하다고 생각합니다. 물론 기계식 키보드들 중에서도 최상위권쪽 키보드들만 쓰다가 이걸 쓰면 가격을 생각해도 키감이 아쉬운 마음이 들수도 있겠지만 제품 자체는 가격적으로는 정말 괜찮은거 같습니다.

그리고 아쉬운게 키캡 리무버는 좋긴 합니다만... 리무버와 키보드 플라스틱 덮개를 고르라면 주저없이 후자가 나을거 같네요. 리무버가 정말 필요한 분들은 보통 키캡 놀이나 스위치 튜닝을 자주 하는 분들일텐대 청소면에서도 리무버도 좋긴하지만.... 플라스틱 덮개가 여러모로 압승이죠.

장패드 이벤트는 좋았긴 하지만 핸드폰이 무선 충전 기능을 지원 안해서 아는 사람에게 방출했습니다. 그냥 장패드 이벤트를 더 열어주거나 기간을 늘려주는게 좋을거 같습니다.","['https://phinf.pstatic.net/checkout.phinf/20200225_132/1582641481837p6Ifn_JPEG/20200225_233536.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200225_237/1582641481892wUH9r_JPEG/20200225_233406.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200225_30/15826414812576Pmwn_JPEG/20200225_231600.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200225_93/1582641481669EDXUT_JPEG/20200225_233504.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200225_159/1582641480714JgUld_JPEG/20200225_231549.jpg?type=f287']"
5,"CROAD C604 체리미엄 흑축
CRAOD 흑축사기 위해서 몇달을 기다렸구요 기다린보람이 있습니다.
그 이유는 이렇습니다!
1. 측각 키캡
많은 분들이 측각 키캡이 정면 키캡보다 불편하다고 생각하시는데 전혀 그렇지 않습니다. 오히려 더 편합니다.
이유는 책상에 앉았을때 보통 90도 정자세로 앉아있는 사람은 드물죠. 설령 앉는다고 해도 길어도 40~50분? 그 이후에는 엉덩이가 앞으로 빠지면서 동시에 머리도 뒤쪽으로 가게 되죠.
그렇다면 그 시선으로 키보드를 봤을때 각인이 오히려 정면 각보다 훨씬 잘보이게 됩니다. 또한 정면 각인은 키보드를 오래쓰면 지워지는 문제가 있는데 측각은 지워질 문제가 전혀 없죠.

2. 키캡 홈
실제로 '모'사의 청축키보드를 3년간 써왔는데요 키캡홈이 없어 키캡이 노출되있습니다. 처음에는 키캡을 분리하여 사용하나보니 키캡과 몸체의 홈이 없어 키캡이 분리되는 현상이 발생하더군요
실제로 자주 타이핑을 하는 'ENTER', 'DEL' 키는 몇번만 연속으로 눌르면 빠지더라구요. 하지만 CROAD 키보드는 키캡 홈이 있어 캡이 빠질일이 전혀 없을거같네요.

3. 색상
인터넷 사진으로 봤을때는 일반 검은색 느낌이었는데 실물을 받아보니 일반 검은색이 아닌 매트한 검은색에 펄느낌까지 있어 상당히 고급지더라구요. 더러운 제 사무실 책상과는 전혀 어울리지 않을정도로요 ...

4. 때?
저 같은 경우에는 기름?이 많이 손에 나오고 오후만 되면 얼굴이 기름이 많아서 얼굴한번만 지고 키보드를 치면 기름이 묻고 잘지워지지도 않고 번들거려서 외관상 좀 지져분했는데요 CROAD 키보드 써보니 기름진 손으로 만져도
키보드에 티가 안납니다. 사람에 따라 신경을 안쓰는 부분일수도 있는데 저는 상당히 이부분이 만족스럽네요.

5. 키감
흑축을 처음 접해 보는 사람이지만 수많은 기계식 키보드를 써왔기 때문에 5분정도만 키보드 사용해보면 어느 정도의 퍼포먼스를 내는지 알 수있는데요 10만원도 안되는 가격에 이 정도 키감이면 상당히 훌륭한 축에 속합니다.
물론 가격대가 비싸고 좋은 키감을 연출해내는 키보드도 많겠지만 보통 10만원 안팍의 기계식 키보드는 눌렀을때 약간 가볍고 날라가는 느낌?을 지울수가 없습니다. 근데 CROAD 키보드는 이런느낌 하나 없이 묵직하고 안정된 느낌을 주네요.

6. 디자인
요즘 나오는 기계식 키보드들은 LED에 키캡에도 다양한 색을 입혀서 나오는데요 저 같이 사무용으로 쓰는 직장인들에게는 심플하고 느낌있는 이런 키보드가 안성맞춤인거 같아요.
너무 튀지도 않고 그렇다고 촌스럽지도 않고 세련된 느낌을 주는 키보드요.

7.무게감
처음 제품받아서 들은 생각이 키보드 무겁다 라는 느낌을 받았습니다. 남자인 제가 무겁다라고 느낄정도면 것이죠.
근데 오히려 이점이 더 장점이 됬던게 타이핑을 하다보면 키보드가 가벼워 앞으로 밀리거나 옆으로 밀리는 현상이 발생합니다. 실제로 급한 업무를 처리 할 때 키보드가 계속 밀리니 짜증나더군요.
근데 오히려 무거워서 밀림현상이 없고 무선키보드처럼 휴대용의 목적이 아니라 일정한 장소에 두고 쓰는 키보드이기 때문에 오히려 무거운게 장점이 된다고 느껴지네요.

8.판매 홈페이지
저는 네이버 스토어에서 구매를 했는데요 정말 홈페이지에 설명을 잘해놨다는 느낌을 받았습니다. 기계식 키보드에 대해서 모르는 사람들도 고려해야 할 필수요소들만 추려서 장점을 잘 전달하였구요 그림이나 그래프도 포함시켜
시각적으로 어려운 부분을 쉽게 풀어서 설명해놓은것을 봤습니다.
거기에 KC인증이나 기능에 대한 간략설명, 보증기간 연락처 까지 필요한 모든정보를 소비자들이 일일이 서칭하여 찾을필요없을 정도로 완벽하였습니다.

총평: 제품도 물론 좋지만 이런 전자기기를 만드는 회사는 제품에 대한 정보전달력, 고객과의 소통, A/S 등 이러한 제품 외적인 부분들도 신경을 써야 한다고 생각합니다. 그 점에 백점만점에 백점 드립니다.
감사합니다!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_03_0/296793d8-a572-11ea-bf97-505dac8c37f3_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200603_117/1591172020264wXPoK_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200603_197/15911720202737g89E_JPEG/1.jpg?type=f287']"
5,"말로만듣던 체리스위치 체험해보고 알았어요.지금까지사용해봤던 키보드들 잊어버리게 만드는 체리스위치. 키보드 무게도 무거워서 밀리지 않으며 갈축이 부드럽게 잘눌리고 밸런스가 정말잘맞네요. 게이밍 및 타자가 기분좋아지는 키감이고 소음도 크지않으면서 쫄깃쫄깃합니다. c704 키보드라이트들어오는거 사고싶었지만 갈축은 어디나품절.
c604도 측면으로 라이트만 들어온다면 100점짜리 키보드입니다.그래도 키감때문에 너무만족입니다.","['https://phinf.pstatic.net/checkout/20200324_139/1585058137375UjKjU_JPEG/IMG_20200321_152839.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_227/1585058155068hbPGM_JPEG/IMG_20200321_153054.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_15/1585058173246NGDVf_JPEG/IMG_20200321_153133.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_66/158505818306834UCi_JPEG/IMG_20200321_153223.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_171/1585058197786Y9s40_JPEG/IMG_20200321_153547.jpg?type=f287']"
4,"1. 포장/배송
- 배송포장은 만점
- 박스 포장은 4점 봉인 씰과 더스트 루프가 제공 되었으면 하는 아쉬움이 있습니다.

2. 키감/성능
- 은축 리뷰에서 전반적인 이야기를 풀었기 때문에, 적축에 대해서만 이야기 하면, 적축은 사무실에서 사용해도 될 정도의 소음을 가지고 있기 때문에 많이들 선호하는 축입니다
- C604에서 적축을 선택하면 스테빌라이져 소리가 귀에 들어올 수 있습니다. 그 때는 가볍게 윤활해 주면 해결 됩니다. 조금 시끄러운 환경에 근무 하시거나, TV나 라디오를 켜고 타이핑한다면 귀에 들려 오지 않을 정도의 소리이니 민감하지 않으신 분들은 패스!
- 상당히 부드러운 키압으로 셋팅되어 있어서, 장시간 타이핑 시에도 손에 피로가 없습니다.

3. 총평
저소음 적축으로 가기가 가격적 부담이 되는 분들은 적축으로 가는게 더 이익이라고 생각합니다. 저소음 적축은 소리를 줄이기 위해 적축보다 좀 먹먹한 키감으로 키압이 높다고 생각하는 분들도 있기 때문에~ 전 키감으로는 적축을 더 선호하는 편이고, 기본적으로 윤활이 되어 있지 않은 기성품은 어느 스위치를 선택하든 약간의 소음은 발생합니다.

모든 구성품들이 꽉 차게 설계 된 하우징을 보면서 다음 세대의 체리미엄은 사고를 낼 수도 있겠구나 하는 기대감을 가지게 하는 제품이었습니다.
여기에 흡읍제 추가와 스테빌 윤활작업까지 한 모델이 출시되면 만족도는 더 올라 갈 것 같습니다.
이미 토체프 토체티라는 제품이 있지만 사실 씽크웨이의 오리지널이 아니기 때문에 오리지널 체리미엄에 성장을 기대하며 리뷰를 마칩니다.","['https://phinf.pstatic.net/checkout/20200215_264/1581733533720Ul0rG_JPEG/20200215_021238.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200215_225/1581733533605SJC7J_JPEG/20200215_021317.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200215_182/1581733533485WmbqN_JPEG/20200215_021327.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200215_110/15817335334704WpgC_JPEG/20200215_021443.jpg?type=f287']"
5,은축이 적용된 체리식 기계식 키보드를 검색하다가 가성비가 괜찮고 평도 괜찮아서 쓰게 되었습니다. 일단 처음 썻을때는 타건감이 참 좋다. 소음도 심하지 않다. 였습니다. 은축이라서 확실히 타건이 익숙하지 않아서 오타가 자주 나더군요 다른 축보다 타건시 빠르게 입력되는 느낌입니다. 이제 익숙해져서 타이핑하는게 재미있습니다ㅎㅎ 가끔 오타 날때 다시 확인할때 측각이어서 확인하는게 조금 불편한게 있지만 가성비와 디자인 면에서 훌륭해서 만족합니다! 같이 온 손목 보호대도 퀄리티가 좋아서 사은품이 아니라 추가로 구매한 느낌이었어요. 약간 휘어 있어서 움직였는데 반대로 살짝 구부려서 사용하고 있는데 잘 되네요ㅎㅎ 아쉬운점은 커버가 없다는 점 인데 가격을 생각하면 괜찮았고 따로 사서 사용하고있습니다.,"['https://phinf.pstatic.net/checkout/20200622_189/1592754939568apoiS_JPEG/KakaoTalk_20200621_233101152_20.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200622_124/159275494927831jOq_JPEG/KakaoTalk_20200621_233101152_11.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200622_114/1592754957418APKX2_JPEG/KakaoTalk_20200621_233101152_01.jpg?type=f287']"
5,"처음엔 청축을 구매하려다가 없어서 여기저기 검색하다가 저소음 적축이 키감이 쫀득쫀득하다고 해서 구매해 봤어요
키캡 이벤트 하길래 리뷰 써볼게요

1.키감 말 그대로 쫀득쫀득 쫀쫀해요 청축의 그 걸림을 원하시는 분들은 마음에 안드실 수 도 있는데 엄청 부드럽고 키압도 낮아서 장시간 타이핑 하시는 분들이나 키를 여러번 자주 눌러야 하는 게임 하시는 분들 추천드려욥

2.소음 저소음적축이라 . 원룸 생활해서 타이핑 소리도 옆집에 피해갈까 조심스러운 저에게 좋네요

3. 완전 무난하구요 미니멀한거 좋아하시는 분들 추천드려요","['https://phinf.pstatic.net/checkout/20200218_225/1582008686357BagHs_JPEG/20200218_154752.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200218_150/1582008679316lT1XU_JPEG/20200218_154812.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200218_149/1582008662519tFGLX_JPEG/20200218_154835.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200218_175/1582008671902N80H3_JPEG/20200218_154819.jpg?type=f287']"
5,"1. 포장/배송
- 작년 부터 단골 스토어로 지정해서 간간히 구매해 왔는데, 배송 포장에서 실망을 준 적이 없었던 씽크웨이~ 이번에도 배송과 포장이 깔금하다.
그리고 배송도 빠름! 포장배송은 5점

2. 디자인
- 정말 오랜만에 고정형 케이블이라 조금 신선하기 까지 했던 첫 인상, 리뉴얼(박스포장) 되기 전에 모델도 사용했었기 때문에 두 번째지만, 왠지 처음 본 거 같은 디자인에 눈이 갔다. 키캡의 색깔이 일반적인 검은색이 아니라서 처음에는 이질감이 느껴질 수가 있다. 하우징 보다 두드러지는 느낌이라 하지만 시간이 지날 수록 밋밋한 올 블랙 보다는 키캡의 색상을 달리한 C604가 좀 더 눈이 가는 그리고 어색했던 측각도 질리지 않고,

3. 키감 /성능
- 청축은 예전부터 써 왔기에, 적축/ 갈축/ 은축을 한번에 구입했다.
- 기본 하우징과 기본 키캡 기준으로 만족도를 이야기 하면,
청축과 은축이다. 청축과 은축은 스테빌라이져 소리도 조금 묻히는 편이고 하우징과의 궁합도 상당히 좋은 편이다.
별도의 흡읍 작업을 추가로 해주지 않는 일반 사용자의 입장에서는 청축과 은축을 추천한다.
- 적축과 갈축의 경우 윤활 되지 않은 스테빌라이저의 소리가 귀에 들어오기 시작하므로 이 소리가 신경 쓰이는 분들은 윤활을 해주자
갈축과 적축은 이 모델에 한해 아주 부드러운 키감을 가지고 있는데, 체리 MX 스위치의 특성을 잘 모르는 분들에게는 문제 될 것 없지만, 스위치별 특유의 감성을 알고 구입하는 분에게는 기본 옵션 만으로는 만족도가 조금 떨어질 수 있다. LP 키캡으로 변경하면 좀 더 키감을 극대화 할 수 있을 것 같은데, 문자열은 괜찮지만, 스테빌은 소음이 올라오기 때문에,
경우의 수를 따져 시도해 봐야 할 것 같다.
타이핑과 실사용에 있어서는 부드럽고 낮은 키압을 좋아해서 기본 키캡으로도 . 단지 좀 심심할 뿐.

4. 은축
- 스피드 은축은 생각보다 까다로운 스위치로 너무 단단하 하우징과 낮은 프로파일이 만나면, 빠른 타이핑시 반반력이 극대화 되어 팅팅 거리고, 너무 헐렁한 하우징과 높은 키캡이 만나면 그 특유의 쫄깃하고 찰진 맛이 사라진다.
- 개인적으로 그 중간 정도의 키압과 살짝 풀어진 듯 경쾌한 타건감을 좋아하는데, 어, 의외로 이 제품이 기성품 중에서는 그나마 손을 때리는 반발력 없이 경쾌한 타건을 할 수 있는 제품이다. 그래서 개인적으로 은축 키감은 5점이다. 플라스틱 하우징만의 감성도 살아있고

5. 총평.
- 사실 별 튜닝 없이 사용하기에는 청축이 제일 무난해 보이지만, 많은 분들이 높은 소음을 유발하는 청축을 꺼리기에 적축/갈축을 많이 찾는다.
은축은 청축보다는 조금 조용하고, 적축 보다는 재미있는 키감을 가지고 있기 때문에 좋은 선택지가 될 수 있다.
- 단, 적축보다 짧은 스트로크를 가지고 있기 때문에 게임용으로는 비추이며, 빠른 타이핑을 원하는 분에게 추천 . 은축에 적응만 하면 누구보다 빠르게 타이핑 할 수 있습니다.","['https://phinf.pstatic.net/checkout/20200215_59/1581731671819m1PzL_JPEG/20200215_015653.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200215_92/1581731671750Efjfb_JPEG/20200215_015729.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200215_183/1581731671549pTJYe_JPEG/20200215_015922.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200215_26/1581731671510sFqlO_JPEG/20200215_015934.jpg?type=f287']"
4,"구성품: 본체, 키캡리무버, 설명서

마감: 다른 부분은 큰 문제가 없지만 직조선은 아쉽습니다. 자아를 가진 것처럼 절대로 펴지지 않겠다는 강한 의지를 가진 선입니다. 직조선도 튿어진 부분이 있어서 아쉽습니다. 라이터로 지지면 되긴하지만 ""QC에서 잡아낼 수 있지 않았을까?""라는 생각이 남습니다.

소음: 저소음적축을 처음 사용해보는 데 멤브레인이나 높은 펜타그래프와 비교해도 조용합니다. 흡음재가 없어서 그런지 통울림이 살짝 느껴지는 것 같은데 이부분은 플라시보인지 아닌지 알 수 없습니다. 스테빌 윤활은 가격대를 생각하면 꽤나 괜찮은 편입니다. 굳이 윤활에서 아쉬운 점을 이야기하면 쉬프트 스테빌은 .

키캡: 측각을 처음 사용해서 불편할 거라고 생각했는데 생각보다 거슬리지 않았습니다. 키보드를 보면서 타자를 치지않아서 크게 불편하지고 키보드가 단정하고 깔끔해보여서 만족합니다.

높이조절: 높이를 조절하지 않고 사용해도 크게 불편하지 않은 높이입니다. 2단은 저에게 너무 높아서 불편했습니다. 사은품으로 보내준 팜레스트를 쓰면 높이 1단이 가장 편했습니다.

결론: 이 가격대에 측각 저소음적축을 쓸 수 있다는 점은 만족하고 다른 분들에게도 추천합니다. 하지만 직조선이 살짝 거슬리긴 합니다.",['https://phinf.pstatic.net/checkout/20200528_133/1590650887191bEwch_JPEG/KakaoTalk_20200528_162707356.jpg?type=f287']
