star_point,comment,photo
5,"기존에 풀사이즈 매크로 키보드를 사용하고 있는 상황에서 책상 위를 조금 더 심플하게 사용하고자 텐키리스 키보드를 장만했는데요

터치패드 제품도 준비해보고 해외 제품이나 다양한 텐키리스를 사용해봐도 평소 숫자를 오른손으로 치던 습관이 남아있어서 애매한 상황이 자주 발생했습니다

씽크웨이 CROAD K20 제품은 숫자패드 뿐만 아니라 매크로 버튼으로 전환해서 숫자키를 사용하면서도 내가 원하는 매크로를 녹화하고 편집할 수 있어서 좋더군요

단순 숫자키만 사용할때는 블루투스로 연결해서 무선의 자유로움이 있으면 어땠을까 싶기도한데 유선이라도 숫자패드 크기만 따로 떨어져 있으니까 오른쪽/왼쪽 아무대나 배치해도 되고 선이 허용하는 길이 내에서 여기저기 놓고 쓰기가 좋았습니다

저는 청축을 선택했는데 가볍게 차각거리고 눌리는 느낌이 좋았고요

동봉된 케이블 이외에 단순 C타입 데이터 케이블을 연결해도 동작에 문제가 없었는데 선에 여유를 두고 싶다면 따로 케이블을 연결해서 사용해도 무방해보입니다

Num에 LED 밝기 조절이 안되는건 업데이트가 되면 괜찮을것 같고 의외로 프로그램이 영문이라 좀 당황스러웠던걸 빼면 전반적으로 키감이나 사용성에 있어서 매우 만족스러웠습니다

특히 매크로를 잘 모르는 사람들도 평소 내가 클릭하고 타이핑하던 그대로 움직이는 입력값을 녹화해서 그대로 재생할 수 있으니까 지식이 없는 사람도 쉽게 접근할 수 있는 부분이 장점인것 같고요

키를 누르고 있는 방식에서 딜레이 계산이 꼬이기는 하는데 단순 키 입력 부분에서는 긴 타이핑도 문제 없이 녹화가 되고 천천히 녹화했다가 딜레이 총량을 줄여서 아주 빠르게 만드는 틱톡같은 기능? 이게 참 좋았습니다

프로그램 버전업을 하게 된다면 항상 위 체크를 사용자가 선택할 수 있게 되거나 FN+조합키를 따로 설정할 수 있게 해주면 숫자패드 상태에서도 훨씬 편하게 사용할 수 있지 않을까 싶습니다

이중사출 키캡, 오테뮤 투명 축, 매크로 기능, 전용 프로그램, 입력 녹화, 키 구분감이 확실한 스탭스컬쳐2, 복잡하고 정교한 자동사냥까지는 안되지만 단순 입력 반복이나 단축키 조합으로 원키 실행이 가능해서 업무적인 단축키나 게임 안에서 특수한 단축키를 쉽게 불러올 수 있는 부분 등

K20 덕분에 단축키 부분이 아주 편해졌습니다

저는 매크로에 아예 숫자키를 전부 박아넣고 상단 1줄에 사용할 매크로를 넣어서 쓰고있는데 프로필 전환 방식으로 방향키와 숫자키를 쓰는게 생각보다 되게 편하네요

키패드에 매크로 입력해두면 프로그램 실행 없이도 그냥 원키 실행되는 부분도 칭찬합니다

프로그램 한글화나 옵션 선택같은 편의성만 조금 더 개선되면 약간의 아쉬움도 없는 제품인것 같습니다","['https://phinf.pstatic.net/checkout/20200404_110/15859775766487Kczb_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200404_198/1585977576561f1D0w_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200404_119/1585977577196MMTfL_JPEG/3.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200404_53/1585977576187hBHWU_JPEG/4.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200404_227/1585977574907wo6RP_JPEG/5.jpg?type=f287']"
4,"일단 회사에서 키패드 사용이 필요 + 왼손 활용도를 높이기 위해 구매를 하였습니다.
타자소음을 줄이기 위해 적축을 구매하였는데, 기존 쓰고 있는 엠스톤그루브 키보드의 적축을 생각했었는지... 그보다는 약간은 가벼운 청축스러운 타건감입니다. 제품은 매크로를 입력하여 사용할 수 있는데 아직 매크로 기능은 사용하지 않았습니다. 활용도가 높을 것으로 생각이 됩니다.

한가지 아쉬운점이 있습니다.
제품이 처음 도착했을 때 유첨된 사진과 같이 별도의 씰처리가 되어 있지 않고 그냥 박스로만 와서 쉽게 열어볼 수 있었습니다. 물론 물건을 개봉했을 때 사용감은 없었지만, 그래도 확실한 제품 보증을 위해서는 별도의 실링 처리가 필요하다고 생각이 됩니다.

타건감만 더욱더 묵직하다면 정말 더할나위 없이 좋은 키패드가 될 것 같습니다. 한달 사용기에서 매크로 사용까지 완료해보고 더 사용기에 대해 적어보도록 하겠습니다 ^^ 감사합니다.
( 확실히 이 키패드를 구입하고 나서 업무 생산성은 더욱 향상 되었습니다. )","['https://phinf.pstatic.net/checkout/20200301_271/1583074761194Gyr4b_JPEG/20200225_131207.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200301_129/1583074770385vm4BD_JPEG/20200225_131216.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200301_58/1583074791291wDi95_JPEG/20200225_131226.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200302_67/1583074803087rIRrS_JPEG/20200225_131236.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200302_35/1583074815709g4oqG_JPEG/20200225_131150.jpg?type=f287']"
3,"포장의 완충 상태가 매우 양호하다는 점이 마음에 들었습니다. 케이블은 연경 방식이 c type이라는데에 의미를 뒀기에 케이블 자체 품질은 그냥 뻣뻣한 슬리빙 생각하시면 될겁니다. 고가형이 아니다 보니 이는 당연한 얘기이겠습니다. 길이는 적당한 듯 합니다.
다만 불편한 점이 크게 세가지 정도 있는데 첫번째는 조금 사소할 수도 있으나 밑면의 미끄럼 방지 패드가 일반적인 기계식 키보드에서의 네모 형태가 아닌 볼록한 형태로 각 모서리에 달려있는데 이게 조금 말랑하다보니 esc키 등 테두리쪽의 키를 세게 누르면 키패드 자체가 흔들리는 현상이 있습니다.
두번째는 키캡 프린팅입니다. 이중사출로 led 투과가 되는 부분이 아닌 fn 할당 기능을 표시한 각인이 레이저 프린팅인듯 한데 이것까지 이중사출이거나 염료승화이길 바라는건 욕심이겠습니다만 레이저 프린팅 중에서도 좀 거칠게 손에 느껴지는 것 같습니다. 물론 개인적인 생각이고 이런부분에 예민하지 않으시다면 별 상관이 없으실 수도 있습니다. 저는 개인적으로 0키에 creative thinking이라고 각인된 부분이 너무 까끌거려서 차라리 출력이 안되어 있었으면 했습니다.
마지막으로 이게 가장 치명적이었는데요 분명 저는 텐키리스 키보드를 사용하면서 이를 보완하기 위해 엑셀 작업등에 쓰려고 텐키패드를 구매한 것입니다. 하지만, 한글 내 수식입력기 등 일부 상황에서 숫자 입력이 불가능 했습니다. 아마도 텐키패드이지만 기능키를 같이 넣고 하면서 일반적인 숫자와 입력이 조금 다르게 인식되나봅니다. (동일 상황에서 메인 키보드의 숫자키는 잘 입력되었습니다) 매크로 기능 넣고 이런저런 기능 있는거 매우 좋지만 아무래도 텐키패드 기본의 기능에 문제가 있다는 점이 가장 아쉬웠습니다.","['https://phinf.pstatic.net/checkout/20200517_19/1589716151788DzzOY_JPEG/20200511_025312.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200517_177/15897161518817kLy3_JPEG/20200507_181008.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200517_119/1589716152013LWenr_JPEG/20200507_181216.jpg?type=f287']"
4,"장점
1.빠른배송
2.잘 싸여진 포장
3.유선 및 기계식인 점으로 인한 안정적인 타이핑
4.매크로 기능은 사용하지 않지만 어쨌든 기능이 있다는점
단점
1.가격이 조금안 더 보태면 싸구려 풀배열 기계식 키보드를 살 수 있다는 점.(매크로 기능이 필요없다면 굳이 이 제품을 사실 필요가 없습니다.)
2. 여타 키보드와 같이 키보드가 높아 업무상 숫자키패드를 자주 사용하는 나람들에겐 어울리지 않음.","['https://phinf.pstatic.net/checkout/20200830_105/1598752887412HFP2K_JPEG/review-attachment-c600f3fc-7810-402a-9efa-c166ba1a2a31.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200830_251/1598752887627Djod9_JPEG/review-attachment-c6955237-c610-4d92-860f-48e15f1208b4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200830_103/1598752888003vdRTJ_JPEG/review-attachment-9f68e299-ee97-4808-aa29-04b8130fdbb0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200830_75/1598752888109vs1fJ_JPEG/review-attachment-94ee57b0-dc26-4661-a999-d3564f324505.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200830_227/1598752888534bKXie_JPEG/review-attachment-09d3ea16-6a6c-431d-bdcc-e9b8b50fb584.jpeg?type=f287']"
4,"텐키리스 키보드 쓰고 있어서 숫자로 작업할때 많이 힘들었는데 알아보다가 적당한 가격에 좋은 물건 있어서 구입하게 됐네요^^
그런데 좀 아쉬운 것이 봉인라벨이 없어서 이게 새 제품인지 아님 반품된 제품을 재포장한건지 알수가 없어서 신경이 쓰이네요
이 부분을 제외한다면 괜찮은 것 같네요
사진 첨부합니다^^","['https://phinf.pstatic.net/checkout/20200918_21/1600430694423qEXiY_JPEG/review-attachment-af209189-3a49-4474-b1f9-cd0c38410947.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200918_205/1600430694490LlnHQ_JPEG/review-attachment-4c69b2e9-e907-45ca-b0d1-625f9741bb8a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200918_290/1600430694575j4IHj_JPEG/review-attachment-832b1feb-7231-4db4-b4a7-5ed60288d6c7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200918_75/1600430694617eX2wc_JPEG/review-attachment-d085abd9-0645-4c14-8201-ff4cc80887ac.jpeg?type=f287']"
4,"하드웨어 매크로 맞고 사무용으로 구매했습니다.
사무용 프로그램에 단순 반복작업때문에 구매했고
소프트웨어 매크로 프로그램 10여개 사용해보려했지만 사무프로그램과 소프트웨어가 자꾸 충돌나서 하드웨어 매크로가 필요해 구했습니다

청축으로 구매했는데 확실히 키감의 딸깍거림도 청량감이 있고 소리가 크네요. 매크로도 잘 동작합니다.

다만 듀얼모니터에서는 마우스 포인터 위치가 어긋나는 점이 있고 매크로 편집 시 명령라인을 복사붙여넣기가 불가해서 스크립트 짜기가 번거로운 점은 있네요

led등이 직관적이라 좋았습니다.

소프트웨어적으로 펌웨어가 조금 더 개선되서 올라간다면 아주 좋은 매크로 키보드가 되지 않을까 생각이 듭니다.","['https://phinf.pstatic.net/checkout/20191206_212/1575618904829K8FfT_JPEG/20191205_152906.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191206_157/1575618912407JznCf_JPEG/20191205_152950.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191206_58/15756189203694P8XW_JPEG/20191205_153239.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191206_71/1575618926623uASht_JPEG/20191206_164456.jpg?type=f287']"
5,"기존에 사용중이던 텐키패드가 키씹힘+이중입력 현상이 생겨서
텐키패드 알아보던중 괜찮아 보이길래 구매했습니다.
매크로 기능도 있다길래 설정 해보니 쉽고 사용하기 편하네요~
평소 반복해서 사용하던 작업을 매크로 설정만 잘 해두면 활용성이 정말 무궁무진하다고 생각되네요.
다만 매크로 사용하다 숫자패드로 다시 쓰고싶을 때
변환 스위치가 키패드 하단에 있어 자주 바꿔쓰기엔 불편함이 있네요.
또 키패드 하단 미끄럼방지 고무(범폰?)가 좀 높고 미끄럼 방지력이 좀 약해요 ㅠ
위 두가지만 빼고는 키감도 좋고 디자인도 상당히 깔끔하고 이쁘고~
매크로 기능도 잘 작동해서 좋네요!
잘 쓰겠습니다!","['https://phinf.pstatic.net/checkout/20200517_174/1589655975243CDrJO_JPEG/KakaoTalk_20200517_034843165.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200517_66/1589655986670AYyjE_JPEG/KakaoTalk_20200517_034840899.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200517_73/15896559896998imCH_JPEG/KakaoTalk_20200517_034839442.jpg?type=f287']"
5,"배송이 늦었지만, 사은품이 늦어져서 그러셨다고해서 기다렸습니다. 텐키리스 키보드 사용중인데, 작업할때는 숫자 키패드가 필요해서 구입했습니다. 숫자 키패드 알아보다가 웨이코스 씽크웨이 K10 제품이 유명하다고해서 구경하다 마침 K20이라는 신모델을 출시한다고해서 나오자마자 구매했습니다. 직접 사용해보니 작업할때는 숫자키패드가있어서 매우 편리하고 또 필요없을땐 텐키리스만 사용하구요. 게다가 매크로기능까지 있어서 활용범위가 무긍무진하네요 LED기능도 있고 아주 좋습니다. 그리고 제가 매크로 기능 여러가지 테스트도 해봤는데 정상적으로 잘 구동되네요 제가 즐겨쓰던 축인 갈축이라 키감도 좋구요. 사은품으로 키보드마우스까지.. 감사합니다!!","['https://phinf.pstatic.net/checkout/20191129_273/15750019202052tk1x_JPEG/KakaoTalk_20191128_195430319_04.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191129_247/1575001923361O1RDw_JPEG/KakaoTalk_20191128_195430319_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191129_281/1575001940856Rxb0v_JPEG/KakaoTalk_20191128_195430319_05.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191129_179/1575001940800tCoDA_JPEG/KakaoTalk_20191128_195430319_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191129_51/1575001940729dWEsx_JPEG/KakaoTalk_20191128_195430319_02.jpg?type=f287']"
5,"작업하면서 단축키를 자주 누르다보니
건초염이 와서 알아보다 구매했어요.
저소음 키보드를 사용중이라 갈축과 적축중 고민하다
적축구매하였는데 약간의 정말 거슬리지 않을 정도의 딸깍 소리는 나는데 키감이 정말 부드럽고 적은 힘으로도 잘 눌려저서 좋은것 같습니다.
매크로시 설정되어있는 키에만 라이트가 들어오고
라이트 밝기도 설정 가능해서 편하네요.
생각보다 마감처리도 좋아서 내구성은 문제 없을 듯 싶구 약간 묵직한 무게감고 안정적이네요.

배송 도착 예정일에 딱 맞춰 와서 일정 맞춰 사용할 수 있었습니다.",['https://phinf.pstatic.net/checkout/20200903_143/1599141619523uysKL_JPEG/review-attachment-3c73c9de-c7fb-48ef-9aa6-4b2d2d7750db.jpeg?type=f287']
5,"구매한 당일날 방문수령으로 수령했습니다.
택배도 다음날 도착으로 예상 되었지만 빨리 쓰고파 받으러갔는데 이시간이 아깝지 않았네요. 집와서 개봉후 바로 사용해봤는데 이가격에 이정도면 갓성비 제품같아요. 차량으로 방문하시는 분들은 매장앞 주차안되시니 1분거리에 잇는 공영주차장 검색해보시고 다녀오심 될듯합니다","['https://phinf.pstatic.net/checkout/20201105_297/16045077840836kkHT_JPEG/review-attachment-e2faa6d7-23b3-4edd-8a75-bba5ac43a229.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201105_105/1604507783965GzvlR_JPEG/review-attachment-a419f2a6-c02e-4544-8aac-aa34e24b3eed.jpeg?type=f287']"
