star_point,comment,photo
5,토요일에 시켰는데 월요일 낮에 바로 받았어요! 키보드도 무게감이 있어서 밀리지 않고 좋아요~ 색상도 맘에 드네요! 자판도 잘 눌리고 하자 없는거 같아서 마음에 들어요 :)겸사 겸사 리뷰로 마이크도 시켰는데 생각보다 작아요. 아직 써보지는 않았는데 괜찮으면 선물하려고 합니당!,"['https://phinf.pstatic.net/checkout/20200727_92/1595823517570VW7RT_JPEG/review-attachment-db13bbb7-f0ab-4718-a5ec-f6b84d5dd562.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_216/1595823517734zJ9NI_JPEG/review-attachment-dd40da27-c61e-4bd5-b861-0a93a7befa1e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_146/1595823517669iltMs_JPEG/review-attachment-85bfcba8-7f6c-46ad-a3c4-8e73fa5ecedd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_85/1595823517897Cg5SG_JPEG/review-attachment-979a4add-6018-416c-9400-1ee05795a67a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_172/1595823631629eCLRQ_JPEG/review-attachment-c4a286e9-e04a-4d5b-831d-8e235de1e7f6.jpeg?type=f287']"
5,"이 전에 청축 게이밍 맥스틸 키보드를 5년이나 썼는데 ... 이 친구는 대체 무슨 축이죠 ? 하여간 되게 조용한게 키감이 아주 낯설고 기분 좋아요 리뷰도 길게쓰고 싶어지는 느낌 ...
처음엔 디자인 + 가성비 오져서 주문했는데 알고보니 지인들도 구매했던 키보드라 좀 더 정이 붙더라구요 !
아 근데 진짜 막 나는 게임 리그나갈거다 프로할거다 이런 마음가짐이 아닌이상 딱히 게이밍용 20~30만원대 키보드를 굳이 살 건 없다고 생각해서 아주최고짱짱 마음에 듭니다
솔직히 이 전에 5년동안이나 같은 키보드를 써서 새로오는 키보드가 마음에 안 들거나 낯설까봐 걱정했는데 딱히 그런건 걱정 안 해도 될것같아요 고장나면 다음에도 구매할 의향 만땅입니다
헤드셋은 앱코 키보드는 제닉스 마우스는 로지텍이 국룰인거같아요 ...",['https://phinf.pstatic.net/checkout/20201112_25/1605178457043ahiLD_JPEG/review-attachment-2cc44510-c176-4861-a970-c31d1d5ef23c.jpeg?type=f287']
5,"정말 대만족입니다.
게임을 하지 않고 찰칵거리는 소리에 싫증난 상태이기에 그런지 더 좋은것 같습니다.
제가 구매하고자 했던 조건은
1. 3만원 이하.
2. 무게감이 있어 키보드가 쉽게 밀리지 않아야 함.
3. 기계식 적축이든 멤브레인이든 시끄럽지 않아야함.

3만원짜리 앱코 키보드 사이에서 많이 고민했었는데 키가 안먹히는 경우가 왕왕 발생한다는 평이 많기에 바로 손절하고 이걸로 구매했습니다. 정말 만족스럽네요. 기존에 제닉스 스톰 기계식버젼을 사용하다가 해외에 두고 돌아와 새로구매한 것인데도 꿀리는 것 없이 정말 만족스럽습니다.게다가 동시입력은 기계식에서만 가능한것인줄 알았는데 이것마저 가능하니 이런 팔방미인이 따로 없습니다. 기계식에 싫증나시고 게임 안하시는 분들은 이만큼 좋은 키보드가 없는것 같습니다. 정말 부드러운 키감에 묵직함, 동시입력까지.. 조용한 사무실에서 쓰기에 최고가 아닐까 싶네요.

원래 포인트만 받고 대충쓰는데 주절주절 썼습니다. 많이 파세요. 감사합니다.",['https://phinf.pstatic.net/checkout/20200827_122/15984679588808YpDl_JPEG/review-attachment-ddb69941-9fcc-45c3-893c-e17dbf0c3d40.jpeg?type=f287']
4,"되게 예전에 선물로 사줬을 때는 화이트 색상밖에 없었는데 이렇게 세월의 흐름을 느끼네요! 원래 쓰던 건 기계식 청축이었는데 그거랑 비교했을 때 확실히 비슷하게 묵직해서 안정감 최곱니다. 거의 5-6년 전에 사줬던 것도 지금까지 멀쩡히 잘 굴러가고 있대서 내구성도 걱정은 안 됩니다:)

개인적으로 LED 단일 색상으로 들어오는 걸 선호해서 그 부분도 맘에 들지만 밝기를 최대로 올려도 흐린 감이 있어요. 보통은 쨍하게 밝은 느낌인 아쿠아가 딱 적당하게 잘 보입니다.

멤브레인이라 소음 면에선 확실히 청축보다 나은데 청축 특유의 타자음을 좋아하는 분이면 호불호가 갈리실 거 같지만 이 나름대로 치는 맛은 충분히 있어요.
솔직히 이 가격대가 멤브레인으로 이만한 퀄리티면 정말 !",['https://phinf.pstatic.net/checkout/20200827_28/15984973137897DfM6_JPEG/review-attachment-81236349-5f88-47e0-9046-e59c712dc99a.jpeg?type=f287']
5,"무광블랙 간지나서 넘좋구요.
사무실용으로 쓰기엔 딱인것 같습니다.
멤브레인이라 소리도 달각달각 나는게 너무시끄럽지도 않고 좋아요.
처음 세팅할때 한영키때메 좀 애먹긴 했는데 여차저차해서 세팅잘했습니다.
다만 정전기가 자꾸나는데 동봉된 필름붙여도 한계가 있네요..같이파는 키스킨도 옆에는 커버가 안되어서 자꾸 감전되는 느낌이에요.
진짜 전용 키스킨만 있었으면 별 5개만점에 10개라도 줄수있어요,,,","['https://phinf.pstatic.net/checkout/20201117_179/1605551062665I674M_JPEG/review-attachment-8e58d662-fede-4a6c-b179-15758140222c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201117_3/1605551076612rOTQJ_JPEG/review-attachment-c23dad0c-d9ba-4474-ba58-c41abe4272b7.jpeg?type=f287']"
4,"제가 2016년에 구매한 동일제품에 비해서 완성도하고 마감이 좋아졌네요
그리고 블랙의 프레임이 옛날에 구매한거는 약간 푸른빛이 돌았는데, 이번에 구매한 제품의 프레임은 약간의 붉은빛이나 푸른빛이 돌지 않고 딱 검은색만 보이는 느낌이라 좋네요
스테빌에 윤활이 되어있는건지, 유격이 없어서 그런건지 모르겠지만 스테빌 소음이 잘 잡혀 있습니다
키감은 조용하면서 서걱거리는 감이 있네요
옛날에 구매했을때도 키감이 굉장히 좋다고 느꼈는데, 지금은 더 개선된듯 합니다
좀 쓰다보면 키감이 바뀔지는 써봐야 알 듯 합니다
키캡은 이번제품도 오래쓰면 반질반질할지는 좀 써봐야 알 것 같네요
옛날에는 게임용으로 썼었는데, 현재는 회사에서 문서작업용으로 잘 쓰고 있습니다","['https://phinf.pstatic.net/checkout/20200716_242/1594829738355eoyTU_PNG/review-attachment-6beee52f-51e9-443b-8600-3851f3193e8f.png?type=f287', 'https://phinf.pstatic.net/checkout/20200716_44/1594829738278iLMzc_PNG/review-attachment-81bd83fe-6184-461e-8209-4c8958785392.png?type=f287']"
5,"배송도 빠르고 제품도 에어캡 포장은 아니지만 다행히 어디 손상 되지 않게 잘 도착했습니다.
키보드에 먼지 쌓이는걸 싫어해서 키보드 만능 키스킨도 같이 구매했는데 정말 키보드의 키 부분만 다 덮어주네요.
소음도 없고 나쁘지 않은데 씌우고 사용하기에는 불편할것 같아서 저는 먼지 쌓이는거 방지하는 용도인 덮개로 사용하려 합니다.
제닉스 타이탄 키보드 3년전에도 실버 색상으로 한번 사용했었는데요. 그때는 키보드의 테두리 부분으로 전류가 너무 많이 흘러 찌릿찌릿 하는 정도라 결국 버리고 다른 제품으로 사서 사용중이었는데, 게임을 자주 해서 그런지 2년만에 키 몇개가 인식이 잘 안 되서 다시 타이탄으로 구매했는데 이번에는 집도 이사하고 그 사이 절연방지 필름이란것도 같이 동봉이 되어 있어서 그것까지 붙여 사용하면 되겠다 싶어 구매했습니다.
다행히 키보드에 전류도 흐르지 않았구요. 손을 대고 있으면 약간의 미세한 진동처럼 아주 살짝~ 느껴지긴 하는데 전처럼 찌릿찌릿 한 정도는 아니라 괜찮습니다.
그래도 혹시몰라 절연방지 필름까지 붙였더니 딱! 좋습니다.
멤브레인이면서 게이밍 키보드라 키감도 부드럽고 소음도 없고 손가락이나 손목에 무리가 덜 가는것 같네요. 그리고 게임할때도 아주 좋습니다. 아주 잘 산것 같습니다.!",[]
3,"키보드는 아주 만족합니다.
키감도 좋고 사무실에서 쓰기 적당한 타건소리입니다.
근데포장이 불만이여서 별3개 드립니다.
안전포장이라고 4,000원 추가비용을 별도로 옵션선택할수있길래 뭐 얼마나 안전하게 해주시나 했더니 2중뾱뾱이 한겹포장+기본비닐포장이 다네요?
뭔가 당한거같은 느낌이 들어요.","['https://phinf.pstatic.net/checkout/20200830_208/1598764438522XGlvo_JPEG/review-attachment-dc3bf50b-5a8b-4955-9ede-1f77a6708bf2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200830_152/1598764477770yncqo_JPEG/review-attachment-f4502eeb-7da2-4f42-94e7-7f19f0fafd5b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200830_69/1598764491116uvGtQ_JPEG/review-attachment-3c0920db-ded0-471a-95af-8f9e6cb6675a.jpeg?type=f287']"
5,"24살 대학생입니다~ 전에 피시방에서 한번 써봤었는데 많이 찰칵거리지 않아서 소음도 크지 않고 누르는 느낌 또한 괜찮아서 좋더라구요. 마침 키보드 바꿀때가 되어서 찾게 되었는데 보기드문 코발트블루라는 색상이 있네요. 키보드는 흰색, 검은색밖에 안써봐서 코발트 블루로 한번 구매해보게 되었어요. 배송완료되서 언박싱하고 설치까지 해보니 제 컴퓨터 장비들이 검은색밖에 없는데 잘 어울리구요. 개인적으로 누르는 느낌이 부드러워서 좋아요. 이 가격이면 충분히 합리적이라 생각하고 별5개 드립니다. 만족스러워요 ㅎㅎ
[배송주문시에 에어캡 안전포장을 안하니 키보드 박스 그대로 와서 배송중에 손상이 있을수도 있겠다 싶어요. 다행히 저한테 온 키보드는 에어캡없이도 아주 멀쩡했습니다.]","['https://phinf.pstatic.net/checkout/20200819_69/1597833093962k0N4n_JPEG/review-attachment-c0130506-f1bc-4a3a-b745-6cbe707fd2ef.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_62/1597833099039WOOlH_JPEG/review-attachment-6a786c6c-9bae-455f-a2c2-34d7386270a7.jpeg?type=f287']"
5,"가격대비 가성비는 아주 좋다고 생각 됩니다. 키감도 좋고 무엇보다 튼튼해 보이네요.
추가 구성품을 2가지 구매해 보았는데 모두 만족합니다.
장패드 테두리의 박음질 실오라기 하나 없이 잘 되어 있고 손목 보호용으로 산 실리콘 받침대는 딱딱할까봐 걱정 했으나 생각보다 부드럽고 신축성도 좋았습니다. 다만 아쉬운 점이 있다면 키보드를 블랙으로 샀더니 각 키 위의 글자들이 백그라운드 led 없이는 잘보이질 않는 점이 있겠습니더.",['https://phinf.pstatic.net/checkout/20201119_229/1605783578481Qwd4i_JPEG/review-attachment-f262e3e5-adb4-4630-80c0-4746b568b8b2.jpeg?type=f287']
