star_point,comment,photo
4,"포장이 불안전한 것 같아요ㅜㅜ 뽁뽁이 없이 그냥 와서 불안했는데 다행히 기능엔 이상 없네요 에어3에 단축키 이상 없이 잘 작동 됩니다. 그리고 엄청 가벼워용ㅎ
매직키보드와의 차이점은 백라이트 기능, 블루투스 최대 4대까지 연결 가능, 5핀 충전 등이 있네요. 아이패드 용 키보드로 강추합니다!","['https://phinf.pstatic.net/checkout/20200513_62/1589374733955fNReV_JPEG/20200513_205905.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200513_138/1589374757319Yz9i7_JPEG/20200513_215844.jpg?type=f287']"
4,"너무 예뻐요,,, 솔직히 디자인이 다했어요,, 정말 너무 예뻐요 근데 글자를 꾹 눌러서 연속으로 치는 게 안되는 건 너무 치명적인 단점인 것 같아요 ㅠ.ㅠ 정말 아쉽지만,, ㅋ을 꾹 눌러서 왕창 웃을 수 없다는 게 아쉽지만,,, 수동으로 열심히 눌러볼게요. 그래도 너무 예쁘니까 괜찮습니다 가볍고 크기도 딱 좋아요! 아이패드 11인치보다는 크구용 12.9인치 쓰면 딱 전용 같을 것 같아욥 ㅎㅎ 스그랑 정말,, 잘어울립니다 소리도 크지 않은 것 같아요!! 예뻐서 너무 행복합니다,,",['https://phinf.pstatic.net/checkout/20200525_71/15903967941080V2Ov_JPEG/51E986A4-447F-4C3C-BB4A-7C077A3E1E8B.jpeg?type=f287']
5,로지텍 k810 도둑맞으신분 열받는건 알겠는데 왜 여기다가 화풀이하는지.. 딱 50프로 배꼈다고 하는데 가격은 반값보다 싸구만.. 그럼 잘만든거지. 그리고 키감 중국산 어쩌고 하는데 저도 직업상 별의별 키보드 다 써본 결과 딱 돈값만큼 합니다. 키감도 저는 만족해요. 그리고 페어링이 느리다고 하는데 저는 맥북프로 아이맥 아이패드 세개 연결해서 쓰는데 키보드 단축키로 기기전환 아주 잘되요. 원래 쓰는 애플 매직키보드 있는데 노트북도 키보드를 따로 쓰다보니 키보드 한대로 다 쓰고싶어서 한번 구매해봤는데 지금까지 100% 만족합니다!,[]
5,"이 가격에 이 제품을 구입할 수 있다는 게 신기하고,
빠른 배송에 또한 번 기분 좋은 구매후기를 씁니다.
제작년에 처음 만난 이 제품을 사용하면서 느낀 점은
한 번 완충으로 잊어버릴 때까지 사용할 수 있다는 장점이 첫 번째.
어느 정도 사용 중에 블루투스 장애 고장이 난 적이 있었는데,
서비스 보내니, 제품에 이상이 맞다며 새 제품으로 교환
해준 고객 응대에 두 번째 만족.
한글각인 없는 해외직구 보다 저렴하게
,
번창하시길 바랍니다.",[]
5,"처음에는 끊기는 현상 때문에 유선키보드를 두고 사용해야 했는데, 이제는 적응이 되는 것 같구요, 다시 연결될 때 약간 느리긴 하지만, 사용하기 좋습니다. 그리고 키 입력 시간 간격을 짧게 하는게 더 좋은 것 같네요. 아이맥하고 디자인도 잘 어울리고요, 좋은 제품 만들어 주셔서 감사합니다.",[]
1,"여기 글보고, 블투키보드 삿는데, 5년간 쓰던 로지텍k810을. 도둑 맞아서...산거라...비교해보는데...
4가지가 페어링 된다고 하는데...기기간에 페어링이 상당히 느리고, 가끔 페어링 안되는게 너무 잦고...
내가 봤을땐, k810 최대한 흉내내서 만든 키보드 같음...
키감 좋다는 글 있는데, 중국산 키보드만 대충 쓰는 사람들로 사료됨...
이정도 키감은 정말 흔해빠진 수준임...
키보드만 이것저것 10개 이상 써봣음... 명품 키보드 k810 키보드 흉내내다가 50프로정도 배낀 수준임
키감은 정말로 지금 쓰는데도,,화딱지남",[]
5,"외관은 정말 이뻐요.
상품평이 안좋아서 걱정했는데, 사용해보니 모든 걱정이 사라 졌습니다. 솔직히 뜯고 난 후 단순 변심에 의한 반품 불가라 걱정 많이 했었습니다. 솔직히 뜯어야 하나, 반품하고 K380 사용해야 하나 걱정했습니다. 우선 카뱅 5천원 돌려받고, 처음 가입하면서 만원 할인 받으니 중고가보다 조금 많은 가격에 신품 구매 했습니다. 대 만족입니다. 지금 이 후기도 아이폰에 연결해서 키보드로 작성하고 있습니다. ^^
1. 페어링: 아무 문제없이 아이폰, 아이패드, 노트북 다 잘 되었습니다. 기기 전환하는데 지연속도 늦다고 하는데 솔직히 잘 모르겠습니다. 적당한 속도 인것 같습니다.
2. 연결성: 키보드도 잘 작동했고 맥 OS여서 그런지 한글키 변환 등에 문제는 없었습니다. 한글키 작동 잘 안한다는 말을 들어서 그런지 받자마자 이것부터 확인해 봤습니다. 그리고 글자 지연 크다고 하는데 전 잘 모르겠습니다. 앞에 사용한 키보드 보다는 많이 좋습니다. 그런데 키보드에 기름기 잘 묻을 것 같습니다.
3. 키감: 키를 누르는데 맥북프로 사용하는 느낌보다 조금 더 좋은거 같습니다. 생각보다 , 그리고 작아서 좋았습니다. 키를 누르는데 불편하다는 느낌 없이 작습니다. ^^",[]
5,"연타가 안된다는 점이나 전원켜면 백라이트가 자동으로 켜져서 꺼주어야 한다는 단점은 원래 알고 샀어요
백라이트는 아주 밝지는 않은데 전 되게 어두운 곳에서 사용해서 만족스럽습니다
자판 잘 보여요
무엇보다 아이패드6세대에 사용하는데 기능키들이 유용해서 참 좋네요
디자인은 다들 예쁘다고 해요
타자감은 좋은데 엄청 조용하지는 않아요
그래도 다들 이정도면 소리 안나는 편이라고 하긴해요",[]
3,"여러 블르그를 보고 백라이트 기능이 있는 키보드가 필요해서 구매하였습니다. 맥복 사용자가 아닌 윈도우 사용자로서 한영전환 말고는 불편한건 없는데, 백라이트 기능은 기대 이하군요. 완전 어두운 곳에서나 백라이트 기능이 있구나 느낄 정도이고, 물론 무선이고 내장 배터리에서 백라이트는 전력 소모가 많은줄은 알겠으나, 약간 어두운 곳에서는 백라이트 기능이 있는지 체감상 오질 않는군요. 그리고 백라이트 기능이 골고루 비추어 주는 것도 아니고 불량이라 생각돼었서 반납하려다
휴대용으로 만족하여 구매확정 합니다.",['https://phinf.pstatic.net/checkout/20191108_99/1573188010002bqE1y_JPEG/15731878607303568469480717930466.jpg?type=f287']
2,처음 한 2주 정도는 애플 매직 키보드 못지않게 좋다는 느낌으로 사용했는데 사용하다 보니 연결이 자주 끊어지네요... 아이맥에 연결해서 사용흐는데 자주 연결이 끊어져서 어떻게 해야 하나... 결국 매직키보드를 또 사야하니 생각중입니다... 원래 이렇게 자주 연결이 끊어지는 건지...,['https://phinf.pstatic.net/checkout/20200514_184/1589423730402qPct0_JPEG/image.jpg?type=f287']
