star_point,comment,photo
3,팜레스트가 수세미랑 비슷한 질감일 줄 알았는데 아니네요 디자인도 생각했던거랑 좀 다른 것 같고 fn키가 달린 줄도 몰랐었고 컴퓨터가 안좋아서 그런건지 led 효과도 움직임이 싸구려 같이 자연스럽지 않네요 키감은 깨끗하고 고급집니다 그건 그렇고 이번 제품은 스페이스바가 커세어 특유의 포인트 키캡이 아니네요,[]
5,간만에 커세어에서 좋은 키보드가 나온듯합니다. 가격은 여전히 사악하지만 고급진마감과 타감은 아주 만족스럽습니다. 사은품 굿즈 이벤트도 하면 좋겟어요.,"['https://phinf.pstatic.net/checkout/20201117_138/16056068480025MpKE_JPEG/review-attachment-4bc3c1cb-5fbe-4f54-b078-bf4b71f805d8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201117_243/1605606855392h8aR5_JPEG/review-attachment-31145982-e954-4320-94d4-589cab7fb01a.jpeg?type=f287']"
5,"k세리스 답게 성능이 매우 뛰어나 좋네요, 배송이 매우 빨라 좋고 제품 잘받았습니다.",['https://phinf.pstatic.net/checkout/20201130_217/16066939061155EP3T_JPEG/review-attachment-5a51303b-1911-4b7c-aec2-c52d75880458.jpeg?type=f287']
5,맨왼쪽 부분에 너무불편해서 걍 뽑아버리고 사용중입니다. 그렇지만 이 키보드의 반응속도 성능은 타키보드의 추종을 불허한다생각합니다. 정말만족합니다.,['https://phinf.pstatic.net/checkout/20201126_76/1606366911675NuFAS_JPEG/review-attachment-ac1175db-3e8d-415c-a6c9-1864099f2b39.jpeg?type=f287']
5,"rgb , 키압력(은축) , 팜레스트 뭐하나 빠지는거없이 다좋음",['https://phinf.pstatic.net/checkout/20201113_8/1605232071625vgC02_JPEG/review-attachment-5f03ee2e-f2c9-482c-bf3e-5f5e97c641a2.jpeg?type=f287']
5,소리정말조용하고 키압은적축보다미세하게있네요 사각사각 타건음좋아요,['https://phinf.pstatic.net/checkout/20201027_161/1603803729939dSOMt_JPEG/review-attachment-7b566228-c5f4-4dcc-b9e6-25122bba2ed1.jpeg?type=f287']
5,"배송이 많이 밀려있다고 해서 걱정많았는데, 다행히 하룻만에 도착했네요. 제품도 만족스럽습니다.",['https://phinf.pstatic.net/checkout/20201013_232/1602597335610LlX1j_JPEG/review-attachment-618e54d4-b3df-432d-9a23-4a8cfdf854dd.jpeg?type=f287']
5,"기존 k95사용하고 있었는데
크기랑 무게는 비슷하고
손목받침대는 생각보다 많이 좋네요ㅋㅋㅋ",['https://phinf.pstatic.net/checkout/20201019_222/1603107714890EsPc9_JPEG/review-attachment-50029b87-ec35-487d-ba87-b40506e05cc9.jpeg?type=f287']
5,하루만에 배송도착+사은품 커세어 모자까지 달달합니다 베레모 61호인 저도 맞네요,['https://phinf.pstatic.net/checkout/20201027_98/1603780516471lRSlP_JPEG/review-attachment-bd5247ab-ff07-4451-89bc-81a7f320c059.jpeg?type=f287']
5,배송은 잘해주셨어요,[]
5,접지력이 좋구 반응 속도가 빠르네요,[]
5,오늘왔는데 눌렀는데 왜안나가 이소리안나옴ㅋㅋ,[]
5,빠른포장과 완충제로 포장해주셔서 파손없이 잘왔습니다~ 감사합니다,[]
5,조아용조아여조아조아여,[]
