star_point,comment,photo
5,"솔직히말해서 약 6년동안 커세어키보드는 시리즈별및
스위치별로 다써봣습니다 물론 경쟁사인 r사제품들도
전부다써봤구요
한마디로 다써봤는데요 기능,성능,마감은 의심치않아도 될정도로 커세어제품은
신뢰도가 꽤높은제품인거는 한두번써본분들은아실겁니다 근데 경쟁사인r사에 비해서 r사도 고가격인건
똑같지만 똑같은 고가격인반면에 키감및스테빌쪽에 계속밀렸었죠 디자인도 사골우려먹기란식이란 말도나왔었구요 pc주변기기하면 원탑이었던 커세어였는데 어느순간 경쟁사한테 밀렸었는데 이번에는 제가이제품을 받아보고 출장가따와서 오늘 몇시간써보지만
그냥 이런생각이듭니다 대체커세어가 무슨짓을한거지? 이거커세어 제품맞어? 이럴정도입니다 솔직히 k70 로우프로파일도 정말 조금 개선됏긴햇습니다 아주조금!!항상 속았는데 이번이정말 마지막으로속아보자 하는심정으로 구매했는데 너무나도 무슨짓을한건지 어떻게 이렇게 그전모델들이랑은 딴판인지 너무 감격스럽더군요 반면 분명히 할수있으면서 여태안하고
이제야 개선했다는점에서 배신감도 들었습니다
본체도 커세어제품으로 수냉및 팬 전부다쓰고있는데 전부만족하는데 왜유독 다른제품으로는
잘달리다가 키보드같은 부품쪽에서 등돌리게하는지
이해가안됏었는데 이번제품은 칭찬받아도 혹은 이제품을 써보려는사람들한데는 좋은평가를 받을거같네요
r사가 엄청나게 치고나올때 커세어는 신품도몇년동안
내놓지못하고 깨작깨작 동일제품으로 조금씩바꿔서
판매하고했었는데 이번에는 여러이용자들이 개선점들 의견이 많이반영된거같습니다 디자인면에서는 k95를
계승하면서 k95보다 스위치안정감,마감,기능면에서 커세어 프리미엄1대장급으로 출시한거같습니다
커세어의 대표적인스위치인 은,적축은 너무나도많이써봐서 이번에 첫광축인 opx로 구입했는데 기존 은축이랑은 확실히 예전게임이지만 그래도 키보드반응속도를꽤나여기는 카트라이더로 실험했을때는 같은커세어제품및r사 프리미엄급 키보드보다 확실히 좀더빠르고 정교함이 느껴집니다 허나 가격도 프리미엄급이라
섣불리 가까이보기 힘든제품이라 생각도듭니다
근데 제품을 봣을때 항시써왔던 abs키캡이었으면
가격이 납득이안갔을텐데 기본으로pbt로되어있고
팜레스트는 예전과 비교안될정도로 굉장히 편안감주는 재질로 모두바꼇습니다
저는 커세어빠도아니고 r사 빠도 아닙니다 그냥 두브랜드를 좋아하는 사람입니다
이번 커세어가 몇년만의 신품이라 선택지의 폭이넓어져서 좋고 이번제품또한 사용자들의 의견을 반영한듯
싶어 대기업답다라는 말을 이제야하고싶네요 예전엔
말 드럽게안듣드니^^ 아무래도 아무리 성능,기능,마감
이외에 아무리 좋게만들었어도 가격이높으면 납득이 갈수있게 제품의 디테일한 설명및 제품자랑이더필요할듯싶습니다(빠른시일내에 첨부하셨으면...)
아무튼 저는 두경쟁사들이
지속적으로 좋은제품개발하고 출시해서 주변기기 대표브랜드답게 사용자들의 선택지의 폭이 넓어졌으면
좋겠습니다
구매를 하시려는분들 혹은 관심있으신분들에게
조금이라도 도움이되고자 조금긴글 후기로남깁니다^^","['https://phinf.pstatic.net/checkout/20201021_172/1603289274123ugGl4_JPEG/review-attachment-1636172c-791f-4050-bc2d-409472c177c4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201021_293/1603289273866nzprf_JPEG/review-attachment-4344674d-f5f5-447a-8fe4-63bfcdd50ffc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201021_5/1603289300701LH00W_JPEG/review-attachment-d15eab7a-4927-4920-8628-d4418398b050.jpeg?type=f287']"
5,"커세어 모든 모델별로 다써왔지만 이번제품은 확실히 유저들의
바라점의 보완도 충실히된 제품인거같고 그리고 k95와 k70 모델들과
하우징 재질이 같은은줄알았는데 K100제품은 뭔가 같은제질느낌은
나는데 좀더 업그레이드된느낌인거같습니다 왜냐면 먼지같은부분에서도 확실히 덜 붙거나 간단히 입으로 불어도 날라갈만큼 이전 모델들과는 다르네요 기존 판매되는 PBT키캡이 K100에 기본 장착된
PBT키캡이 체결도 흔들림없이 좋고
일단 현재까지 정말 만족합니다",['https://phinf.pstatic.net/checkout/20201123_291/1606104504040BwP9z_JPEG/review-attachment-52ef9614-9914-4ea6-84c9-aeec398e056d.jpeg?type=f287']
5,"배송날짜 - 2일
빠른배송 좋구요. 2천원짜리 안전포장 선택두 안했는데 제법 견고한 포장과 함깨 옴. 모자도 포함되있는거 받았구요. 은축은 솔직히 질린감이 있어서 광축, 크 광적축 시켰는데 역시 적축은 커세어라는 말이 있듯이 타건감 지림. 통울림은 완벽하게 잡은듯. 30만원 값어치 함. 솔직히 사놓고 2일간 현타 몇번씩 왔는데 연결하고 RGB보니까 다른 저가형 브랜드와는 차원이 다름.","['https://phinf.pstatic.net/checkout/20201013_142/1602563202780SXeGu_JPEG/review-attachment-bbdb9551-ed0e-48ee-8075-fc055fe6af72.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201013_191/1602563202903UiHrR_JPEG/review-attachment-7d0f5c7a-2b30-4af4-a651-80ba750597c6.jpeg?type=f287']"
5,"매크로 키가 있어서 적응은 해야하지만
손이 편안한 적축과 입력이 빠른 광축이 만나
게이밍에 특화된 제품이 맞습니다.
일반 적축은 서걱임이 있는데
이 모델은 서걱임이 없고 구분감이 확실하네요
광고 아니고 내돈내산입니다.
좋은 제품 만들어주셔서 감사합니다!",[]
4,"1. 업체
빠른 배송에 뽁뽁이까지는 좋았으나
택배사 문제겠지만 박스가 모서리가 찌그러짐...ㅜㅜ 흑...

2. 키보드
1) 키압 : 은축보다는 키압이 더 강하나 일반 적축보다는 가벼움.
2) 타건 : K95에 비해 통울림 적고 윤활로 인한 스태빌 .
3) 단점 : 가격...가격....허세어 가격",['https://phinf.pstatic.net/checkout/20201018_26/1602999821462rzPcc_JPEG/review-attachment-33c24064-9f48-4706-992e-77acdd12124c.jpeg?type=f287']
3,제품자체는 좋고 마음에 드는데요 박스에 넣어 보내주셨으면 좋지않았을까 합니다 본박스가 찌그러져서 맘이 좀 상했네요 다행이 제품자체에는 이상이없네요,"['https://phinf.pstatic.net/checkout/20201031_193/1604128422796xHKBH_JPEG/review-attachment-dd1b7bc0-9b3a-4834-b3bf-1ba2929fb795.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_105/1604128422977AjE39_JPEG/review-attachment-7af3edf7-4e01-46c6-9122-e921a1416b72.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_127/1604128423106Kx7PH_JPEG/review-attachment-808afc1e-ca98-4515-8758-d27fc76d5ab3.jpeg?type=f287']"
5,기성품 게이밍 키보드 끝판왕,"['https://phinf.pstatic.net/checkout/20201021_217/16032648889667bQdC_JPEG/review-attachment-45d93aab-612b-420e-a5c7-438903f3ac42.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201021_277/1603264888905GRuzo_JPEG/review-attachment-84d65154-14b0-4f3b-a32d-5208fdede04e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201021_234/1603264889049biCVd_JPEG/review-attachment-c03f0928-e3f3-48ac-82ee-f59efd8e2e00.jpeg?type=f287']"
5,"굳 배송도 빨랐고 키보드도 엄청 마음에 드네요
K70에서 갈아탔는데 특유에 스테빌 통울림이 거의 느껴지지 않을 정도로 개선되었습니다
다만 손가락 살짝만 올려도 눌려서 아직 적응은 적응중이나 만족스럽습니다",['https://phinf.pstatic.net/checkout/20201121_87/1605900928223tGHbj_JPEG/review-attachment-eab99d28-757c-4534-a630-263c4e004768.jpeg?type=f287']
5,"k70쓰던때가 생각나서 k100을 주문했는데
생각보다 키보드 성능자체는 좋습니다
다만 주의할점은 적응하는시간이 필요합니다..",['https://phinf.pstatic.net/checkout/20201119_249/1605792530089CcDNp_JPEG/review-attachment-e64e1d3f-f8f6-4ce1-808d-8237ec66c485.jpeg?type=f287']
5,선문했는데 마음에 든답니다,['https://phinf.pstatic.net/checkout/20201122_59/1606040382773weQPy_JPEG/review-attachment-53a7a5bd-3f1e-4353-9c33-fdcd3035628e.jpeg?type=f287']
