star_point,comment,photo
4,"아주 따봉이긴한데요
뽁뽁이 해달라했는데 없이와서는 키캡 다 ㅊ빠져있더라구요^^ 여쭸더니 공장에서 그리나왔다는 소리! 너무 감사드립니다 그리고 이거 왜 수면모드됐다가 다시 키려하면 전원이 안들어올때 있나요 생난리를하면 다시 들어와요 더 써보고 제가 아직 미숙한거일수있으니 키보드가 이상한거면 다시 따지겠숩니돠",['https://phinf.pstatic.net/checkout/20201017_189/1602930428744u3WyQ_JPEG/review-attachment-83fe0870-5ed8-4010-ae64-e05a0cc2d7b8.jpeg?type=f287']
3,"충전식이라는게 번거롭습니다 은근 배터리가 빨리 닳습니다
배터리가 조금만 부족해도 심하게 버벅거리고 키보드가 멈추는 현상이 있습니다 글자가 입력되지 않아 여러번 누르면 몇초 후에 한꺼번에 입력되는 등... 배터리가 없어서 그러겠거니 했지만 유선 연결중일때도 같은 현상이 있어서 교환 환불을 생각했습니다. 구매한지 시간이 지나 소용없을것같아 그냥 쓰고있습니다... 처음엔 좋았는데 쓰면쓸수록 돈아깝네요",['https://phinf.pstatic.net/checkout.phinf/20200526_27/1590502764482lOBuY_JPEG/2020-04-23-16-40-34-625.jpg?type=f287']
4,"무선+쓰던것보다 작은 키보드가 필요해서 구입했습니다.
청축 2년쓰다가 적축 받으니 되게 어색하고 오타가 좀 나네요 익숙해지면 괜찮을거라고 생각합니다... 그리고 스페이스바가 엄청 길어요 한영키 있을자리에 스페이스바가 옵니다. 적응 기간이 좀 필요하겠어요. 게임도 하고 문서작업도 하는데 당장 문서작업 하기엔 좀 불편하네요.
그래도 커세어 키보드는 윈도우 잠금이나 소리 영상 컨트롤 버튼들이 있어서 항상 만족중입니다.",['https://phinf.pstatic.net/checkout/20200424_72/1587701450926vRQR5_JPEG/KakaoTalk_20200423_164332756.jpg?type=f287']
3,침대에 누워서 사용하려고 구매했습니다. 편하게 잘쓰고있었는데 어제 청소하려고 키보드를 뒤집으니 3번키 0번키가 쑥빠지네요. 떨어트린적없고 침대에서 드라마볼때만 써서 숫자키는 눌린적도없는거같은데 조금 황당하네요.,['https://shopping-phinf.pstatic.net/20200912_7/a753eec2-e2e1-4ac9-86be-6e60428b9002.jpg?type=f287']
4,단점으로 지적되던 사항들 전 전혀 모르고 지금 사용중입니다.유선같은 무선 텐키리스 제품에 기계식 키보드를 원하시면 이제품을 구매하시면됩니다.할인할때 사면 가격도 괜찮은 편입니다.제가 레오폴드 제품들 구매할때 13~15에 주고 샀습니다. 무선을 저가격에 구매한다면 아주 좋은 제품이라고 생각됩니다.다만 단점아닌 단점은 키캡이 제가사용하던 제품들보다 좀 높습니다.이건 키캡에 적응하면 괜찮지만 키캡 교체해도 괜찮을거 같습니다.,[]
5,"루프덮개는 뭔 이물질이 묻어있는데 걸레로 닦아도 안지워지네요.
키보드는 유명한거라 키캡마감도 부드럽고 무게도 묵직하고 좋네요. 충전도 완충하고 오래가고 매크로 프로그램도 써보니좋고 최고네요 반응도 빠르고 강추합니다.","['https://phinf.pstatic.net/checkout/20200105_171/1578225137322UEJlb_JPEG/20200103_192757.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200105_32/1578225138769G4MRW_JPEG/20200103_194159_HDR.jpg?type=f287']"
4,벌써 2년이나 지났는데 무선 게이밍은 완전 고가 말고는 없어서 ㅠ 결국 이걸 살수밖에는 없지만 합리적인 가격은 아니라고 생각합니다 2년됬으니 조금 더 가격이 낮아져야하지않나 싶습니다 나머지는 만족합니다 역시 허세어 적축은 역시 알아주는군요 ㅎㅎ 적축이 최고,[]
5,"배송 그리고 상품좋고 충전 잘되며 무선도잘됩니다
허나 키스킨이 저런건줄알았으면 안삿을듯
키보드에 먼지나 이물질 묻는걸 별로안좋아하는데
해서 구입해보았으나.. 3500원짜리 그것도 2장..
그냥버려야할듯..나머지 부분은 좋습니다",['https://phinf.pstatic.net/checkout/20200501_162/15882651325856JcV4_JPEG/20200501_014509.jpg?type=f287']
4,"텐키리스라 적응이 잘 않되는데... 쓰다보니까 잘 적응도 돼고 아주 좋네요 키감도 잘 질리지 않고 커세어 김성도 아주 좋구요
무선으로 사용했을때랑 유선으로 사용 했을때랑 반응 속도의 차이는 거이 없는데 단 배터리가 금방 떨어지는 거랑 가끔 무선일때 배터리가 남아있는데 열결이 끈어지는 일도 생기는까 이러면 유선 쓰는게 더 낫지 않나라는 생각도들고.... 그냥 커감성 만 남은것 같네요
머 간혹 짜증나는 상황이 발생이되지만 쓸만은하네요",['https://phinf.pstatic.net/checkout/20200113_300/1578896837463J9BNo_JPEG/20191104_220736.jpg?type=f287']
5,"블루투스 기계식이 예전엔 훨씬 비쌌던 걸로 기억합니다. 근데 이정도 가격이면 이제 써볼만 하다고 생각해서 샀습니다.1. 디자인(3.5/5) - 장점 : 상당히 컴팩트하면서도 표준 사이즈의 키들이 배열된 느낌입니다. 스페이스바가 조금더 커졌다고 하는데 아주 약간 큰 느낌이 나구요. 또 커세어사의 ICUE 프로그램을 써서 LED를 조절하는데 처음에는 연결이 잘 안되서 애먹었습니다만 지금은 잘 쓰고 있습니다.마감처리도 깔끔하게 잘되어 있고 손목 받침대를 쓰지 않아도 매끈한 곡선으로 크게 불편함이 없이 썼습니다. - 단점 : LED 색상이 블루뿐이라 아쉽네요.2. 사용감(5/5) - 장점 : 두들기는 감이좋네요. 여러가지 기능들이 있던데 아직 골고루 사용안해봐서 잘모르겠습니다. 주목적인 엑스박스에 연결은 잘 되어서 만족합니다. 유선과 무선의 입력지연 시간이 저는 체감되지 않을 정도였습니다. 레인보우 식스를 하면서 이전보다 점수를 낼수 있었던 것 같기도 합니다. - 단점 : 숫자 키패드가 참 계륵같은 존재긴 합니다. 없으니 불편하기도 하고, 있으면 . 어쨌든 숫자키패드의 부재로 인한 단점은 아무래도 숫자를 칠 일이 많은 경우인데요, 전화번호나 비밀번호를 두들길때 꽤 많이 불편했습니다. 콤팩트 타입이니 감안할 수 있는 사실이죠. 그래서 줍니다.3. 배송(2.5/5) - 장점 : 적당한 속도로 배송되어 왔습니다. - 단점 : 택배사의 문제이겠지만, 박스 옆면에찍혀서 뚫린 부분이 있었구요, 본 패키지 박스는 멀쩡했습니다. 다만 본 패키지 박스를 감싸는 뽁뽁이, 본 패키지 안에 키보드를 감싸는 뽁뽁이 등 뽁뽁이를 절대 볼 수 없었다는 점은 충격입니다. 5만원짜리 키보드를 살 때도 뽁뽁이는 있었던 것 같은데 이건 커세어 라인중에 저급라인인지 뽁뽁이도 없어서 좀 불안하네요.4. 패키지(3.5/5) - 설명을 꼼꼼하게 읽어보지 않은 제 잘못일 수도 있으나, 개인적으론 손목받침대만 따로 옵션으로 존재한다는게 분리 판매인줄 알았네요. 아무래도 제품명에 풀패키지 네글자만 넣어주셔도 이런 오해는 쉽게 생기지 않으리라 봅니다. 뭐 어쨋든 사무실과 숙소 두군데서 사용하기 때문에 곳곳에 손목받침대를 배치해두고 들고다닐 필요가 없다는 점은 우연히 생긴 편의성이라 봅니다.5. 기타 - 아직까지 블루투스나 동글 연결 사용중에 키가 씹히는 일은 없었습니다. 페어링도 빠르고 안정적인 연결이 유지되었구요. - 손목 받침대가 상당히 편합니다. 조립할 때는 그냥 조잡한 플라스틱 느낌이었는데, 막상 끼우고 나서 써보니 닿는 부위는 부드럽고 편안했네요. 미끄러짐도 없구요. - 마우스는 직구를 해도 상관이 없으나, 키보드는 한글 및 한자 때문에라도 국내에서 구할수 있는 걸 사게 되었고 상당히 저렴한 가격에 만족했습니다. ***개인적으로 손목받침대를 옵션에 넣어놓는 것보다는 키보드 넣어다닐 파우치나 케이스를 추가하시는게 훨씬 도움이 된다고 생각합니다.",['https://shopping-phinf.pstatic.net/20190627_22/09262afb-ce86-440c-8719-a1be044f0053.jpg?type=f287']
