star_point,comment,photo
5,"잘 받았어요. 공식 스토어가 제일 믿을 만해서 이쪽에서 샀어요. 한글키 없는거 싫어서 공식수입사 제품으로 구했구요. 기계식 키보드는 처음인데, 확실히 키감이 다르네요. 사무용이지만 숫자입력할 일이 많이 없어서 텐키리스인 K63으로 골랐어요. 사고 나서야 무선이 있다는 걸 알아서 조금 속상했는데요. 무선제품 리뷰를 보니 배터리를 꽤 자주 충전해줘야 하고 배터리가 리튬이온이라 나중에는 교체해야할 때가 오는데, 그때 교체가 별도로 가능하지 않아서 결국 유선처럼 선 연결해서 쓰거나 아니면 사설수리로 배터리 바꿔야 한다고 하더라구요.
그래서 만족합니다!

저는 키보드는 마이크로소프트 에르고노믹 V자로 휘어있는거 한번 사서 사무용으로 써봤는데, 그건 영문 B와 한글 ㅠ 쓰기가 너무 힘들어서 별로였어요.

좋아용!",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_29_0/5245bc88-7191-11ea-9968-505dac8c38f5_03.jpg?type=f287']
4,일단 커세어 제품이라 믿고 샀습니다. 다만 저는 갈축을 선호하는데 아쉽게 갈축제품은 없더라구요 커세어 공식 홈페이지에도 안파는것 같더군요. 아무래도 적축은 스걱스걱 하는 느낌으로 클릭감이 있는데 처음에는 살짝 얹어만 놔도 눌릴까봐 다른 손가락들에 힘이 많이 들어가더군요. 저랑은 조금 안맞는거 같지만 익숙해져보려 합니다.,"['https://phinf.pstatic.net/checkout/20200626_43/1593179276932RFPmW_JPEG/20200625_132912.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200626_3/1593179286641i1qkr_JPEG/20200625_133337.jpg?type=f287']"
5,"이번달 신랑생일 선물로 미리 질러줬습니다.
아주그냥 키보드가 손에 촥촥 감긴다고 좋다고 난리예요 ㅎㅎㅎ 저야 뭐 게임을 안해서 전용 키보드랑 마우스에 대해 잘 모르지만
키보드 불들어오는게 이렇게 예쁠일이냐며....ㅎ
그리거 이게 적축? 기계식 키보드? 그거라 사용시 손에 무리도 덜온다고 하는데 정말 그런거같네용?
신랑은 어제부터 키보드로 피아노 칠 기세입니다.
ㅎㅎㅎ","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_02_0/abef419a-749e-11ea-8992-505dac8c381b_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200402_151/15858035148632HXrx_JPEG/127DC509-6A9B-418A-B990-51328D493F6E.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200402_279/1585803522596MXcBi_JPEG/87BA735E-0C12-461F-9162-A5CDD1AAAE29.jpeg?type=f287']"
5,"이상 없고 키감 좋고 저렴한 가격에 체리이고 키캡이 좋고 청소하기 편하게 키캡분리도 쉽네요.
제 귀에는 스프링 소리 스페이스바에서만 들이네요.
제품 문제말고 제가 사용하기에 저는 여자인데 손이 작아서 키보드가 높이가 좀 높은거 같았어요.
그리고 생각보다 텐키를 좀 쓰더라구요. 없으니까 좀 불편했고 적응이 필요한 거 같습니다.",['https://phinf.pstatic.net/checkout/20200603_150/15911597294937njqp_JPEG/4508C511-42FB-4A71-B155-11F75C01E1D6.jpeg?type=f287']
5,"커세어 적축 예전에도 잠깐 썼었는데, K65 모델을 해외직구로 썼었을 때 멋있긴 했지만 스테빌라이저가 너무 안 좋아서 중고로 팔았던 경험이 있습니다. 하지만 이번에 구매한 K63은 뽑기 운이 좋았던 건지 이상하게 스테빌라이저가 굉장히 괜찮네요. 잘 구매한 것 같아서 만족합니다. 타건감은 체리 적축 두말하면 잔소리죠. 잘 쓰겠습니다.","['https://phinf.pstatic.net/checkout/20200427_298/15879781192875SP8R_JPEG/KakaoTalk_20200427_175902094_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200427_232/1587978119286X9eEj_JPEG/KakaoTalk_20200427_175902094_02.jpg?type=f287']"
5,"제품 구매 해놓고 하루만에 온거같아요 배송도 빠르고 좋았습니다.
제품 자체는 양품이에요 굉장한 반응속도와 키 눌림이나 그런건없어서 굉장히 만족합니다 한가지 아쉬웠던점은 제품 포장이 조금 아쉬웠을수도있었지만 써보니 별이상없어서 괜찮네요",['https://phinf.pstatic.net/checkout/20200704_105/159385769145392geG_JPEG/review-attachment-375504a2-d7a2-4c92-b00c-117c567ca7ac.jpeg?type=f287']
4,키보드 자체의 반응속도 같은건 전에 쓰던것보다 빨라서 좋은것같은데 제가 제품 사기전에 옆에쪽에도 번호패드가 없는건지 모르고샀다가 지금 사용할때 좀 불편하긴하네요 그래도 이거는 적응되면 어느정도 괜찮을거라서 꽤 만족하며 사용하고있습니다.,[]
3,"택배 비닐에 키보드 상자, 그리고 그안 키보드~
뽁뽁이가 하나도 없이 와서 깜짝 놀랐어요~~~
워낙 좋은 상품이라 품질 면에서는 별 다섯개지만, 단 키보드 자체가 좀 높아서 손목이 아픈 단점이 있음~
포장 자체가 가격에 비해 넘 허술하게 와서 별 두개 뺐어요~~","['https://phinf.pstatic.net/checkout/20200219_25/1582082092478SpmsM_JPEG/20200218_181900.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200219_259/1582082101012lzrr3_JPEG/20200218_181923.jpg?type=f287']"
5,"적축식 키보드 처음 사용해보는데 타자칠때 촉감도 부드럽게 좋고
키보드 조명 조절하고 설정할 수 있는데 확실히 간지납니당ㅎㅎ
신랑이 키보드랑 마우스 바꾸고 게임의 질이 달라졌다고
너무 좋아하는거 보니까 선물해주길 잘한거 같아용!",['https://phinf.pstatic.net/checkout/20200508_159/1588864452517ysET9_JPEG/89E194A0-33D5-42AC-AA61-4D0E7F9A7157.jpeg?type=f287']
5,텐키리스를 처음써봐서 적응기가 필요할듯 보였으나 1시간 정도면 완벽적응 하네요 ㅎㅎ 적축특유의 조용함과 부드러운 타건감이 좋았지만 살짝 아쉬운건 긴 스페이스바에 울리는 소리가 거슬리긴 합니다. 커세어를 이 가격에 사용할 수 있고 k70보다는 덜하지만 고급스러운 외관이 좋습니다,[]
