star_point,comment,photo
5,"허세어 허세어 하지만 역시 커세어는 믿고 쓸수 있는 제품인것 같습니다 가격대가 낮은 제품에도 마감 부분에 신경을 쓴게 티가 납니다 광량은 평범한 수준이나 전체적으로 일정한 광량에 선명한 색감이며 마감은 말할것도 없이 깔끔하고 흠집도 없습니다 제품의 다리 높이 조절은 2단계로 조절할수 있고 튼튼하게 만들어 진것같습니다. 하지만 제품 구매한 후 키캡은 pbt 키캡으로 교체하는것을 추천드립니다 영문 각인 디자인이 옆으로 퍼져있는 모양이라 별로 예쁘지가 않고, 광량이 평범한 수준이라 한글각인에는 빛이 잘 들지않습니다 (영문 각인만 있는것 추천, 측각 각인 비추) 게다가 넘버락이나 텐키 부분에 숫자5번, 마우스 우클릭 키. 이렇게 세가지 버튼의 키캡이 너무나도 쉽게 빠집니다 저는 여러가지 제품을 써봤는데 이정도 가격대에 무난한 제품이라는 생각입니다 전체적으로 아주 만족스럽습니다",['https://phinf.pstatic.net/checkout/20201016_118/1602815437206oJwbk_JPEG/review-attachment-f8fe3edf-8b89-42ad-8fe2-900dcebaf00d.jpeg?type=f287']
4,"키보드 자체는 예쁩니다.
그런데 별1개를 깍은 이유는 제가 당일발송이라는 문구를 보고 주문을 했고, 당일에 발송되었다는 알림도 수령했는데 다음날 확인해보니 아직 발송 준비중이더라고요. 여쭤봤더니 물류가 늦게 빠져서 당일에 발송이 안된거였어요... 남자친구 선물 주려고 산건다 다행히 주문한 당일 포함 삼일뒤에 바로 도착해서 시간 맞춰서 전해주긴 했네요..!!!

선물해주고 후기 들어봤는데 키보드 진짜 예쁘다고 합니다! 그리고 키감도 정말 적축 답게 어느정도 무게감이 있으면서도 청축보다 가벼운 키감이라 만족한다고 합니다! 어떤분을 새 제품 받자마자 불량이엿다는 후기가 있던 것 같은데 불량 하나도 없이 굉장히 멀쩡한 상품 잘 배송되어 왔습니다. 발송과정에 약간의 문제가 있긴 했는데 배송이 빨리와서 제 시간에 전해줄 수 있엇으니까 괜찮았던 것 같아요.

포장이 비닐포장으로 오기는 했지만 안쪽에 뾱뾱이로 잘 감싸져서 와서 큰 문제도 없었어요. 요즘 안그래도 택배량 급증으로 인해서 택배상자쓰레기들이 증가하고 있는 상황인데 너무 과하지 않은 포장이라 저는 좋았습니다.",['https://phinf.pstatic.net/checkout/20201106_69/1604599758060GnaIK_JPEG/review-attachment-f77057f8-5c97-47d9-bc26-befe806abe6f.jpeg?type=f287']
3,"커세어 답게 만족했는데 볼륨 조절이 버튼식인데 마우스 휠업 방식이 더 편하긴 했는데 그건 잘 고장났음

그다음 이걸 산 가장 큰 이유는 키스킨이 있다고 해서 샀는데 메이커는 GT gear고 이건 진짜 쓰레기 키스킨 입니다 그냥 키보드를 덮는것만 생각하고 눌러서 쓴다고 생각안하고 만든 제품인듯 버튼을 누르면 내가 누르는 힘만큼 밀어내서 조금만 써도 손가락이 아픔 그래도 계속 덮어놓고 했는데 4~5분 정도 누르다보니 손가락이 아프고 힘들어서 안쓸땐 덮어놓고 쓸땐 벗기는 루프탑 덮개로 전락함

키보드는 커세어고 쓸 사람은 써도 되나 키커버는 진짜 그냥 덮개임 키스킨 땜에 별 깎음

차라리 2만원 정도 더주고 쓰기편한 키를 누르는것도 고려한 좋은 키스킨 추가시켜줬음 좋겠음","['https://phinf.pstatic.net/checkout/20200521_119/1590028024113LadNP_JPEG/20200516_194131.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200521_64/1590028025640NoDi9_JPEG/20200516_194201.jpg?type=f287']"
4,"15년 넘게 쓴 멤브레인 키보드가 키캡 프린팅도 다 없어지고 입력도 안되서 사망을 하는 바람에
새로 뭘 구입해야 될까 고민을 많이 했습니다.
키보드는 2만원대면 충분하단 생각이 들었고지만, 적축 키보드 타건을 해보니 생각이 바뀌더라고요.(청축은 시끄러워서 아예 넘어갔습니다 )

그러다가 키보드 하면 뭐가 좋냐 하며 고민하다가 키보드는 커세어 사면 좋다 라는 이야기가 많아서 구입했습니다.

12만원 넘는 가격이지만 명품은 달래 명품일까 하고 구입했습니다...

일단 장점으로 따지자면....이쁩니다....진짜 다른 10만원대 다른 기계식 보다 라이트가 더 선명하고 . RGB는 아니지만 그래도 간지는 작살납니다.

게다가 타건감이 정말 좋습니다. 글을 계속 쓰고 싶게 만드는 적축의 특유의 서걱거림이 정말 잘 느껴지지요.
또 키보드의 꼭 필요한 것은 아니지만 9개의 유틸리티 키들은 정말 유용하며 거슬리지 않습니다.

제일 좋은건 또 방진 방수겠지요....조금 저럽다 싶으면 물을 위에서 뿌려주어
(물에 담그는건 안되고 위에서 무을 수직으로 뿌려줘야지만 됩니다.)
세척도 최곱니다.

게다가 이건 진짜 최고의 장점이라고 생각하는데요....A/S 가 무조건 교환 입니다. 묻지도 따지지도 않고 교환 해줍니다. 이거 진짜 최곱니다.

단점이라면.....이게 좀 문제이지만 키보드 전체 통에서 텅~텅~ 하는 통울림이 심한 편입니다.
처음엔 이게 불량인줄 알았는데 교환 받고 보니 다 그렇더라고요.

불량이 두번이나 있어서 교환을 두번 했는데요....상당한 뽑기운도 필요한것은 단점이네요....같은 제품인데 제품마다 조금씩 키감 차이가 있는것도 약간 불만이고

손목받침대도 껴주지도 않습니다...별매에요...

게다가 이 제품이 믿기지 않겠지만.....저가형 이란 사실입니다.12만원 대 인데 허세충만 커세어라서 그런지 이게 저가형 모델 입니다. 그래서 오히려 장점일수도 있고 단점일 수도 있습니다.

뭐 이래저래 살펴봤는데 역시 뭐 커세어는 커세어 입니다.

키보드임에는 틀림없습니다.
이건 가성비따지면 안될 제품이에요....근데 좋습니다.",['https://shopping-phinf.pstatic.net/20181206_12/559b7ad1-6861-4d9b-9130-abba04228194.jpg?type=f287']
5,사무실에서 사용할 목적으로 구매했습니다. 기존에 사용중이던 일반형 키보드보다 소음이 적을 뿐만 하니라 장시간 사용하기에도 부담이 없습니다.아쉬운점은 별도의 커버가 제공되지 않으며 2주 째 사용중인데 자주 타건되지 않는 텐키에 비해서 자주 타건되는 부분에서 사각거리는 소리가 발생되고 있습니다. 특별히 사각거리는 소리에 대해서 구분이 가능한 것은 문서 작업 특성 상 화살표 상하보다 좌우를 자주 사용하는데 좌우에서는 사각거리는 소리가 발생하나 상하에서는 발생하지 않습니다.아예 소음 자체가 발생하지 않는 키보드를 원하시면 다른 것을 구매하시는 것을 추천드리나 사무실 내 주변에서 눈치보지 않고 기계식 키보드를 사용하고 싶으신 분들에게 추천드립니다.,[]
5,좋은제품을 빠른배송해주셔서 감사합니다 비닐봉지안에 뾱뾱이로 세네번 돌려서 포장해주셨고 정품봉인씰도 뜯기지않았습니다 처음에 키보드옆부분 조립이 약간 덜됐는지 눌러서 딱 소리나게 맞췄습니다 그거는 제품하자아니니까 전체적으로 만족스러워요! 다만 키캡리무버 없고 받침대 없고 키덮개 없습니다 선물로 준건데 너무 좋아해서 저도 좋네요 번창하세요,['https://shopping-phinf.pstatic.net/20200425_14/9c782fb3-9abc-4061-9a50-bf1c7594e164.jpg?type=f287']
5,정가는 좀 비싼데 할인할 때가 적당한 것 같아요 알지비가 아니라서 LED는 잘 안쓰게되긴 하는데 그래도 커세어라 기본적으로 간지가 탑재 되있네요! 전체적으로 만듦새가 정말 좋고 키감도 훌륭하고 다만 스페이스바 철컥거리는거 싫어한다면 윤활은 해야될거에요 아쉬운 점이라면 해외제품은 손목받침대를 그냥 제공해주는데 여긴 따로 구매해야되는것..?,[]
3,"별점 두개를 깎은 이유는 포장때문입니다.
충격에 민감한 기계임에도 불구하고, 포장재가 아예 들어있지 않습니다.
게다가 박스는 엄청 큰 박스에 포장되어있었구요.
키보드가 한 8-10개는 들어가겠더군요...
그런데 달랑 키보드 하나 넣어져서 왔구요...
배송과정 중 안에서 얼마나 뒹굴러졌을지.....
사진 등록은 하지도 못하네요... 진짜 기기에 결함이 있을까봐 좀마조마합니다..",[]
3,"배송은 빠릅니다. 근데 하드웨어 온보드 메크로는 안됩니다. 홈페이지에 온보드 메모리 yes이라고 써있어서 되는줄 알았는데 키보드 라이트 패턴정도만 저장
이 되는거였네요. 메크로는 icue사용해서 쓰면되긴하지만.. 제가 생각한 상품이 아니었네요",['https://phinf.pstatic.net/checkout/20200521_158/15900341357447jJlc_JPEG/1590034103647.jpg?type=f287']
3,"별점 두개를 깎은 이유는 포장때문입니다.
충격에 민감한 기계임에도 불구하고, 포장재가 아예 들어있지 않습니다.
게다가 박스는 엄청 큰 박스에 포장되어있었구요.
키보드가 한 810개는 들어가겠더군요...
그런데 달랑 키보드 하나 넣어져서 왔구요...
배송과정 중 안에서 얼마나 뒹굴러졌을지.....
사진 등록하려면 두번 후기남겨야되네요 ㅋㅋㅋㅋㅋㅠㅠ
진짜 기기에 결함이 있을까봐조마조마합니다..",['https://shopping-phinf.pstatic.net/20200522_23/2827f0f5-c233-49ea-8c9b-a76a7a0a9324.jpg?type=f287']
4,"제품 자체는 만족스럽습니다 배송도 아주 빠르고요
다만, 선물 받는 사람이 키스킨 무조건적으로 사용하여 좀 깔끔하게 쓰려던 분이라 키스킨을 옵션에 꼭 넣은 건데 '본사에서 키스킨을 더 만들지 않아 키스킨을 순차적으로 발송한 분들 그러니까 선착순으로 발송한 것이다'라고 전화로 설명해 주셨네요 죄송하다고 하셨고 따로 연락 주신 건 감사하지만 키스킨이 없다고 우선적으로 연락을 주셨더라면 다른 곳에서 구매했을 거라고 생각합니다 제품 자체는 좋고 배송은 아주 빠르나 키스킨 필수로 착용하시어 구매하시는 분들은 유의해 두시는 게 좋겠네요 키스킨 아예 단종이라고 하네요 제가 구매했을 땐 +키스킨이 있었고 어디에도 키스킨 단종이다 혹은 키스킨이 못 간다는 설명조차도 없었고요... 그래도 좋은 제품 보내 주셔서 감사합니다",[]
4,배송도 2일만에 왔고 뽁뽁이로 완전 포장되서 좋았습니다. 마감도 완전 멋있고 타건감도 너무 좋습니다 기계식키보드를 처음 써서 적응도 조금 필요했습니다. 다좋은데 통울림이 너무 심합니다ㅠㅠ 커세어제품이 원래 통울림이 심하다고 들었는데 맞습니다.. 통울림 싫어하시는 분들은 이 키보드살때 고려좀 해봐야 될 것 같습니다,['https://phinf.pstatic.net/checkout/20200504_248/1588519254043VnXXg_JPEG/20200425_150029.jpg?type=f287']
2,포장상태 보자마자 깜짝놀랐습니다. 반품된 제품 재판매하시는건지 아니면 재고 관리가안되시는건지 모르겠으나 제눈에는 뜯었던제품 재밀봉 하셔서 판매한거같아 받고나서 기분이 매우나빴습니다.누가보아도 스티커 뜯었던 티났구요(손톱으로뜯다접힌흔적) 드라이로 지져서 붙이셨는지 스티커 붙어있던부분 옆 부분 포장박스 프린팅인쇄된글자들 흐리게지워진거며 사진이랑 영상 다 남겨뒀다가 반품하고 뭐하고 시간만 더날리고 기분만 더 나빠질거같아서 싹다지우고 그냥 돈버린셈치고 쓰겠습니다. 좋은제품 한번 써보자하고 시켰는데 다시는 재구매 안할거같네요별 2개드린 이유는 키보드는 문제없고 만족도는 확실하구요 택배도 적혀진날짜 재때와서 매우좋았습니다 . 그래서 드립니다.,[]
5,"스카이디지탈 메카닉 LED 적축쓰다가 고장나서 구매하게되었습니다.
생각보다 기존사용하던 키보드보다 키압이 좀 높고 스프링소리가 미세하게 자꾸들려서 별로라고 생각했는데 3일정도 써보니 커세어 키보드 나름의 타건감이 있네요.
만족합니다~",[]
5,믿고 쓸 수 있는 커세어 답게 좋은 키보드 입니다.K68 BLUE와 K68 RED 두 모델을 사용 해 봤을 때 느낀점은 다른 부가 옵션은 둘째치고 기본에 충실함을 느낄 수 있었습니다.최대한 축의 감촉을 살리면서 아쉬움을 맛보기 힘들게끔 축에 힘을 실은 제품입니다.,[]
5,청축 키보드 쓰다가 일할때 너무 다닥거리는 것 같아서 사무실 옮기고는 눈치 보여서 적축으로 바꿨는데 소음이 1/4 정도 인 것 같아요. 적축이라고 아주 무소음은 아니지만 기계식 느낌을 살리면서(청축보단 소리때문인지 원래 그런건지 잘 모르겠으나) 훨씬 부드럽고 조용하네요. 싸진 않지만 잘샀다는 생각 듭니다. 같이온 키 껍데기는 저랑은 안맞아서 안쓸 것 같네요. 그래도 챙겨주셔서 감사합니다. 소리 들어보시라고 영상도 찍었는데 여긴 이미지는 첨부 안되는가봐요..사진도 있는데..,[]
2,처음 왔을 때 하판의 균형이 맞지않아 컨트롤 키 쪽 끝 부분을 누르면 달그락거렸습니다. 교환받았고 교환되는 과정에서 시간소요가 너무되니 스트레스였네요.(판매처의 대처는 빨랐습니다.) 피시방에서 기계식을 청축으로 경험하시고 만족하신 분들이시라면 적축은 맞지않으실 수 있어요.또한 멤브레인 쓰신 분들 중 소문으로 자자한 기계식의 드라마틱한 키감을 못 느껴 실망하실 수 있습니다. 디자인 부분에선 개인적으로 어떠한 물건이라도 디자인을 중요시하는 입장이라 디자인은 정말 만족합니다.다만 사용자의 편의를 고려하여 크게 만든 스페이스바가 한영키의 위치를 불편하게 만든 점이 단점이네요. 익숙해져야겠지만 한영키를 자주 사용하는데 정말 정말 너무. 불편해요,['https://phinf.pstatic.net/checkout/20190306_283/1551852042404sJJhc_JPEG/EE14832E-7C6F-4137-91AB-72FA925999A1.jpeg?type=f287']
4,"상품은 만족합니다. 청축보다 소리가 적은 대신 타건감은 좀 적응을 해야할 듯 싶습니다. 가끔 키보드 안 보면 내가 뭘 누르고 있는 지 잘 모를 때가 있습니다.
아쉬운 건 판매사 응대네요. 한영/한자키가 입력이 반대로 되서 왜 그런지 물었더니 본사에 물어보라는데 성의 없는 응대로 그렇지만 적어도 제품에 관해 정확히 알고 판매하셨으면 좋겠습니다.",[]
