star_point,comment,photo
5,"왜 커세어커세어 하는지 알겠더군요.

일단 누르는 키감이 아주 경쾌하고 좋습니다.
청축을 좋아하는 사용자에겐 가성비가 아주 좋은 제품이라고 생각합니다.
소리도 좋구요. 공공 사무실에서 사용하는것이 아니라면
선택하기에 아주 좋은 제품입니다.",['https://phinf.pstatic.net/checkout/20200703_167/1593776661503uMdsA_JPEG/review-attachment-bd335c69-fd26-4591-a961-9eff6e7f9449.jpeg?type=f287']
5,"배송이 빨라서 좋아요. 최고에요! 오후에 주문한거 같은데 다음날 점심에 배송이 오네요 제품은 역시 청축! 이라는 말이 나오네요. 체리청축은 처음 써봤고, 오테뮤청축과는 소리가 다른데, 살짝 고음이 있어 호불호가 나뉠듯 합니다. 저는 익숙하지 않은 소리 이지만 날렵한 음이 오히려 맘에 듭니다. 사무실이 외부소음이 있어서 그런지, 청축 소리가 딱 적당한 크기로 들립니나. 대 만족.키감도 오테뮤 보다 더 날렵한 느낌이라 좋습니다. 가격만 빼면 허세어는 흠잡을게 없는거 같습니다",[]
4,배송은 빨라서 좋았는데..뽁뽁이 안전포장 2천원은 조금 아쉽네요.. 배송 안전은 기본아닌가요..;; 택배에서 다 집어던지고 하는데..뽁뽁이없이 집어던져지면..참ㅜㅜ 플라스틱 덮개랑 해서 잘 샀습니다!,"['https://phinf.pstatic.net/checkout/20201029_179/1603982405192tgyMl_JPEG/review-attachment-dc87a4bf-0f5f-45d3-ad5e-56e4d54d28e1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201029_263/1603982413245fjPNC_JPEG/review-attachment-dca0dc5c-3ca8-454d-97b0-c1e7c14fdca8.jpeg?type=f287']"
5,배송 빠르고 잘받았습니다~~😻😽,['https://phinf.pstatic.net/checkout/20201121_138/1605922382970iHGvW_JPEG/review-attachment-fe585c95-be39-4a0f-ba55-91b8465adf1b.jpeg?type=f287']
5,타건감도 좋고 이쁩니다,['https://phinf.pstatic.net/checkout/20201126_152/1606338335819qONhi_JPEG/review-attachment-1171dccd-32e6-426c-94ee-40296d0722cc.jpeg?type=f287']
5,"타격의 경쾌함과 안정성을 두루 갖추고 윈도우키락, 음량 조절 등 편의성까지 갖춘 좋은 제품 같습니다. 적당히 키보드 무게가 있는것도 좋아요.",['https://phinf.pstatic.net/checkout/20201102_103/1604322706482kMxG7_JPEG/review-attachment-e6564135-63bf-4c48-9e34-1d6cd734a7a1.jpeg?type=f287']
4,받자마자 잘쓰고 있습니다 포장도 잘됐네용,['https://phinf.pstatic.net/checkout/20201119_274/1605714107485lcesS_JPEG/review-attachment-5824e3a5-5008-4ea4-876d-1c6944433714.jpeg?type=f287']
4,사용하기 편리해요 타자감이 좋아요,['https://phinf.pstatic.net/checkout/20201018_13/16030230437431tq1X_JPEG/review-attachment-d75a838f-d4ae-4641-8055-2a7c9b95fc60.jpeg?type=f287']
5,잘쓰고있어요 만족중,['https://phinf.pstatic.net/checkout/20201021_166/1603287394762Wq9SO_JPEG/review-attachment-45a5b003-cdaf-4cec-abb8-55fb6f3f1513.jpeg?type=f287']
5,큰아들이 너무 좋아하네요 아주 굿이라네요,['https://phinf.pstatic.net/checkout/20201025_191/1603586958443kw2yb_JPEG/review-attachment-eb400fd8-60fa-467b-a8ae-ef21796830b9.jpeg?type=f287']
5,디자인이나 성능이나 만족스럽네요,['https://phinf.pstatic.net/checkout/20200929_165/1601356450352LMdJR_JPEG/review-attachment-ead87746-a827-4880-93ca-96afa0dcf525.jpeg?type=f287']
5,남자친구선물로사줬는데 너무너무 기능이좋테요ㅎ감사합니다!!,['https://phinf.pstatic.net/checkout/20201010_180/1602336102187RwKGp_JPEG/review-attachment-bf9e3c4f-1471-4dbc-8713-2cd641573bfa.jpeg?type=f287']
5,"배송도 굉장히 빨랐고 LED가 예쁘네요. 디자인이 너무 요란하지 않아서 좋아요. 크기, 무게도 마음에 들어요! 청축이라고 파란불 들어오는게 귀엽네요 ㅋㅋㅋ",['https://phinf.pstatic.net/checkout/20200914_25/1600050835207Xxv6A_JPEG/review-attachment-028dcf50-7828-420c-ad5c-3346d7082097.jpeg?type=f287']
5,역시 제값을 하네요 색감 키감 다 너무 이뻐요,['https://phinf.pstatic.net/checkout/20200915_83/1600152048923sh2We_JPEG/review-attachment-51002ce9-a219-47d0-b1ab-85ad87c40a8d.jpeg?type=f287']
