star_point,comment,photo
5,제품 깔끔하게 잘 포장되어서 온거 같아서 다행이네요. 그런데 그 키보드판에 방향키 부근에 스크레치인지 뭔지 긁힌 자국이 살짝 있는게 뭔가 조금 걸렸음.... 주말동안 사용해본결과 키감은 나쁘지 않았는데 키보드 자판 자체가 오밀조밀하게 몰려있는듯?? 기존에 쓰던 키보드에서 현재 키보드로 바꾸니까 왠지 양팔을 오므려서 사용하는 느낌을 받았음.... 가로축이 원라 쓰던거보다 조금 짧게 느껴짐. 그 외에 사우드 컨트롤러가 키보드 위에 휠 형식으로 달려있는게 은근히 꿀임. 라이트 색이 붉은색으로 고정인건 솔직히 아쉽지만 RGB 로 하려면 22만원... 라이트 값이 5만원이라니.... 아무튼 전반적으로 만족하고 있음. 아 키보드 상단에 USB포트 있는게 은근히 쓸만함. 그리고 제발 이번 키보드는 더블인식 결함이 없었으몀 좋겠네요. 로지텍 G413 은 키캡도 로지텍 특허제품이라 다른 체리식 키캡을 아예 사용 못하고 따로 구매도 못했고 또 더블인식 결함이 있어서 진짜 1년도 못쓰고 바꾸는데 이건 제발 오래갔으면.......,[]
5,배송도 빠르고 추가상품 누락 된 부분 빠르게 환불도 해주시고 너무 감사드립니다. 제 인생 첫 기계식 게이밍 키보드이다 보니 고민 또 고민하며 많은 제품을 찾아보다가 커세어 제품이 잘 맞을 것 같아 구매했습니다. 기대했던것보다 키감이 더 좋습니다. RGB는 너무 눈에 띄어 보여서 단색으로 구매 했습니다. 적축이라 소리가 조용해서 딱 맘에 듭니다. 거기에 커버를 씌우니 더욱 조용해지네요. 밤에도 마음껏 사용 가능하겠어요. 좋은 제품 감사드립니다. 많이 파세요~,"['https://phinf.pstatic.net/checkout/20200423_239/1587613284565MXfi7_JPEG/20200422_173936.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200423_266/1587613294559AWeh3_JPEG/20200422_205416.jpg?type=f287']"
5,키스트로크가 낮다고 해서 적응하기 힘들다는 말에 걱정했는데 막상 타건해보니 오히려 키압도 낮고 쑥쑥 잘눌려서 더 좋았습니다. 하지만 확실히 스테빌은 잘 못잡았는지 소리는 그렇게 정갈하진 못합니다 그래서 커간지라서 그동안 썼던 키보드중 최고인거같습니다~ 아직 별로 못써봤지만 불량증상이 안생기길 빌며 잘 사용하겠습니다.,['https://phinf.pstatic.net/checkout/20200617_210/1592403014923N4ti9_JPEG/6B21D951-3039-4279-AEE6-7ECFD701A7B6.jpeg?type=f287']
5,"대충 일주일정도 사용한것 같아요.
동생이 포장 뜯어서 포장이 완벽했는지 어쨋는지는 모르겠는데 사용감은 나쁘지 않아요. 다만 예전에 쓰던 키보드에 비해서 축이 깊다고 해야하나?? 그래서 가끔 안익숙해서 키가 덜 눌리긴 하는데 이건 적응되면 익숙해질 것 같긴 해요.",['https://phinf.pstatic.net/checkout/20200919_173/1600505427538eMfwm_JPEG/review-attachment-a09b761e-3d74-481c-8d77-b1db7cb2f523.jpeg?type=f287']
4,"리뷰에 배송얘기가 많길래 걱정했는데 다행히 상자에 안전히 왔습니다.(추가구매 물품때문일지도)
아래께 15년도에 산 k70 106키인데 바뀐 현재 키보드보다 뭔가 5년전에 나온게 더 나은거같아서 좀 아쉽...
구)모델을 사고싶은데 안팔아서 슬픔..","['https://phinf.pstatic.net/checkout/20200417_67/15870880423291gP7I_JPEG/20200416_104347.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200417_25/1587088060890F3gT8_JPEG/20200416_105434.jpg?type=f287']"
5,"우선 배송 속도는 보통 정도로 주문만 요일 대비 빠른 게 배송된 거 같습니다.
택배 자체는 제가 받지 못해, 퇴근했을 때 이미 연결이 되있어서 배송 상태가 어땟는 지 모르겠는 데, 집 한쪽에 쌓여있는 뽁뽁일 보고 깜짝 놀랄만큼 안전하게 포장해서 배송해주신 거 같았습니다. 뽁뽁이안전포장으로 선택한 2,000원이 아깝지 않을 만큼 신경 써주신 거 같아 좋았습니다.

매번 청축만 사용하다가 적축은 처음 사용해보는 데, 누르는 압에 차이가 있어 아직 어색하지만 익숙해지면 손가락이 훨씬 편해질 거 같아 기대가 됩니다. ^^","['https://phinf.pstatic.net/checkout/20200503_166/1588474166639lUfYR_JPEG/IMG_39771.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200503_263/1588474247023vS6kJ_JPEG/IMG_39781.JPG?type=f287']"
5,"다들 허세어라고 그래서, 되게 처음에는 구입을 후회하기도 했는데, 어디 하자가 있다거나 그런거 없이 아주 깔끔한 상태로 배달이 와서 되게 만족했었고, 전에 쓰던 키보드 보다 퀄리티도 좋고 타이핑감도 좋아서 아주 만족하며 사용을 하고 있습니다",[]
5,타건감 심히 걱정했어요 전 청축은 손이 아프고 멤브레인은 개임은 잘되지만 역시 손 파로도가 커요 그렇다고 족축은 키감이 부족해 재미가 없도라구요 그래서 츄천받아 갈축 샀는데 어색함 없이 바로 적응 되네여 저가보다 매우 편하고 개임이 매우 잘되눈건 아니에요 다만 키감 좋고 편한걸로 만족합니다 ㅋㅋ,['https://phinf.pstatic.net/checkout/20200523_148/15902423846135A2lQ_JPEG/20200523_225724.jpg?type=f287']
5,"역시 비싼제품이 좋긴좋네요 ㅎ
키감도 좋고 소리도 그렇게 시끄럽지않아서 사용하는데 불편함없이 잘 사용중입니다!
주말 지나서 올줄알았는데 주말전에 딱 와서 기분좋게 사용했네요 ㅎㅎ 그리고 추가로 구매한 키보드 받침대도 생각외로 너무 푹신하고 좋네요 ㅎㅎ 기본옵션으로 키보드받침대 포함되어있는걸 모르고 추가구매했지만 잘 사용하겠습니다!!",['https://phinf.pstatic.net/checkout/20200812_231/15971993072906sxJq_JPEG/review-attachment-fb5959c4-aa75-4e03-ae3b-dfde5a91c0d7.jpeg?type=f287']
4,키보드 키감 좋아요. 가격만큼 하는거같아요. 문제는 키보드 루프덮개인데..루프덮개라서 일반 덮개 생각했는데 일반적인 키보드 덮개가 아니라 말그대로 위에 덮어 씌우는 거였네요; 덮어 씌우는 것 까진 좋은데 옆 공간까지 커버를 못해줘서 덮개가 붕 떠요. 먼지 제대로 막아주기 힘들거같아요.,['https://shopping-phinf.pstatic.net/20200928_26/3769a33e-e187-40ff-a043-2431c231611e.jpg?type=f287']
5,"옷포장같은곳에 포장되어있길래 솔직히받았을때 당연히 파손됐을거라생각했습니다 근데 2중3중뽁뽁이포장까지해주셔서 박스포장보다 더 안전하게온것같네요 다른분들리뷰에 반품받았던거다시보내줬다 키감이안좋다하시는분들도 봐서 살짝걱정했는데 받아보니 새제품이고 품질또한 가격대비우수합니다 청축쓰다가 적축쓰니 묵직하긴해도 쫀득하고 조용한키감에 키보드전부 교체할까 생각중이에요 제일저렴하구요
감사합니다 잘 사용해볼게요 ^-^",['https://phinf.pstatic.net/checkout/20191121_58/15743348672768u9La_JPEG/20191121_131941.jpg?type=f287']
5,"인생키감입니다.. 다만 esc버튼이 약간 .. 이질감이 왜느껴지는건진 모르겠지만 ..어쩔떈괜찮고 각도에따라 틀린건지 .. 아무튼 .. 뭐 나쁘진않습니다. 역시 비싼거다보니깐 그런가 고민엄청하고 산건데 ,.. 그냥 일찍살걸 .. 그맘뿐입니다",[]
5,적축 주문한다는 걸 잘못 은축으로 주문했는데 사실 적축을 안써봐서 잘 모르겠지만 마음에 드네요. 타건감이 가볍다고 했는데 왠지 저에겐 좀 무겁습니다(주변 적축 쓰시는 분들도 타사 제품에 비해 가벼운 느낌은 아니라고 하시네요). 더 가벼운 걸 기대했지만.. 타자 칠 때 튕겨져 나오는 힘이 좀 강하다고 해야하나. 그래서 무겁게 느껴지는 걸 수도. 한영키도 안 먹혀서 바꾼다고 한참 고생했네요 ㅜㅜ 하지만 일단 해결했으니 만족! 소리 좋고 손목 받침도 좋고 플라스틱 덮개도 넘 좋아요. 먼지 안 쌓이게 할 수 있어서ㅋ 회사에서 있는 시간이 길어서 게임용은 아니고 사무용으로 뒀는데 굳굳 일할 맛이 납니다.,['https://phinf.pstatic.net/checkout/20190820_45/1566262465759mEpK9_JPEG/KakaoTalk_20190819_142618937.jpg?type=f287']
5,4년전 같은 제품을 사용하다 얼마전에 음료를 쏟아서 동일제품으로 구입했습니다. 원래 사용했던 키보드라 성능 내구성 좋은건 이미 알고있기때문에 당연히 재구입 했구요. 음료 쏟은 기존 키보드도 작동 되기는 하나 혹시 몰라서 구비해두려고 한건데 배송이 정말 빠르네요. 적축이라 소리도 조용하고 게이밍 키보드로 너무 좋습니다.,[]
4,"예전부터 키보드는 커세어 제품만 씁니다. 기존에는 은축, 갈축을 쓰다 크리스마스 선물용으로 구입을 고민하던중 이번에 이벤트행사가 눈에 띄어 가장 대표적인 적축모델을 구입하게 되었습니다. 그런데 스테빌라이저 이상으로 초기불량이 걸려 A/S센터를 방문하게 되었네요. 재고분이 없어 택배수령밖에 방법이 없었는데 그럼 선물 시기를 놓치게 되어 판매처인 게이밍기어에 문의를 한 결과, 바로 그곳에서 교환을 해주시고 새 제품을 검사해 주시는 등 편의를 봐주셔서 정말 감사했습니다. 이후 커세어 제품을 또 사게 된다면 이곳에서 계속 구매하고 싶을 마음이 들만큼 정말 친절하게 대해 주셔서 너무 만족하여 이렇게 후기를 남깁니다 ㅎㅎ '게이밍기어' 사장님께 이 자리를 빌어 다시 한번 감사를 드리며 그때 말씀을 못드렸는데 회사상호인 '원야'란 이름이 멋지더군요. 앞으로 훨씬 더 번창하실겁니다^^ 크리스마스 잘 보내시길~! 이만 총총.",[]
5,"요근래 시킨 택배물품중에 가장빨리 도착했고,
제품 포장도 뽁뽁이로 아주 섬세하게 잘되있었으며,
제품상태또한 이태껏 싼 청축키보드 사용했는데 그동안 왜 진작에 이걸안샀을까 후회할정도로 역시 키보드는 커세어였습니다.!!",['https://phinf.pstatic.net/checkout/20200305_18/1583381686869BKWcX_JPEG/KakaoTalk_20200305_123517108.jpg?type=f287']
5,"처음에 왔을때 옷포장처럼 포장되어있길래 파손됐으면 어쩌지했는데 개봉해보니 2중 뽁뽁이해주셔서 안전하게 왔습니다.
키감은 제가 전에 커세어 k70 LUX 갈축을 써왔는데 적축을써보니 묵직하면서 쫀득하고 생각보다 조용한 키감 입니다.
잘 사용 하겠습니다~~~",['https://phinf.pstatic.net/checkout/20200318_173/1584525371001BUzJy_JPEG/20200318_185008.jpg?type=f287']
5,"어제 4시 거의 다돼서 결제한거같은데
아침에 와 있네요 ㄷㄷ
배송 진짜 빨라요
포장도 야무지게 해주시고
써보니 적축은 역시 조용하고 부드럽네요
여러 키보드를 여기서 구매했는데
이제 딴데선 못사겠어요
여기가 만족도 최고에요
고민들 마시고 여기서 구매하세요
키보드 잘 쓰겠습니다 :D",['https://phinf.pstatic.net/checkout/20200402_79/1585805872372jmtdP_JPEG/15858058297976699562608836522656.jpg?type=f287']
